date,open,high,low,close,volume
2021-01-04,23.62,24.45,23.12,23.25,5400324
2021-01-05,23.30,24.12,23.22,23.67,4297930
2021-01-06,24.50,25.66,24.40,25.21,5656874
2021-01-07,25.63,26.20,24.96,25.23,4445458
2021-01-08,25.30,25.47,24.52,24.99,2967826
2021-01-11,23.86,24.90,23.53,24.56,3041869
2021-01-12,24.78,25.45,24.54,25.08,2844175
2021-01-13,25.14,25.15,24.31,24.44,2599874
2021-01-14,25.00,25.38,24.85,25.09,3991370
2021-01-15,24.52,24.52,22.96,23.28,5866810
2021-01-19,23.89,24.22,22.86,23.09,5737725
2021-01-20,23.50,23.74,22.64,22.84,5578332
2021-01-21,20.93,21.70,20.00,20.01,22833830
2021-01-22,19.40,20.04,19.17,19.40,11183390
2021-01-25,19.26,19.44,18.58,19.34,7926939
2021-01-26,19.60,19.66,18.55,18.56,5928799
2021-01-27,18.69,18.97,17.30,18.66,9215320
2021-01-28,19.10,19.30,18.48,18.50,7028644
2021-01-29,18.65,18.84,17.77,18.00,7772462
2021-02-01,18.49,18.89,17.78,18.82,9127432
2021-02-02,19.16,19.38,18.80,19.11,7218520
2021-02-03,19.11,20.18,18.85,19.90,10453660
2021-02-04,20.02,20.45,19.85,20.36,5516652
2021-02-05,20.58,20.98,20.22,20.95,5242727
2021-02-08,21.33,21.97,21.29,21.80,8285018
2021-02-09,21.77,22.34,21.66,21.76,5591021
2021-02-10,21.58,22.12,21.05,21.56,5196620
2021-02-11,21.51,21.67,20.97,21.39,3865124
2021-02-12,21.09,21.75,20.96,21.66,3306025
2021-02-16,22.09,22.62,22.05,22.43,4264320
2021-02-17,22.41,22.68,21.71,21.93,4239475
2021-02-18,22.03,22.26,21.07,21.12,3545632
2021-02-19,21.56,23.34,21.55,23.13,7262321
2021-02-22,23.46,25.48,23.05,24.80,9399508
2021-02-23,23.86,25.09,22.95,24.90,6009773
2021-02-24,25.10,27.29,25.10,27.20,8974303
2021-02-25,27.48,27.80,25.11,25.56,8444384
2021-02-26,24.20,24.98,23.64,24.55,6412682
2021-03-01,25.67,26.38,25.40,25.99,5560293
2021-03-02,26.20,27.86,26.20,27.50,8530319
2021-03-03,28.90,31.37,28.52,30.83,17570190
2021-03-04,29.71,30.39,27.36,28.59,10364260
2021-03-05,29.23,30.50,27.41,28.99,7777627
2021-03-08,29.65,30.17,28.40,28.47,4985666
2021-03-09,28.99,30.05,28.20,29.94,7555203
2021-03-10,30.34,32.42,30.34,31.98,7927665
2021-03-11,32.30,32.87,31.69,32.16,6259221
2021-03-12,31.89,32.48,31.28,31.51,4732979
2021-03-15,31.45,31.68,30.34,31.04,4543403
2021-03-16,30.75,30.79,29.29,29.52,5035665
2021-03-17,30.17,31.81,30.04,31.81,6861307
2021-03-18,31.66,33.45,30.93,31.19,6727235
2021-03-19,31.13,31.62,30.07,31.14,6934807
2021-03-22,31.23,31.42,30.08,30.43,3552299
2021-03-23,28.39,29.25,27.11,27.42,8474586
2021-03-24,29.72,30.48,28.59,28.76,9127477
2021-03-25,28.03,29.77,27.55,29.66,6403022
2021-03-26,30.41,32.80,30.15,32.78,9604262
2021-03-29,32.45,33.99,31.86,32.04,8276237
2021-03-30,32.15,33.05,31.34,32.97,6286685
2021-03-31,33.66,34.29,32.11,32.49,7236579
2021-04-01,32.20,32.58,31.49,32.23,5482082
2021-04-05,32.68,32.80,31.51,31.55,3933781
2021-04-06,31.66,33.07,31.10,31.31,6204497
2021-04-07,31.37,31.97,31.11,31.52,4193353
2021-04-08,31.80,31.92,30.02,31.45,5776052
2021-04-09,31.16,31.55,30.51,31.36,4317326
2021-04-12,31.50,31.88,31.10,31.77,4418476
2021-04-13,31.98,32.18,30.83,31.24,3412640
2021-04-14,31.95,34.24,31.80,33.39,8200517
2021-04-15,33.46,33.62,32.15,32.84,6132580
2021-04-16,34.03,36.03,33.87,35.63,17790330
2021-04-19,35.40,36.54,34.81,36.03,10102390
2021-04-20,35.91,35.95,32.38,32.98,10494790
2021-04-21,32.57,34.68,32.50,34.26,7890150
2021-04-22,34.20,34.33,33.16,33.21,5436624
2021-04-23,33.98,34.86,33.76,34.71,4818317
2021-04-26,35.16,37.06,34.99,36.80,7747562
2021-04-27,36.04,37.70,35.82,36.75,5855171
2021-04-28,36.53,36.97,36.29,36.49,3468329
2021-04-29,36.99,37.50,36.36,37.17,4895439
2021-04-30,36.52,38.07,36.35,36.64,6284736
2021-05-03,37.18,38.05,36.05,37.61,4657715
2021-05-04,38.02,39.27,37.65,39.07,6704936
2021-05-05,39.37,40.88,38.64,40.60,5035155
2021-05-06,40.89,41.44,39.28,39.89,7163968
2021-05-07,39.76,41.38,39.25,41.20,4828309
2021-05-10,42.75,44.42,41.02,41.04,11649720
2021-05-11,39.07,42.15,38.96,41.32,9042131
2021-05-12,41.13,42.24,39.15,39.51,8252229
2021-05-13,39.15,40.97,38.19,39.13,6493529
2021-05-14,39.10,39.98,38.65,39.70,4718169
2021-05-17,39.55,40.70,38.57,40.68,4767769
2021-05-18,41.11,41.69,39.58,39.84,5665221
2021-05-19,38.34,38.37,35.39,36.17,15755860
2021-05-20,36.36,36.36,35.28,35.82,7124340
2021-05-21,36.17,37.07,35.65,36.14,6902609
2021-05-24,36.11,36.79,35.40,36.50,5462015
2021-05-25,36.46,36.93,34.94,35.15,5868522
2021-05-26,35.38,36.59,35.38,36.55,5991018
2021-05-27,37.51,39.05,37.30,39.01,6946052
2021-05-28,38.64,39.70,38.22,39.67,4536793
2021-06-01,40.20,41.16,40.14,40.98,7332372
2021-06-02,40.70,40.70,39.46,40.00,5504606
2021-06-03,39.02,39.54,38.27,38.72,5030088
2021-06-04,39.32,39.58,38.32,38.84,3361220
2021-06-07,38.74,38.74,37.38,37.74,5016418
2021-06-08,37.63,38.92,36.70,38.62,5046288
2021-06-09,38.47,38.68,37.49,37.98,4926756
2021-06-10,38.26,38.80,37.24,37.42,3736056
2021-06-11,38.23,38.56,37.11,37.38,4649409
2021-06-14,37.30,37.78,36.46,36.95,5887303
2021-06-15,36.22,36.36,34.75,36.29,8600587
2021-06-16,35.54,35.85,34.69,35.36,7645651
2021-06-17,35.26,35.35,32.63,33.58,12414490
2021-06-18,33.05,33.45,31.90,32.08,9979915
2021-06-21,32.44,33.33,32.35,33.09,6758628
2021-06-22,33.38,34.08,32.78,33.91,6153288
2021-06-23,35.08,35.96,34.82,35.04,9462627
2021-06-24,35.93,36.67,35.27,36.35,6733849
2021-06-25,36.95,37.11,35.78,35.80,32496830
2021-06-28,36.17,36.61,35.67,36.09,8758199
2021-06-29,36.55,38.00,36.54,37.53,8493518
2021-06-30,37.20,37.80,36.68,36.84,6047752
2021-07-01,37.40,37.69,36.47,36.96,6119937
2021-07-02,37.44,38.50,37.13,37.92,7338025
2021-07-06,37.61,37.95,36.24,36.47,8577484
2021-07-07,36.66,37.28,35.83,36.23,4987915
2021-07-08,35.00,36.09,34.08,35.36,6245448
2021-07-09,36.50,37.78,36.28,37.44,6624400
2021-07-12,36.88,37.94,36.58,37.29,5139491
2021-07-13,37.15,37.18,35.22,35.62,8073363
2021-07-14,36.25,36.90,34.94,35.14,6964629
2021-07-15,35.27,35.93,34.23,34.54,8560168
2021-07-16,35.35,35.70,32.73,32.95,14579690
2021-07-19,31.99,32.45,31.00,31.62,12140840
2021-07-20,31.55,35.26,31.26,34.95,15651340
2021-07-21,35.25,37.41,35.25,37.09,11877730
2021-07-22,36.95,37.49,36.10,37.23,7230108
2021-07-23,37.52,37.87,36.49,37.06,5840643
2021-07-26,37.59,39.02,37.02,38.96,8950255
2021-07-27,38.04,38.50,37.37,38.27,5782369
2021-07-28,38.56,38.92,37.81,38.23,6217530
2021-07-29,38.94,40.00,38.78,39.37,6648512
2021-07-30,39.16,40.66,38.96,40.15,8142636
2021-08-02,40.22,41.65,39.38,39.40,7601700
2021-08-03,39.52,40.45,38.00,40.38,6269207
2021-08-04,39.97,40.02,38.53,38.75,5087554
2021-08-05,38.49,39.35,38.29,38.75,4021718
2021-08-06,39.62,40.95,39.23,40.71,6146725
2021-08-09,40.45,41.49,39.90,40.53,5634414
2021-08-10,40.69,44.15,40.65,43.87,11404030
2021-08-11,43.48,44.74,43.15,44.66,7674533
2021-08-12,44.29,45.40,43.77,45.15,6678342
2021-08-13,45.39,45.79,44.89,45.25,5839387
2021-08-16,44.10,44.19,42.82,43.42,4964509
2021-08-17,42.78,42.94,40.34,41.61,8015483
2021-08-18,41.03,42.35,40.80,41.49,6107372
2021-08-19,39.90,40.09,36.61,36.92,16177790
