date,open,high,low,close,volume
2021-01-04,15.85,15.88,15.03,15.13,69732470
2021-01-05,14.92,15.63,14.87,15.43,53368180
2021-01-06,15.45,15.80,15.17,15.52,63707970
2021-01-07,15.67,15.87,15.38,15.38,48187870
2021-01-08,15.43,15.53,15.00,15.13,55656360
2021-01-11,14.82,15.04,14.71,15.00,40701330
2021-01-12,15.07,15.43,14.88,15.38,45742440
2021-01-13,15.29,15.63,15.11,15.53,42629320
2021-01-14,15.83,16.60,15.82,16.44,79900860
2021-01-15,16.17,16.28,15.73,15.76,55175840
2021-01-19,15.99,16.27,15.89,15.97,39740240
2021-01-20,16.17,16.39,15.84,16.17,42354450
2021-01-21,15.99,16.22,15.56,15.83,50726590
2021-01-22,15.57,15.84,15.46,15.82,39126570
2021-01-25,15.52,15.56,15.02,15.43,61954500
2021-01-26,15.52,15.77,15.33,15.53,44571080
2021-01-27,15.42,17.81,15.38,16.56,178529000
2021-01-28,20.33,21.77,16.82,18.10,319607600
2021-01-29,18.69,18.73,16.75,17.17,113054800
2021-02-01,17.25,17.33,16.33,16.84,49436030
2021-02-02,17.03,17.26,16.55,16.59,39287770
2021-02-03,16.61,17.72,16.49,17.60,61414800
2021-02-04,17.48,17.59,17.30,17.40,37606820
2021-02-05,17.60,17.67,17.07,17.19,30910230
2021-02-08,17.32,18.09,17.24,17.77,44177520
2021-02-09,17.73,17.76,17.34,17.44,29972940
2021-02-10,17.55,17.68,17.27,17.41,28503040
2021-02-11,17.30,17.40,16.79,16.99,38746350
2021-02-12,17.01,17.49,16.92,17.27,27522540
2021-02-16,17.63,17.90,17.51,17.82,33615510
2021-02-17,17.69,18.34,17.48,17.99,35650700
2021-02-18,17.83,17.98,17.45,17.71,26328170
2021-02-19,17.90,18.83,17.78,18.68,48663750
2021-02-22,19.84,21.11,19.31,20.44,99937740
2021-02-23,20.68,21.05,18.74,20.66,78817580
2021-02-24,20.87,22.11,20.75,21.82,74610190
2021-02-25,22.13,22.44,20.38,20.86,65571020
2021-02-26,20.61,21.43,20.34,20.94,42397280
2021-03-01,21.75,22.29,21.05,21.18,45406100
2021-03-02,21.28,21.63,21.12,21.44,27558180
2021-03-03,21.87,22.59,21.73,22.17,49301250
2021-03-04,22.27,22.42,20.41,21.24,61124170
2021-03-05,21.40,21.50,18.94,20.45,63183880
2021-03-08,20.78,21.70,20.65,21.47,39776850
2021-03-09,21.59,21.81,20.66,21.60,39820360
2021-03-10,21.67,22.48,21.37,21.75,44224850
2021-03-11,22.00,22.50,21.77,22.15,39002430
2021-03-12,22.18,23.54,22.13,23.37,55260300
2021-03-15,24.55,25.94,24.21,25.17,94133690
2021-03-16,25.11,25.25,24.31,24.47,47923580
2021-03-17,24.12,25.22,23.90,25.16,38540130
2021-03-18,25.12,26.09,24.55,24.70,53368960
2021-03-19,24.68,25.11,23.88,24.97,49461200
2021-03-22,24.62,24.70,23.76,23.83,42676040
2021-03-23,23.35,23.66,22.08,22.27,55290740
2021-03-24,22.79,23.18,21.76,21.81,44703870
2021-03-25,21.25,22.91,21.02,22.77,49746890
2021-03-26,23.14,23.29,22.28,22.93,36972430
2021-03-29,23.16,23.19,22.39,22.91,30700100
2021-03-30,23.10,24.20,23.02,24.12,39747890
2021-03-31,24.03,24.12,23.61,23.90,29800340
2021-04-01,24.02,24.23,23.64,23.86,25956190
2021-04-05,24.46,24.85,24.16,24.23,33657040
2021-04-06,24.20,24.50,23.91,24.06,31099360
2021-04-07,24.19,24.59,23.82,23.93,27792510
2021-04-08,23.88,23.88,22.63,23.65,28606560
2021-04-09,23.45,23.66,23.25,23.54,21307710
2021-04-12,23.23,23.32,22.72,22.91,27165690
2021-04-13,22.18,22.65,21.66,22.56,44741620
2021-04-14,22.95,23.35,22.20,22.37,33969580
2021-04-15,22.65,22.67,21.70,22.13,34424100
2021-04-16,22.06,22.36,21.87,22.03,25957950
2021-04-19,21.97,21.98,21.37,21.55,27424880
2021-04-20,21.02,21.02,19.96,20.37,48820780
2021-04-21,20.00,21.03,19.64,21.01,49376370
2021-04-22,21.58,21.61,20.04,20.07,72635140
