date,open,high,low,close,volume
2016-09-15,28.46,28.93,28.37,28.89,361592680
2016-09-16,28.78,29.03,28.51,28.73,319055560
2016-09-19,28.80,29.05,28.31,28.39,187748760
2016-09-20,28.26,28.53,28.13,28.39,137976600
2016-09-21,28.46,28.50,28.11,28.39,143807600
2016-09-22,28.59,28.73,28.50,28.66,124192680
2016-09-23,28.61,28.70,27.89,28.18,209644280
2016-09-26,27.91,28.35,27.89,28.22,119200960
2016-09-27,28.25,28.30,28.09,28.27,98349960
2016-09-28,28.42,28.66,28.36,28.49,118433560
2016-09-29,28.29,28.45,27.95,28.05,143400040
2016-09-30,28.11,28.34,27.95,28.26,145362680
2016-10-03,28.18,28.26,28.07,28.13,86538080
2016-10-04,28.27,28.58,28.16,28.25,118829080
2016-10-05,28.35,28.41,28.17,28.26,85601640
2016-10-06,28.43,28.59,28.28,28.47,114034840
2016-10-07,28.58,28.64,28.38,28.52,97345760
2016-10-10,28.75,29.19,28.68,29.01,144351640
2016-10-11,29.43,29.67,29.05,29.07,255852040
2016-10-12,29.34,29.50,29.19,29.34,150051720
2016-10-13,29.20,29.36,28.93,29.25,140167280
2016-10-14,29.47,29.54,29.28,29.41,142504080
2016-10-17,29.33,29.46,29.20,29.39,94335240
2016-10-18,29.55,29.55,29.36,29.37,97232840
2016-10-19,29.31,29.44,28.45,29.28,79908640
2016-10-20,29.21,29.34,29.08,29.27,96400600
2016-10-21,29.20,29.23,29.07,29.15,90110760
2016-10-24,29.27,29.43,29.25,29.41,93970600
2016-10-25,29.49,29.59,29.33,29.56,187282400
2016-10-26,28.58,28.93,28.33,28.90,264114560
2016-10-27,28.85,28.96,28.52,28.62,125584520
2016-10-28,28.47,28.80,28.36,28.43,147168400
2016-10-31,28.41,28.56,28.30,28.39,105515640
2016-11-01,28.36,28.44,27.63,27.87,173615040
2016-11-02,27.85,28.09,27.81,27.90,112699920
2016-11-03,27.75,27.86,27.39,27.46,106154800
2016-11-04,27.13,27.56,27.03,27.21,123163720
2016-11-07,27.52,27.63,27.36,27.60,129447720
2016-11-08,27.58,27.93,27.43,27.77,96518520
2016-11-09,27.47,27.83,27.01,27.72,236474960
2016-11-10,27.77,27.77,26.46,26.95,228390960
2016-11-11,26.78,27.22,26.64,27.11,136468120
2016-11-14,26.93,26.95,26.02,26.43,203605520
2016-11-15,26.64,26.92,26.54,26.78,128922360
2016-11-16,26.68,27.56,26.65,27.50,234896320
2016-11-17,27.45,27.59,27.21,27.49,110492600
2016-11-18,27.43,27.64,27.41,27.52,113243360
2016-11-21,27.53,28.00,27.50,27.93,116656760
2016-11-22,27.99,28.11,27.85,27.95,103726840
2016-11-23,27.84,27.88,27.58,27.81,109682200
2016-11-25,27.78,27.97,27.74,27.95,45903680
2016-11-28,27.86,28.12,27.85,27.89,108217280
2016-11-29,27.70,28.01,27.52,27.86,114031120
2016-11-30,27.90,28.05,27.57,27.63,144605800
2016-12-01,27.59,27.73,27.26,27.37,148138080
2016-12-02,27.29,27.52,27.21,27.48,105925280
2016-12-05,27.50,27.51,27.06,27.28,136455520
2016-12-06,27.38,27.59,27.30,27.49,104642240
2016-12-07,27.32,27.80,27.29,27.76,119904120
2016-12-08,27.71,28.11,27.65,28.03,108199320
2016-12-09,28.08,28.68,28.08,28.49,137297400
2016-12-12,28.32,28.75,28.12,28.32,104706760
2016-12-13,28.46,28.98,28.44,28.80,173173400
