date,open,high,low,close,volume
2021-01-04,15.56,15.59,15.23,15.39,8483940
2021-01-05,15.44,15.48,15.29,15.31,6260940
2021-01-06,15.39,15.50,15.33,15.37,7167946
2021-01-07,15.40,15.58,15.36,15.43,5555629
2021-01-08,15.48,15.55,15.39,15.54,4336832
2021-01-11,15.41,15.63,15.35,15.38,4787883
2021-01-12,15.50,15.58,15.37,15.56,4762105
2021-01-13,15.56,15.62,15.50,15.52,3708680
2021-01-14,15.61,15.69,15.53,15.62,3851785
2021-01-15,15.62,15.73,15.54,15.65,4478801
2021-01-19,15.69,15.80,15.62,15.79,4877421
2021-01-20,15.80,15.98,15.77,15.90,5248606
2021-01-21,15.93,16.18,15.92,16.09,7506757
2021-01-22,16.09,16.16,15.95,16.14,5074646
2021-01-25,16.20,16.38,16.12,16.25,8653451
2021-01-26,16.43,16.45,15.99,16.16,10991330
2021-01-27,16.08,16.10,15.72,15.79,11197920
2021-01-28,15.74,15.87,15.50,15.82,8458128
2021-01-29,15.71,15.82,15.50,15.60,8853724
2021-02-01,15.65,15.92,15.57,15.89,8290980
2021-02-02,15.98,16.12,15.91,16.08,6896494
2021-02-03,16.11,16.29,16.04,16.10,5611239
2021-02-04,16.07,16.21,16.07,16.17,4649132
2021-02-05,16.22,16.35,16.16,16.30,4736458
2021-02-08,16.34,16.40,16.22,16.28,5077671
2021-02-09,16.31,16.32,16.13,16.29,5103503
2021-02-10,16.30,16.46,16.28,16.38,4503827
2021-02-11,16.40,16.53,16.24,16.37,5110872
2021-02-12,16.41,16.51,16.33,16.35,5549273
2021-02-16,16.46,16.48,16.36,16.43,7087580
2021-02-17,16.41,16.45,16.20,16.31,6957581
2021-02-18,16.27,16.35,16.09,16.10,8482379
2021-02-19,16.23,16.55,16.18,16.46,7210532
2021-02-22,16.38,16.73,16.35,16.51,6178707
2021-02-23,16.55,16.60,16.13,16.33,9070768
2021-02-24,16.35,16.63,16.30,16.58,8066773
2021-02-25,16.51,16.60,15.96,15.99,11816510
2021-02-26,16.04,16.26,15.92,16.03,8489737
2021-03-01,16.20,16.37,15.96,15.96,8038601
2021-03-02,15.99,16.18,15.96,16.14,7540004
2021-03-03,16.14,16.23,15.98,15.99,6339378
2021-03-04,16.04,16.10,15.71,15.91,14462610
2021-03-05,15.99,16.06,15.39,15.90,13894730
2021-03-08,16.02,16.38,15.90,16.32,9818636
2021-03-09,16.36,16.41,16.20,16.35,6355913
2021-03-10,16.34,16.45,16.29,16.40,5597348
2021-03-11,16.37,16.42,16.24,16.31,8740126
2021-03-12,16.31,16.58,16.31,16.47,9452511
2021-03-15,16.53,16.63,16.44,16.52,7901782
2021-03-16,16.48,16.53,16.36,16.48,4808946
2021-03-17,16.45,16.69,16.32,16.68,5910836
2021-03-18,16.60,16.71,16.47,16.50,6859787
2021-03-19,16.54,16.79,16.44,16.59,11255600
2021-03-22,16.65,16.70,16.52,16.67,4690098
2021-03-23,16.68,16.77,16.50,16.56,5221862
2021-03-24,16.63,16.85,16.55,16.55,7966718
2021-03-25,16.55,16.88,16.37,16.79,9474527
2021-03-26,16.81,17.03,16.74,17.02,5612947
2021-03-29,16.93,17.09,16.75,16.76,6405380
2021-03-30,16.73,16.90,16.59,16.89,4775274
2021-03-31,16.80,16.89,16.71,16.76,6210498
2021-04-01,16.78,17.03,16.73,17.02,5452714
2021-04-05,17.05,17.07,16.90,17.00,4910992
2021-04-06,16.98,17.06,16.95,17.01,4370309
2021-04-07,17.02,17.12,16.95,17.11,3584407
