date,open,high,low,close,volume
2022-09-08,24.02,24.02,24.02,24.02,0
2022-09-09,23.50,23.50,23.50,23.50,0
2022-09-12,23.10,23.10,23.10,23.10,0
2022-09-13,22.30,22.30,22.30,22.30,0
2022-09-14,22.30,22.30,22.30,22.30,0
2022-09-15,22.99,22.99,22.16,22.16,124159
2022-09-16,22.20,22.39,21.75,21.88,88824
2022-09-19,22.00,22.00,21.37,21.69,103194
2022-09-20,21.43,21.51,21.12,21.26,139798
2022-09-21,21.28,21.54,21.20,21.30,193783
2022-09-22,21.39,21.46,21.13,21.40,170302
2022-09-23,21.35,21.35,20.69,20.75,282965
2022-09-26,20.76,21.00,20.31,20.35,131923
2022-09-27,20.70,20.70,19.28,19.75,393295
2022-09-28,19.91,20.48,19.88,20.36,197172
2022-09-29,20.30,20.30,19.82,20.02,209060
2022-09-30,20.17,20.24,19.63,19.70,684062
2022-10-03,19.90,20.50,19.82,20.00,99450
2022-10-04,20.22,21.80,20.22,20.87,192027
2022-10-05,21.24,21.42,20.72,21.03,175208
2022-10-06,20.83,21.09,20.81,20.89,34517
2022-10-07,20.85,21.00,20.72,20.91,39879
2022-10-10,21.10,21.10,20.25,20.42,85203
2022-10-11,20.31,21.00,20.31,20.63,82192
2022-10-12,20.66,20.82,20.28,20.28,56747
2022-10-13,20.08,20.58,20.00,20.05,28765
2022-10-14,20.25,20.31,19.65,19.70,27659
2022-10-17,19.80,19.95,19.64,19.89,22849
2022-10-18,19.75,20.20,19.75,19.89,30158
2022-10-19,19.88,19.88,19.19,19.44,28828
2022-10-20,19.35,19.50,19.05,19.26,49977
2022-10-21,19.10,19.48,19.10,19.43,30955
2022-10-24,19.60,19.60,19.30,19.45,34434
2022-10-25,19.45,19.93,19.40,19.90,41115
2022-10-26,20.04,20.75,20.04,20.54,60534
2022-10-27,20.54,21.00,20.54,20.80,47478
2022-10-28,20.95,21.20,20.85,21.15,26734
2022-10-31,21.15,21.48,20.78,20.78,33329
2022-11-01,21.09,21.29,20.64,20.84,49592
2022-11-02,20.84,20.84,20.11,20.30,45451
2022-11-03,20.30,20.38,19.95,20.15,32651
2022-11-04,20.29,20.31,20.09,20.11,17238
2022-11-07,20.28,20.70,19.80,20.48,92604
2022-11-08,20.65,21.37,20.41,21.05,91215
2022-11-09,20.71,21.02,20.59,20.90,51712
2022-11-10,21.33,21.60,21.05,21.56,76739
