date,open,high,low,close,volume
2021-01-04,65.94,66.60,65.24,65.68,723630
2021-01-05,66.19,66.83,65.94,66.70,1270215
2021-01-06,65.05,65.82,64.83,65.32,994296
2021-01-07,67.15,67.68,66.74,67.35,754382
2021-01-08,68.20,69.21,67.96,69.11,950210
2021-01-11,67.62,67.80,67.11,67.54,774398
2021-01-12,67.08,67.73,66.93,67.71,627172
2021-01-13,68.01,70.15,67.89,69.79,1371566
2021-01-14,69.74,70.32,69.39,69.69,724044
2021-01-15,70.38,70.64,69.63,70.17,823201
2021-01-19,72.92,73.04,72.30,72.73,1538648
2021-01-20,72.63,73.74,72.44,73.46,783544
2021-01-21,73.99,74.25,72.36,73.31,925166
2021-01-22,74.29,74.48,73.71,74.03,1107433
2021-01-25,74.65,75.61,74.43,74.85,1236894
2021-01-26,74.45,76.26,74.42,76.01,1459535
2021-01-27,73.79,75.35,73.56,74.01,2543054
2021-01-28,73.73,74.39,73.17,73.22,1556117
2021-01-29,72.64,72.64,71.07,71.71,1059880
2021-02-01,73.05,73.14,72.53,72.84,1076988
2021-02-02,74.00,74.83,73.85,74.38,1091281
2021-02-03,74.70,75.52,74.27,75.27,668968
2021-02-04,75.91,75.94,75.32,75.88,953051
2021-02-05,75.04,75.95,74.95,75.66,556867
2021-02-08,75.38,75.80,74.56,74.78,735909
2021-02-09,74.75,75.18,74.27,74.52,586919
2021-02-10,74.83,75.05,73.93,74.72,669086
2021-02-11,74.90,74.91,74.10,74.65,486318
2021-02-12,74.22,74.81,74.07,74.10,667627
2021-02-16,74.66,74.66,73.54,74.10,797726
2021-02-17,73.21,73.24,71.48,72.05,1205409
2021-02-18,71.99,72.06,71.16,71.70,1540098
2021-02-19,72.00,72.35,71.70,71.92,1215930
2021-02-22,71.72,72.15,71.40,71.56,1231856
2021-02-23,71.90,72.18,70.98,71.98,1449507
2021-02-24,69.41,70.82,69.34,70.04,2261565
2021-02-25,71.50,71.76,69.63,69.97,1656544
2021-02-26,69.89,69.89,68.01,68.40,1332103
2021-03-01,69.82,70.88,69.58,70.44,1269929
2021-03-02,70.54,70.65,69.90,70.43,707633
2021-03-03,68.79,69.28,68.09,68.26,970606
2021-03-04,68.00,68.57,66.15,67.06,1745490
2021-03-05,67.84,68.64,67.05,67.94,1620480
2021-03-08,67.76,68.03,67.06,67.07,1583469
2021-03-09,68.85,69.38,68.60,68.72,1011696
2021-03-10,69.38,69.38,68.60,69.03,959599
2021-03-11,69.80,69.86,68.78,69.06,1230903
2021-03-12,68.74,68.77,68.23,68.57,812736
2021-03-15,68.52,68.98,68.35,68.90,650648
2021-03-16,69.12,69.66,68.51,69.60,868215
2021-03-17,68.48,69.19,68.43,68.81,531853
2021-03-18,68.28,68.88,68.08,68.08,461310
2021-03-19,68.13,68.62,67.97,68.15,1139330
2021-03-22,68.46,69.10,68.30,68.74,758810
2021-03-23,69.44,69.54,68.77,69.00,1149180
2021-03-24,70.66,70.69,69.37,69.57,995568
2021-03-25,69.73,69.81,68.89,69.37,938602
2021-03-26,69.77,69.80,68.70,69.74,1303672
2021-03-29,69.11,70.44,69.11,70.03,876683
2021-03-30,70.39,70.86,70.22,70.74,801452
2021-03-31,70.68,70.78,70.12,70.18,569421
2021-04-01,70.65,71.39,70.45,71.16,490906
2021-04-05,71.41,72.39,71.27,72.09,382682
2021-04-06,71.03,71.95,70.99,71.56,584307
2021-04-07,71.41,71.75,71.07,71.29,411475
2021-04-08,71.79,73.15,71.79,73.01,652942
2021-04-09,72.55,73.74,72.54,73.74,466726
2021-04-12,74.07,74.29,73.57,73.70,640491
2021-04-13,73.48,73.53,72.69,73.03,971731
2021-04-14,73.39,73.43,72.95,73.29,518440
2021-04-15,73.67,74.30,73.52,74.13,435059
2021-04-16,74.00,74.30,73.64,74.18,453915
2021-04-19,74.19,74.21,73.45,73.78,355527
2021-04-20,73.53,74.40,73.45,74.34,424089
2021-04-21,74.38,75.50,74.34,75.18,533112
2021-04-22,75.38,75.72,74.88,75.34,323403
2021-04-23,75.22,76.00,75.17,75.80,446480
2021-04-26,75.98,76.42,75.58,76.13,517877
2021-04-27,75.89,76.13,75.55,75.92,339447
2021-04-28,75.78,76.41,75.54,76.21,462217
2021-04-29,76.53,76.53,75.50,75.58,537078
2021-04-30,75.20,75.90,75.06,75.43,717901
2021-05-03,75.78,76.32,75.59,75.96,536272
2021-05-04,75.22,75.34,73.77,74.53,742135
2021-05-05,69.68,70.63,68.74,70.04,1138598
2021-05-06,69.23,69.56,68.56,69.50,1640942
2021-05-07,69.51,71.44,69.48,70.16,1550420
2021-05-10,68.85,69.39,68.37,68.39,1411009
2021-05-11,67.88,68.99,67.74,68.49,796898
2021-05-12,67.57,67.90,66.17,66.27,997483
2021-05-13,66.83,67.02,65.60,66.29,626867
2021-05-14,68.14,68.74,67.90,68.35,1029780
2021-05-17,68.56,69.49,68.44,68.95,1383049
2021-05-18,69.09,69.21,68.05,68.17,1061764
2021-05-19,67.71,68.06,67.35,67.65,1117410
2021-05-20,68.51,69.09,68.48,68.58,1039026
2021-05-21,69.21,69.59,68.57,68.71,932083
2021-05-24,68.86,69.14,68.53,68.82,896440
2021-05-25,68.89,69.20,68.59,68.91,1191181
2021-05-26,69.93,70.25,69.58,69.90,727920
2021-05-27,69.41,69.53,68.52,68.74,717448
2021-05-28,69.58,70.00,69.53,69.68,909044
2021-06-01,71.23,71.32,70.29,70.31,903382
2021-06-02,69.93,70.23,69.31,69.51,828773
2021-06-03,69.07,69.29,68.49,69.14,567430
2021-06-04,70.49,70.51,69.77,70.21,658494
2021-06-07,69.90,70.34,69.50,69.88,544369
2021-06-08,69.88,69.98,69.38,69.80,511642
2021-06-09,69.77,69.98,69.11,69.26,561357
2021-06-10,69.49,70.38,69.44,70.15,618892
2021-06-11,70.59,70.67,70.20,70.45,689483
2021-06-14,71.41,71.49,70.70,70.83,1154809
2021-06-15,71.46,71.51,70.61,71.13,883398
2021-06-16,71.58,71.77,70.81,71.01,776200
2021-06-17,70.16,71.09,70.16,70.92,509481
2021-06-18,70.36,70.60,70.06,70.24,1122731
2021-06-21,70.36,70.94,69.83,70.79,826673
2021-06-22,70.54,70.88,70.31,70.82,877689
2021-06-23,70.40,70.53,70.00,70.03,817852
2021-06-24,70.86,71.03,70.19,70.48,621451
2021-06-25,70.43,70.74,70.14,70.58,578590
2021-06-28,70.68,70.78,70.09,70.16,582408
2021-06-29,70.52,70.91,70.42,70.60,539482
2021-06-30,70.44,70.54,69.80,70.26,422655
2021-07-01,69.66,70.73,69.58,70.37,987506
2021-07-02,70.05,70.65,69.99,70.56,415205
2021-07-06,70.95,71.06,70.46,70.76,423024
2021-07-07,71.40,71.47,70.78,71.21,887503
2021-07-08,70.81,70.85,69.76,69.97,1199475
2021-07-09,70.31,70.64,70.10,70.39,691468
2021-07-12,70.91,71.05,70.46,70.64,642533
2021-07-13,70.14,70.39,69.92,70.02,447162
2021-07-14,70.06,70.10,69.49,69.99,475040
