date,open,high,low,close,volume
2021-01-04,36.40,36.69,35.30,35.43,5414091
2021-01-05,35.60,36.09,35.48,35.81,2761305
2021-01-06,36.80,37.59,36.48,36.97,5602999
2021-01-07,37.48,38.16,36.84,37.21,6010920
2021-01-08,37.45,37.45,36.62,37.37,2815138
2021-01-11,36.84,37.52,36.65,37.48,1981189
2021-01-12,37.67,38.54,37.43,38.37,3349519
2021-01-13,41.99,41.99,39.42,39.56,11403290
2021-01-14,39.73,41.06,39.53,40.88,6332634
2021-01-15,40.41,41.15,40.00,40.88,5883054
2021-01-19,41.24,41.72,41.05,41.28,4579609
2021-01-20,41.46,41.91,41.17,41.35,3587866
2021-01-21,41.34,41.64,39.84,39.94,6438182
2021-01-22,39.67,41.63,39.66,40.61,7815011
2021-01-25,40.40,40.40,38.38,39.36,6263360
2021-01-26,39.60,39.89,38.59,38.68,6609694
2021-01-27,37.95,38.27,36.34,36.45,7467782
2021-01-28,37.10,38.86,37.01,38.56,5010763
2021-01-29,38.08,38.62,37.42,37.84,3989483
2021-02-01,38.22,38.68,37.58,38.60,2809593
2021-02-02,39.37,40.45,39.16,39.75,4558735
2021-02-03,40.16,40.62,39.61,40.62,3311144
2021-02-04,40.62,42.04,40.59,41.91,4913261
2021-02-05,42.13,42.35,41.41,41.64,4362987
2021-02-08,41.66,42.09,41.18,41.77,2412425
2021-02-09,41.60,41.64,40.81,40.91,2629311
2021-02-10,41.26,41.58,40.47,41.28,3198709
2021-02-11,41.39,41.79,40.39,41.06,3080142
2021-02-12,40.94,42.03,40.90,42.01,3176310
2021-02-16,42.50,43.18,42.18,42.59,4686420
2021-02-17,42.40,42.67,41.64,41.74,2881306
2021-02-18,41.45,41.89,40.77,41.34,2755712
2021-02-19,41.98,42.91,41.80,42.80,2979265
2021-02-22,42.64,43.51,42.52,42.63,3508887
2021-02-23,42.63,42.67,40.79,42.29,3934500
2021-02-24,42.55,43.17,41.85,42.69,4031342
2021-02-25,42.95,43.00,40.64,40.98,4529861
2021-02-26,40.91,42.08,40.72,41.50,5503301
2021-03-01,42.60,43.54,42.47,42.91,4064649
2021-03-02,42.91,43.89,42.91,43.49,3108695
2021-03-03,43.63,44.22,43.19,43.19,4520486
2021-03-04,42.90,43.95,41.83,43.08,4219315
2021-03-05,43.69,44.11,41.72,43.98,3445268
2021-03-08,44.19,45.21,43.65,43.85,4510212
2021-03-09,43.50,44.86,42.68,44.29,4716430
2021-03-10,44.68,45.92,44.56,45.47,5887587
2021-03-11,45.53,45.91,45.30,45.64,3943409
2021-03-12,45.91,46.40,45.43,45.59,2813905
2021-03-15,45.72,46.70,45.46,46.62,6580102
2021-03-16,46.53,46.67,45.57,46.06,2633091
2021-03-17,46.31,46.81,45.57,46.77,4245067
2021-03-18,47.10,47.30,45.02,45.32,6170895
2021-03-19,45.01,45.65,44.00,45.21,6843486
2021-03-22,44.76,45.06,44.25,44.90,4430028
2021-03-23,44.55,45.13,43.23,43.63,2934193
2021-03-24,44.19,44.54,43.47,43.47,3074938
2021-03-25,43.23,45.60,42.72,45.47,4945182
2021-03-26,46.02,46.61,44.94,45.82,5290428
2021-03-29,45.08,45.44,44.30,44.76,4010822
2021-03-30,45.12,46.13,44.97,46.00,4490459
2021-03-31,46.00,46.35,45.21,45.21,5142196
2021-04-01,45.61,46.85,45.50,46.73,4817115
2021-04-05,47.36,47.61,46.71,46.92,3820970
2021-04-06,46.88,47.10,46.25,46.78,2771082
2021-04-07,46.99,47.31,46.53,47.02,2714934
2021-04-08,46.81,47.31,46.05,47.07,3394494
2021-04-09,47.40,47.44,46.78,47.15,2509831
2021-04-12,47.38,48.34,47.32,48.05,5533855
2021-04-13,47.92,47.92,46.92,46.96,3683342
2021-04-14,46.83,48.33,46.74,47.75,4658750
2021-04-15,48.00,48.09,47.03,47.64,3911741
2021-04-16,47.64,49.49,46.88,47.71,6314442
2021-04-19,47.48,48.12,46.86,48.09,5353190
2021-04-20,47.80,47.80,46.28,46.79,5095882
2021-04-21,46.49,48.46,46.18,48.43,4015574
2021-04-22,48.21,48.70,47.35,47.75,4108266
2021-04-23,47.79,49.03,47.16,48.90,2406667
2021-04-26,49.27,50.07,49.23,49.57,3432685
2021-04-27,49.61,50.33,49.53,50.22,3343208
2021-04-28,50.11,50.91,50.11,50.59,4268573
2021-04-29,51.25,51.86,50.96,51.69,3883455
2021-04-30,51.39,51.73,51.02,51.45,3539769
2021-05-03,52.03,52.19,51.11,51.39,3343638
2021-05-04,51.01,51.78,50.73,51.37,3996493
2021-05-05,51.72,52.90,51.49,52.61,3900959
2021-05-06,52.87,53.12,52.00,52.93,3289595
2021-05-07,52.38,54.14,52.20,54.10,3278349
2021-05-10,54.50,55.14,53.66,53.67,2659155
2021-05-11,52.62,53.34,51.95,52.45,3401216
2021-05-12,52.64,53.17,51.02,51.22,3936221
2021-05-13,51.15,53.10,51.15,52.75,3673689
2021-05-14,53.09,54.09,53.01,54.00,1730381
2021-05-17,53.74,54.30,53.51,54.18,2717284
2021-05-18,54.51,54.97,53.65,53.71,2558193
2021-05-19,52.24,53.36,51.46,53.36,2960424
2021-05-20,53.30,53.60,52.32,52.72,4271916
2021-05-21,53.04,53.90,52.84,53.13,3419245
2021-05-24,53.40,53.93,52.99,53.51,3134374
2021-05-25,53.57,54.41,53.03,53.08,3787121
2021-05-26,53.00,53.63,53.00,53.45,3790239
2021-05-27,54.38,54.88,53.97,54.77,7069900
2021-05-28,54.76,55.00,53.93,54.71,3657394
2021-06-01,55.29,56.23,55.17,56.15,3815151
2021-06-02,56.39,56.61,54.93,55.66,4154955
2021-06-03,55.49,55.51,54.71,55.14,5213861
2021-06-04,55.25,55.47,54.68,55.29,2033609
2021-06-07,55.45,55.61,54.82,55.03,2025830
2021-06-08,54.70,55.47,54.29,55.26,3226920
2021-06-09,54.97,55.22,54.30,54.69,2822084
2021-06-10,55.37,55.60,53.87,53.97,3506670
2021-06-11,54.42,54.82,54.30,54.79,3515691
2021-06-14,54.52,54.75,53.26,53.41,4067049
2021-06-15,53.42,53.98,53.06,53.83,3592361
2021-06-16,53.43,53.49,52.43,52.95,3478306
2021-06-17,53.09,53.24,49.77,50.29,4950012
2021-06-18,49.32,49.84,48.73,49.51,8559131
2021-06-21,49.98,50.35,49.61,50.23,3339612
2021-06-22,49.97,50.11,49.21,49.35,4363397
2021-06-23,49.48,50.44,49.40,50.19,2717318
2021-06-24,50.62,50.93,50.02,50.76,2336105
2021-06-25,50.92,51.37,50.65,50.75,5744261
2021-06-28,50.64,50.64,49.85,50.22,2640794
2021-06-29,50.53,50.81,49.41,49.48,3464120
2021-06-30,49.34,50.19,49.21,49.84,1760483
2021-07-01,50.00,50.65,49.79,50.37,2220505
2021-07-02,50.80,50.98,50.46,50.55,1960519
2021-07-06,50.70,50.74,49.21,49.60,3581665
2021-07-07,49.28,50.23,49.18,50.05,2413161
