date,open,high,low,close,volume
2016-09-15,195.41,199.12,194.47,198.75,14749
2016-09-16,198.81,200.95,197.11,200.63,39135
2016-09-19,201.20,201.20,199.19,200.19,27798
2016-09-20,201.20,202.96,198.68,199.75,23887
2016-09-21,200.00,201.14,196.48,198.05,21779
2016-09-22,199.88,200.88,198.05,199.06,15888
2016-09-23,197.93,199.88,196.99,196.99,18643
2016-09-26,195.35,197.80,192.33,192.58,23376
2016-09-27,193.15,197.17,192.21,196.92,36604
2016-09-28,197.74,198.05,194.97,196.86,15338
2016-09-29,197.30,198.31,193.53,193.65,14464
2016-09-30,193.91,196.80,192.96,195.48,18140
2016-10-03,200.26,202.58,196.92,202.58,25625
2016-10-04,203.59,203.59,195.60,198.87,33011
2016-10-05,200.00,201.83,198.87,200.82,18088
2016-10-06,201.20,205.29,200.38,204.09,21424
2016-10-07,205.03,206.43,202.05,202.71,22000
2016-10-10,201.83,205.60,201.51,203.08,20658
2016-10-11,203.40,204.34,197.74,198.05,20570
2016-10-12,198.68,201.83,198.37,200.57,19278
2016-10-13,198.37,199.31,196.80,197.11,19700
2016-10-14,198.37,200.88,197.74,199.63,17110
2016-10-17,198.68,199.63,197.74,198.37,11517
2016-10-18,200.57,201.20,198.37,198.68,9393
2016-10-19,199.94,199.94,197.11,198.37,14627
2016-10-20,199.31,199.63,197.43,198.68,18439
2016-10-21,198.05,200.73,196.80,199.94,20855
2016-10-24,202.46,202.77,199.19,201.83,22056
2016-10-25,202.14,202.46,197.74,198.68,21878
2016-10-26,197.11,202.14,197.11,199.31,26464
2016-10-27,200.57,200.57,195.23,197.74,17572
2016-10-28,197.43,199.78,195.54,197.11,21122
2016-10-31,196.48,198.37,195.85,197.74,21029
2016-11-01,198.68,198.68,191.77,193.03,22318
2016-11-02,193.03,193.97,191.14,192.40,23689
2016-11-03,191.45,194.60,191.45,193.65,22315
2016-11-04,194.60,199.94,194.60,196.80,25013
2016-11-07,198.37,202.77,196.80,201.83,20249
2016-11-08,203.40,206.86,198.68,202.77,40031
2016-11-09,199.00,213.46,199.00,210.00,45146
2016-11-10,212.83,214.72,208.11,210.00,30881
2016-11-11,211.57,218.17,210.50,216.92,63556
2016-11-14,219.12,219.75,215.97,216.92,31316
2016-11-15,215.97,218.33,215.35,217.23,40947
2016-11-16,215.66,218.17,214.72,216.92,50409
2016-11-17,218.17,224.15,215.97,223.20,41107
2016-11-18,221.32,221.95,218.49,220.38,27809
2016-11-21,221.32,222.26,217.23,218.49,31591
2016-11-22,220.06,220.38,217.86,218.17,28507
2016-11-23,218.80,220.38,217.55,219.43,23112
2016-11-25,220.38,220.38,218.80,219.75,18809
2016-11-28,220.06,220.53,212.83,213.14,19270
2016-11-29,214.40,217.70,213.46,217.23,46376
2016-11-30,218.80,218.80,212.83,213.46,27739
2016-12-01,213.77,215.35,209.06,210.63,52311
2016-12-02,210.94,211.26,200.88,202.77,52910
2016-12-05,204.34,209.69,203.40,208.11,23548
2016-12-06,206.23,214.40,205.91,212.52,37648
2016-12-07,212.83,212.83,204.97,205.29,78797
2016-12-08,206.54,208.43,200.57,201.83,95610
2016-12-09,202.14,205.29,200.88,204.97,54580
2016-12-12,203.71,205.60,201.20,203.40,53637
2016-12-13,202.77,204.34,200.57,201.20,40850
2016-12-14,200.26,202.14,198.05,199.63,39104
2016-12-15,199.63,203.08,198.68,201.20,43208
2016-12-16,200.88,203.40,199.31,200.57,51024
2016-12-19,202.46,209.37,200.57,208.74,47763
2016-12-20,209.37,211.89,207.80,210.32,71379
2016-12-21,211.89,220.06,209.69,218.17,81714
2016-12-22,217.55,220.85,217.23,220.69,88158
2016-12-23,220.06,221.95,217.55,221.95,52841
2016-12-27,222.89,223.20,221.32,222.89,34833
2016-12-28,222.89,223.20,216.92,217.23,51151
2016-12-29,217.55,218.17,211.57,215.03,56223
2016-12-30,215.03,215.66,211.26,211.57,37810
2017-01-03,214.09,218.49,213.14,218.49,76608
2017-01-04,213.77,218.80,213.77,215.03,54792
2017-01-05,215.35,216.60,210.63,213.77,44321
2017-01-06,214.09,215.97,211.89,212.52,33722
2017-01-09,211.57,214.09,209.06,209.37,41510
2017-01-10,210.00,216.92,209.37,214.72,70511
2017-01-11,215.03,216.92,213.77,215.66,20971
2017-01-12,215.03,216.29,210.94,213.77,19204
2017-01-13,215.03,216.29,213.14,215.35,18024
2017-01-17,214.72,215.66,212.83,213.14,18137
2017-01-18,212.83,213.14,209.37,212.52,25234
2017-01-19,212.52,213.14,210.94,213.14,21370
2017-01-20,213.46,216.29,213.14,215.66,32066
2017-01-23,215.97,219.43,211.89,214.40,50223
2017-01-24,215.97,217.55,214.72,215.66,33066
2017-01-25,217.55,217.55,214.09,214.72,30335
2017-01-26,215.35,217.55,214.72,215.35,33864
2017-01-27,215.35,215.66,213.14,213.77,30016
2017-01-30,217.86,217.86,212.41,214.72,39183
2017-01-31,213.77,214.56,212.20,212.20,45285
2017-02-01,210.63,212.83,205.60,207.49,88620
2017-02-02,208.11,210.00,206.39,207.80,43761
2017-02-03,208.11,209.37,206.54,206.86,23853
2017-02-06,205.60,207.17,204.97,205.29,24627
2017-02-07,206.23,206.86,203.40,204.34,28051
2017-02-08,195.23,199.47,193.65,195.23,1242048
2017-02-09,194.91,196.48,194.60,194.91,268470
2017-02-10,195.85,198.05,194.91,197.11,313222
2017-02-13,197.43,198.05,195.54,197.11,141991
2017-02-14,197.74,198.05,196.17,197.43,119607
2017-02-15,196.80,198.37,195.85,198.05,95121
2017-02-16,197.11,197.74,195.54,196.48,69116
2017-02-17,196.48,196.95,194.91,196.17,166030
2017-02-21,196.48,196.48,191.45,193.97,119985
2017-02-22,193.65,197.43,192.71,197.11,154050
2017-02-23,196.48,197.74,195.23,197.11,127680
2017-02-24,195.54,197.74,194.60,197.43,113646
2017-02-27,196.48,198.05,195.07,197.74,177313
2017-02-28,195.85,198.05,194.60,197.11,396348
2017-03-01,198.05,198.37,184.22,191.14,387239
2017-03-02,190.20,192.40,187.05,187.05,181204
2017-03-03,186.74,187.37,182.97,184.85,263871
2017-03-06,184.85,186.42,183.59,184.22,112540
2017-03-07,184.22,186.42,183.91,185.17,123116
2017-03-08,185.48,188.00,184.54,185.79,105810
2017-03-09,185.17,188.00,184.85,185.79,111798
2017-03-10,186.74,189.88,186.42,189.57,148324
2017-03-13,188.62,192.71,188.31,191.14,190910
2017-03-14,190.82,193.81,190.20,192.08,157571
2017-03-15,188.62,190.98,185.79,189.25,118768
2017-03-16,189.25,191.14,188.62,189.88,101505
2017-03-17,190.51,193.03,190.51,192.40,175956
2017-03-20,192.08,195.85,192.08,192.40,94682
2017-03-21,193.34,194.91,189.57,189.57,82811
2017-03-22,188.94,191.77,188.31,190.51,84305
2017-03-23,191.14,193.03,189.88,189.88,85392
2017-03-24,191.14,194.75,190.51,193.97,172193
2017-03-27,190.82,194.60,190.20,193.65,143782
2017-03-28,193.03,193.34,190.20,192.08,131247
2017-03-29,192.08,194.91,191.14,194.60,138349
2017-03-30,194.28,196.48,193.03,195.85,164891
2017-03-31,196.17,198.68,194.91,197.74,175414
2017-04-03,200.26,201.83,198.05,200.26,242375
2017-04-04,200.57,201.51,198.37,198.37,186699
2017-04-05,199.63,199.94,194.13,194.91,122588
2017-04-06,194.60,194.91,190.82,193.65,93205
2017-04-07,193.03,194.28,190.20,190.82,109904
2017-04-10,192.08,193.03,189.25,192.71,78246
2017-04-11,192.40,193.97,190.82,193.03,71254
2017-04-12,192.08,193.82,189.25,190.51,112209
2017-04-13,190.82,192.40,188.31,189.88,109743
2017-04-17,191.45,193.03,190.51,193.03,58262
2017-04-18,192.40,193.03,189.88,191.77,63037
2017-04-19,192.08,193.03,190.04,191.14,72381
2017-04-20,192.40,197.74,191.77,194.60,196334
2017-04-21,194.91,196.17,192.40,194.28,98635
2017-04-24,196.17,196.17,191.45,193.03,142601
2017-04-25,193.97,196.80,193.97,194.91,83695
2017-04-26,194.91,197.43,193.97,196.17,109177
2017-04-27,196.17,196.48,192.08,193.03,77389
2017-04-28,193.03,193.03,188.62,190.51,136814
2017-05-01,191.45,192.08,186.74,187.37,127333
2017-05-02,187.05,188.94,185.95,188.94,105495
2017-05-03,187.68,189.65,187.05,189.25,83197
2017-05-04,189.57,189.57,184.22,184.85,123994
2017-05-05,185.17,186.27,182.34,182.97,130803
2017-05-08,184.22,184.65,179.19,181.08,188993
2017-05-09,184.22,189.25,180.76,181.71,306022
2017-05-10,181.08,181.71,172.28,175.73,281134
2017-05-11,175.73,176.36,172.28,172.91,143946
2017-05-12,172.91,172.91,167.88,169.13,200522
2017-05-15,169.76,169.76,162.85,166.30,256070
2017-05-16,167.25,168.82,160.33,161.90,232546
2017-05-17,160.33,160.96,154.36,154.67,197091
2017-05-18,154.36,155.61,152.79,154.04,166451
2017-05-19,153.73,160.64,153.73,159.07,210984
2017-05-22,159.07,160.96,156.56,157.19,187222
2017-05-23,157.50,159.07,154.67,154.99,132517
2017-05-24,155.30,155.30,147.44,147.76,327935
2017-05-25,148.07,149.96,145.40,147.13,274001
2017-05-26,147.44,158.44,146.81,155.30,336133
2017-05-30,154.04,154.67,146.50,146.81,239305
2017-05-31,146.81,148.07,140.52,141.47,360898
2017-06-01,140.84,149.64,140.52,147.44,271101
2017-06-02,149.33,156.24,149.01,155.93,399293
2017-06-05,154.99,160.80,153.73,157.19,388436
2017-06-06,155.93,157.50,150.90,153.41,340415
2017-06-07,153.73,155.93,149.33,149.33,267020
2017-06-08,149.01,149.96,145.87,148.70,159890
2017-06-09,148.38,149.64,146.18,146.50,194658
2017-06-12,147.13,149.33,145.87,147.76,167408
2017-06-13,148.38,153.41,148.38,152.47,160872
2017-06-14,154.36,154.67,151.53,152.16,110954
2017-06-15,150.90,152.56,149.48,151.21,84123
2017-06-16,150.58,155.30,149.33,154.99,181607
2017-06-19,155.30,157.50,154.80,155.61,170024
2017-06-20,154.36,154.67,146.18,148.38,257895
2017-06-21,148.07,148.38,142.10,144.93,197041
2017-06-22,143.67,145.08,139.27,144.93,321668
2017-06-23,145.24,149.33,141.47,148.38,237612
2017-06-26,147.76,149.48,146.18,148.07,159512
2017-06-27,148.38,150.58,145.87,146.81,115975
2017-06-28,147.76,152.16,147.76,150.27,139954
2017-06-29,150.27,150.90,146.50,148.70,103541
2017-06-30,149.01,149.01,142.41,143.04,217319
2017-07-03,143.98,146.81,143.35,145.87,83705
2017-07-05,146.18,148.38,139.90,141.15,189843
2017-07-06,140.21,140.21,134.87,136.12,205590
2017-07-07,135.81,139.90,133.61,138.01,146743
2017-07-10,137.38,138.32,134.87,135.18,130360
2017-07-11,135.18,140.84,135.18,140.21,107267
2017-07-12,140.84,140.84,133.61,134.55,159028
2017-07-13,133.92,140.21,133.92,139.27,97625
2017-07-14,138.95,139.11,136.91,137.70,87647
2017-07-17,133.61,133.61,123.55,123.86,624290
2017-07-18,123.86,128.89,123.86,126.38,394157
2017-07-19,125.12,128.58,124.49,124.81,333781
2017-07-20,125.43,132.19,125.12,129.52,252974
2017-07-21,129.21,131.09,126.85,127.95,126938
2017-07-24,128.26,130.78,127.32,128.89,157582
2017-07-25,128.89,132.04,128.89,131.09,136122
2017-07-26,131.09,133.29,130.15,132.35,162520
2017-07-27,132.98,132.98,128.89,130.15,188793
2017-07-28,129.21,130.46,128.58,128.89,134764
2017-07-31,129.52,130.15,127.32,128.26,154629
2017-08-01,128.58,131.41,127.64,130.78,161134
2017-08-02,99.34,100.91,95.25,95.57,1688857
2017-08-03,95.57,95.88,93.05,94.94,567933
2017-08-04,98.40,104.69,97.46,102.17,660147
2017-08-07,101.86,103.43,100.91,101.23,308121
2017-08-08,101.23,103.43,101.23,101.54,235471
2017-08-09,100.60,101.23,97.14,97.46,246421
2017-08-10,97.14,97.46,90.54,90.85,338473
2017-08-11,90.54,91.48,85.82,88.34,363272
2017-08-14,89.91,90.85,84.88,85.51,317025
2017-08-15,86.14,87.08,81.11,83.31,368217
2017-08-16,83.94,86.45,82.68,83.62,257037
2017-08-17,83.62,87.40,82.68,82.68,327340
2017-08-18,82.37,82.99,75.76,81.74,711947
2017-08-21,81.74,82.68,78.12,82.05,405084
2017-08-22,82.68,84.57,78.75,80.79,299047
2017-08-23,80.17,80.48,77.96,78.91,267058
2017-08-24,78.91,84.09,78.59,80.48,214484
2017-08-25,81.42,83.31,80.17,81.11,197628
2017-08-28,82.05,83.31,80.17,82.05,342120
2017-08-29,80.79,81.42,78.28,80.79,302533
2017-08-30,80.48,84.88,79.54,84.57,328121
2017-08-31,84.57,86.14,83.31,84.25,236036
2017-09-01,82.99,90.22,82.99,88.97,323184
2017-09-05,89.28,91.64,88.34,91.17,552747
2017-09-06,91.17,91.80,88.97,90.54,298381
2017-09-07,90.54,91.80,86.30,86.77,772725
2017-09-08,84.88,87.08,82.05,83.94,215517
2017-09-11,85.20,90.54,84.88,88.65,229121
2017-09-12,88.02,91.33,88.02,89.28,241693
2017-09-13,89.60,96.51,88.97,95.57,364357
2017-09-14,95.57,102.80,95.57,100.91,720058
2017-09-15,101.23,107.67,101.23,106.57,667312
2017-09-18,108.14,110.97,101.86,104.69,418880
2017-09-19,105.00,105.00,97.46,98.40,390161
2017-09-20,99.03,102.17,95.57,96.51,292505
2017-09-21,97.14,99.66,94.94,99.34,259655
2017-09-22,99.34,100.60,96.83,99.97,165420
2017-09-25,99.03,101.54,94.63,95.25,464243
2017-09-26,95.57,99.03,94.94,96.83,182163
2017-09-27,97.46,98.87,94.47,97.46,215599
2017-09-28,96.51,96.51,92.74,94.31,310003
2017-09-29,93.37,94.31,89.60,92.43,338320
2017-10-02,94.31,95.25,90.85,92.43,197131
2017-10-03,92.74,100.28,92.74,99.97,329255
2017-10-04,99.97,100.91,97.46,99.34,139591
2017-10-05,101.23,103.74,98.56,100.91,188067
2017-10-06,100.28,101.31,94.94,95.57,285632
2017-10-09,95.57,95.57,86.92,88.02,632498
2017-10-10,88.97,89.91,85.82,87.08,344994
2017-10-11,87.08,88.97,85.20,86.45,267264
2017-10-12,87.40,87.71,83.94,87.08,227809
2017-10-13,86.45,88.34,86.45,86.45,112472
2017-10-16,86.14,88.65,85.82,86.45,128324
2017-10-17,87.08,88.02,85.51,86.45,132192
2017-10-18,86.14,88.34,85.20,85.51,250874
2017-10-19,85.20,89.91,84.88,89.60,226519
2017-10-20,90.22,91.48,87.71,88.02,206864
2017-10-23,88.02,90.22,87.71,88.97,115498
2017-10-24,88.97,90.51,88.02,89.91,125731
2017-10-25,92.11,92.74,88.02,88.34,168781
2017-10-26,88.65,94.00,88.65,92.43,254003
2017-10-27,92.11,94.00,89.91,92.74,159480
2017-10-30,92.43,93.37,86.45,87.40,391484
2017-10-31,86.77,89.91,86.77,87.40,230541
2017-11-01,88.65,88.65,82.37,84.57,373775
2017-11-02,83.62,83.94,79.85,80.79,365329
2017-11-03,81.42,82.05,74.19,74.82,582448
2017-11-06,75.76,77.65,71.99,76.71,657352
2017-11-07,74.51,81.11,70.73,77.34,839419
2017-11-08,75.76,77.02,73.25,74.19,451280
2017-11-09,73.88,75.45,71.36,71.68,452425
2017-11-10,71.99,72.93,68.53,69.16,407640
2017-11-13,70.11,73.56,67.90,73.25,405417
2017-11-14,74.19,77.02,72.31,76.71,324181
2017-11-15,77.02,79.85,74.82,78.91,361597
2017-11-16,79.22,81.42,77.34,78.28,267478
2017-11-17,78.59,82.68,77.96,81.42,287157
2017-11-20,80.48,81.11,77.34,80.17,204353
2017-11-21,80.79,81.42,78.59,79.85,162506
2017-11-22,79.22,83.78,78.59,82.99,250116
2017-11-24,82.37,88.34,82.33,87.08,173951
2017-11-27,88.02,94.31,87.55,93.68,399934
2017-11-28,94.00,103.11,90.54,101.54,752979
2017-11-29,102.49,103.11,94.31,96.83,424098
2017-11-30,98.40,98.40,88.34,89.60,527739
2017-12-01,88.34,89.91,85.75,88.02,226353
2017-12-04,88.97,92.11,88.34,89.91,221316
2017-12-05,92.11,93.68,89.91,90.85,315028
2017-12-06,93.68,94.31,88.97,89.60,382789
2017-12-07,88.97,91.17,88.34,90.22,192022
2017-12-08,90.54,92.43,89.28,92.11,189999
2017-12-11,91.80,97.14,91.80,95.88,312222
2017-12-12,98.40,100.60,95.25,95.88,323142
2017-12-13,96.51,96.51,91.95,95.25,252478
2017-12-14,95.57,99.34,95.57,99.34,225843
2017-12-15,99.03,99.97,93.68,94.94,440903
2017-12-18,94.94,96.83,90.22,95.88,364290
2017-12-19,95.88,96.51,94.31,95.88,149659
2017-12-20,96.20,96.20,93.05,93.37,224547
2017-12-21,94.94,98.08,94.63,96.83,286585
2017-12-22,96.83,97.46,92.43,93.68,264470
2017-12-26,93.05,94.00,88.81,90.54,349981
2017-12-27,90.22,90.54,88.02,88.65,202049
2017-12-28,88.34,93.68,88.02,93.37,250491
2017-12-29,93.37,96.98,92.74,94.94,265213
2018-01-02,95.57,98.40,93.68,96.83,225732
2018-01-03,97.14,97.46,93.68,94.31,163138
2018-01-04,94.31,94.94,90.22,90.85,214096
2018-01-05,91.17,91.56,88.34,88.65,200497
2018-01-08,89.91,90.22,85.82,86.77,234737
2018-01-09,86.45,88.02,85.20,87.40,200401
2018-01-10,85.51,89.60,85.20,87.71,268189
2018-01-11,87.40,88.97,86.45,88.65,214895
2018-01-12,88.97,92.43,87.71,90.85,465699
2018-01-16,91.17,91.80,85.54,85.82,224764
