date,open,high,low,close,volume
2021-01-04,180.04,181.53,174.46,177.05,102587
2021-01-05,177.07,179.59,176.11,178.43,77125
2021-01-06,176.43,180.50,171.46,174.58,140865
2021-01-07,175.43,179.59,174.58,174.91,87072
2021-01-08,176.28,180.12,173.08,173.23,84314
2021-01-11,170.05,170.38,159.46,160.25,235479
2021-01-12,161.50,161.92,154.18,157.52,149362
2021-01-13,158.04,159.19,151.72,152.52,142053
2021-01-14,152.80,157.86,152.80,153.71,112458
2021-01-15,153.00,156.17,151.13,152.92,97100
2021-01-19,153.60,158.97,152.72,154.58,151974
2021-01-20,157.74,162.03,156.62,157.79,169124
2021-01-21,157.59,158.58,155.00,155.47,82255
2021-01-22,155.00,158.01,155.00,157.00,108084
2021-01-25,157.39,160.50,155.56,156.10,379136
2021-01-26,153.74,156.08,150.58,155.63,461724
2021-01-27,153.01,167.14,152.00,163.01,253896
2021-01-28,162.50,165.87,156.12,157.30,121534
2021-01-29,159.41,162.57,152.31,152.81,127856
2021-02-01,152.84,158.00,152.84,156.09,117809
2021-02-02,156.81,160.20,156.00,158.90,117660
2021-02-03,157.72,158.10,151.80,157.57,152684
2021-02-04,159.34,162.56,157.20,161.07,187282
2021-02-05,162.61,163.24,156.20,157.76,84687
2021-02-08,157.87,167.22,157.87,167.00,183613
2021-02-09,166.08,174.03,164.76,173.66,145119
2021-02-10,174.99,180.06,174.99,179.18,186410
2021-02-11,179.18,182.53,177.99,181.21,210678
2021-02-12,182.01,185.44,180.94,181.50,117794
2021-02-16,180.00,181.45,167.67,168.50,159208
2021-02-17,168.25,176.00,167.93,172.16,164941
2021-02-18,170.33,171.81,166.23,170.86,95957
2021-02-19,170.27,177.08,170.27,174.15,203844
2021-02-22,170.89,171.18,160.73,161.83,101310
2021-02-23,157.99,162.43,151.51,162.11,314630
2021-02-24,161.24,170.69,160.00,170.51,185038
2021-02-25,170.36,172.01,165.07,166.24,186443
2021-02-26,167.66,168.24,158.78,164.02,137358
2021-03-01,166.69,169.92,160.16,161.97,258647
2021-03-02,153.36,154.00,134.25,134.82,917360
2021-03-03,130.51,134.00,128.82,132.05,389959
2021-03-04,130.00,135.18,127.00,132.23,338911
2021-03-05,133.05,138.86,125.00,138.68,379816
2021-03-08,137.70,143.54,134.58,138.07,330457
2021-03-09,141.37,147.34,141.07,143.93,289000
2021-03-10,146.93,148.95,141.09,141.46,214621
2021-03-11,142.81,146.11,141.22,143.71,164105
2021-03-12,142.90,142.92,138.35,139.43,128663
2021-03-15,137.23,142.72,137.23,142.23,112924
2021-03-16,143.56,145.78,138.62,141.06,121425
2021-03-17,140.76,143.57,136.61,142.40,152350
2021-03-18,140.27,140.27,133.86,135.32,188997
2021-03-19,135.17,137.90,135.00,136.21,342561
2021-03-22,136.60,143.23,136.60,141.29,103811
2021-03-23,142.17,143.24,140.08,141.60,88472
2021-03-24,142.97,142.97,137.23,137.42,115186
2021-03-25,137.13,139.94,135.09,139.45,100306
2021-03-26,140.01,142.21,136.84,140.67,72420
2021-03-29,140.81,141.51,135.32,137.72,70516
2021-03-30,137.61,139.90,133.99,138.29,75556
2021-03-31,140.02,143.53,140.02,141.41,149284
2021-04-01,142.50,146.87,141.47,143.00,159735
2021-04-05,144.00,144.02,139.43,142.91,85965
2021-04-06,141.95,145.84,140.90,142.79,97007
2021-04-07,142.40,143.49,140.36,141.99,87428
2021-04-08,144.05,145.18,141.36,143.01,490632
2021-04-09,141.89,144.26,138.09,142.47,144772
2021-04-12,142.55,143.18,138.47,142.50,127772
2021-04-13,143.00,145.44,142.36,144.00,121917
2021-04-14,144.30,148.10,142.54,144.81,134680
2021-04-15,146.48,148.59,144.87,146.70,103772
2021-04-16,147.43,147.43,144.25,146.26,122788
2021-04-19,145.41,145.96,142.22,145.06,67017
2021-04-20,145.23,148.55,144.46,146.44,120827
2021-04-21,146.00,148.59,144.32,147.08,194359
2021-04-22,147.71,149.76,145.50,147.71,73382
2021-04-23,148.43,148.43,145.44,147.18,81645
2021-04-26,147.86,148.24,146.43,146.83,74787
2021-04-27,147.78,148.80,145.00,148.65,105304
2021-04-28,148.02,149.81,146.01,149.13,61149
2021-04-29,149.81,149.81,145.89,146.92,120773
2021-04-30,146.49,146.77,143.50,144.63,156886
2021-05-03,144.80,146.53,142.07,142.92,143549
2021-05-04,141.54,143.74,133.00,133.91,140301
2021-05-05,134.76,135.33,128.53,130.46,115467
2021-05-06,130.64,132.09,124.58,130.82,136440
2021-05-07,132.74,134.99,129.52,130.24,138153
2021-05-10,130.23,131.94,126.85,127.36,218012
2021-05-11,119.00,129.05,110.22,124.30,451098
2021-05-12,122.67,125.44,119.90,123.17,254936
2021-05-13,124.49,128.06,122.85,124.02,216829
2021-05-14,124.28,129.33,124.03,127.68,101154
2021-05-17,126.08,127.07,124.18,126.25,63150
2021-05-18,126.84,130.57,124.93,125.15,110606
2021-05-19,124.00,129.38,122.39,128.50,105178
2021-05-20,128.23,131.15,127.02,130.16,281085
2021-05-21,132.66,133.74,129.47,131.49,166775
2021-05-24,132.02,134.98,132.02,133.98,65240
2021-05-25,134.67,138.05,134.00,136.58,154621
2021-05-26,136.54,138.92,133.53,134.35,92311
2021-05-27,134.23,136.11,131.03,133.18,90497
2021-05-28,134.01,136.72,134.01,134.89,62753
2021-06-01,134.60,136.27,130.59,135.11,90423
2021-06-02,135.09,136.66,134.06,134.92,75789
2021-06-03,133.99,134.68,132.00,133.65,69999
2021-06-04,134.59,137.13,133.65,134.12,54130
2021-06-07,133.36,136.47,133.36,136.24,78824
2021-06-08,137.30,140.53,135.81,140.31,80368
2021-06-09,140.75,142.41,138.20,138.58,75541
2021-06-10,138.62,141.37,138.62,140.42,61137
2021-06-11,140.83,143.28,140.57,143.27,76984
2021-06-14,142.66,145.48,141.26,141.84,125147
2021-06-15,140.65,141.47,132.28,133.12,182270
2021-06-16,133.80,137.37,132.93,135.98,76752
2021-06-17,135.01,141.51,135.01,141.04,176647
2021-06-18,140.30,143.07,138.68,140.48,248660
2021-06-21,139.96,145.02,138.51,143.75,152992
2021-06-22,143.75,147.58,143.75,147.23,91493
2021-06-23,146.83,148.53,146.61,147.45,90286
2021-06-24,147.90,150.78,145.36,147.09,92601
2021-06-25,147.95,148.87,144.25,144.91,353331
2021-06-28,145.82,148.76,142.29,144.33,111530
2021-06-29,144.86,145.00,142.74,142.96,87363
2021-06-30,142.80,143.21,140.25,141.20,72211
2021-07-01,140.61,143.61,140.16,141.02,78977
2021-07-02,142.58,143.53,139.77,139.78,80919
2021-07-06,138.75,141.99,138.52,141.04,146697
2021-07-07,141.97,142.84,136.25,136.47,126079
2021-07-08,134.49,134.53,131.39,133.65,93574
2021-07-09,133.44,135.57,132.54,135.14,77378
2021-07-12,135.47,135.99,133.17,133.75,98615
2021-07-13,133.00,136.87,132.83,133.39,80519
2021-07-14,134.70,135.31,132.57,135.00,104724
2021-07-15,135.19,138.10,131.76,134.73,107324
2021-07-16,135.96,137.20,134.11,134.76,74109
2021-07-19,133.19,137.12,132.10,135.81,61103
2021-07-20,136.68,142.36,136.10,139.76,127640
2021-07-21,138.96,141.93,138.58,141.93,61713
2021-07-22,141.42,143.42,139.59,139.82,55587
2021-07-23,140.58,142.67,139.68,141.81,43098
2021-07-26,142.45,142.45,138.24,138.38,93460
2021-07-27,138.08,139.15,133.36,134.40,91645
2021-07-28,135.43,139.81,135.31,139.45,41412
2021-07-29,139.53,144.45,139.53,143.05,71370
2021-07-30,141.83,145.24,141.04,141.60,71652
2021-08-02,143.01,144.71,140.67,140.85,48558
2021-08-03,140.37,144.44,137.11,138.56,62973
2021-08-04,137.99,141.75,137.89,140.45,61679
2021-08-05,140.62,142.70,139.68,140.93,50302
2021-08-06,140.40,142.11,136.39,138.78,69917
2021-08-09,138.25,139.75,136.42,136.90,78274
2021-08-10,132.00,135.00,123.82,129.39,344706
2021-08-11,129.46,133.86,128.33,133.17,111121
2021-08-12,134.22,135.28,128.43,134.76,98178
2021-08-13,135.17,136.03,131.87,132.50,66073
2021-08-16,131.34,132.97,128.39,132.29,101449
2021-08-17,131.71,133.82,126.46,126.59,202476
2021-08-18,127.29,127.92,124.56,124.97,115170
2021-08-19,124.58,126.43,123.50,124.22,103499
2021-08-20,125.15,126.77,124.60,125.19,213670
2021-08-23,125.26,127.20,123.69,126.07,234404
2021-08-24,126.78,127.62,124.72,124.98,256119
2021-08-25,124.63,125.08,122.66,124.01,123523
2021-08-26,123.90,124.50,122.03,122.03,109020
2021-08-27,121.84,123.78,121.07,122.35,142612
2021-08-30,122.24,123.35,119.15,120.24,139985
2021-08-31,119.94,120.04,117.33,118.10,197486
2021-09-01,118.78,122.90,118.73,122.08,226939
2021-09-02,122.40,124.58,121.46,121.68,94167
2021-09-03,121.27,123.63,120.41,123.60,73118
2021-09-07,123.77,123.91,121.19,121.33,76636
2021-09-08,121.42,123.37,119.25,123.33,78339
2021-09-09,123.64,127.64,123.41,126.69,113451
2021-09-10,126.42,127.91,122.12,122.22,70083
2021-09-13,122.00,125.59,120.46,124.44,93658
2021-09-14,124.33,124.88,121.79,122.01,68927
2021-09-15,121.99,122.20,118.70,120.78,112527
2021-09-16,119.54,124.28,119.54,123.80,91752
2021-09-17,124.90,126.62,121.31,122.82,271237
2021-09-20,119.96,123.57,117.69,119.86,85168
2021-09-21,121.62,122.57,118.88,120.06,75549
2021-09-22,120.20,122.86,119.03,119.04,143746
2021-09-23,120.30,122.85,117.39,122.59,88810
