date,open,high,low,close,volume
2023-09-14,56.10,66.28,55.54,63.59,130534500
2023-09-15,68.63,69.00,60.75,60.75,74753090
2023-09-18,57.95,58.74,55.02,58.00,34571900
2023-09-19,56.25,56.78,53.88,55.17,18308640
2023-09-20,55.17,55.40,51.52,52.91,16369470
2023-09-21,51.78,52.80,49.85,52.16,15010920
2023-09-22,52.90,52.90,50.35,51.32,8430168
2023-09-25,51.12,54.50,50.02,54.44,12896540
2023-09-26,53.93,54.53,52.70,53.52,6283544
2023-09-27,54.40,54.41,51.79,52.99,6866740
2023-09-28,53.50,56.50,52.86,55.49,8765755
2023-09-29,56.21,56.79,53.08,53.52,7810025
2023-10-02,53.48,54.19,51.91,52.26,8857088
2023-10-03,51.96,52.23,50.80,51.57,4687735
2023-10-04,51.97,53.81,51.31,53.46,6206459
2023-10-05,53.90,53.90,52.09,52.51,2984420
2023-10-06,52.72,54.21,51.55,54.08,4009236
2023-10-09,54.40,55.80,53.37,54.25,7197706
2023-10-10,55.24,55.86,54.20,55.71,5138144
2023-10-11,56.17,56.33,54.38,54.68,4454722
2023-10-12,54.75,54.75,51.41,51.85,7323145
2023-10-13,52.50,52.56,50.00,50.78,6462484
2023-10-16,51.04,52.35,51.04,52.09,3316789
2023-10-17,51.00,52.76,50.65,52.29,2549709
2023-10-18,52.28,52.70,51.27,51.90,2268871
2023-10-19,52.00,52.70,49.53,49.74,4553360
2023-10-20,49.74,49.74,46.50,47.87,8089129
2023-10-23,47.22,51.88,46.50,50.21,9979286
2023-10-24,52.00,52.89,51.05,52.37,7211721
2023-10-25,52.70,52.79,49.31,49.44,4518810
2023-10-26,50.06,51.11,49.50,50.17,3555300
2023-10-27,51.26,51.33,48.81,49.09,2611336
2023-10-30,49.51,49.90,47.28,47.90,3677661
2023-10-31,47.90,49.66,47.12,49.29,3248684
2023-11-01,49.61,50.52,48.30,50.52,3066410
2023-11-02,51.40,53.56,51.30,52.82,4752687
2023-11-03,52.82,53.86,52.25,53.49,2545035
2023-11-06,53.98,54.46,52.52,53.10,2328270
2023-11-07,53.45,56.10,53.26,55.27,4534176
2023-11-08,55.27,55.56,53.39,54.40,6128231
2023-11-09,51.00,52.05,49.82,51.58,15354470
2023-11-10,52.00,52.50,51.01,52.27,5803942
2023-11-13,52.20,52.50,50.57,51.69,4524968
2023-11-14,53.00,53.50,52.28,53.43,3541284
2023-11-15,54.40,56.03,54.08,55.43,5821817
2023-11-16,55.51,55.68,53.47,54.23,3291412
2023-11-17,55.11,55.74,54.26,54.99,3443898
2023-11-20,55.35,59.24,55.27,58.68,7808006
