date,open,high,low,close,volume
2021-01-04,166.83,166.91,162.93,164.40,70939
2021-01-05,164.90,167.01,164.09,166.90,27215
2021-01-06,168.35,180.70,168.35,178.87,57847
2021-01-07,178.96,181.95,172.37,172.82,50795
2021-01-08,175.00,175.63,171.54,173.71,52397
2021-01-11,172.93,172.93,170.87,171.99,30154
2021-01-12,171.63,173.61,167.04,168.41,60433
2021-01-13,168.41,169.63,166.46,167.55,50028
2021-01-14,168.82,169.41,166.67,168.61,54777
2021-01-15,167.79,167.79,163.01,163.85,43250
2021-01-19,165.09,167.79,164.44,165.81,29928
2021-01-20,165.45,165.94,162.13,162.82,30447
2021-01-21,165.75,165.75,160.33,162.19,18316
2021-01-22,160.14,161.12,156.18,160.93,43561
2021-01-25,159.39,161.01,155.38,159.92,39716
2021-01-26,161.93,166.08,159.92,164.35,69021
2021-01-27,161.87,164.03,157.24,162.69,75909
2021-01-28,164.20,164.81,157.92,161.77,41617
2021-01-29,160.18,160.18,155.94,156.71,74148
2021-02-01,158.61,165.58,157.83,165.34,54296
2021-02-02,165.39,168.60,164.11,167.03,49335
2021-02-03,167.02,167.40,163.73,164.87,70300
2021-02-04,166.18,167.00,163.49,165.10,42337
2021-02-05,163.28,171.06,161.53,171.02,80455
2021-02-08,170.75,175.17,170.75,174.35,133438
2021-02-09,175.70,176.75,172.45,172.45,122504
2021-02-10,173.00,173.00,170.09,171.88,67470
2021-02-11,172.35,173.89,167.59,169.59,44758
2021-02-12,167.89,170.64,167.41,170.31,33088
2021-02-16,171.96,173.50,171.22,172.80,29127
2021-02-17,171.33,179.73,171.23,179.17,48844
2021-02-18,177.05,178.68,172.00,173.71,48397
2021-02-19,173.26,175.05,172.97,173.14,31584
2021-02-22,171.99,173.71,169.84,169.84,36264
2021-02-23,170.70,180.83,168.97,179.46,55223
2021-02-24,178.84,186.96,178.84,185.64,63719
2021-02-25,189.16,189.16,182.21,185.20,105681
2021-02-26,186.30,188.10,183.37,186.15,42064
2021-03-01,190.16,190.25,184.55,185.06,52952
2021-03-02,183.65,188.12,182.34,187.00,51449
2021-03-03,186.05,186.05,182.00,183.30,75134
2021-03-04,182.86,185.38,174.20,175.07,41645
2021-03-05,176.86,178.15,169.51,171.30,73573
2021-03-08,170.63,170.63,165.32,165.91,124586
2021-03-09,167.92,172.89,165.75,167.15,59798
2021-03-10,166.63,169.59,165.78,168.83,46840
2021-03-11,169.90,173.44,168.88,171.55,48367
2021-03-12,171.12,176.78,170.56,176.51,76682
2021-03-15,175.60,181.24,175.44,179.81,32234
2021-03-16,178.12,182.33,178.12,181.92,52721
2021-03-17,182.07,189.60,182.07,187.49,56196
2021-03-18,187.72,193.85,187.72,191.10,72712
2021-03-19,188.76,190.00,175.79,178.55,171726
2021-03-22,178.58,180.14,177.55,179.24,45202
2021-03-23,179.44,179.44,170.83,171.52,33940
2021-03-24,172.67,174.33,169.93,170.45,40084
2021-03-25,170.21,170.21,164.11,166.54,50865
2021-03-26,168.58,170.30,164.71,169.94,72232
2021-03-29,167.65,174.00,166.17,172.16,74296
2021-03-30,173.35,174.12,169.45,173.72,44938
2021-03-31,175.08,178.34,172.40,177.79,119085
2021-04-01,179.39,182.82,178.21,180.93,61989
2021-04-05,180.65,183.91,178.26,182.16,43204
2021-04-06,184.98,184.98,182.64,183.42,40496
2021-04-07,182.05,186.47,182.05,184.97,54601
2021-04-08,185.11,190.74,184.75,188.40,62010
2021-04-09,189.24,189.24,181.13,184.29,50513
2021-04-12,180.66,180.86,175.21,176.67,39245
2021-04-13,176.55,182.65,175.76,181.88,47603
2021-04-14,180.06,184.73,180.06,181.61,27408
2021-04-15,181.02,183.00,179.96,180.05,28593
2021-04-16,178.80,181.56,177.96,180.32,24969
2021-04-19,181.14,181.27,176.60,177.08,25980
2021-04-20,175.55,175.65,172.13,173.76,55577
2021-04-21,172.74,179.80,172.74,178.01,41394
2021-04-22,179.56,180.07,178.37,178.49,33764
2021-04-23,177.38,180.18,175.72,178.66,44647
2021-04-26,177.70,177.70,172.34,173.79,17467
2021-04-27,173.21,174.98,171.89,173.35,22267
2021-04-28,174.26,174.28,171.25,173.25,23602
2021-04-29,174.85,175.78,169.25,170.68,34261
2021-04-30,171.45,171.92,168.69,170.10,31657
2021-05-03,170.05,173.85,170.05,173.43,12529
2021-05-04,172.37,177.06,171.95,175.14,25685
2021-05-05,175.14,177.10,175.00,176.55,9898
2021-05-06,177.92,178.92,176.02,178.50,22256
2021-05-07,180.31,181.60,178.44,180.88,22901
2021-05-10,180.99,187.44,180.41,185.59,24896
2021-05-11,184.08,185.18,180.04,183.34,43631
2021-05-12,183.41,184.04,178.29,179.28,26663
2021-05-13,176.14,182.43,176.14,180.11,20431
2021-05-14,182.46,187.77,182.46,187.44,13419
2021-05-17,187.21,188.07,184.41,186.43,20300
2021-05-18,187.60,187.60,183.50,184.26,11913
2021-05-19,183.68,183.78,179.50,183.64,16356
2021-05-20,184.54,186.94,182.25,185.41,40062
2021-05-21,186.91,186.91,184.69,185.29,22656
2021-05-24,187.22,187.22,183.27,186.39,16550
2021-05-25,187.90,188.10,177.74,177.88,28616
2021-05-26,179.84,182.05,176.94,180.47,17697
2021-05-27,181.89,182.99,174.93,175.48,62700
2021-05-28,177.91,177.91,169.70,176.63,93815
2021-06-01,178.82,182.59,177.31,181.20,37374
2021-06-02,182.58,182.58,178.37,180.30,39756
2021-06-03,177.92,177.92,172.01,174.37,79484
2021-06-04,173.97,176.12,171.81,175.04,54342
2021-06-07,174.47,181.34,174.47,176.29,78012
2021-06-08,177.03,177.26,173.70,175.56,83760
2021-06-09,177.14,184.24,176.99,182.36,89306
2021-06-10,182.87,188.92,180.04,186.80,58591
2021-06-11,187.30,192.20,186.40,191.84,380284
2021-06-14,190.24,193.26,187.55,189.00,27574
2021-06-15,191.75,191.75,187.09,190.42,29091
2021-06-16,189.85,192.17,184.99,186.31,38428
2021-06-17,184.87,188.00,181.63,184.20,32871
2021-06-18,184.13,184.13,180.08,181.69,41721
2021-06-21,183.14,186.15,181.45,185.14,36573
2021-06-22,184.38,184.38,175.41,177.95,63968
2021-06-23,179.57,185.45,179.57,182.60,82383
2021-06-24,184.64,189.80,184.10,188.86,52340
2021-06-25,188.85,190.60,187.81,190.37,31279
2021-06-28,190.70,190.70,185.72,186.15,28774
2021-06-29,184.66,186.51,183.41,184.02,25410
2021-06-30,185.02,185.79,181.82,184.90,22835
2021-07-01,184.81,185.37,182.64,185.15,17881
2021-07-02,186.49,188.96,185.67,187.80,21289
2021-07-06,188.29,188.29,182.72,184.71,13589
2021-07-07,185.12,189.61,184.82,189.37,22953
2021-07-08,186.11,189.06,186.11,187.15,23328
2021-07-09,188.99,189.61,187.22,188.72,20771
2021-07-12,186.72,188.95,185.26,186.25,19782
2021-07-13,187.14,187.14,179.82,180.66,21811
2021-07-14,180.00,182.98,177.84,182.82,20729
2021-07-15,181.40,183.09,179.80,180.95,37758
2021-07-16,181.69,183.35,179.71,182.51,15362
2021-07-19,179.23,180.70,173.68,175.40,39022
2021-07-20,176.36,178.61,175.96,177.00,24821
2021-07-21,176.72,179.45,173.80,178.66,29816
2021-07-22,180.00,180.38,176.34,178.59,12706
2021-07-23,179.42,183.98,179.27,179.90,30720
2021-07-26,180.67,181.82,178.77,180.80,29472
2021-07-27,180.29,180.29,175.32,177.18,29624
2021-07-28,179.17,182.77,179.17,181.48,42054
2021-07-29,179.70,183.47,179.70,182.80,25384
2021-07-30,182.97,182.97,180.21,181.22,26578
2021-08-02,182.71,182.94,180.72,181.72,21322
2021-08-03,182.28,182.28,180.47,180.72,10711
2021-08-04,179.12,179.60,177.72,177.91,14983
2021-08-05,177.38,179.18,177.38,178.94,15019
2021-08-06,180.40,180.40,177.19,177.95,9460
2021-08-09,176.38,176.72,173.95,175.23,10546
2021-08-10,175.20,177.82,174.39,177.82,13381
2021-08-11,178.00,179.75,175.86,176.86,14002
2021-08-12,177.63,177.63,175.01,175.28,17155
2021-08-13,175.82,176.34,174.45,176.17,19139
2021-08-16,173.79,177.34,173.36,175.27,20221
2021-08-17,174.94,174.94,169.89,171.17,21366
2021-08-18,170.86,172.38,170.83,171.53,9937
2021-08-19,168.58,170.46,165.78,170.44,33803
2021-08-20,169.18,169.61,166.75,167.93,14734
2021-08-23,167.04,172.19,165.48,171.61,14198
2021-08-24,172.50,178.35,172.50,177.31,30773
2021-08-25,176.37,178.20,175.25,176.92,14333
2021-08-26,173.06,175.57,173.06,175.55,8534
2021-08-27,174.33,178.99,174.33,178.52,16396
2021-08-30,179.89,180.03,178.24,179.34,6855
2021-08-31,179.12,180.93,176.89,178.78,18302
2021-09-01,180.99,183.75,178.51,182.47,27772
2021-09-02,182.21,186.48,182.21,182.93,25956
2021-09-03,184.78,184.78,182.81,183.45,7499
2021-09-07,182.09,189.18,182.09,188.61,17579
2021-09-08,189.10,189.10,185.46,186.29,20748
2021-09-09,187.30,187.30,181.61,182.58,28703
2021-09-10,182.51,184.12,182.47,183.72,30022
2021-09-13,182.07,183.68,180.00,180.91,43536
2021-09-14,180.35,183.66,179.40,180.98,33484
2021-09-15,180.33,181.16,179.81,181.10,19939
2021-09-16,181.17,181.74,177.43,180.50,19382
2021-09-17,181.38,185.68,179.98,185.16,31547
2021-09-20,181.54,183.00,176.77,176.77,22999
2021-09-21,178.50,182.50,177.78,179.15,8507
2021-09-22,181.24,183.44,180.76,181.78,10131
2021-09-23,183.82,188.01,182.55,186.76,23145
2021-09-24,186.87,191.06,186.87,189.84,14427
