date,open,high,low,close,volume
2021-01-04,17.19,17.44,15.97,15.98,1944918
2021-01-05,16.05,17.33,16.05,17.23,1453995
2021-01-06,17.87,18.69,17.46,18.68,2651526
2021-01-07,18.94,19.20,18.51,18.67,1777813
2021-01-08,18.71,18.85,18.24,18.71,1404305
2021-01-11,18.08,18.61,17.93,18.41,1253704
2021-01-12,18.50,19.00,18.36,18.77,1242467
2021-01-13,18.72,18.83,18.08,18.26,923217
2021-01-14,18.64,18.88,18.35,18.59,987255
2021-01-15,18.22,18.54,18.06,18.45,1436939
2021-01-19,18.68,18.97,18.43,18.51,1366577
2021-01-20,18.53,18.92,18.17,18.51,2952596
2021-01-21,18.34,18.50,17.68,17.96,1484962
2021-01-22,17.57,18.17,17.21,18.12,964535
2021-01-25,18.09,18.39,17.72,18.34,936403
2021-01-26,18.70,18.85,17.78,18.01,2679146
2021-01-27,17.33,18.75,17.17,18.20,1941656
2021-01-28,18.70,19.28,17.66,18.25,2722136
2021-01-29,18.38,18.53,16.87,17.01,1848798
2021-02-01,17.32,17.77,17.05,17.72,1245931
2021-02-02,18.09,18.51,17.79,18.22,1286687
2021-02-03,18.02,18.27,17.72,18.13,856131
2021-02-04,18.27,18.73,18.11,18.46,744705
2021-02-05,18.65,18.81,18.28,18.35,965169
2021-02-08,18.64,19.03,18.64,19.01,982429
2021-02-09,18.80,19.00,18.08,18.55,1059860
2021-02-10,18.80,18.96,18.50,18.60,742309
2021-02-11,18.71,19.01,18.20,18.89,1133031
2021-02-12,18.53,18.81,18.30,18.69,972226
2021-02-16,19.09,19.21,18.79,19.06,2063874
2021-02-17,18.98,19.13,18.43,18.68,1436556
2021-02-18,18.64,18.79,18.09,18.41,1129266
2021-02-19,18.62,19.73,18.49,19.38,2051313
2021-02-22,19.21,20.56,19.21,20.46,1989776
2021-02-23,20.08,20.87,19.88,20.69,1387731
2021-02-24,20.86,21.78,20.79,21.64,1251144
2021-02-25,21.80,22.05,20.47,20.57,1294980
2021-02-26,20.39,20.70,19.43,19.66,1348520
2021-03-01,20.36,21.13,20.25,20.83,1103954
2021-03-02,20.80,21.03,20.05,20.19,1069838
2021-03-03,20.31,21.43,20.29,21.01,1609804
2021-03-04,20.75,20.87,19.13,19.76,2201280
2021-03-05,20.34,20.75,19.31,20.26,1172962
2021-03-08,20.18,21.00,19.91,20.87,1105786
2021-03-09,20.75,21.44,19.99,21.19,1256631
2021-03-10,21.16,21.98,21.15,21.75,1154155
2021-03-11,22.00,22.58,21.74,21.95,1693161
2021-03-12,21.91,22.43,21.37,22.23,959571
2021-03-15,21.92,22.10,21.07,21.42,1325027
2021-03-16,22.53,22.87,21.33,21.34,1507771
2021-03-17,21.10,22.05,20.87,22.02,2221273
2021-03-18,22.12,22.72,21.35,21.46,1200824
2021-03-19,21.49,21.90,20.29,21.37,2575354
2021-03-22,21.43,21.65,20.56,20.93,1178162
2021-03-23,20.28,20.78,20.00,20.16,1890591
2021-03-24,20.65,21.22,19.93,19.95,1030024
2021-03-25,19.75,21.11,19.53,20.98,1410366
2021-03-26,21.24,22.29,21.03,22.23,1655198
2021-03-29,22.00,22.21,20.61,20.64,1492726
2021-03-30,20.59,21.44,20.45,21.29,1229994
2021-03-31,21.51,21.80,20.81,21.06,1470391
2021-04-01,21.20,22.00,20.86,22.00,994175
2021-04-05,22.46,22.92,21.99,22.47,1954807
2021-04-06,22.57,22.86,21.97,22.34,858160
2021-04-07,22.46,22.82,22.10,22.40,828085
2021-04-08,22.33,22.66,21.70,22.20,2043118
2021-04-09,22.07,22.22,21.77,22.09,759254
2021-04-12,22.04,22.06,21.55,21.97,869422
2021-04-13,22.08,22.16,21.18,21.61,832611
2021-04-14,21.85,22.60,21.82,22.11,675540
2021-04-15,22.41,22.41,21.62,22.17,1141201
2021-04-16,22.59,22.59,21.92,22.05,800176
2021-04-19,21.78,22.33,21.65,22.14,980200
2021-04-20,22.13,22.16,21.17,21.50,1303614
2021-04-21,21.25,22.70,21.14,22.63,1092283
