date,open,high,low,close,volume
2021-05-06,12.95,16.00,9.90,12.95,0
2021-05-07,12.95,12.95,12.95,12.95,0
2021-05-10,10.00,10.00,9.91,10.00,1687
2021-05-11,10.00,10.02,9.91,9.91,600257
2021-05-12,9.90,9.97,9.90,9.93,19922
2021-05-13,9.90,9.94,9.90,9.90,18359
2021-05-14,9.90,9.93,9.87,9.89,22929
2021-05-17,9.87,9.90,9.81,9.85,249631
2021-05-18,9.85,9.88,9.81,9.81,60125
2021-05-19,9.90,9.91,9.78,9.83,390684
2021-05-20,9.90,9.90,9.84,9.85,33999
2021-05-21,9.84,9.89,9.81,9.83,51369
2021-05-24,9.81,9.88,9.81,9.83,25325
2021-05-25,9.83,9.92,9.83,9.83,5499
2021-05-26,9.93,9.93,9.76,9.78,20052
2021-05-27,9.78,9.80,9.77,9.80,40700
2021-05-28,9.75,9.82,9.75,9.79,11811
2021-06-01,9.91,9.93,9.78,9.79,22497
2021-06-02,9.79,9.90,9.79,9.81,1363396
2021-06-03,9.83,9.85,9.79,9.81,2718428
2021-06-04,9.79,10.07,9.79,9.88,802317
2021-06-07,10.05,10.07,9.90,9.97,1400185
2021-06-08,10.00,10.00,9.97,9.99,547445
2021-06-09,10.10,10.10,9.80,9.90,860157
2021-06-10,9.95,9.99,9.92,9.92,457769
2021-06-11,9.99,9.99,9.95,9.97,75647
2021-06-14,10.00,10.06,9.98,10.00,304002
2021-06-15,10.02,10.05,9.99,10.00,255750
2021-06-16,10.02,10.02,9.99,9.99,257008
2021-06-17,10.00,10.03,10.00,10.01,228147
2021-06-18,10.05,10.05,10.00,10.01,186880
2021-06-21,10.05,10.05,9.96,9.97,77404
2021-06-22,9.98,10.03,9.97,10.01,234459
2021-06-23,10.04,10.04,9.96,10.00,159100
2021-06-24,9.99,10.03,9.95,9.96,64611
2021-06-25,9.95,9.97,9.91,9.93,70869
2021-06-28,9.93,9.95,9.89,9.92,43524
2021-06-29,9.89,9.94,9.85,9.89,80630
2021-06-30,9.89,9.95,9.85,9.89,54682
2021-07-01,9.87,9.90,9.85,9.89,42327
2021-07-02,9.89,9.89,9.80,9.85,67871
2021-07-06,9.88,9.88,9.80,9.81,110090
2021-07-07,9.82,9.87,9.79,9.80,277634
2021-07-08,9.81,9.90,9.75,9.86,285730
2021-07-09,9.84,9.91,9.82,9.85,65878
2021-07-12,9.90,9.93,9.82,9.85,35083
2021-07-13,9.85,9.88,9.80,9.85,25220
2021-07-14,9.88,9.92,9.84,9.85,47035
2021-07-15,9.98,10.16,9.93,10.00,21291090
2021-07-16,10.05,10.05,9.93,9.98,5248441
2021-07-19,9.98,9.98,9.87,9.97,5000055
2021-07-20,9.97,9.98,9.94,9.96,871727
2021-07-21,9.98,10.00,9.93,9.93,1570089
2021-07-22,9.97,9.98,9.90,9.94,1166314
2021-07-23,9.96,9.97,9.90,9.96,1680103
2021-07-26,9.95,9.98,9.91,9.93,647728
2021-07-27,9.92,9.95,9.88,9.90,362366
2021-07-28,9.93,9.94,9.88,9.91,229079
2021-07-29,9.95,9.95,9.88,9.88,212000
2021-07-30,9.86,9.91,9.86,9.91,400060
2021-08-02,9.94,9.94,9.84,9.84,380145
2021-08-03,9.85,9.87,9.82,9.83,256235
2021-08-04,9.82,9.87,9.82,9.84,165801
2021-08-05,9.82,9.88,9.82,9.84,273677
2021-08-06,9.88,9.90,9.82,9.83,187780
2021-08-09,9.84,9.90,9.82,9.84,520961
2021-08-10,9.86,9.86,9.83,9.83,206237
2021-08-11,9.86,9.86,9.82,9.84,276108
2021-08-12,9.83,9.85,9.82,9.84,197756
2021-08-13,9.85,9.85,9.82,9.84,1170894
2021-08-16,9.85,9.85,9.82,9.83,299784
2021-08-17,9.83,9.85,9.83,9.84,303463
2021-08-18,9.81,9.86,9.81,9.85,213213
2021-08-19,9.84,9.86,9.83,9.85,211258
2021-08-20,9.83,9.86,9.83,9.84,1160243
2021-08-23,9.88,9.88,9.82,9.85,280709
2021-08-24,9.85,9.86,9.83,9.85,182272
2021-08-25,9.85,9.86,9.84,9.86,1233543
2021-08-26,9.85,9.86,9.85,9.86,956868
2021-08-27,9.86,9.90,9.84,9.89,392624
2021-08-30,9.90,9.90,9.85,9.86,132137
2021-08-31,9.85,9.91,9.84,9.85,647288
2021-09-01,9.86,9.91,9.85,9.89,176671
2021-09-02,9.90,9.90,9.88,9.90,78543
2021-09-03,9.89,9.93,9.88,9.91,573442
2021-09-07,9.93,9.93,9.88,9.90,120856
2021-09-08,9.90,9.90,9.88,9.89,25047
2021-09-09,9.89,9.91,9.88,9.91,41117
2021-09-10,9.92,9.92,9.90,9.91,1375944
2021-09-13,9.90,9.91,9.89,9.91,318928
2021-09-14,9.91,9.92,9.90,9.90,61898
2021-09-15,9.90,9.92,9.90,9.91,82085
2021-09-16,9.90,9.92,9.90,9.92,46085
