date,open,high,low,close,volume
2016-09-15,16.93,17.30,16.82,17.27,36322150
2016-09-16,17.24,17.30,16.98,17.12,83061380
2016-09-19,17.16,17.36,16.94,17.07,28305010
2016-09-20,17.22,17.22,16.82,16.82,18727280
2016-09-21,16.84,17.00,16.76,16.98,17972700
2016-09-22,17.10,17.12,16.81,16.88,20587530
2016-09-23,16.87,16.90,16.55,16.66,26872540
2016-09-26,16.51,16.72,16.28,16.67,32033820
2016-09-27,16.69,17.09,16.60,17.09,25336980
2016-09-28,17.18,17.27,16.98,17.07,20822730
2016-09-29,17.00,17.40,16.95,17.25,38570150
2016-09-30,17.30,17.46,17.24,17.25,34219310
2016-10-03,17.30,17.39,16.97,17.01,22806960
2016-10-04,17.06,17.09,16.81,16.91,19578880
2016-10-05,17.15,17.41,17.07,17.35,26145630
2016-10-06,17.33,17.46,17.13,17.42,20988850
2016-10-07,17.49,17.50,17.24,17.42,21843720
2016-10-10,17.47,17.59,17.38,17.48,16336420
2016-10-11,17.53,17.55,16.95,17.12,26150010
2016-10-12,17.07,17.11,16.84,17.05,21740390
2016-10-13,16.88,16.99,16.68,16.89,22374710
2016-10-14,17.00,17.26,16.93,17.01,19570390
2016-10-17,16.97,17.09,16.87,16.89,12741370
2016-10-18,17.07,17.29,17.05,17.22,14130370
2016-10-19,17.12,17.23,17.01,17.19,20440600
2016-10-20,17.17,17.46,17.10,17.34,18958410
2016-10-21,17.23,17.34,17.07,17.29,15777590
2016-10-24,17.42,17.70,17.36,17.66,19692840
2016-10-25,17.60,17.65,17.35,17.36,21569940
2016-10-26,17.21,17.48,17.11,17.30,21074690
2016-10-27,17.43,17.52,17.18,17.22,19832750
2016-10-28,17.25,17.29,16.90,16.93,19404470
2016-10-31,17.00,17.17,16.87,17.03,20316840
2016-11-01,17.07,17.16,16.58,16.88,28452590
2016-11-02,17.29,17.41,16.98,17.26,43491350
2016-11-03,17.25,17.53,17.21,17.30,20658180
2016-11-04,17.04,17.45,17.02,17.22,21753290
2016-11-07,17.44,17.79,17.41,17.70,26061210
2016-11-08,17.71,17.80,17.51,17.70,18923320
2016-11-09,17.15,17.65,17.12,17.34,32506220
2016-11-10,17.37,17.45,16.33,16.79,51215880
2016-11-11,16.73,17.00,16.57,16.75,29796720
2016-11-14,16.65,16.78,16.30,16.38,28188160
2016-11-15,16.48,16.75,16.36,16.64,25377460
2016-11-16,16.63,16.82,16.57,16.78,13328190
2016-11-17,16.73,16.90,16.60,16.70,18082500
2016-11-18,16.68,16.92,16.68,16.82,19524170
2016-11-21,16.91,17.28,16.91,17.26,21382130
2016-11-22,17.37,17.74,17.33,17.70,31023570
2016-11-23,17.64,17.78,17.52,17.71,22123110
2016-11-25,17.68,17.70,17.56,17.68,8198220
2016-11-28,17.61,17.71,17.45,17.46,26400770
2016-11-29,17.39,17.70,17.34,17.55,18513610
2016-11-30,17.51,17.59,17.04,17.05,31246390
2016-12-01,17.00,17.05,16.12,16.28,46381110
2016-12-02,16.36,16.49,16.06,16.42,26944500
2016-12-05,16.60,16.66,16.24,16.61,21362600
2016-12-06,16.68,16.80,16.34,16.48,39176510
2016-12-07,16.48,16.86,16.37,16.86,32618020
2016-12-08,16.95,17.14,16.75,17.07,37876600
2016-12-09,18.09,18.19,17.69,17.91,75733600
2016-12-12,17.80,18.08,17.66,17.82,36952210
2016-12-13,17.87,18.19,17.80,17.94,68792850
2016-12-14,17.88,17.92,17.62,17.76,46786270
2016-12-15,17.83,18.12,17.66,18.00,38104940
2016-12-16,18.07,18.11,17.75,17.84,41541010
2016-12-19,17.91,18.14,17.81,18.05,22219390
2016-12-20,18.10,18.33,18.01,18.21,27304280
2016-12-21,18.37,18.40,18.18,18.23,21004390
2016-12-22,18.29,18.30,17.94,18.06,17559990
2016-12-23,18.00,18.20,17.97,18.19,8976500
2016-12-27,18.21,18.37,18.20,18.23,8283110
2016-12-28,18.26,18.30,17.98,18.02,13881620
2016-12-29,17.97,18.07,17.86,17.99,13670930
2016-12-30,18.04,18.09,17.60,17.68,25423800
2017-01-03,17.83,18.09,17.65,17.83,32098460
2017-01-04,17.83,17.90,17.67,17.71,23964060
2017-01-05,17.63,17.70,17.39,17.43,24853370
2017-01-06,17.42,17.69,17.33,17.66,23142040
2017-01-09,17.66,17.83,17.66,17.70,20265850
2017-01-10,17.75,18.07,17.69,18.06,30182750
2017-01-11,18.00,18.05,17.78,17.94,18747980
2017-01-12,17.81,17.91,17.54,17.89,23109780
2017-01-13,17.89,18.08,17.84,18.05,20906970
2017-01-17,17.95,17.96,17.76,17.91,26316040
2017-01-18,18.04,18.51,18.00,18.50,35640020
2017-01-19,18.51,18.69,18.47,18.56,45644840
2017-01-20,18.86,19.15,18.81,19.11,57623300
2017-01-23,19.10,19.15,18.84,19.10,33393860
2017-01-24,19.27,19.96,19.23,19.77,59937800
2017-01-25,19.99,20.26,19.80,20.25,60898790
2017-01-26,20.44,20.53,20.11,20.42,38826780
2017-01-27,20.54,20.58,20.35,20.57,25785480
2017-01-30,20.45,20.49,20.06,20.32,33199770
2017-01-31,20.25,20.25,19.89,19.95,26735270
2017-02-01,20.23,20.45,20.02,20.37,31183170
2017-02-02,20.20,20.50,20.10,20.41,22709840
2017-02-03,20.50,20.66,20.30,20.62,24367980
2017-02-06,20.61,20.67,20.43,20.66,18715030
2017-02-07,20.72,20.74,20.49,20.59,22834900
2017-02-08,20.60,20.88,20.52,20.69,21061770
2017-02-09,20.73,20.77,20.36,20.53,27519200
2017-02-10,20.60,20.65,20.39,20.55,23842040
2017-02-13,20.68,20.71,20.52,20.67,12461910
2017-02-14,20.70,20.70,20.48,20.53,17357800
2017-02-15,20.58,20.69,20.48,20.60,17087660
