date,open,high,low,close,volume
2021-01-04,28.30,28.38,27.05,27.31,3457785
2021-01-05,27.25,27.83,27.04,27.54,3944428
2021-01-06,27.14,28.36,27.07,28.22,3564434
2021-01-07,28.63,29.46,28.61,29.24,9565660
2021-01-08,29.33,29.66,28.49,29.01,6177885
2021-01-11,29.21,30.58,29.10,30.49,9153668
2021-01-12,30.58,30.73,29.94,29.95,8203911
2021-01-13,30.01,30.03,29.20,29.20,5898701
2021-01-14,29.19,29.41,28.62,28.71,4145607
2021-01-15,28.70,28.96,27.94,28.95,5751198
2021-01-19,29.73,30.00,29.20,29.69,4306377
2021-01-20,29.87,30.61,29.86,30.47,2999609
2021-01-21,30.41,30.70,30.16,30.45,3039034
2021-01-22,30.20,30.69,30.03,30.52,2770379
2021-01-25,30.60,30.99,30.23,30.69,6884148
2021-01-26,30.75,30.84,29.74,29.92,5270464
2021-01-27,29.35,29.43,27.95,28.17,5472997
2021-01-28,28.60,29.94,28.51,29.54,5483316
2021-01-29,29.45,30.24,29.11,29.49,4557188
2021-02-01,29.91,30.02,29.32,29.50,3699614
2021-02-02,29.98,30.63,29.88,30.31,4076707
2021-02-03,30.32,30.45,29.71,29.71,5156688
2021-02-04,30.08,30.53,29.09,29.65,6786327
2021-02-05,29.63,30.34,29.51,29.86,2731805
2021-02-08,29.98,30.37,29.70,29.74,2216768
2021-02-09,29.58,29.98,29.43,29.68,3555394
2021-02-10,29.68,30.66,29.67,30.47,5523894
2021-02-11,30.69,30.71,29.98,30.24,3207862
2021-02-12,30.04,30.70,29.99,30.67,1794089
2021-02-16,30.70,31.05,29.47,29.80,6509221
2021-02-17,29.64,30.00,29.29,29.63,3033097
2021-02-18,29.36,29.43,28.46,28.75,6957769
2021-02-19,28.82,28.94,28.64,28.69,2969285
2021-02-22,28.28,28.84,27.94,28.01,4409649
2021-02-23,27.62,28.35,27.18,28.00,7863739
2021-02-24,27.93,28.27,27.75,27.94,6820802
2021-02-25,28.01,28.06,27.28,27.64,3220867
2021-02-26,27.88,28.11,27.39,27.87,4535185
2021-03-01,28.24,28.75,28.20,28.47,4380744
2021-03-02,28.66,29.07,28.61,28.74,5067763
2021-03-03,29.05,29.05,27.56,27.59,3880166
2021-03-04,27.31,27.69,26.32,26.88,5278580
2021-03-05,27.16,27.38,26.14,27.32,5709143
2021-03-08,27.27,27.95,26.80,26.83,4445184
2021-03-09,27.36,28.34,27.29,28.07,2882710
2021-03-10,28.28,28.62,27.57,27.60,6029804
2021-03-11,28.04,28.33,27.67,28.15,9136533
2021-03-12,27.93,28.38,27.48,28.34,3398726
2021-03-15,28.35,29.08,28.31,29.08,3072381
2021-03-16,29.17,29.25,27.72,27.96,3383083
2021-03-17,27.70,28.00,27.45,27.85,3168919
2021-03-18,27.84,28.66,27.59,28.15,3533415
2021-03-19,28.30,28.92,28.13,28.70,8105334
2021-03-22,28.50,29.45,28.49,29.19,2784595
2021-03-23,29.10,29.38,28.33,28.51,2604863
2021-03-24,28.40,28.51,27.80,27.98,2533540
2021-03-25,27.81,27.95,27.18,27.84,3313215
2021-03-26,28.11,28.58,28.02,28.57,1303595
2021-03-29,28.35,28.56,27.80,28.09,2153514
2021-03-30,27.91,28.57,27.86,28.45,5420335
2021-03-31,28.73,29.37,28.59,28.93,3566607
2021-04-01,29.24,29.51,29.01,29.45,2365384
2021-04-05,29.71,30.29,29.45,30.24,2291452
2021-04-06,30.50,31.43,30.32,31.18,7077623
2021-04-07,31.00,31.16,30.71,30.90,2715434
2021-04-08,31.24,31.86,31.12,31.52,4258672
2021-04-09,31.59,31.73,31.46,31.73,2664406
2021-04-12,31.75,33.28,31.62,32.97,7158294
2021-04-13,33.19,33.30,32.26,32.97,5931917
