date,open,high,low,close,volume
2016-09-15,17.15,18.20,17.00,17.65,25959920
2016-09-16,17.47,17.79,17.06,17.34,22722430
2016-09-19,17.59,17.65,17.15,17.19,8790925
2016-09-20,17.25,17.44,17.09,17.20,8649517
2016-09-21,17.48,18.80,17.43,18.69,27342070
2016-09-22,18.92,19.19,18.30,18.53,18681710
2016-09-23,18.52,18.54,18.02,18.11,10671440
2016-09-26,18.20,18.42,17.90,17.92,10404350
2016-09-27,17.73,17.83,17.37,17.60,11540740
2016-09-28,17.61,18.19,17.29,18.02,11929000
2016-09-29,17.90,18.14,17.65,17.94,9710272
2016-09-30,18.32,18.39,17.68,17.72,11200230
2016-10-03,17.70,17.87,17.25,17.39,10305210
2016-10-04,16.75,16.77,15.39,15.45,37033050
2016-10-05,15.80,16.03,15.53,15.98,17962890
2016-10-06,15.54,15.79,15.30,15.64,18012200
2016-10-07,16.10,16.16,15.31,15.73,22003840
2016-10-10,15.92,15.97,15.51,15.58,12963310
2016-10-11,15.63,15.89,15.42,15.52,14359270
2016-10-12,15.61,16.05,15.47,15.83,16397010
2016-10-13,16.01,16.36,15.70,16.00,13261180
2016-10-14,15.80,16.09,15.67,15.69,11524500
2016-10-17,15.73,16.02,15.70,15.90,7445996
2016-10-18,16.26,16.45,16.07,16.37,13586280
2016-10-19,16.70,17.43,16.44,17.29,29576630
2016-10-20,17.32,17.34,16.64,17.04,15875770
2016-10-21,17.02,17.07,16.74,16.92,8516593
2016-10-24,16.99,17.04,16.29,16.53,13481840
2016-10-25,16.68,17.94,16.48,16.89,19976790
2016-10-26,16.85,16.95,16.49,16.65,11460730
2016-10-27,17.10,17.28,16.62,16.85,13323310
2016-10-28,16.81,17.40,16.70,17.08,16942190
2016-10-31,17.17,17.62,17.00,17.59,15420620
2016-11-01,17.99,18.73,17.97,18.41,26239140
2016-11-02,18.67,18.95,17.88,18.14,25081100
2016-11-03,18.00,18.63,17.93,18.33,12348620
2016-11-04,18.30,18.38,18.01,18.27,11741760
2016-11-07,17.56,17.64,17.01,17.35,14292100
2016-11-08,17.36,17.65,16.99,17.15,14301370
2016-11-09,18.30,18.30,16.79,17.25,33884930
2016-11-10,17.10,17.13,15.58,15.77,36087180
2016-11-11,15.79,15.82,14.66,14.84,34910490
2016-11-14,14.56,15.16,13.95,14.64,35813060
2016-11-15,14.78,15.60,14.69,15.58,27084950
2016-11-16,15.55,15.76,15.31,15.60,16725140
2016-11-17,15.65,15.96,15.11,15.36,16121290
2016-11-18,15.18,15.36,14.94,15.29,14552670
2016-11-21,15.55,15.64,15.33,15.39,10200720
2016-11-22,15.47,15.48,14.79,15.35,14758610
2016-11-23,14.65,14.78,14.35,14.63,21367570
2016-11-25,14.76,14.95,14.61,14.76,8003210
2016-11-28,15.09,15.44,14.90,15.40,15130010
2016-11-29,15.08,15.53,15.01,15.44,14883710
2016-11-30,15.20,15.26,14.71,15.02,22891500
2016-12-01,14.95,15.31,14.79,15.02,18417070
2016-12-02,15.24,15.86,15.04,15.66,19255830
2016-12-05,15.35,15.95,15.16,15.71,22993420
2016-12-06,15.68,15.94,15.38,15.49,17459280
2016-12-07,15.67,15.99,15.65,15.79,16783740
2016-12-08,15.75,15.95,15.74,15.92,10802500
2016-12-09,15.84,15.86,15.32,15.45,15554140
2016-12-12,15.58,15.62,15.09,15.31,18394280
2016-12-13,15.23,15.79,15.23,15.74,14777570
2016-12-14,15.90,16.14,14.71,14.73,32172450
2016-12-15,14.25,14.35,13.80,14.00,37316200
2016-12-16,14.22,14.46,13.94,14.28,28359340
2016-12-19,14.26,14.41,14.08,14.24,13823710
2016-12-20,13.99,14.41,13.94,14.34,13240470
2016-12-21,14.25,14.34,14.01,14.16,13505590
2016-12-22,14.12,14.33,14.03,14.12,11043470
2016-12-23,14.18,14.60,14.16,14.55,12428520
2016-12-27,14.71,14.97,14.61,14.86,11182990
2016-12-28,14.80,15.30,14.64,15.28,18016370
2016-12-29,15.60,16.46,15.52,16.39,29852850
2016-12-30,16.44,16.84,15.94,15.98,18792070
2017-01-03,16.00,16.44,15.87,16.39,18579340
2017-01-04,16.56,16.63,16.17,16.40,13704890
2017-01-05,16.78,17.50,16.76,17.37,26853960
2017-01-06,17.02,17.37,16.69,16.93,17817990
2017-01-09,17.28,17.30,16.86,16.97,15592050
2017-01-10,17.03,17.22,16.56,16.80,17280110
2017-01-11,16.76,16.81,16.14,16.68,22504230
2017-01-12,17.05,17.28,16.70,16.89,20999220
2017-01-13,16.76,16.94,16.45,16.87,12424600
2017-01-17,17.60,17.71,17.18,17.24,18814470
2017-01-18,17.19,17.27,16.68,16.82,17099250
2017-01-19,16.64,17.04,16.55,16.92,15548670
2017-01-20,16.97,17.34,16.92,17.11,17604080
2017-01-23,17.40,17.83,17.21,17.82,19882590
2017-01-24,17.79,18.35,17.72,18.13,28874470
2017-01-25,17.76,18.08,17.66,18.06,18382410
2017-01-26,17.58,18.06,17.53,17.87,19269230
2017-01-27,17.85,18.09,17.71,17.79,13214760
2017-01-30,17.91,18.31,17.84,18.01,17190440
