date,open,high,low,close,volume
2016-09-15,127.57,128.46,126.94,127.77,3476444
2016-09-16,127.71,127.71,126.34,126.70,8035453
2016-09-19,127.50,128.30,127.27,127.48,3168096
2016-09-20,127.95,128.50,127.57,127.79,2628759
2016-09-21,128.18,130.63,128.18,130.56,3222071
2016-09-22,131.45,132.48,131.17,131.87,3243776
2016-09-23,131.25,132.29,131.01,131.78,2330280
2016-09-26,131.07,131.58,130.43,130.57,2219881
2016-09-27,130.29,131.74,129.86,131.32,1935927
2016-09-28,131.59,132.36,130.59,132.23,1765142
2016-09-29,131.80,132.78,130.68,131.03,2194719
2016-09-30,132.09,132.63,131.27,131.74,3117139
2016-10-03,131.28,132.72,130.74,132.38,2433549
2016-10-04,132.77,133.23,131.69,132.25,2829188
2016-10-05,132.93,134.90,132.55,134.66,3123091
2016-10-06,134.83,135.00,133.68,134.42,3614719
2016-10-07,133.93,134.66,132.54,133.85,4298936
2016-10-10,134.59,136.87,134.59,135.84,3323693
2016-10-11,134.94,135.69,133.27,133.74,3598352
2016-10-12,133.76,134.28,133.00,133.16,2259946
2016-10-13,132.42,133.93,131.39,133.38,3544188
2016-10-14,134.56,135.25,133.48,133.50,2317425
2016-10-17,133.50,135.38,133.33,134.00,2433047
2016-10-18,135.03,135.74,134.91,135.10,2263510
2016-10-19,135.42,136.95,135.33,136.18,2258687
2016-10-20,135.92,136.75,135.37,135.84,2537537
2016-10-21,134.72,136.19,134.25,135.63,2205770
2016-10-24,136.41,138.88,136.41,137.45,3814094
2016-10-25,137.53,139.42,137.35,139.02,5188095
2016-10-26,138.43,146.19,136.72,145.54,13266030
2016-10-27,145.83,146.23,141.78,143.31,7854308
2016-10-28,143.72,144.00,142.17,143.01,4633862
2016-10-31,143.05,143.35,142.15,142.43,3073183
2016-11-01,142.95,143.90,141.81,142.41,3244187
2016-11-02,142.00,142.87,140.59,140.75,2774119
2016-11-03,140.76,140.90,139.35,140.02,2277503
2016-11-04,139.11,140.85,138.80,139.54,2947947
2016-11-07,141.50,143.10,141.49,143.03,3212041
2016-11-08,141.92,143.31,141.29,142.20,2819002
2016-11-09,141.60,145.85,141.54,145.09,5480038
2016-11-10,146.51,149.34,146.39,147.69,6497353
2016-11-11,147.12,148.60,146.56,148.52,3585161
2016-11-14,148.21,150.09,148.21,149.99,4470393
2016-11-15,148.44,149.45,147.19,148.11,3850709
2016-11-16,147.30,148.41,146.14,146.44,3553477
2016-11-17,146.83,147.12,145.00,145.33,3650989
2016-11-18,145.18,146.60,144.46,146.35,2208242
2016-11-21,147.21,148.49,146.52,147.02,2822038
2016-11-22,147.90,149.76,147.88,149.52,3770002
2016-11-23,149.61,150.81,149.03,149.74,3070099
2016-11-25,150.00,150.15,149.03,150.04,962387
2016-11-28,149.00,150.09,148.31,149.77,4723995
2016-11-29,149.83,152.11,149.11,151.64,3944717
2016-11-30,151.59,153.08,150.56,150.56,3990972
2016-12-01,150.74,152.69,150.39,152.39,2843768
2016-12-02,152.45,152.49,151.12,152.25,2105269
2016-12-05,153.24,153.75,151.85,152.16,2855910
2016-12-06,150.84,152.64,150.02,152.24,3471149
2016-12-07,151.67,154.31,151.07,154.14,2955613
2016-12-08,154.60,155.97,154.14,155.39,2928360
2016-12-09,155.65,156.88,155.42,156.49,2705724
2016-12-12,156.00,158.00,154.30,157.16,4243577
2016-12-13,159.10,160.07,154.88,156.66,5608181
2016-12-14,156.23,156.37,154.18,154.47,3640203
2016-12-15,153.93,155.24,153.06,153.77,2888630
2016-12-16,153.88,156.00,153.14,154.50,5885499
2016-12-19,155.16,157.10,155.07,156.18,3002030
2016-12-20,156.96,157.89,155.95,156.39,2270038
2016-12-21,156.69,158.50,156.65,157.48,2326254
2016-12-22,158.50,158.99,156.25,157.46,3952153
2016-12-23,158.27,158.27,156.51,157.81,2135522
2016-12-27,158.41,158.48,156.91,157.48,1858123
2016-12-28,157.12,157.35,156.01,156.10,1787339
2016-12-29,156.00,156.75,155.16,155.69,1803554
2016-12-30,156.49,156.79,154.96,155.68,2028160
2017-01-03,156.30,157.14,155.21,156.97,3426120
2017-01-04,157.81,159.23,157.81,158.62,3189794
2017-01-05,158.41,159.70,157.40,158.71,2794382
2017-01-06,158.98,159.66,157.89,159.10,2426426
2017-01-09,159.00,159.24,158.17,158.32,2838588
2017-01-10,158.96,159.94,158.57,159.07,2988300
2017-01-11,159.54,159.70,158.28,159.40,2416186
2017-01-12,159.15,159.16,156.67,158.29,3020284
2017-01-13,158.74,159.58,158.34,158.83,2435341
2017-01-17,158.20,159.04,157.23,157.67,2758738
2017-01-18,157.55,159.05,156.75,158.32,2087279
2017-01-19,158.87,159.87,157.91,159.00,3142913
2017-01-20,159.81,160.30,158.23,159.53,3342968
2017-01-23,158.94,159.50,157.29,157.84,3929223
2017-01-24,158.58,160.93,157.84,160.55,3925050
2017-01-25,163.59,168.65,163.24,167.36,7474936
2017-01-26,167.25,170.00,167.25,169.12,5436521
2017-01-27,169.21,169.80,167.01,167.70,4882806
2017-01-30,165.92,165.99,163.82,165.57,5456012
2017-01-31,164.96,165.10,163.22,163.42,5349856
2017-02-01,164.25,165.81,163.12,163.97,3086405
2017-02-02,163.22,163.97,160.82,162.26,3791155
2017-02-03,162.99,163.56,162.31,162.40,2981662
2017-02-06,162.42,164.08,162.38,163.98,3109479
2017-02-07,165.00,167.42,164.87,166.50,4242852
2017-02-08,165.00,165.24,163.69,163.81,3037704
2017-02-09,164.67,165.09,164.06,164.28,3450033
2017-02-10,165.25,166.45,164.47,166.23,2689614
2017-02-13,166.45,169.07,166.35,168.03,3764883
2017-02-14,167.70,168.80,167.22,168.50,2580274
2017-02-15,168.42,169.95,168.35,169.30,4033028
2017-02-16,169.64,170.81,168.75,170.81,3069936
2017-02-17,170.41,173.25,170.40,172.71,4906994
2017-02-21,173.92,176.17,173.68,175.56,4231404
2017-02-22,174.98,175.75,174.01,175.36,2831625
2017-02-23,175.97,177.00,175.70,176.86,3501210
2017-02-24,176.75,178.80,176.10,177.44,4196989
2017-02-27,178.00,179.88,177.55,179.43,2855866
2017-02-28,180.34,181.93,179.67,180.23,4784708
2017-03-01,181.85,184.80,181.82,183.91,5459363
2017-03-02,184.00,185.71,182.97,182.99,4905642
2017-03-03,183.04,183.58,181.45,182.18,3927610
2017-03-06,181.40,182.30,180.43,180.93,4241362
2017-03-07,180.64,182.84,180.62,182.02,2451938
2017-03-08,182.40,182.69,181.49,181.74,2321027
2017-03-09,181.43,182.59,179.58,180.57,3100213
2017-03-10,181.90,181.97,177.92,178.70,4595366
2017-03-13,177.16,179.19,177.07,179.05,3350782
2017-03-14,178.54,179.69,177.71,178.73,2346602
2017-03-15,179.00,179.24,177.97,178.71,3568221
2017-03-16,179.82,180.00,177.64,178.19,3100630
2017-03-17,178.31,180.38,178.17,180.10,5032227
2017-03-20,180.10,180.15,179.14,179.39,2062211
2017-03-21,179.99,180.25,175.50,175.96,3238017
2017-03-22,175.96,177.10,175.50,176.98,2427758
2017-03-23,177.34,177.85,176.59,177.26,2005879
2017-03-24,176.85,177.53,174.77,175.82,2384840
2017-03-27,174.37,176.44,173.75,176.10,2748899
2017-03-28,176.29,177.68,175.00,177.36,2412396
2017-03-29,177.40,177.99,176.97,177.63,1640597
2017-03-30,177.25,178.49,177.22,177.98,1691838
2017-03-31,178.02,178.18,176.81,176.86,2031017
2017-04-03,177.08,177.73,175.50,176.65,2933651
2017-04-04,176.88,178.79,176.76,178.70,2326290
2017-04-05,179.00,180.18,176.89,177.08,2408204
2017-04-06,177.56,178.22,177.12,177.37,2343747
2017-04-07,178.39,179.09,177.26,178.85,2806723
2017-04-10,179.00,179.97,177.48,177.56,2308395
2017-04-11,177.50,178.60,176.96,178.57,2264571
2017-04-12,178.25,178.25,175.94,176.05,2922244
2017-04-13,175.74,176.88,175.56,175.62,2022561
2017-04-17,175.84,179.08,175.65,179.02,2448819
2017-04-18,178.59,179.97,177.12,177.85,2957457
2017-04-19,178.47,179.90,178.16,178.40,2123429
2017-04-20,178.74,179.82,178.35,179.30,2335069
2017-04-21,179.42,180.93,179.42,180.38,3145565
2017-04-24,181.75,182.46,181.61,182.06,3141433
2017-04-25,182.53,183.85,182.53,183.51,3733015
2017-04-26,182.31,183.00,180.11,181.71,4469519
2017-04-27,182.59,183.76,182.59,183.22,3128920
2017-04-28,183.42,184.93,183.02,184.83,2181150
2017-05-01,184.23,184.49,181.80,182.39,3516552
2017-05-02,182.54,183.91,182.53,183.44,1973495
2017-05-03,183.45,183.75,182.25,183.39,2983240
2017-05-04,183.33,184.25,182.18,183.07,2289267
2017-05-05,183.16,185.07,183.16,185.01,2631503
2017-05-08,185.38,186.39,185.00,186.02,1963459
2017-05-09,186.11,187.21,186.05,186.91,3003475
2017-05-10,185.14,185.65,178.18,183.18,7056125
2017-05-11,182.90,184.33,182.17,183.94,2883659
2017-05-12,183.71,183.98,182.63,183.25,3478823
2017-05-15,183.30,184.11,182.28,182.39,3350676
2017-05-16,182.73,183.15,182.04,182.70,2154722
2017-05-17,181.39,181.52,178.68,178.78,2533084
2017-05-18,178.48,178.50,175.47,177.40,3117757
2017-05-19,177.73,181.42,176.77,180.76,4037308
