date,open,high,low,close,volume
2021-01-04,87.38,87.78,85.63,85.98,1121868
2021-01-05,85.79,87.03,85.06,86.66,1123720
2021-01-06,86.44,89.73,85.28,88.69,1381098
2021-01-07,88.58,91.03,87.81,90.85,1224395
2021-01-08,90.65,92.54,90.37,91.60,894958
2021-01-11,90.98,92.42,90.55,91.39,723533
2021-01-12,91.49,92.92,91.08,92.69,800347
2021-01-13,92.78,93.21,91.10,91.36,1066129
2021-01-14,91.36,92.77,90.75,91.46,647367
2021-01-15,91.46,92.25,90.80,92.18,579500
2021-01-19,92.69,94.04,92.51,93.90,561970
2021-01-20,94.00,95.72,93.93,95.00,679194
2021-01-21,94.98,95.53,94.22,94.79,692692
2021-01-22,94.67,96.03,94.50,95.93,568905
2021-01-25,96.55,98.30,96.27,97.56,1081430
2021-01-26,98.00,98.43,97.27,97.84,834453
2021-01-27,97.13,100.26,96.29,97.57,1492483
2021-01-28,97.69,98.18,95.13,95.40,1253324
2021-01-29,91.25,91.45,84.89,85.17,2986636
2021-02-01,85.41,85.87,81.81,83.75,2412025
2021-02-02,83.95,84.31,81.83,83.39,2265197
2021-02-03,83.60,83.71,80.65,81.83,1814005
2021-02-04,82.00,83.60,81.23,83.40,1428683
2021-02-05,83.50,83.81,81.60,82.09,1119332
2021-02-08,82.15,82.52,81.06,81.95,1169473
2021-02-09,82.00,83.67,81.74,83.16,798251
2021-02-10,83.31,83.86,82.50,83.54,1008728
2021-02-11,83.44,84.73,83.41,84.59,915958
2021-02-12,84.52,84.84,82.09,82.59,622295
2021-02-16,82.90,83.00,80.91,81.23,728391
2021-02-17,80.55,81.10,79.52,80.70,906457
2021-02-18,80.34,80.67,79.13,79.63,2761197
2021-02-19,79.98,80.00,78.25,78.71,1650672
2021-02-22,78.39,78.70,77.08,77.27,1043222
2021-02-23,77.10,77.35,75.15,76.96,1844847
2021-02-24,76.88,78.18,76.39,78.00,2831414
2021-02-25,78.11,79.75,77.89,78.14,1896246
2021-02-26,78.20,79.82,77.05,77.14,2603926
2021-03-01,77.27,79.91,77.07,79.39,1260152
2021-03-02,79.45,79.94,78.74,79.07,1323128
2021-03-03,78.76,79.51,77.84,78.67,1720295
2021-03-04,79.00,79.37,76.55,76.68,1555644
2021-03-05,76.77,77.25,75.66,76.75,2052132
2021-03-08,76.75,79.57,76.05,78.25,1757590
2021-03-09,79.09,79.44,77.88,78.04,880569
2021-03-10,78.44,78.95,77.89,78.42,825174
2021-03-11,78.87,79.22,78.42,78.79,912593
2021-03-12,78.89,79.50,78.47,78.55,874353
2021-03-15,78.71,80.68,78.71,80.63,970197
2021-03-16,80.45,80.48,79.02,79.44,677562
2021-03-17,79.49,80.52,78.61,80.05,1135838
2021-03-18,79.81,80.96,79.06,80.57,706435
2021-03-19,80.88,81.11,79.58,79.75,1458750
2021-03-22,79.14,79.88,78.21,79.83,600370
2021-03-23,79.81,80.59,79.45,80.05,805146
2021-03-24,80.10,81.28,79.48,79.73,1177607
2021-03-25,79.54,80.78,78.94,80.38,875184
2021-03-26,80.42,80.42,77.94,79.76,1163553
2021-03-29,79.77,81.78,79.77,81.42,614102
2021-03-30,81.50,81.90,80.50,80.77,531935
2021-03-31,80.60,81.09,79.67,80.53,636687
2021-04-01,81.03,82.09,80.64,81.71,862057
2021-04-05,81.98,84.35,81.80,83.69,1067704
2021-04-06,83.21,83.21,82.11,82.50,1192125
2021-04-07,82.72,84.04,82.18,82.23,676349
2021-04-08,82.64,82.84,81.77,82.02,869254
2021-04-09,82.26,82.50,81.55,82.26,943952
2021-04-12,82.21,83.32,82.12,83.03,822774
2021-04-13,82.34,83.05,82.13,82.54,708407
2021-04-14,82.69,83.09,82.18,82.80,756374
2021-04-15,83.39,84.17,83.00,83.36,1250089
2021-04-16,83.61,85.15,82.88,84.67,1299194
2021-04-19,84.61,85.14,84.03,84.83,710693
2021-04-20,84.95,85.43,83.26,83.39,1089990
2021-04-21,83.52,84.41,83.27,83.94,785645
2021-04-22,83.99,84.26,83.43,83.71,441581
2021-04-23,83.75,84.16,82.62,83.36,488061
2021-04-26,83.73,83.78,82.32,82.70,465877
2021-04-27,82.74,83.26,82.34,82.89,382584
2021-04-28,83.12,83.29,81.71,81.79,406857
2021-04-29,82.18,83.37,82.08,83.34,617751
2021-04-30,83.34,83.81,82.81,82.95,672179
2021-05-03,83.29,84.65,83.22,83.87,734654
2021-05-04,84.32,85.73,83.87,85.61,1220565
2021-05-05,85.44,85.71,82.49,83.72,1147712
2021-05-06,83.87,84.56,83.66,84.06,712043
2021-05-07,83.88,84.82,83.84,84.11,609987
2021-05-10,84.04,84.68,83.13,83.36,979898
2021-05-11,82.92,83.12,80.89,81.70,926372
2021-05-12,81.45,82.08,80.56,80.69,649583
2021-05-13,81.29,83.31,81.29,83.11,767908
2021-05-14,83.58,83.85,82.47,83.15,516556
2021-05-17,82.75,83.51,82.35,83.26,449320
2021-05-18,83.14,83.26,82.19,82.36,463815
2021-05-19,81.62,82.15,80.72,81.34,808456
2021-05-20,81.65,82.22,81.16,82.06,1461798
2021-05-21,82.47,83.83,82.38,83.62,1524111
2021-05-24,84.15,86.00,83.84,85.74,1105594
2021-05-25,85.74,85.97,84.52,85.03,1412930
2021-05-26,85.24,85.88,84.92,85.69,1225991
2021-05-27,86.03,86.23,85.15,85.46,1137604
2021-05-28,85.81,85.99,84.88,84.93,576292
2021-06-01,85.13,85.41,84.21,84.96,619835
2021-06-02,85.23,86.52,85.04,86.07,984112
2021-06-03,85.65,86.20,84.96,85.22,501199
2021-06-04,85.41,85.88,85.23,85.61,605294
2021-06-07,85.61,86.40,85.46,86.16,705235
2021-06-08,86.34,86.41,85.67,86.25,643074
2021-06-09,87.02,87.83,86.33,87.39,957600
2021-06-10,87.56,88.53,87.02,88.21,783133
2021-06-11,88.34,88.66,87.50,88.13,592573
2021-06-14,87.97,88.06,86.75,87.53,440050
2021-06-15,87.53,87.76,87.10,87.74,700088
2021-06-16,87.95,88.35,87.10,87.77,790276
2021-06-17,88.00,88.00,87.37,87.67,603902
2021-06-18,87.60,87.92,86.49,86.56,1596043
2021-06-21,86.85,88.30,86.52,88.24,564303
2021-06-22,88.34,88.92,87.75,88.61,630604
2021-06-23,88.40,88.55,87.10,87.14,614129
2021-06-24,87.61,87.61,85.81,86.47,608459
2021-06-25,86.23,87.54,86.23,87.48,1144717
2021-06-28,87.45,87.45,85.58,85.83,738446
2021-06-29,85.54,86.31,85.08,85.11,543311
2021-06-30,84.98,85.30,84.76,85.18,561795
2021-07-01,85.36,86.40,85.21,86.19,478916
2021-07-02,86.36,87.22,86.16,86.75,410571
2021-07-06,86.75,87.28,85.60,87.15,820691
2021-07-07,87.51,88.99,87.38,88.95,557534
2021-07-08,88.06,88.93,87.71,88.27,483662
2021-07-09,88.61,89.20,88.18,88.80,475874
2021-07-12,88.75,89.29,88.39,88.93,790248
2021-07-13,89.10,89.38,88.72,88.82,628569
2021-07-14,88.94,89.04,88.33,88.85,363110
2021-07-15,88.93,89.57,88.69,89.35,600368
2021-07-16,89.32,89.88,88.97,89.45,759097
2021-07-19,89.32,89.32,87.18,87.93,577413
2021-07-20,87.93,89.75,87.90,89.19,924389
2021-07-21,89.19,89.66,88.61,88.80,380022
2021-07-22,88.80,88.91,88.49,88.78,359682
2021-07-23,88.82,89.71,88.63,89.69,663923
2021-07-26,89.45,89.99,89.33,89.79,596591
2021-07-27,89.79,89.94,89.15,89.78,833769
2021-07-28,89.80,90.30,89.02,89.92,368140
2021-07-29,90.35,90.65,89.59,89.71,436910
2021-07-30,87.63,88.16,85.09,85.81,1310703
2021-08-02,86.01,87.20,85.47,85.77,810390
2021-08-03,85.89,85.94,82.68,82.76,1367843
2021-08-04,82.52,83.48,81.94,82.00,1165815
2021-08-05,81.85,83.07,81.66,82.01,883886
2021-08-06,81.88,82.77,81.65,81.78,696121
2021-08-09,81.63,81.80,80.89,80.97,1062602
2021-08-10,81.15,81.69,80.78,81.20,689706
2021-08-11,81.20,81.77,81.20,81.73,453656
2021-08-12,81.63,81.90,81.25,81.54,535440
2021-08-13,81.30,81.50,80.43,80.58,390198
2021-08-16,80.67,81.71,80.35,81.47,586421
2021-08-17,81.26,81.89,80.62,81.67,874900
2021-08-18,81.37,81.74,79.89,79.94,878882
2021-08-19,79.63,81.33,79.55,81.31,1178263
2021-08-20,81.43,82.26,81.15,82.25,820604
2021-08-23,82.27,82.35,81.00,81.31,719346
2021-08-24,81.25,81.48,80.76,81.06,935870
2021-08-25,81.12,81.67,80.36,81.39,735780
2021-08-26,81.26,81.46,80.69,81.11,531708
2021-08-27,81.04,81.91,80.81,81.68,527952
2021-08-30,81.74,82.01,81.60,81.76,471557
2021-08-31,81.70,82.35,81.32,81.91,875837
2021-09-01,82.24,83.03,81.70,82.48,624158
2021-09-02,82.62,83.89,82.50,83.63,468469
