date,open,high,low,close,volume
2021-01-04,43.18,43.22,42.71,43.00,1648147
2021-01-05,43.14,44.17,43.14,44.08,1787148
2021-01-06,43.99,44.17,43.82,44.03,1640304
2021-01-07,43.91,43.95,43.27,43.52,1526981
2021-01-08,43.64,43.87,43.26,43.53,1394450
2021-01-11,43.35,43.44,42.91,43.15,753750
2021-01-12,43.03,43.25,42.82,43.22,786391
2021-01-13,43.20,43.42,43.10,43.20,812248
2021-01-14,43.20,43.68,43.20,43.47,710100
2021-01-15,43.50,43.93,43.31,43.89,976949
2021-01-19,44.06,44.06,43.38,43.43,1003648
2021-01-20,43.51,43.66,43.31,43.61,716683
2021-01-21,43.64,43.92,43.44,43.50,872306
2021-01-22,43.40,43.41,43.00,43.03,752235
2021-01-25,43.00,43.62,42.87,43.32,1061595
2021-01-26,43.33,43.68,43.20,43.65,1064049
2021-01-27,43.42,43.60,42.94,43.06,1403834
2021-01-28,43.04,43.55,42.95,43.20,1909525
2021-01-29,43.12,43.26,42.38,42.40,1692667
2021-02-01,42.61,42.70,42.34,42.38,1229086
2021-02-02,42.51,43.09,42.51,43.05,859101
2021-02-03,43.14,43.19,42.77,42.89,867137
2021-02-04,43.04,43.77,43.04,43.73,1171897
2021-02-05,43.93,43.93,43.39,43.43,1378513
2021-02-08,43.61,43.75,43.53,43.65,1080298
2021-02-09,43.70,43.78,43.52,43.63,1142818
2021-02-10,43.79,43.80,43.55,43.77,999102
2021-02-11,43.86,43.98,43.54,43.58,953837
2021-02-12,43.26,43.71,43.22,43.67,626401
2021-02-16,43.81,43.97,43.65,43.73,754732
2021-02-17,43.57,44.11,43.49,44.02,1116280
2021-02-18,43.94,44.04,43.66,43.94,884257
2021-02-19,44.25,44.25,43.47,43.54,1108808
2021-02-22,43.65,43.70,43.45,43.58,1156596
2021-02-23,43.71,43.83,43.26,43.65,1473357
2021-02-24,43.52,43.99,43.36,43.79,1293298
2021-02-25,43.79,44.07,43.56,43.59,1190900
2021-02-26,43.59,43.68,42.75,42.76,1662532
2021-03-01,43.24,43.65,43.13,43.46,1154250
2021-03-02,43.46,44.17,43.46,43.97,1875681
2021-03-03,43.90,44.16,43.57,43.90,1218630
2021-03-04,44.03,44.52,43.86,43.96,2260580
2021-03-05,44.15,45.10,44.11,45.00,2712110
2021-03-08,45.04,45.80,44.71,45.58,2034943
2021-03-09,45.96,46.09,45.60,45.60,1876239
2021-03-10,46.00,46.20,45.65,46.11,1336973
2021-03-11,46.25,46.40,45.96,45.98,3495778
2021-03-12,45.30,45.44,44.98,45.39,1306305
2021-03-15,45.50,45.66,44.63,44.82,2058311
2021-03-16,44.82,45.01,44.66,44.87,3010418
2021-03-17,44.93,45.52,44.60,45.44,3062906
2021-03-18,45.32,45.79,45.30,45.38,1366530
2021-03-19,45.44,45.58,44.99,45.36,1470576
2021-03-22,45.42,46.07,45.32,46.03,1488850
2021-03-23,45.89,46.05,45.69,45.76,4848229
2021-03-24,45.77,45.96,45.55,45.71,1115092
2021-03-25,45.72,45.80,45.53,45.61,995071
2021-03-26,45.59,45.83,45.46,45.74,922750
2021-03-29,45.69,45.91,45.53,45.87,3396738
2021-03-30,45.84,45.84,45.39,45.58,843990
2021-03-31,45.55,45.65,45.12,45.14,1741843
2021-04-01,45.29,45.60,45.01,45.60,975653
2021-04-05,45.60,46.13,45.60,45.86,896809
2021-04-06,45.96,46.04,45.77,45.89,684435
2021-04-07,45.91,45.94,45.68,45.93,851312
2021-04-08,46.12,46.13,45.73,45.97,1000977
2021-04-09,45.99,46.22,45.86,46.22,1402929
2021-04-12,46.25,46.34,46.03,46.12,925623
2021-04-13,46.00,46.46,45.97,46.37,1063486
2021-04-14,46.41,46.44,46.15,46.25,2053906
2021-04-15,46.31,46.48,46.28,46.42,802700
2021-04-16,46.61,46.63,46.33,46.46,2414000
2021-04-19,46.60,46.75,46.34,46.40,1407258
2021-04-20,46.28,46.54,46.22,46.33,1393649
2021-04-21,46.38,46.83,46.28,46.78,860987
2021-04-22,46.78,46.88,46.49,46.51,1041596
2021-04-23,46.49,46.65,46.25,46.59,5003794
2021-04-26,46.72,46.82,46.51,46.63,993185
2021-04-27,46.75,46.75,46.49,46.54,1030421
2021-04-28,46.57,46.95,46.55,46.86,1219167
2021-04-29,47.20,47.55,47.04,47.27,843176
2021-04-30,47.30,47.47,47.12,47.25,997912
2021-05-03,47.45,47.63,47.29,47.44,887400
2021-05-04,47.45,47.61,47.28,47.59,848151
2021-05-05,47.60,48.00,47.59,48.00,742586
2021-05-06,48.05,48.46,47.98,48.45,920828
2021-05-07,48.34,48.81,48.34,48.71,942513
