date,open,high,low,close,volume
2021-01-04,43.56,44.92,43.34,44.26,728309
2021-01-05,44.50,46.15,44.34,45.98,502824
2021-01-06,47.01,49.19,46.57,47.84,1434950
2021-01-07,49.20,49.70,48.16,48.82,785635
2021-01-08,49.22,49.87,48.85,49.01,623611
2021-01-11,48.50,48.50,47.10,47.65,768873
2021-01-12,47.51,48.24,47.30,47.50,495281
2021-01-13,47.50,47.75,46.93,47.21,404308
2021-01-14,47.61,47.94,45.03,45.70,677335
2021-01-15,45.10,45.48,43.69,45.04,644148
2021-01-19,46.52,47.28,45.34,46.86,596312
2021-01-20,47.65,48.45,47.49,47.87,653952
2021-01-21,49.14,49.64,48.10,48.97,623718
2021-01-22,48.80,49.41,48.18,49.36,389294
2021-01-25,49.59,49.85,47.34,48.28,561447
2021-01-26,48.26,48.50,46.95,47.03,712078
2021-01-27,46.14,46.73,45.20,45.67,517764
2021-01-28,45.69,46.75,45.67,45.84,402569
2021-01-29,45.66,46.13,44.20,45.30,443551
2021-02-01,45.42,46.23,45.15,45.83,303573
2021-02-02,46.29,47.23,45.84,45.93,423279
2021-02-03,46.20,46.20,45.02,45.32,473703
2021-02-04,45.88,46.73,45.20,46.28,467184
2021-02-05,46.50,48.39,46.44,47.08,542743
2021-02-08,48.38,48.63,47.30,48.40,622460
2021-02-09,47.67,48.80,47.22,47.69,644628
2021-02-10,48.16,48.28,46.22,46.90,988903
2021-02-11,47.21,47.32,45.95,46.50,1166795
2021-02-12,46.03,46.43,45.48,46.29,455717
2021-02-16,47.59,47.68,45.09,45.22,675909
2021-02-17,45.03,45.73,44.42,45.43,552971
2021-02-18,45.10,45.66,44.21,45.44,416710
2021-02-19,45.65,46.31,45.65,46.20,425075
2021-02-22,45.84,45.95,44.08,44.35,785283
2021-02-23,43.58,43.90,41.68,43.73,931392
2021-02-24,43.71,44.40,42.63,42.80,540903
2021-02-25,42.29,42.60,40.90,41.22,514890
2021-02-26,41.00,42.85,40.86,42.21,522387
2021-03-01,43.36,43.83,42.60,42.71,442286
2021-03-02,42.94,43.10,42.43,42.75,446128
2021-03-03,42.86,42.94,41.91,42.26,359265
2021-03-04,41.81,42.63,40.14,40.54,756204
2021-03-05,40.47,40.52,37.74,38.78,1335278
2021-03-08,38.70,38.85,37.91,38.43,849880
