date,open,high,low,close,volume
2016-09-15,27.88,28.55,27.71,28.36,2918835
2016-09-16,27.78,28.11,27.59,27.79,2708463
2016-09-19,28.53,28.75,28.21,28.28,2759084
2016-09-20,28.81,29.00,28.60,28.81,2941821
2016-09-21,29.16,29.94,29.14,29.84,3135904
2016-09-22,30.79,30.98,30.07,30.10,4562602
2016-09-23,30.19,30.58,30.08,30.18,3421163
2016-09-26,30.16,30.50,30.16,30.26,3157686
2016-09-27,29.87,30.33,29.73,30.25,4337461
2016-09-28,30.56,31.67,30.42,31.62,4191818
2016-09-29,31.82,32.46,31.71,31.90,4485397
2016-09-30,32.27,32.36,31.97,32.13,2888120
2016-10-03,32.27,32.42,32.05,32.32,2372800
2016-10-04,33.08,33.08,32.00,32.13,3889770
2016-10-05,32.49,32.90,32.35,32.74,1836127
2016-10-06,32.45,32.71,32.39,32.52,1387051
2016-10-07,33.12,33.15,32.39,32.79,3578337
2016-10-10,33.09,33.53,33.07,33.30,2093213
2016-10-11,33.01,33.11,32.25,32.44,2802914
2016-10-12,32.50,32.91,32.32,32.47,3346194
2016-10-13,31.19,31.70,30.89,31.58,3109004
2016-10-14,32.02,32.24,31.50,31.52,2631504
2016-10-17,31.48,31.73,31.36,31.42,2877894
2016-10-18,32.47,32.50,31.91,31.99,5081626
2016-10-19,32.00,32.45,31.87,32.41,3899795
2016-10-20,32.14,32.61,31.86,32.48,3516083
2016-10-21,32.15,32.47,32.09,32.42,2975453
2016-10-24,32.83,32.84,32.21,32.43,1988639
2016-10-25,32.83,33.18,32.80,33.12,3229088
2016-10-26,32.57,32.79,32.44,32.69,4049540
2016-10-27,32.36,32.43,31.97,32.13,3462731
2016-10-28,32.12,32.52,32.12,32.34,2967215
2016-10-31,32.51,32.73,32.37,32.48,2289088
2016-11-01,32.92,32.97,32.11,32.33,3147121
2016-11-02,32.09,32.41,31.76,31.77,3502821
2016-11-03,32.04,32.33,31.80,31.88,3341267
2016-11-04,31.30,31.71,31.21,31.51,2392706
2016-11-07,32.47,33.01,32.42,32.98,3671584
2016-11-08,33.25,34.24,33.14,34.04,5275098
2016-11-09,34.85,35.81,34.63,35.11,11131690
2016-11-10,35.84,36.28,34.86,35.36,8221814
2016-11-11,35.07,35.20,34.28,34.78,4192657
2016-11-14,34.87,35.11,34.67,35.00,4313099
2016-11-15,33.31,33.94,33.10,33.93,4782473
2016-11-16,33.39,33.51,32.97,33.08,2920636
2016-11-17,33.52,33.70,33.13,33.31,3218304
2016-11-18,33.03,33.03,32.58,32.90,2121173
2016-11-21,33.45,33.82,33.37,33.79,3082581
2016-11-22,34.68,35.56,34.65,35.53,4750268
2016-11-23,34.90,35.92,34.90,35.92,2642857
2016-11-25,35.75,36.07,35.63,35.93,2336402
2016-11-28,35.59,35.95,35.52,35.56,2181934
2016-11-29,34.69,35.06,34.50,34.70,2651530
2016-11-30,35.18,35.37,34.52,34.81,4197782
2016-12-01,35.00,35.58,34.80,35.05,2931894
2016-12-02,34.50,35.28,34.45,35.26,2222707
2016-12-05,35.70,36.08,35.50,35.93,3447133
2016-12-06,34.68,35.57,34.68,35.56,3520318
2016-12-07,35.82,36.32,35.79,36.09,3044886
2016-12-08,36.82,36.91,35.98,36.07,3118663
2016-12-09,36.07,36.07,35.37,35.69,2059742
2016-12-12,37.10,37.28,36.67,36.70,3718993
2016-12-13,36.68,36.75,35.68,35.95,3712100
2016-12-14,35.75,36.34,34.81,34.84,3134878
2016-12-15,34.22,34.39,33.93,34.34,3373119
2016-12-16,33.99,34.30,33.71,33.76,3576732
2016-12-19,33.36,33.58,33.21,33.30,2600708
2016-12-20,33.39,33.94,33.39,33.88,2448513
2016-12-21,33.79,33.79,33.50,33.56,1596661
2016-12-22,33.18,33.44,32.98,33.05,2446707
2016-12-23,32.84,33.02,32.71,32.84,1482052
2016-12-27,32.99,33.17,32.92,33.05,1264804
2016-12-28,33.90,34.21,33.57,33.59,2631021
2016-12-29,33.84,33.87,33.47,33.64,2625343
2016-12-30,33.92,33.99,33.06,33.18,1894539
2017-01-03,34.28,34.41,34.01,34.33,3750300
2017-01-04,34.00,34.54,33.95,34.47,3795292
2017-01-05,34.37,34.87,34.30,34.80,1807869
2017-01-06,34.58,34.74,34.24,34.28,1663021
2017-01-09,34.34,34.54,34.14,34.17,2426325
2017-01-10,35.58,36.02,35.47,35.76,4721525
2017-01-11,36.30,36.56,35.85,36.52,4407630
2017-01-12,37.22,37.27,36.72,36.85,2352090
2017-01-13,36.74,37.06,36.63,36.95,1706343
2017-01-17,37.22,37.38,36.89,36.96,1872592
2017-01-18,36.88,37.49,36.86,37.24,2296788
2017-01-19,37.17,37.41,36.88,37.14,1947077
2017-01-20,37.00,37.20,36.85,37.03,1565953
2017-01-23,37.37,37.49,37.19,37.39,2008507
2017-01-24,38.50,38.76,38.29,38.53,3113108
2017-01-25,38.19,38.71,38.11,38.65,2735420
2017-01-26,38.13,38.42,37.87,38.15,2526763
