date,open,high,low,close,volume
2021-01-04,219.51,227.58,213.76,216.80,12433850
2021-01-05,213.43,218.11,212.12,214.00,7475965
2021-01-06,212.78,213.34,203.62,203.97,8420098
2021-01-07,207.71,213.39,204.30,207.89,11035780
2021-01-08,227.06,241.00,218.00,240.25,22768850
2021-01-11,244.51,248.98,218.41,219.55,17668340
2021-01-12,227.00,244.20,221.62,239.45,17878840
2021-01-13,242.01,243.43,230.45,236.94,11318590
2021-01-14,240.10,258.73,240.00,249.00,15909550
2021-01-15,245.27,251.21,237.86,238.87,8408326
2021-01-19,250.00,257.43,247.88,250.42,10017270
2021-01-20,260.00,264.94,253.32,260.90,14013620
2021-01-21,263.50,263.94,250.68,251.91,8367975
2021-01-22,253.39,259.70,251.08,252.75,6743177
2021-01-25,261.12,261.90,242.13,254.87,8549937
2021-01-26,254.57,256.88,246.68,248.30,5764614
2021-01-27,236.75,244.44,233.40,237.18,9230890
2021-01-28,233.11,245.94,230.08,244.87,7107178
2021-01-29,240.30,241.80,233.10,235.02,7357785
2021-02-01,239.35,243.55,235.88,241.89,4379713
2021-02-02,245.09,250.87,242.88,250.52,4861279
2021-02-03,249.07,255.38,248.13,251.28,5480374
2021-02-04,255.36,261.36,255.11,258.43,6843866
2021-02-05,261.56,271.53,256.72,270.13,8173236
2021-02-08,275.00,282.00,272.88,276.60,6997868
2021-02-09,279.60,304.24,279.04,295.04,10979610
2021-02-10,309.92,322.89,296.60,304.05,17283430
2021-02-11,308.97,312.20,301.11,309.59,5538293
2021-02-12,303.00,319.00,298.20,313.00,5009671
2021-02-16,317.14,326.50,315.85,326.20,9400920
2021-02-17,318.01,321.50,306.03,308.68,8503301
2021-02-18,296.30,298.49,288.14,298.01,13651310
2021-02-19,305.63,346.00,301.19,339.91,17149400
2021-02-22,322.45,354.82,317.24,335.79,20677060
2021-02-23,315.00,324.80,290.00,322.61,16835390
2021-02-24,309.76,313.50,300.00,304.01,12274840
2021-02-25,303.99,309.51,288.80,294.20,13827860
2021-02-26,288.61,295.49,274.18,283.46,15213910
