date,open,high,low,close,volume
2021-05-26,25.25,25.43,25.13,25.40,295487
2021-05-27,25.38,25.50,25.28,25.45,302843
2021-05-28,25.40,25.59,25.34,25.44,1033931
2021-06-01,25.42,25.48,25.26,25.32,223347
2021-06-02,25.37,25.44,25.30,25.30,54919
2021-06-03,25.27,25.36,25.19,25.20,74461
2021-06-04,25.29,25.32,25.29,25.30,11401
2021-06-07,25.34,25.34,25.17,25.22,33202
2021-06-08,25.26,25.36,25.20,25.29,30313
2021-06-09,25.34,25.35,25.23,25.29,30665
2021-06-10,25.30,25.32,25.28,25.32,27407
2021-06-11,25.39,25.39,25.25,25.37,29528
2021-06-14,25.37,25.37,25.27,25.34,18994
2021-06-15,25.33,25.33,25.17,25.24,25750
2021-06-16,25.27,25.34,25.21,25.25,26373
2021-06-17,25.25,25.34,25.25,25.33,52040
2021-06-18,25.32,25.33,25.21,25.25,36620
2021-06-21,25.27,25.27,25.19,25.19,22444
2021-06-22,25.26,25.26,25.15,25.20,47153
2021-06-23,25.24,25.28,25.22,25.24,35172
2021-06-24,25.28,25.36,25.28,25.28,37285
2021-06-25,25.30,25.32,25.21,25.26,48868
2021-06-28,25.25,25.28,25.21,25.26,30140
2021-06-29,25.26,25.30,25.25,25.29,48775
2021-06-30,25.31,25.47,25.26,25.40,398303
2021-07-01,25.39,25.45,25.29,25.33,33917
2021-07-02,25.38,25.54,25.37,25.49,37640
2021-07-06,25.53,25.53,25.41,25.45,24373
2021-07-07,25.50,25.55,25.44,25.55,53668
2021-07-08,25.46,25.57,25.45,25.54,101371
2021-07-09,25.55,25.68,25.53,25.65,45383
2021-07-12,25.70,25.70,25.63,25.68,36447
2021-07-13,25.69,25.73,25.51,25.62,106327
2021-07-14,25.62,25.75,25.62,25.73,36272
2021-07-15,25.77,25.77,25.61,25.61,340833
2021-07-16,25.72,25.72,25.66,25.68,9225
2021-07-19,25.60,25.60,25.51,25.51,6230
2021-07-20,25.64,25.76,25.59,25.73,14601
2021-07-21,25.70,25.89,25.70,25.87,14002
2021-07-22,25.80,25.87,25.71,25.83,8438
2021-07-23,25.79,25.79,25.65,25.68,30498
2021-07-26,25.63,25.70,25.63,25.66,6629
2021-07-27,25.65,25.69,25.40,25.69,24003
2021-07-28,25.70,25.70,25.62,25.70,10250
2021-07-29,25.70,25.92,25.70,25.92,15240
2021-07-30,25.92,26.18,25.92,26.15,14751
2021-08-02,26.15,26.29,26.12,26.17,21722
2021-08-03,26.12,26.31,25.92,26.06,19974
2021-08-04,26.17,26.25,26.07,26.09,14160
2021-08-05,26.10,26.30,26.10,26.22,10703
2021-08-06,26.21,26.22,25.98,26.01,9958
2021-08-09,26.07,26.15,26.05,26.05,11357
2021-08-10,25.93,25.93,25.46,25.60,17491
2021-08-11,25.77,26.04,25.71,25.96,19510
2021-08-12,25.99,26.22,25.75,26.20,9911
2021-08-13,26.20,26.25,26.12,26.19,6455
2021-08-16,26.18,26.23,25.95,25.99,9958
2021-08-17,25.98,26.00,25.89,25.99,13651
2021-08-18,25.85,25.94,25.84,25.93,6829
2021-08-19,25.89,25.99,25.50,25.99,36989
2021-08-20,25.96,26.17,25.96,26.17,10592
2021-08-23,26.18,26.20,25.94,25.95,12540
2021-08-24,26.14,26.18,26.05,26.09,12676
2021-08-25,26.14,26.18,26.08,26.08,3462
2021-08-26,26.18,26.18,25.92,26.01,4224
2021-08-27,25.93,26.20,25.93,26.16,8036
2021-08-30,26.22,26.23,26.10,26.12,5364
2021-08-31,26.20,26.20,25.98,26.13,36393
2021-09-01,26.23,26.28,26.19,26.23,9335
2021-09-02,26.23,26.25,26.01,26.14,72525
2021-09-03,26.18,26.26,26.18,26.26,4584
2021-09-07,26.24,26.24,26.08,26.13,10587
2021-09-08,26.16,26.16,26.05,26.06,24750
2021-09-09,26.13,26.24,26.12,26.12,9228
2021-09-10,26.11,26.20,26.04,26.10,19866
2021-09-13,26.19,26.20,26.07,26.20,13429
2021-09-14,25.88,25.88,25.71,25.71,20141
2021-09-15,25.74,25.93,25.74,25.76,12903
2021-09-16,25.76,26.33,25.76,26.20,33106
2021-09-17,26.24,26.36,26.07,26.30,26886
2021-09-20,26.21,26.27,26.12,26.27,9503
2021-09-21,26.21,26.41,26.20,26.32,15371
2021-09-22,26.30,26.38,26.23,26.38,37246
2021-09-23,26.31,26.35,26.06,26.19,14105
2021-09-24,26.19,26.19,26.00,26.01,19864
