date,open,high,low,close,volume
2021-01-04,89.13,89.83,85.74,86.30,1121834
2021-01-05,86.57,86.98,84.98,85.90,924786
2021-01-06,85.51,89.10,85.50,87.74,1878211
2021-01-07,87.68,90.79,87.02,90.69,1870135
2021-01-08,91.04,92.20,89.23,89.86,2853958
2021-01-11,83.92,84.99,80.90,81.24,4416853
2021-01-12,82.10,82.89,79.51,81.12,3060230
2021-01-13,81.87,82.48,81.22,81.94,1349354
2021-01-14,82.90,82.90,80.29,81.36,1424141
2021-01-15,81.72,83.63,81.25,82.97,1306558
2021-01-19,83.60,86.10,82.97,85.77,1693546
2021-01-20,87.01,88.75,86.52,87.99,1262625
2021-01-21,88.56,88.56,86.21,86.88,1146094
2021-01-22,85.86,88.80,85.52,87.99,898579
2021-01-25,88.12,89.13,87.68,88.97,961702
2021-01-26,88.84,88.91,85.80,85.91,1543000
2021-01-27,85.49,85.97,82.80,83.24,1136217
2021-01-28,82.91,84.07,81.86,83.15,960560
2021-01-29,82.67,83.72,81.31,82.78,870668
2021-02-01,84.01,84.17,82.31,83.00,1047175
2021-02-02,84.00,84.08,82.64,83.19,1439945
2021-02-03,84.00,84.80,82.81,82.82,1284710
2021-02-04,83.00,84.92,83.00,84.81,924743
2021-02-05,85.44,85.90,84.17,85.22,753436
2021-02-08,86.16,87.29,85.15,86.29,966435
2021-02-09,86.78,86.82,84.83,85.61,777344
2021-02-10,86.28,86.64,84.34,85.45,797545
2021-02-11,85.93,86.87,84.92,86.86,932157
2021-02-12,86.27,87.84,86.21,87.04,1017290
2021-02-16,87.41,87.44,84.14,84.94,1421824
2021-02-17,84.54,86.16,84.24,85.80,1059126
2021-02-18,85.49,85.49,82.83,83.27,1152176
2021-02-19,83.58,83.76,81.46,81.76,1019012
2021-02-22,81.20,82.33,80.13,81.06,954310
2021-02-23,80.50,82.55,79.12,82.15,1092431
2021-02-24,82.30,84.52,82.20,83.32,1040287
2021-02-25,83.38,83.95,81.35,81.76,1530204
2021-02-26,80.31,80.46,75.30,77.43,3033563
2021-03-01,78.81,80.50,78.08,79.17,2310448
2021-03-02,79.15,79.67,77.73,77.91,2417318
2021-03-03,77.50,77.72,75.84,76.09,1272327
2021-03-04,76.00,78.18,75.20,76.35,1327123
2021-03-05,76.28,77.78,74.53,77.73,1453177
2021-03-08,78.66,79.77,76.50,76.59,1214168
2021-03-09,77.60,79.50,76.92,78.74,1050742
2021-03-10,79.74,79.74,76.27,77.46,1355319
2021-03-11,77.68,78.64,77.05,77.41,1301180
2021-03-12,77.10,77.31,76.22,76.77,874845
2021-03-15,77.38,78.40,76.97,78.39,1422186
2021-03-16,78.16,78.59,76.60,77.21,1203751
2021-03-17,77.01,78.43,76.37,78.19,1518044
2021-03-18,77.99,78.59,77.28,77.39,850281
2021-03-19,78.61,78.64,77.29,78.18,1590315
2021-03-22,78.20,79.31,78.19,78.52,925674
2021-03-23,78.58,78.67,76.12,76.52,1181318
2021-03-24,76.30,76.55,74.42,74.73,1803920
2021-03-25,74.19,74.98,72.77,74.76,1448536
2021-03-26,74.67,75.48,74.03,75.48,1092844
2021-03-29,75.10,76.24,74.90,75.38,799345
2021-03-30,74.79,75.19,73.65,74.96,1002627
2021-03-31,75.23,76.63,75.14,75.51,948430
2021-04-01,76.30,78.34,75.62,77.83,1030364
2021-04-05,78.07,78.75,77.85,78.32,957759
2021-04-06,78.63,79.13,78.30,78.40,977755
2021-04-07,78.40,79.85,77.75,78.05,975928
2021-04-08,78.45,78.92,77.95,78.23,907381
2021-04-09,78.02,78.79,76.47,77.07,767064
2021-04-12,76.56,77.45,76.38,77.11,787864
2021-04-13,77.44,78.29,76.50,77.77,863490
2021-04-14,78.25,79.35,77.97,78.23,664757
2021-04-15,76.72,79.64,76.72,78.77,1253180
2021-04-16,79.12,79.60,78.07,79.40,868658
2021-04-19,79.58,79.95,79.01,79.59,974383
2021-04-20,79.51,80.59,79.03,79.45,742140
2021-04-21,79.80,79.80,78.07,79.33,923314
2021-04-22,78.91,80.18,78.29,79.70,702877
2021-04-23,79.34,80.19,78.60,78.73,726798
2021-04-26,79.20,81.41,78.61,81.16,786134
2021-04-27,81.00,81.28,79.64,79.77,867461
2021-04-28,80.00,80.66,79.49,80.46,529403
2021-04-29,81.29,81.75,79.68,80.18,726844
2021-04-30,79.69,79.85,77.24,77.92,1445967
2021-05-03,78.30,79.28,77.62,78.68,813524
2021-05-04,78.71,78.79,77.25,78.35,897027
