date,open,high,low,close,volume
2016-09-15,14.37,14.63,14.30,14.58,1761457
2016-09-16,14.57,14.57,14.31,14.47,1345588
2016-09-19,14.53,14.67,14.40,14.58,2259290
2016-09-20,14.68,14.81,14.63,14.70,1946572
2016-09-21,14.79,14.87,14.64,14.86,1537897
2016-09-22,15.27,15.66,15.25,15.47,4444638
2016-09-23,15.42,15.45,15.29,15.39,2182965
2016-09-26,15.34,15.42,15.20,15.34,1860795
2016-09-27,15.28,15.52,15.14,15.46,2680179
2016-09-28,15.46,15.68,15.35,15.63,2288999
2016-09-29,15.73,15.75,15.49,15.56,2144625
2016-09-30,15.69,15.69,15.49,15.50,2474066
2016-10-03,15.50,15.73,15.42,15.61,2834606
2016-10-04,15.61,15.75,15.44,15.54,2996768
2016-10-05,15.58,15.86,15.55,15.70,2426971
2016-10-06,15.68,15.79,15.60,15.75,2034238
2016-10-07,15.73,15.75,15.51,15.68,1433367
2016-10-10,15.72,15.86,15.67,15.68,983378
2016-10-11,15.68,15.75,15.44,15.55,1363504
2016-10-12,15.58,15.68,15.50,15.65,1606153
2016-10-13,15.53,15.89,15.41,15.80,2981826
2016-10-14,15.89,15.92,15.61,15.68,2002540
2016-10-17,15.67,15.69,15.57,15.66,1255439
2016-10-18,15.77,15.94,15.69,15.87,1546249
2016-10-19,15.93,15.98,15.76,15.90,1426531
2016-10-20,15.90,15.90,15.72,15.75,1097158
2016-10-21,15.61,15.80,15.53,15.76,1274679
2016-10-24,15.76,15.79,15.60,15.73,1237099
2016-10-25,15.71,15.79,15.61,15.62,1517839
2016-10-26,15.52,15.69,15.50,15.59,1186477
2016-10-27,15.64,15.66,15.38,15.40,3537812
2016-10-28,15.40,15.51,15.36,15.40,1598848
2016-10-31,15.39,15.51,15.36,15.43,1449265
2016-11-01,15.49,15.56,15.26,15.35,2037487
2016-11-02,15.33,15.35,15.10,15.12,1588189
2016-11-03,15.13,15.24,15.11,15.19,1655638
2016-11-04,15.13,15.21,14.97,15.12,1903288
2016-11-07,15.36,15.53,15.30,15.49,1759714
2016-11-08,15.46,15.57,15.40,15.53,1869865
2016-11-09,15.20,15.51,15.19,15.37,2414506
2016-11-10,15.36,15.42,14.91,15.01,3749710
2016-11-11,15.20,15.25,14.32,14.40,5385926
2016-11-14,14.44,14.50,14.12,14.46,7148530
2016-11-15,14.54,14.66,14.39,14.59,5471354
2016-11-16,14.53,14.60,14.45,14.57,2815146
2016-11-17,14.55,14.78,14.54,14.77,3557733
2016-11-18,14.77,14.88,14.71,14.85,2607180
2016-11-21,14.95,14.97,14.71,14.79,1987915
2016-11-22,14.86,14.89,14.73,14.79,2027448
2016-11-23,14.75,14.77,14.61,14.68,1223968
2016-11-25,14.75,14.80,14.67,14.79,755782
2016-11-28,14.89,14.93,14.81,14.85,1836630
2016-11-29,14.88,14.94,14.73,14.82,2170980
2016-11-30,14.84,14.86,14.66,14.68,2475112
2016-12-01,14.74,14.75,14.35,14.38,2764120
2016-12-02,14.45,14.45,14.28,14.34,2711486
2016-12-05,14.45,14.51,14.34,14.37,2572733
2016-12-06,14.42,14.54,14.38,14.52,1876432
2016-12-07,14.53,14.71,14.45,14.71,2441202
2016-12-08,14.69,14.75,14.60,14.62,2270880
2016-12-09,14.61,14.71,14.59,14.63,3496695
2016-12-12,14.66,14.88,14.61,14.83,3950653
2016-12-13,14.89,15.12,14.89,14.98,2554359
2016-12-14,15.00,15.04,14.59,14.61,2874881
2016-12-15,14.57,14.68,14.54,14.64,1929753
2016-12-16,14.67,14.81,14.63,14.74,2448083
2016-12-19,14.76,14.84,14.68,14.70,2044368
2016-12-20,14.75,14.89,14.72,14.85,2200050
2016-12-21,14.81,14.82,14.69,14.69,1816425
2016-12-22,14.66,14.67,14.53,14.56,2220043
2016-12-23,14.53,14.63,14.50,14.54,1040951
2016-12-27,14.51,14.54,14.45,14.48,752699
2016-12-28,14.47,14.55,14.39,14.47,917595
2016-12-29,14.47,14.60,14.47,14.53,2039697
2016-12-30,14.61,14.62,14.50,14.55,1131721
2017-01-03,14.59,14.72,14.48,14.64,1566535
2017-01-04,14.71,14.84,14.67,14.75,2957442
2017-01-05,14.72,14.83,14.68,14.75,1688337
2017-01-06,14.72,14.80,14.66,14.68,2318847
2017-01-09,14.72,14.72,14.49,14.52,2003802
2017-01-10,14.58,14.64,14.55,14.60,1803393
2017-01-11,14.66,14.68,14.53,14.65,2614491
2017-01-12,14.68,15.03,14.65,14.99,2744955
2017-01-13,14.97,15.07,14.94,15.05,1521047
2017-01-17,15.05,15.15,15.00,15.02,2038068
2017-01-18,14.97,15.15,14.94,14.96,1850506
2017-01-19,15.06,15.07,14.77,14.79,2156476
2017-01-20,14.82,15.22,14.79,15.22,2416191
2017-01-23,15.21,15.38,15.13,15.33,2158076
2017-01-24,15.37,15.41,15.16,15.24,2714294
2017-01-25,15.34,15.44,15.32,15.39,2122240
2017-01-26,15.36,15.40,15.24,15.35,2259598
2017-01-27,15.34,15.42,15.28,15.36,1343941
2017-01-30,15.27,15.35,15.05,15.14,2360565
2017-01-31,15.17,15.26,15.02,15.24,2634777
2017-02-01,15.26,15.31,15.15,15.27,2742212
2017-02-02,15.22,15.33,15.07,15.14,2282539
2017-02-03,15.18,15.48,15.14,15.42,2552955
2017-02-06,15.42,15.55,15.32,15.51,3239446
2017-02-07,15.53,15.67,15.48,15.62,1880957
2017-02-08,15.58,15.71,15.49,15.68,1766110
2017-02-09,15.64,16.31,15.59,16.18,4930141
2017-02-10,16.22,16.41,16.08,16.09,4314255
2017-02-13,16.10,16.29,16.10,16.23,1937952
2017-02-14,16.23,16.26,15.98,16.22,2530498
2017-02-15,16.25,16.42,16.16,16.42,3077520
2017-02-16,16.42,16.45,16.27,16.37,4203470
2017-02-17,16.37,16.49,16.32,16.47,2318931
2017-02-21,16.41,16.54,16.36,16.43,2813098
2017-02-22,16.37,16.46,16.32,16.39,2100881
2017-02-23,16.44,16.53,16.29,16.34,4501734
2017-02-24,16.25,16.25,15.90,16.02,4505507
2017-02-27,15.99,16.17,15.90,16.12,3626169
2017-02-28,16.03,16.13,15.86,15.90,3200073
2017-03-01,16.00,16.15,15.83,16.01,3379637
2017-03-02,15.93,16.04,15.88,15.90,2277576
2017-03-03,15.83,15.98,15.78,15.95,1654355
2017-03-06,15.89,15.89,15.71,15.82,1744859
2017-03-07,15.83,15.95,15.77,15.90,1414021
2017-03-08,15.92,16.08,15.83,15.84,1389568
2017-03-09,15.83,15.93,15.72,15.78,2677641
