date,open,high,low,close,volume
2021-06-28,29.46,47.24,29.46,34.52,243325
2021-06-29,32.24,32.87,30.01,31.68,293778
2021-06-30,32.46,32.46,28.65,28.91,375129
2021-07-01,28.90,30.53,28.90,29.29,435601
2021-07-02,28.89,29.64,28.53,29.17,427218
2021-07-06,29.04,29.04,28.35,28.51,322384
2021-07-07,28.35,29.06,28.30,28.36,159900
2021-07-08,28.03,28.38,27.48,28.28,321492
2021-07-09,28.32,29.15,28.32,28.97,145459
2021-07-12,28.91,28.92,28.51,28.54,224856
2021-07-13,28.37,28.48,28.12,28.36,188089
2021-07-14,28.38,28.90,28.38,28.51,285717
2021-07-15,28.33,28.57,28.18,28.49,147205
2021-07-16,28.51,28.55,27.79,27.97,143211
2021-07-19,27.58,27.58,26.67,26.86,136018
2021-07-20,26.93,27.62,26.88,27.55,139233
2021-07-21,27.60,28.67,27.60,28.44,105231
2021-07-22,28.47,29.04,28.47,28.98,105744
2021-07-23,29.08,29.35,28.70,28.78,83937
2021-07-26,28.78,28.81,28.27,28.37,192055
2021-07-27,28.46,29.37,28.22,29.25,94692
2021-07-28,29.33,30.16,29.32,29.99,63805
2021-07-29,30.00,30.72,29.85,30.56,89368
2021-07-30,30.01,30.51,30.01,30.21,59155
2021-08-02,30.01,30.51,30.01,30.21,49215
2021-08-03,30.09,30.40,30.00,30.31,205533
2021-08-04,30.09,31.36,30.09,30.90,59037
2021-08-05,30.73,31.34,30.73,31.30,39733
2021-08-06,31.38,31.99,31.38,31.94,161401
2021-08-09,32.23,32.29,31.63,32.23,193303
2021-08-10,32.24,32.75,32.24,32.62,189970
2021-08-11,32.69,33.27,32.57,33.27,103174
2021-08-12,33.29,33.35,32.12,33.33,223402
2021-08-13,34.29,36.60,33.29,34.19,154851
2021-08-16,34.32,34.49,34.06,34.34,106108
2021-08-17,34.03,34.54,33.10,33.23,113668
2021-08-18,33.17,34.15,33.10,33.88,115875
2021-08-19,33.67,33.78,33.23,33.47,111600
2021-08-20,33.47,33.58,32.58,33.54,69879
2021-08-23,33.80,34.64,33.80,34.03,111271
2021-08-24,34.22,34.38,33.77,34.02,56554
2021-08-25,33.88,34.18,33.57,33.91,87609
2021-08-26,33.82,34.21,33.82,34.18,82699
2021-08-27,34.13,34.87,34.13,34.78,88462
2021-08-30,35.03,35.03,34.33,34.73,104898
2021-08-31,34.58,34.73,33.96,33.96,64783
2021-09-01,34.00,34.63,34.00,34.50,33849
2021-09-02,34.60,34.81,33.69,33.69,38221
2021-09-03,33.68,33.95,33.28,33.58,39925
2021-09-07,33.65,34.14,33.19,34.00,34405
2021-09-08,33.80,33.94,33.45,33.59,44793
2021-09-09,33.49,33.84,33.43,33.53,31159
2021-09-10,33.63,33.90,33.19,33.44,61054
2021-09-13,33.45,33.74,33.29,33.38,79986
2021-09-14,33.44,33.67,32.47,32.72,35497
2021-09-15,32.78,32.78,32.22,32.59,23508
2021-09-16,32.31,32.51,31.77,31.84,53862
2021-09-17,31.79,32.09,30.51,30.98,81817
2021-09-20,30.43,30.43,29.57,30.12,48877
2021-09-21,30.16,31.41,30.16,31.16,49149
2021-09-22,31.23,32.00,31.16,31.69,58803
2021-09-23,31.90,32.43,31.86,32.14,57924
2021-09-24,32.05,32.23,31.71,32.09,29311
2021-09-27,32.25,32.25,31.69,31.75,51918
2021-09-28,31.69,31.69,30.81,30.90,40459
2021-09-29,31.09,31.09,30.41,30.73,50374
2021-09-30,30.89,31.29,30.72,30.88,14715
2021-10-01,30.68,31.81,30.46,31.59,54516
2021-10-04,31.34,31.34,30.73,30.92,77281
2021-10-05,30.74,31.34,30.74,31.21,43318
2021-10-06,30.71,31.33,30.63,31.11,15694
2021-10-07,31.36,32.26,31.36,31.81,34188
2021-10-08,32.09,32.47,31.82,32.20,14359
2021-10-11,32.29,32.29,31.96,32.07,7497
2021-10-12,32.18,32.61,31.89,32.19,47149
2021-10-13,32.40,32.50,31.93,32.50,12604
2021-10-14,32.87,33.20,32.63,33.20,22404
2021-10-15,33.24,33.72,33.24,33.48,44551
2021-10-18,33.29,33.68,33.12,33.48,19960
2021-10-19,33.74,33.74,33.39,33.47,24903
2021-10-20,33.68,34.14,33.37,34.14,31633
2021-10-21,34.00,34.42,34.00,34.42,35133
2021-10-22,34.43,35.13,34.43,35.13,16513
2021-10-25,35.14,35.26,34.62,35.05,39496
2021-10-26,35.26,35.37,34.92,35.00,10606
2021-10-27,34.96,35.02,34.55,34.55,33595
2021-10-28,34.84,35.28,34.64,35.14,35143
2021-10-29,34.94,35.22,34.24,34.27,53850
2021-11-01,34.35,34.58,34.15,34.38,28618
2021-11-02,34.19,34.80,34.19,34.76,82731
2021-11-03,34.76,35.05,34.44,35.05,136447
2021-11-04,35.02,35.11,34.56,34.83,53784
2021-11-05,35.01,35.59,35.01,35.25,28089
2021-11-08,35.46,35.52,34.93,35.33,34911
2021-11-09,35.43,35.43,34.83,35.20,19897
2021-11-10,35.18,35.19,34.32,34.45,35205
2021-11-11,34.36,34.36,33.44,33.53,49728
2021-11-12,33.49,34.90,33.49,34.44,27628
2021-11-15,34.73,34.73,33.82,34.17,38898
2021-11-16,34.20,34.71,34.13,34.66,49375
2021-11-17,34.57,34.77,34.13,34.13,94108
2021-11-18,34.00,34.40,33.87,34.04,22480
2021-11-19,33.96,34.02,33.63,34.02,20544
2021-11-22,34.10,34.28,33.35,33.40,39373
2021-11-23,33.31,33.47,32.74,33.10,29530
2021-11-24,32.82,33.68,32.82,33.68,17334
2021-11-26,32.85,32.85,32.25,32.75,35437
2021-11-29,33.04,33.20,32.53,32.74,62743
2021-11-30,32.55,32.55,31.70,31.87,53929
2021-12-01,32.45,32.50,31.39,31.48,43119
2021-12-02,31.52,32.42,31.52,32.23,30180
2021-12-03,32.34,32.34,31.14,31.47,35544
2021-12-06,31.61,32.67,31.61,32.47,33501
2021-12-07,32.89,33.71,32.89,33.37,13285
2021-12-08,33.35,33.69,33.19,33.36,17794
2021-12-09,32.95,33.18,32.74,32.96,16572
2021-12-10,33.09,33.32,32.82,33.22,14286
2021-12-13,33.16,33.27,32.82,33.12,37365
2021-12-14,32.72,33.13,32.45,32.69,21951
2021-12-15,32.62,33.57,32.45,33.57,29751
2021-12-16,33.69,33.76,33.07,33.20,27282
2021-12-17,32.81,32.86,32.26,32.54,77326
2021-12-20,32.16,32.30,31.45,32.14,61924
2021-12-21,32.43,33.04,32.43,32.73,26193
2021-12-22,32.73,33.37,32.73,33.37,21190
2021-12-23,34.43,34.81,34.22,34.45,25470
2021-12-27,34.12,34.46,34.12,34.35,9679
2021-12-28,34.43,34.81,34.22,34.45,12202
2021-12-29,34.39,34.60,34.15,34.47,35743
2021-12-30,34.50,35.03,34.37,34.94,27939
2021-12-31,34.72,35.03,34.63,34.81,17698
2022-01-03,34.91,35.44,34.31,34.85,49891
2022-01-04,35.00,35.62,34.99,35.34,41172
2022-01-05,35.47,35.62,34.10,34.20,45969
2022-01-06,33.99,34.10,33.13,33.25,56253
2022-01-07,33.28,33.52,32.84,33.45,23469
2022-01-10,33.35,33.35,32.29,32.82,27292
2022-01-11,33.01,33.94,32.81,33.94,17442
2022-01-12,34.12,34.41,33.71,33.81,23859
