date,open,high,low,close,volume
2021-01-04,153.45,154.41,149.51,151.51,641902
2021-01-05,150.76,152.48,149.42,151.72,723509
2021-01-06,153.00,156.09,151.41,155.78,762372
2021-01-07,155.88,158.36,155.11,155.62,978345
2021-01-08,156.02,158.10,154.69,156.21,578489
2021-01-11,154.87,155.72,154.10,155.01,447331
2021-01-12,154.37,155.51,154.15,154.76,512279
2021-01-13,155.09,156.07,153.36,154.22,689450
2021-01-14,154.41,155.02,153.37,153.57,458718
2021-01-15,153.04,154.09,150.86,151.57,691613
2021-01-19,152.47,152.91,151.07,151.56,384725
2021-01-20,152.53,152.63,150.55,152.49,413128
2021-01-21,152.30,153.61,150.76,151.10,505156
2021-01-22,150.47,151.01,148.79,148.94,852146
2021-01-25,148.92,150.71,148.23,150.67,725496
2021-01-26,151.40,152.42,149.85,151.79,549937
2021-01-27,150.17,150.58,143.59,143.63,1352085
2021-01-28,145.34,146.99,143.49,144.83,674624
2021-01-29,144.28,144.38,141.28,141.31,705168
2021-02-01,142.59,146.40,142.06,146.07,704014
2021-02-02,147.49,147.49,143.58,146.50,696410
2021-02-03,147.83,148.25,144.54,144.55,486260
2021-02-04,144.65,145.29,142.13,143.17,1024352
2021-02-05,144.20,145.44,143.59,144.13,741572
2021-02-08,144.66,144.92,142.40,143.09,599798
2021-02-09,142.32,142.67,141.03,141.67,637108
2021-02-10,142.27,144.74,141.99,144.38,624367
2021-02-11,144.70,145.72,144.39,145.35,502085
2021-02-12,144.58,148.20,144.58,148.07,767788
2021-02-16,148.25,148.78,145.59,146.24,710142
2021-02-17,145.19,148.62,144.75,147.43,607502
2021-02-18,146.35,149.68,146.14,149.28,425818
2021-02-19,150.00,151.11,148.89,149.54,614238
2021-02-22,148.46,149.12,146.82,147.50,448425
2021-02-23,147.68,147.68,143.55,143.66,1010897
2021-02-24,143.53,145.88,142.09,145.08,579662
2021-02-25,144.87,146.41,142.64,143.26,429095
2021-02-26,143.98,144.70,142.22,142.49,706058
2021-03-01,143.45,147.01,142.84,146.48,457424
2021-03-02,146.51,146.51,142.93,143.84,519425
2021-03-03,143.44,143.62,141.30,141.89,472175
2021-03-04,141.78,143.13,137.91,139.17,557188
2021-03-05,140.52,142.68,139.04,142.48,486393
2021-03-08,143.00,145.02,141.70,141.82,472919
2021-03-09,142.70,145.47,141.84,141.98,467451
2021-03-10,141.98,143.37,141.78,142.38,356772
2021-03-11,143.20,145.80,143.20,144.49,412468
2021-03-12,144.08,144.29,142.87,144.06,428166
2021-03-15,143.53,146.50,142.70,146.39,362523
2021-03-16,146.60,148.22,145.43,147.63,387763
2021-03-17,147.71,148.03,146.05,146.75,600073
2021-03-18,145.76,146.94,144.55,145.46,417083
2021-03-19,145.36,148.06,145.18,146.18,1158028
2021-03-22,146.36,147.73,146.09,147.59,415390
2021-03-23,147.90,149.11,146.53,147.27,461296
2021-03-24,147.23,150.16,147.14,148.87,573156
2021-03-25,149.00,149.06,147.24,148.24,490548
2021-03-26,148.20,153.63,147.45,153.44,603131
2021-03-29,153.40,157.69,151.14,157.31,771233
2021-03-30,156.89,156.89,152.78,152.98,453078
2021-03-31,152.84,154.21,152.51,153.10,516547
2021-04-01,153.59,154.97,152.35,154.92,407268
2021-04-05,155.49,159.05,155.15,158.60,645943
2021-04-06,157.57,157.57,155.33,156.13,419164
2021-04-07,156.22,157.27,154.11,154.68,369255
2021-04-08,156.05,157.26,154.24,154.37,592515
2021-04-09,153.95,156.00,153.55,156.00,421148
2021-04-12,156.73,157.21,154.99,155.93,473382
2021-04-13,155.43,156.76,154.75,155.77,329081
2021-04-14,155.83,156.28,154.76,155.88,318512
2021-04-15,157.00,157.28,155.18,155.57,638402
2021-04-16,156.26,157.35,154.71,157.00,624292
2021-04-19,157.08,157.08,155.11,155.94,522479
2021-04-20,156.21,159.07,156.21,158.85,585382
2021-04-21,159.71,161.39,159.30,160.75,710391
2021-04-22,160.51,163.43,160.41,161.28,425691
2021-04-23,161.28,163.16,160.64,162.63,277300
2021-04-26,162.94,163.00,160.70,161.02,284336
2021-04-27,160.47,161.49,160.02,161.23,357771
2021-04-28,161.49,161.80,160.52,161.01,308330
2021-04-29,161.68,162.19,160.55,161.46,276349
2021-04-30,160.48,160.75,157.19,158.63,610883
2021-05-03,158.88,160.77,158.18,159.98,756573
2021-05-04,158.34,163.83,158.34,162.86,839010
2021-05-05,164.41,165.24,162.23,165.04,419436
2021-05-06,165.33,166.32,163.56,164.90,519808
2021-05-07,165.26,165.98,163.77,164.20,331689
2021-05-10,164.76,167.53,162.11,165.63,369689
2021-05-11,165.09,165.73,162.28,163.79,391282
2021-05-12,162.58,162.72,158.99,159.02,446751
2021-05-13,160.06,161.93,159.42,160.97,354515
2021-05-14,162.31,163.99,161.76,163.18,344553
2021-05-17,162.78,163.16,161.18,162.24,473135
2021-05-18,161.99,162.00,160.23,160.54,851555
2021-05-19,159.24,159.47,157.06,159.42,412415
2021-05-20,159.76,161.67,158.69,160.22,503319
2021-05-21,160.67,161.64,158.37,159.27,595377
2021-05-24,160.31,161.28,159.41,159.45,332386
2021-05-25,159.51,160.00,158.66,159.17,413645
2021-05-26,158.76,159.35,157.36,158.76,503358
2021-05-27,158.77,160.90,158.47,159.64,967867
2021-05-28,160.46,160.72,159.42,159.48,630171
2021-06-01,160.21,160.29,157.38,158.16,544995
2021-06-02,158.38,159.45,158.38,158.51,415883
2021-06-03,157.68,158.96,156.67,158.60,463026
2021-06-04,159.25,160.95,159.25,160.87,297956
2021-06-07,161.38,161.38,157.55,158.28,286665
2021-06-08,159.05,159.19,157.63,158.23,632148
2021-06-09,158.92,160.00,158.27,159.07,395526
2021-06-10,159.63,161.49,159.63,161.37,665038
2021-06-11,161.47,162.77,161.47,162.76,366656
2021-06-14,162.55,162.74,159.86,160.96,644058
2021-06-15,160.99,161.90,160.10,161.63,320209
2021-06-16,162.27,162.47,159.13,160.22,398214
2021-06-17,159.80,160.96,159.29,159.72,456602
2021-06-18,158.27,159.26,157.44,158.33,874990
2021-06-21,159.04,161.37,158.34,160.89,399894
2021-06-22,160.84,161.78,160.52,161.07,321900
2021-06-23,161.67,161.67,159.69,159.70,345515
2021-06-24,160.44,160.71,159.10,160.32,334125
2021-06-25,160.71,160.89,159.99,160.69,715214
2021-06-28,161.25,161.31,159.39,160.81,399862
2021-06-29,161.03,162.41,159.91,162.05,447951
2021-06-30,162.04,162.04,160.93,161.53,598279
2021-07-01,161.82,163.19,161.38,162.93,304012
2021-07-02,163.57,164.69,162.91,164.41,483590
2021-07-06,164.90,164.91,162.89,164.66,367372
2021-07-07,165.00,168.37,164.61,168.18,545764
2021-07-08,167.04,168.59,165.95,166.45,470719
2021-07-09,167.34,168.96,166.54,168.70,764972
2021-07-12,168.08,169.01,168.06,168.46,559248
2021-07-13,168.46,169.98,167.99,168.26,678448
2021-07-14,168.93,170.23,168.12,170.05,443366
2021-07-15,169.45,171.15,169.45,170.66,320536
2021-07-16,171.26,171.26,169.30,169.87,511455
2021-07-19,168.43,169.16,165.26,166.62,707387
2021-07-20,167.36,170.39,166.88,169.15,411172
2021-07-21,169.42,169.97,168.57,169.70,257046
2021-07-22,169.79,170.73,169.53,170.54,302316
2021-07-23,171.95,172.58,171.03,172.49,216605
2021-07-26,171.85,172.54,170.89,172.37,209863
2021-07-27,172.37,172.62,170.33,171.89,333235
2021-07-28,172.02,172.02,170.05,170.84,376949
2021-07-29,171.75,172.81,171.57,172.47,501305
2021-07-30,172.27,173.62,172.11,173.49,403920
2021-08-02,174.50,175.21,173.22,173.39,286921
2021-08-03,173.67,175.22,172.18,174.99,385644
2021-08-04,174.59,174.89,172.97,174.04,301165
2021-08-05,174.38,174.79,173.24,173.93,255822
2021-08-06,173.72,174.55,173.00,173.37,318079
2021-08-09,173.18,173.73,172.49,172.93,316058
2021-08-10,172.74,173.19,170.83,171.53,359303
2021-08-11,171.94,173.25,171.48,172.12,370187
2021-08-12,171.18,173.72,169.18,172.90,619073
2021-08-13,173.71,175.82,173.45,174.36,523441
2021-08-16,173.97,177.16,172.84,176.99,441273
2021-08-17,176.35,177.00,175.18,176.80,300127
