date,open,high,low,close,volume
2021-01-04,8.13,8.17,7.79,7.83,1691181
2021-01-05,7.63,7.75,7.54,7.67,1038217
2021-01-06,7.74,8.02,7.74,7.86,1137661
2021-01-07,8.07,8.11,7.86,7.96,827504
2021-01-08,8.10,8.11,7.76,7.91,850296
2021-01-11,7.65,7.70,7.42,7.57,1496688
2021-01-12,7.62,7.95,7.60,7.92,1333694
2021-01-13,7.80,7.93,7.64,7.86,1412318
2021-01-14,7.87,8.27,7.83,8.24,1635964
2021-01-15,7.94,7.96,7.67,7.68,864229
2021-01-19,7.73,7.73,7.41,7.47,964551
2021-01-20,7.48,7.48,7.30,7.36,1041678
2021-01-21,7.29,7.29,7.06,7.11,984500
2021-01-22,6.93,7.02,6.81,6.94,1712656
2021-01-25,6.95,6.95,6.75,6.81,625630
2021-01-26,7.02,7.05,6.80,6.83,1698885
2021-01-27,6.77,6.87,6.64,6.75,2770805
2021-01-28,6.92,7.08,6.86,6.99,1650456
2021-01-29,6.81,6.87,6.66,6.76,2508703
2021-02-01,6.90,7.04,6.81,6.98,2217958
2021-02-02,7.15,7.18,6.93,7.11,2540511
2021-02-03,7.29,7.42,7.06,7.09,2415400
2021-02-04,7.13,7.18,7.02,7.09,1512453
2021-02-05,7.23,7.33,7.16,7.24,1594584
2021-02-08,7.14,7.24,6.95,7.04,2377402
2021-02-09,6.85,7.20,6.83,7.07,1592651
2021-02-10,7.00,7.05,6.93,6.94,919812
2021-02-11,7.09,7.15,6.98,7.07,1047382
2021-02-12,6.94,7.13,6.94,7.08,837769
2021-02-16,7.13,7.21,7.08,7.11,594289
2021-02-17,7.11,7.13,6.99,7.09,1553798
2021-02-18,7.02,7.09,6.88,6.98,1119135
2021-02-19,7.02,7.19,6.97,7.07,1231181
2021-02-22,6.70,6.83,6.60,6.65,2057817
2021-02-23,6.78,7.06,6.72,6.94,3699201
2021-02-24,6.85,6.87,6.75,6.80,946279
2021-02-25,6.81,6.83,6.47,6.48,1454027
2021-02-26,6.56,6.58,6.24,6.25,1660163
2021-03-01,6.23,6.36,6.17,6.17,2203390
2021-03-02,6.08,6.38,6.01,6.31,2083374
2021-03-03,6.19,6.37,5.93,6.27,3200276
2021-03-04,6.49,6.67,6.36,6.40,2108710
2021-03-05,6.63,6.69,6.51,6.69,1920387
2021-03-08,6.60,6.67,6.28,6.29,2298103
2021-03-09,6.25,6.41,6.13,6.30,1574429
2021-03-10,6.40,6.63,6.34,6.57,2376598
2021-03-11,6.69,6.74,6.56,6.71,1239336
2021-03-12,6.64,6.70,6.59,6.64,772989
2021-03-15,6.51,6.65,6.46,6.64,1310393
2021-03-16,6.65,6.68,6.42,6.47,1134609
2021-03-17,6.41,6.69,6.38,6.65,974072
2021-03-18,6.76,7.00,6.70,6.89,1631136
2021-03-19,6.90,7.00,6.81,6.91,1029495
2021-03-22,6.76,6.84,6.61,6.80,1788923
2021-03-23,6.72,6.88,6.63,6.64,2594726
2021-03-24,6.57,6.73,6.48,6.50,1166603
2021-03-25,6.45,6.59,6.44,6.58,981016
2021-03-26,6.65,6.82,6.65,6.70,1966796
2021-03-29,6.59,6.60,6.42,6.47,1345640
2021-03-30,6.46,6.64,6.45,6.59,920015
2021-03-31,6.53,6.65,6.49,6.60,1030914
2021-04-01,6.51,6.53,6.31,6.34,1068382
2021-04-05,6.46,6.51,6.36,6.41,640534
2021-04-06,6.44,6.49,6.40,6.47,829545
2021-04-07,6.49,6.55,6.36,6.45,1682049
2021-04-08,6.47,6.52,6.36,6.44,1295192
2021-04-09,6.40,6.45,6.26,6.29,1038876
2021-04-12,6.33,6.36,6.27,6.35,524950
2021-04-13,6.26,6.38,6.20,6.29,1005221
2021-04-14,6.32,6.56,6.32,6.47,1217026
2021-04-15,6.58,6.63,6.42,6.45,851362
2021-04-16,6.40,6.58,6.39,6.55,543078
2021-04-19,6.49,6.58,6.45,6.50,981993
2021-04-20,6.51,6.55,6.44,6.47,810275
2021-04-21,6.43,6.46,6.34,6.45,309106
2021-04-22,6.52,6.56,6.40,6.43,756999
2021-04-23,6.51,6.60,6.50,6.54,789886
2021-04-26,6.65,6.67,6.50,6.56,997403
2021-04-27,6.53,6.62,6.43,6.47,1102973
2021-04-28,6.76,7.18,6.74,7.13,1976334
2021-04-29,7.03,7.03,6.80,6.89,1273069
2021-04-30,6.83,6.83,6.65,6.68,1162747
2021-05-03,6.71,6.86,6.66,6.77,974308
2021-05-04,6.69,6.74,6.60,6.67,947127
2021-05-05,6.72,6.87,6.66,6.82,811120
2021-05-06,6.87,6.92,6.79,6.92,907712
2021-05-07,6.96,7.05,6.93,7.02,718756
2021-05-10,6.87,6.94,6.84,6.90,866414
2021-05-11,6.79,6.93,6.76,6.89,524673
2021-05-12,6.79,6.85,6.63,6.65,849129
2021-05-13,6.75,6.91,6.73,6.83,1128431
2021-05-14,6.92,7.07,6.91,7.06,3416363
2021-05-17,6.96,7.07,6.89,7.04,1363529
2021-05-18,7.07,7.16,7.07,7.09,963256
2021-05-19,7.06,7.30,7.05,7.26,1158092
2021-05-20,7.29,7.34,7.23,7.25,580278
2021-05-21,7.24,7.24,7.14,7.19,542539
2021-05-24,7.29,7.30,7.15,7.16,616514
2021-05-25,7.20,7.22,7.08,7.10,2054100
2021-05-26,7.14,7.28,7.11,7.23,469232
2021-05-27,7.25,7.29,7.13,7.29,739508
2021-05-28,7.29,7.38,7.26,7.38,770884
2021-06-01,7.60,7.85,7.59,7.82,1408412
2021-06-02,7.82,8.07,7.82,8.04,1408247
2021-06-03,7.99,8.05,7.89,7.95,593209
2021-06-04,8.15,8.39,8.15,8.34,928842
2021-06-07,8.41,8.60,8.35,8.53,1388827
2021-06-08,8.37,8.55,8.30,8.48,1269205
2021-06-09,8.45,8.53,8.36,8.36,888919
2021-06-10,8.47,8.51,8.37,8.41,627396
2021-06-11,8.38,8.38,8.14,8.28,1260268
2021-06-14,8.33,8.41,8.29,8.34,649319
2021-06-15,8.28,8.37,8.20,8.37,906392
2021-06-16,8.34,8.68,8.33,8.50,1313086
2021-06-17,8.62,8.65,8.37,8.37,718213
2021-06-18,8.36,8.40,8.15,8.17,1283233
2021-06-21,8.21,8.25,8.10,8.21,1204701
2021-06-22,8.12,8.29,8.03,8.25,873732
2021-06-23,8.25,8.40,8.15,8.17,707930
2021-06-24,8.26,8.30,8.14,8.26,1025987
2021-06-25,8.26,8.26,7.90,8.04,1523510
2021-06-28,7.97,7.98,7.80,7.91,988534
2021-06-29,7.90,7.91,7.78,7.85,1008977
2021-06-30,7.72,7.79,7.62,7.67,1019205
2021-07-01,7.66,7.67,7.46,7.54,1256700
2021-07-02,7.63,7.63,7.47,7.63,906337
2021-07-06,7.34,7.39,7.18,7.19,1028791
2021-07-07,7.22,7.25,7.10,7.20,716243
2021-07-08,7.09,7.14,6.94,7.13,1126294
2021-07-09,7.22,7.26,7.14,7.18,540605
2021-07-12,7.18,7.53,7.17,7.45,1399386
2021-07-13,7.40,7.52,7.35,7.46,1462924
2021-07-14,7.77,7.81,7.55,7.58,1233894
2021-07-15,7.55,7.63,7.35,7.43,560303
2021-07-16,7.47,7.49,7.27,7.29,496178
2021-07-19,7.18,7.19,7.02,7.08,543761
2021-07-20,6.99,7.24,6.97,7.22,1283122
2021-07-21,7.22,7.34,7.18,7.30,527426
2021-07-22,7.29,7.31,7.17,7.17,691335
2021-07-23,7.27,7.32,7.09,7.14,641710
2021-07-26,7.23,7.46,7.23,7.38,697013
2021-07-27,7.33,7.47,7.27,7.38,648156
2021-07-28,7.53,7.63,7.29,7.60,952254
2021-07-29,7.63,7.68,7.52,7.58,999300
2021-07-30,7.53,7.61,7.25,7.26,626968
2021-08-02,7.52,7.61,7.35,7.38,973048
2021-08-03,7.29,7.37,7.10,7.36,975767
2021-08-04,7.30,7.38,7.13,7.24,792510
2021-08-05,7.20,7.26,7.05,7.07,777917
2021-08-06,7.12,7.32,7.07,7.27,728317
2021-08-09,7.32,7.34,7.17,7.28,459201
2021-08-10,7.22,7.28,7.12,7.20,599553
2021-08-11,7.15,7.29,7.09,7.19,1020255
2021-08-12,7.19,7.22,7.07,7.10,418525
2021-08-13,7.11,7.25,7.01,7.24,792406
2021-08-16,7.30,7.32,7.15,7.18,536163
2021-08-17,7.09,7.29,7.05,7.14,760391
2021-08-18,7.11,7.22,6.97,6.97,877422
2021-08-19,6.94,7.00,6.82,6.94,641763
2021-08-20,6.82,7.02,6.80,6.99,559030
2021-08-23,7.01,7.09,6.95,7.09,652267
2021-08-24,7.19,7.38,7.19,7.34,610060
2021-08-25,7.31,7.45,7.28,7.44,610071
2021-08-26,7.38,7.44,7.29,7.30,456263
2021-08-27,7.32,7.49,7.27,7.48,318783
2021-08-30,7.48,7.49,7.37,7.43,287610
2021-08-31,7.52,7.77,7.50,7.53,1197794
2021-09-01,7.58,7.65,7.50,7.54,472015
2021-09-02,7.31,7.41,7.13,7.14,897814
2021-09-03,7.15,7.17,6.94,6.98,1306698
2021-09-07,7.01,7.19,7.00,7.04,572858
2021-09-08,6.89,6.92,6.58,6.61,1577563
2021-09-09,6.58,6.74,6.46,6.66,1646726
2021-09-10,6.74,6.79,6.55,6.56,847276
2021-09-13,6.65,6.75,6.62,6.67,685255
2021-09-14,6.69,6.71,6.58,6.60,548000
2021-09-15,6.55,6.58,6.47,6.48,438194
2021-09-16,6.46,6.53,6.41,6.51,481343
2021-09-17,6.44,6.46,6.33,6.33,697944
2021-09-20,6.23,6.24,5.98,6.11,1491860
2021-09-21,6.14,6.22,6.10,6.14,816508
2021-09-22,6.18,6.33,6.18,6.22,746684
2021-09-23,6.29,6.47,6.28,6.40,713714
2021-09-24,6.30,6.33,6.17,6.17,1081707
2021-09-27,6.21,6.43,6.20,6.38,782572
2021-09-28,6.37,6.45,6.21,6.23,1043138
2021-09-29,6.33,6.38,6.23,6.26,610432
2021-09-30,6.27,6.32,6.06,6.12,1912240
2021-10-01,6.24,6.42,6.19,6.40,933442
2021-10-04,6.21,6.31,6.12,6.15,1322723
2021-10-05,6.21,6.36,6.15,6.28,929625
2021-10-06,6.21,6.29,6.10,6.28,843564
2021-10-07,6.26,6.27,6.17,6.19,913652
2021-10-08,6.36,6.49,6.26,6.26,1736100
