date,open,high,low,close,volume
2016-09-15,61.98,62.71,61.80,62.54,252538
2016-09-16,61.84,61.94,61.48,61.60,361896
2016-09-19,62.18,62.24,61.86,61.88,400980
2016-09-20,62.52,62.59,62.26,62.44,395754
2016-09-21,62.24,63.04,62.11,62.93,301678
2016-09-22,63.77,63.99,63.61,63.66,365490
2016-09-23,63.51,64.15,63.51,63.97,500752
2016-09-26,63.15,63.55,63.02,63.42,330736
2016-09-27,63.72,64.00,63.49,63.79,377488
2016-09-28,64.21,64.44,64.00,64.34,361352
2016-09-29,64.33,64.42,63.57,63.65,291792
2016-09-30,63.94,64.35,63.80,63.83,252934
2016-10-03,64.04,64.05,63.74,63.84,347564
2016-10-04,65.05,65.20,63.73,63.95,705780
2016-10-05,62.88,62.90,62.16,62.37,515004
2016-10-06,61.30,61.74,61.30,61.51,563206
2016-10-07,60.34,60.88,60.31,60.77,891646
2016-10-10,60.36,60.48,60.20,60.35,755042
2016-10-11,60.24,60.30,59.45,59.56,415912
2016-10-12,59.41,59.72,59.13,59.49,721784
2016-10-13,59.41,60.45,59.37,60.30,586318
2016-10-14,59.78,60.05,59.63,59.70,361938
2016-10-17,58.77,59.15,58.76,59.00,556590
2016-10-18,59.65,59.67,59.20,59.38,345002
2016-10-19,58.92,59.05,58.62,58.98,397526
2016-10-20,58.59,59.26,58.59,59.06,232892
2016-10-21,59.80,59.81,54.83,56.67,20039420
2016-10-24,56.22,57.28,56.22,57.05,4949678
2016-10-25,57.31,57.51,57.01,57.14,5429122
2016-10-26,56.43,56.45,55.53,55.80,4482270
2016-10-27,56.34,56.41,55.87,56.04,3628548
2016-10-28,56.72,57.36,56.60,57.05,3459776
2016-10-31,57.34,57.49,56.95,57.45,4041528
2016-11-01,57.26,57.33,56.28,56.58,5086546
2016-11-02,56.84,56.87,56.15,56.28,4206160
2016-11-03,56.95,57.23,56.62,56.77,1859068
2016-11-04,56.20,56.62,56.00,56.23,887790
2016-11-07,56.19,56.66,56.15,56.66,1334204
2016-11-08,56.42,57.09,56.41,56.88,1155192
2016-11-09,55.67,56.14,55.51,55.84,1626364
2016-11-10,53.71,53.71,52.71,52.97,7706096
2016-11-11,54.12,54.42,53.80,54.12,4329908
2016-11-14,53.07,53.63,52.84,53.05,2649678
2016-11-15,53.63,53.75,53.28,53.51,3239534
2016-11-16,53.08,53.49,52.95,53.27,2127894
2016-11-17,53.44,53.81,53.30,53.47,2413812
2016-11-18,53.86,53.90,53.52,53.66,1923076
2016-11-21,54.23,54.43,54.06,54.37,2795066
2016-11-22,54.17,54.45,54.11,54.35,2471252
2016-11-23,53.78,54.41,53.73,54.16,3709920
2016-11-25,55.12,55.13,54.73,54.97,1665782
2016-11-28,55.41,55.44,55.01,55.11,2386946
2016-11-29,55.49,55.74,55.41,55.48,1823386
2016-11-30,56.13,56.13,54.47,54.52,3679378
2016-12-01,54.10,54.33,53.78,54.27,3561262
2016-12-02,54.73,55.17,54.54,55.12,1910448
2016-12-05,55.20,55.34,54.84,55.09,2435332
2016-12-06,55.17,55.18,54.73,54.88,1429916
2016-12-07,54.67,55.30,54.58,55.19,1754964
2016-12-08,54.80,55.02,54.68,54.78,1709294
2016-12-09,55.66,55.73,55.20,55.50,2331884
2016-12-12,55.02,55.55,55.02,55.33,1427800
2016-12-13,55.97,56.63,55.73,56.23,2673558
2016-12-14,56.91,57.10,55.88,55.91,3556394
2016-12-15,55.95,56.17,55.81,56.02,1395628
2016-12-16,56.38,56.52,55.99,56.26,1365758
2016-12-19,56.03,56.63,55.97,56.42,1256284
2016-12-20,56.31,56.35,56.06,56.30,647940
2016-12-21,56.31,56.62,56.16,56.23,682584
2016-12-22,56.12,56.19,55.85,56.02,1245240
2016-12-23,55.77,56.22,55.74,56.10,471650
2016-12-27,56.39,56.44,55.97,56.31,844142
2016-12-28,55.53,55.96,55.53,55.69,1279620
2016-12-29,55.91,56.28,55.90,56.19,808318
2016-12-30,56.72,56.92,56.29,56.34,833266
2017-01-03,56.58,56.68,56.29,56.49,1290452
2017-01-04,56.51,56.58,55.88,56.37,4436380
2017-01-05,56.67,57.08,56.43,56.43,3662898
2017-01-06,56.38,56.53,56.16,56.27,1408406
2017-01-09,56.77,56.99,56.49,56.85,2640092
2017-01-10,56.62,56.85,56.44,56.72,1926128
2017-01-11,57.09,57.54,56.88,57.22,3251528
2017-01-12,57.69,57.94,57.38,57.45,2185844
2017-01-13,57.20,57.71,57.12,57.60,1182884
2017-01-17,57.21,57.32,56.38,56.55,22170540
2017-01-18,57.31,57.31,56.86,57.08,13927970
2017-01-19,57.84,58.44,57.77,58.38,10968976
2017-01-20,58.49,58.75,58.35,58.65,5635868
