date,open,high,low,close,volume
2024-01-26,46.00,47.00,44.43,45.00,1850685
2024-01-29,44.99,45.50,43.80,44.50,764961
2024-01-30,44.53,46.71,44.24,46.45,634894
2024-01-31,46.15,46.50,44.20,45.60,312221
2024-02-01,45.60,46.55,45.60,46.17,62024
2024-02-02,46.00,46.00,45.57,45.57,20364
2024-02-05,43.95,45.83,43.95,45.45,111467
2024-02-06,46.32,46.37,46.20,46.25,270956
2024-02-07,43.01,46.50,43.01,46.24,417519
2024-02-08,46.31,46.70,45.93,45.93,206787
2024-02-09,46.25,46.25,45.85,45.85,25207
2024-02-12,45.96,45.96,45.86,45.94,55755
2024-02-13,45.55,45.92,45.55,45.75,68898
2024-02-14,45.00,45.00,44.65,44.76,166575
2024-02-15,44.95,45.00,43.90,43.97,327201
2024-02-16,44.40,44.40,43.69,43.70,1105
2024-02-20,44.00,44.03,43.36,43.45,202468
2024-02-21,43.43,43.56,42.01,42.08,102094
2024-02-22,41.89,41.89,40.50,40.73,497565
2024-02-23,40.35,40.35,38.75,38.75,143596
2024-02-26,39.12,39.53,38.74,39.00,101749
2024-02-27,40.20,40.68,39.55,40.68,45979
2024-02-28,40.57,40.57,40.36,40.57,5673
2024-02-29,39.29,39.29,38.00,38.00,59518
2024-03-01,38.60,38.60,37.71,38.29,392765
2024-03-04,34.88,39.81,34.88,39.24,70831
2024-03-05,38.48,39.05,38.47,39.05,16253
2024-03-06,38.45,38.99,38.33,38.72,102252
2024-03-07,38.51,39.20,38.27,38.27,131629
2024-03-08,38.16,38.31,38.16,38.24,896
2024-03-11,38.76,39.17,38.76,39.11,1448
2024-03-12,38.73,38.90,38.73,38.79,691
2024-03-13,38.06,38.06,37.69,37.69,123950
2024-03-14,37.41,37.41,35.16,36.03,207804
2024-03-15,36.24,36.45,34.55,36.12,472308
2024-03-18,38.23,38.23,37.15,37.93,27076
2024-03-19,38.41,39.55,37.96,39.28,9686
2024-03-20,38.07,38.75,37.99,38.50,2726
2024-03-21,38.77,39.72,38.63,39.65,2200
2024-03-22,39.44,40.42,39.44,40.42,2440
2024-03-25,39.94,41.34,39.94,40.79,119480
2024-03-26,40.99,41.50,40.89,41.23,15456
2024-03-27,40.83,42.76,40.80,42.17,797226
2024-03-28,42.30,45.51,42.30,45.08,1481880
2024-04-01,45.06,46.00,44.56,44.79,200809
2024-04-02,44.57,44.57,43.52,43.68,23447
2024-04-03,43.31,43.83,43.24,43.24,97499
2024-04-04,43.27,43.37,42.85,42.94,5439
2024-04-05,43.00,43.00,42.52,42.52,3421
2024-04-08,42.46,43.70,42.33,43.17,4207
2024-04-09,41.41,43.78,41.41,43.16,4322
2024-04-10,42.93,43.33,42.67,43.02,4589
2024-04-11,42.81,43.65,42.48,43.34,3856
2024-04-12,42.88,42.88,41.31,41.34,154124
2024-04-15,41.95,42.39,41.24,42.39,6132
2024-04-16,42.31,42.94,41.30,42.68,4317
2024-04-17,42.92,43.49,41.92,41.99,5827
2024-04-18,41.88,42.33,41.66,41.88,4476
2024-04-19,42.03,42.79,41.76,42.79,6080
2024-04-22,42.50,43.41,42.50,42.83,166004
2024-04-23,42.94,43.50,42.55,43.50,138875
2024-04-24,43.47,43.77,42.91,43.77,2634
2024-04-25,43.01,43.23,42.47,42.56,4384
2024-04-26,42.44,43.09,42.44,42.92,7940
2024-04-29,43.06,44.15,42.79,44.15,3903
2024-04-30,43.94,44.37,43.00,43.23,19697
2024-05-01,43.04,43.58,42.83,43.40,2095
2024-05-02,44.49,44.49,43.08,44.30,3835
2024-05-03,44.91,45.95,44.83,45.60,23108
2024-05-06,45.75,46.10,45.75,45.91,17754
2024-05-07,45.85,45.85,45.54,45.54,485006
2024-05-08,45.88,46.09,45.45,45.73,5843
2024-05-09,45.81,46.25,45.81,46.25,5556
2024-05-10,46.25,46.25,46.25,46.25,0
2024-05-13,45.63,45.76,45.35,45.35,767
2024-05-14,45.57,45.62,45.56,45.56,847
2024-05-15,45.82,46.48,45.79,46.35,106611
2024-05-16,45.85,45.85,45.85,45.85,1016
2024-05-17,45.73,45.93,45.73,45.93,11221
2024-05-20,47.00,47.00,46.07,46.08,1733
2024-05-21,45.40,45.40,45.40,45.40,1694
2024-05-22,45.42,46.79,45.42,45.96,9174
2024-05-23,44.01,45.75,44.01,45.66,2385
2024-05-24,45.66,45.66,45.66,45.66,0
2024-05-28,45.66,45.66,45.66,45.66,0
2024-05-29,45.66,45.72,45.66,45.72,813
2024-05-30,46.00,46.00,46.00,46.00,494
2024-05-31,45.47,46.24,45.07,46.11,78812
2024-06-03,46.86,46.86,46.15,46.38,1663
2024-06-04,46.38,46.44,46.38,46.44,1304
2024-06-05,46.52,46.72,46.52,46.61,2692
2024-06-06,46.86,48.34,43.80,46.42,108305
2024-06-07,45.42,45.42,44.26,44.86,3537
2024-06-10,44.95,45.21,44.95,45.21,274
2024-06-11,44.79,44.80,44.48,44.51,2632
2024-06-12,44.98,44.98,44.53,44.53,2349
2024-06-13,43.87,43.87,43.25,43.87,1724
