date,open,high,low,close,volume
2021-01-04,262.25,263.57,252.72,253.38,768381
2021-01-05,252.64,256.80,250.71,252.24,592323
2021-01-06,252.89,268.56,251.76,267.22,760906
2021-01-07,269.22,271.75,262.96,264.09,686554
2021-01-08,265.42,269.03,262.33,264.97,457891
2021-01-11,261.67,268.17,260.43,263.88,482572
2021-01-12,262.74,264.29,260.71,262.69,475900
2021-01-13,261.16,261.85,255.29,258.10,500889
2021-01-14,258.97,260.00,252.09,253.06,500829
2021-01-15,253.61,255.41,247.63,253.92,535603
2021-01-19,255.00,257.31,250.91,252.06,616403
2021-01-20,253.08,256.18,252.66,253.69,417945
2021-01-21,253.46,257.76,253.46,253.98,249587
2021-01-22,253.95,255.41,250.77,252.25,379921
2021-01-25,251.50,256.08,245.93,252.54,512887
2021-01-26,253.50,257.50,249.83,251.32,545173
2021-01-27,245.18,249.61,234.07,236.99,1155311
2021-01-28,239.44,253.20,237.41,250.09,632188
2021-01-29,247.54,252.51,243.55,248.90,503776
2021-02-01,251.59,252.42,244.39,248.33,770839
2021-02-02,251.76,257.38,250.97,252.36,650660
2021-02-03,252.14,259.93,252.14,252.72,449105
2021-02-04,254.57,263.40,254.14,256.90,324609
2021-02-05,259.11,261.17,255.43,255.99,319528
2021-02-08,257.09,263.96,256.29,263.85,387268
2021-02-09,264.43,267.06,262.49,263.99,428082
2021-02-10,264.95,266.06,258.78,259.79,270514
2021-02-11,261.19,266.73,261.19,265.35,271088
2021-02-12,263.97,264.85,260.06,262.66,256316
2021-02-16,264.71,267.13,263.14,263.30,315328
2021-02-17,261.93,266.04,260.25,264.79,218495
2021-02-18,263.82,266.06,260.00,264.85,382232
2021-02-19,266.97,269.12,263.16,264.81,367349
2021-02-22,264.32,268.53,262.34,264.64,432989
2021-02-23,265.30,270.10,257.94,264.91,598329
2021-02-24,264.06,272.66,260.99,269.63,395765
2021-02-25,270.69,271.97,260.90,261.62,334703
2021-02-26,261.53,264.32,257.21,258.82,370259
2021-03-01,264.35,267.00,262.21,263.97,382454
2021-03-02,262.09,265.19,257.96,258.54,413713
2021-03-03,256.47,256.64,252.21,253.61,815145
2021-03-04,278.21,296.45,278.10,281.99,2385556
2021-03-05,286.79,288.80,274.08,279.35,1161723
2021-03-08,279.85,304.89,278.33,304.16,1039693
2021-03-09,307.30,308.88,299.96,304.11,787021
2021-03-10,305.13,307.61,292.74,293.38,648227
2021-03-11,294.66,303.57,292.60,302.80,504156
2021-03-12,303.11,311.74,300.30,311.51,430886
2021-03-15,311.10,321.86,310.61,317.20,608353
2021-03-16,316.34,316.34,305.38,308.55,568663
2021-03-17,306.11,310.50,304.72,306.31,826707
2021-03-18,306.79,316.47,304.22,306.96,726691
2021-03-19,307.94,309.57,302.75,307.00,1430803
2021-03-22,306.72,307.81,300.44,304.00,856900
2021-03-23,299.15,302.05,293.64,294.43,978195
2021-03-24,295.18,298.73,288.60,288.80,449400
2021-03-25,287.33,293.61,284.51,292.40,636355
2021-03-26,295.34,295.73,288.80,294.04,443865
2021-03-29,292.41,295.81,290.62,294.52,399135
2021-03-30,294.15,305.32,293.64,304.71,522473
2021-03-31,304.60,308.51,298.71,298.80,734651
2021-04-01,299.75,301.19,296.53,299.29,465174
2021-04-05,303.92,304.04,299.27,300.08,433383
2021-04-06,298.98,308.24,298.98,305.49,657441
2021-04-07,305.62,308.68,302.15,306.63,479110
2021-04-08,308.61,314.12,303.29,313.04,801006
2021-04-09,314.04,324.99,311.10,324.70,774198
2021-04-12,321.52,325.50,320.80,325.42,788547
2021-04-13,324.20,325.76,319.89,325.34,519168
2021-04-14,325.50,330.50,324.46,325.77,591562
2021-04-15,327.50,329.78,322.33,324.67,667122
2021-04-16,329.20,329.20,321.68,324.73,236067
2021-04-19,322.98,325.71,320.10,320.88,439605
2021-04-20,318.51,320.95,312.76,318.70,402396
2021-04-21,321.17,324.78,319.68,322.06,308254
2021-04-22,321.82,325.59,320.38,323.09,243400
2021-04-23,325.77,330.08,323.06,328.04,339652
2021-04-26,328.70,331.17,319.70,321.57,327015
2021-04-27,324.00,326.53,321.99,324.73,467525
2021-04-28,324.24,325.12,319.52,319.94,291274
2021-04-29,321.00,325.77,320.51,321.71,409195
2021-04-30,324.45,326.59,320.86,326.33,503700
2021-05-03,327.76,329.17,323.95,326.73,447087
