date,open,high,low,close,volume
2021-01-04,34.66,34.79,33.56,33.83,1838490
2021-01-05,33.66,34.87,33.66,34.63,1693576
2021-01-06,34.66,35.92,34.66,35.70,2736427
2021-01-07,36.26,36.78,35.90,36.53,2259229
2021-01-08,36.42,36.57,35.43,35.81,2059449
2021-01-11,35.27,35.92,35.11,35.71,1294931
2021-01-12,36.20,37.19,35.95,36.59,3152610
2021-01-13,36.50,36.80,35.51,35.69,2246763
2021-01-14,35.94,36.09,34.92,35.20,2819675
2021-01-15,34.77,34.98,33.79,34.31,4637976
2021-01-19,34.63,35.14,34.11,34.93,2374121
2021-01-20,35.56,36.37,35.15,36.34,2263509
2021-01-21,36.36,39.02,36.35,38.75,4586542
2021-01-22,38.51,38.62,37.69,38.04,2198493
2021-01-25,37.84,38.74,37.52,38.67,2194886
2021-01-26,39.15,39.73,38.61,39.07,3178442
2021-01-27,38.97,41.31,38.69,39.91,7918718
2021-01-28,39.81,40.04,37.37,37.69,3088687
2021-01-29,37.47,38.70,37.00,37.32,2735006
2021-02-01,37.52,37.79,36.87,37.40,3116717
2021-02-02,37.74,37.81,36.71,36.74,2003641
2021-02-03,36.81,38.03,36.46,37.95,2344889
2021-02-04,38.25,38.49,37.61,37.96,2035464
2021-02-05,38.41,38.50,37.68,38.31,1861113
2021-02-08,38.45,38.81,38.01,38.61,2440009
2021-02-09,38.38,38.50,37.87,38.14,1469893
2021-02-10,38.51,39.42,38.19,38.83,2805825
2021-02-11,40.44,40.66,37.05,38.08,3961580
2021-02-12,37.85,38.09,36.57,37.32,2690093
2021-02-16,39.11,39.45,37.92,38.91,3875199
2021-02-17,38.94,39.95,38.48,39.61,4879228
2021-02-18,39.29,39.55,38.19,38.27,2620610
2021-02-19,38.84,39.25,38.16,38.72,2476613
2021-02-22,38.44,39.73,38.40,39.68,1909835
2021-02-23,39.29,39.93,38.24,39.89,2966518
2021-02-24,40.09,41.05,39.96,40.89,2750083
2021-02-25,41.09,41.17,39.69,40.09,1893750
2021-02-26,40.13,40.46,39.00,40.00,3216716
2021-03-01,40.34,40.65,39.69,40.20,1844106
2021-03-02,40.31,41.66,40.03,41.08,2016705
2021-03-03,41.35,43.01,41.17,42.06,3202342
2021-03-04,41.98,42.18,40.35,41.34,2167671
2021-03-05,41.69,43.53,41.51,43.41,3681575
2021-03-08,43.84,44.91,43.64,44.18,3276748
2021-03-09,44.09,44.77,43.47,43.47,3071812
2021-03-10,43.53,44.74,43.38,44.35,2360885
2021-03-11,44.33,44.44,42.82,43.69,2547297
2021-03-12,43.82,44.83,43.51,44.73,1684178
2021-03-15,44.82,44.97,44.17,44.93,1789466
2021-03-16,44.73,44.85,43.22,43.35,1503388
2021-03-17,43.35,44.14,43.03,44.14,2532924
2021-03-18,43.84,44.29,42.61,42.81,2067670
2021-03-19,42.78,43.73,42.35,43.57,4667168
2021-03-22,43.18,43.45,42.17,42.78,2138057
2021-03-23,41.98,41.98,39.22,39.37,3513862
2021-03-24,39.67,40.11,38.64,38.66,3268199
2021-03-25,37.98,39.11,37.80,38.84,2793003
2021-03-26,39.90,40.73,39.29,40.65,3438698
2021-03-29,40.93,41.59,40.17,40.26,2662749
2021-03-30,40.41,41.45,40.09,41.36,1882640
2021-03-31,41.43,41.60,40.77,41.21,1613074
2021-04-01,41.43,41.57,40.14,41.15,1844343
2021-04-05,41.43,41.86,41.00,41.59,1675219
2021-04-06,41.60,42.01,41.32,41.48,1808105
2021-04-07,41.40,41.68,40.23,40.44,2493418
2021-04-08,40.27,41.03,39.66,40.89,1982400
2021-04-09,41.20,41.50,40.82,41.31,1412927
2021-04-12,42.65,42.65,41.56,42.29,2485282
2021-04-13,42.48,42.69,41.35,41.93,2083280
2021-04-14,41.82,42.94,41.82,42.18,1689054
2021-04-15,42.38,42.70,41.93,42.56,1821422
2021-04-16,42.84,43.82,42.81,43.52,2512006
2021-04-19,43.24,44.07,42.81,43.84,2110041
2021-04-20,43.69,43.85,42.15,42.60,1909858
2021-04-21,42.45,44.68,42.33,44.57,2366714
2021-04-22,44.83,44.90,43.47,44.03,1913941
2021-04-23,44.33,45.52,44.22,45.30,1763643
2021-04-26,45.55,46.11,44.78,44.88,1667826
2021-04-27,44.70,45.00,44.46,44.54,1632580
2021-04-28,44.49,45.24,44.47,44.85,1235819
2021-04-29,44.97,44.97,43.27,43.87,2117934
2021-04-30,43.58,44.02,42.96,43.18,1878959
2021-05-03,43.48,43.96,43.14,43.78,2074847
2021-05-04,43.37,43.52,42.29,43.11,2052478
2021-05-05,43.99,45.49,43.83,45.44,1601577
2021-05-06,45.54,46.65,45.34,46.42,2065568
2021-05-07,46.14,47.93,45.35,47.82,2328898
2021-05-10,47.94,48.18,47.01,47.05,2029321
2021-05-11,46.22,46.72,45.03,45.91,1745993
2021-05-12,45.70,45.88,44.00,44.22,1701031
2021-05-13,44.01,45.32,43.90,45.11,1481692
2021-05-14,45.69,45.79,44.97,45.71,1249604
2021-05-17,45.72,46.05,45.33,45.91,1194127
2021-05-18,45.75,46.01,45.38,45.45,1316835
2021-05-19,44.44,44.71,43.76,44.46,2015123
2021-05-20,44.44,44.54,43.61,44.21,2042505
2021-05-21,44.55,45.26,44.45,44.89,1539059
2021-05-24,45.14,45.15,44.45,44.57,1084961
2021-05-25,44.63,45.13,43.96,44.26,1412939
2021-05-26,44.16,44.93,43.70,44.90,1658473
2021-05-27,45.53,46.18,45.44,45.70,3860061
2021-05-28,45.83,45.88,44.90,45.59,1285732
2021-06-01,46.05,47.24,45.68,47.07,1518890
2021-06-02,49.11,49.27,46.71,47.47,2203628
