date,open,high,low,close,volume
2021-01-04,60.28,60.91,58.87,58.95,316388
2021-01-05,58.95,59.88,58.95,59.22,367307
2021-01-06,59.42,61.53,59.42,61.00,324100
2021-01-07,59.08,60.29,58.78,58.91,368730
2021-01-08,59.22,59.94,58.74,59.23,289922
2021-01-11,58.89,60.10,58.89,59.80,245344
2021-01-12,59.90,61.02,59.82,60.33,282855
2021-01-13,60.42,60.63,59.76,60.09,269952
2021-01-14,61.00,61.77,60.61,61.22,304886
2021-01-15,60.90,60.90,59.83,59.85,246010
2021-01-19,60.00,60.55,59.75,59.99,358710
2021-01-20,60.17,60.45,58.65,58.88,348826
2021-01-21,58.86,59.48,57.92,58.31,268520
2021-01-22,58.00,58.75,57.79,58.18,340736
2021-01-25,58.16,59.49,57.87,57.96,232087
2021-01-26,57.93,58.30,57.11,57.31,325833
2021-01-27,56.62,56.88,54.21,54.89,438547
2021-01-28,54.76,55.77,54.63,55.13,400974
2021-01-29,54.79,55.23,53.90,53.92,425202
2021-02-01,54.11,55.15,53.67,54.94,353848
2021-02-02,55.49,56.30,55.14,56.03,444874
2021-02-03,55.60,56.25,55.33,55.44,309656
2021-02-04,56.23,56.78,55.59,56.45,387501
2021-02-05,56.69,57.05,55.95,56.11,340220
2021-02-08,56.38,57.12,56.37,56.99,395322
2021-02-09,56.99,57.48,56.58,56.71,306396
2021-02-10,56.80,57.98,56.80,57.10,370405
2021-02-11,57.24,58.95,57.24,58.56,408833
2021-02-12,58.40,59.18,58.17,59.15,274659
2021-02-16,59.58,60.35,58.70,59.43,460386
2021-02-17,59.35,60.10,59.09,59.69,345301
2021-02-18,59.49,59.86,58.91,58.91,1210447
2021-02-19,59.18,59.52,58.33,58.59,1014057
2021-02-22,58.36,58.95,57.24,57.73,696391
2021-02-23,56.01,58.06,54.70,57.45,1703712
2021-02-24,57.66,60.96,57.64,60.29,610797
2021-02-25,59.96,60.57,59.21,59.34,328914
2021-02-26,59.40,59.40,57.73,58.01,621525
2021-03-01,58.75,60.01,58.55,60.00,489225
2021-03-02,60.07,61.16,59.67,60.45,690127
2021-03-03,60.50,61.00,59.86,59.90,553523
2021-03-04,59.63,59.89,57.52,58.04,514951
2021-03-05,58.51,59.97,57.16,59.75,466209
2021-03-08,60.00,61.20,59.62,59.99,476418
2021-03-09,60.00,61.11,59.59,59.63,735107
2021-03-10,59.90,61.03,59.23,61.03,232761
2021-03-11,61.09,62.71,60.77,61.90,332162
2021-03-12,61.91,63.35,61.86,63.08,376764
2021-03-15,63.20,64.36,63.12,64.34,344339
2021-03-16,64.39,64.39,63.05,63.66,259203
2021-03-17,63.49,64.87,63.05,64.77,322017
2021-03-18,64.56,65.76,64.23,64.47,483282
2021-03-19,64.27,65.12,63.12,64.87,630065
2021-03-22,64.76,65.18,64.15,64.56,356962
2021-03-23,64.23,64.72,63.01,63.34,315300
2021-03-24,63.38,64.72,63.38,63.99,302409
2021-03-25,63.79,64.32,62.68,64.28,591865
2021-03-26,64.57,64.79,63.91,64.79,195991
2021-03-29,64.81,66.19,64.81,65.82,240351
2021-03-30,65.65,66.17,65.30,66.00,215353
2021-03-31,66.30,66.81,65.78,65.94,410739
2021-04-01,66.32,66.89,65.28,66.87,326117
2021-04-05,67.46,68.38,67.31,67.88,347699
2021-04-06,67.89,68.67,67.80,68.10,323311
2021-04-07,67.93,68.18,67.02,67.21,242769
2021-04-08,67.34,67.75,67.07,67.71,462370
2021-04-09,67.82,67.85,66.97,67.32,223795
2021-04-12,67.40,67.95,67.05,67.95,237528
2021-04-13,67.77,67.83,67.00,67.03,261651
2021-04-14,67.00,67.84,66.64,67.25,390381
2021-04-15,67.28,67.76,66.92,67.56,273341
2021-04-16,67.98,68.47,67.38,68.02,203812
2021-04-19,68.10,68.13,67.35,67.67,198715
2021-04-20,67.52,67.97,67.04,67.35,273173
2021-04-21,67.39,67.80,67.18,67.77,359826
2021-04-22,67.70,67.98,67.08,67.18,412957
2021-04-23,67.11,67.54,66.69,67.37,199344
2021-04-26,67.71,67.72,66.91,67.19,394341
2021-04-27,67.21,67.61,67.01,67.58,252131
2021-04-28,67.55,67.77,67.03,67.25,249891
2021-04-29,67.42,68.03,67.29,67.67,388345
2021-04-30,67.56,67.89,66.70,66.92,308021
2021-05-03,66.94,67.48,66.54,67.27,334578
2021-05-04,68.38,68.68,66.39,67.18,311823
2021-05-05,67.11,67.11,65.30,65.62,303017
2021-05-06,65.51,65.68,64.91,65.38,252493
2021-05-07,65.23,66.54,65.01,66.00,330679
2021-05-10,66.00,66.46,65.74,65.85,190507
2021-05-11,65.28,66.05,65.05,65.13,344345
2021-05-12,65.04,65.63,63.30,63.31,241810
2021-05-13,63.19,64.40,63.13,63.59,353527
2021-05-14,64.11,65.08,63.67,65.01,295990
2021-05-17,64.84,65.00,64.00,64.44,141648
2021-05-18,63.97,64.18,62.45,62.47,299166
2021-05-19,61.95,62.17,61.19,62.04,221594
2021-05-20,62.08,62.51,61.71,62.35,195510
2021-05-21,62.48,62.92,62.20,62.43,151408
2021-05-24,62.92,62.92,61.79,61.98,198727
2021-05-25,62.13,62.63,61.72,62.00,233330
2021-05-26,62.00,62.41,61.78,62.38,193703
2021-05-27,62.75,62.91,62.07,62.55,333959
2021-05-28,62.56,62.83,62.12,62.54,177120
2021-06-01,62.95,63.37,62.62,63.10,269145
2021-06-02,63.30,63.36,62.72,63.25,221374
2021-06-03,63.01,63.67,62.91,63.62,355089
2021-06-04,63.78,64.29,63.61,63.99,201222
2021-06-07,63.91,64.36,63.69,64.14,249852
2021-06-08,64.35,64.73,63.92,64.12,209467
2021-06-09,64.29,64.46,63.55,64.17,211876
2021-06-10,64.33,64.56,63.84,63.89,184619
2021-06-11,64.11,64.50,63.72,64.05,280911
2021-06-14,63.80,64.41,63.30,64.28,611432
2021-06-15,64.58,64.91,63.64,63.65,243501
2021-06-16,63.80,63.87,62.43,62.72,358414
2021-06-17,62.48,62.48,60.30,60.44,486473
2021-06-18,59.95,59.97,59.21,59.21,646246
2021-06-21,59.67,60.58,59.52,60.46,643682
