date,open,high,low,close,volume
2021-01-04,249.33,249.33,240.96,241.16,163083
2021-01-05,241.00,244.28,236.20,239.16,164110
2021-01-06,238.13,242.10,233.12,238.65,396888
2021-01-07,239.66,241.58,236.70,239.87,275635
2021-01-08,242.00,243.97,237.28,238.46,229581
2021-01-11,235.72,242.04,235.72,239.85,161212
2021-01-12,238.79,242.45,237.72,241.81,154965
2021-01-13,243.64,244.44,238.56,239.10,189661
2021-01-14,239.99,246.13,238.75,242.69,126604
2021-01-15,242.39,246.11,240.32,245.25,136675
2021-01-19,246.64,249.00,245.52,247.83,185131
2021-01-20,248.11,254.83,248.11,249.80,219260
2021-01-21,249.50,250.35,246.33,249.10,171644
2021-01-22,248.70,254.43,247.83,253.66,124543
2021-01-25,254.99,255.87,251.59,253.09,161683
2021-01-26,256.27,257.97,251.36,252.59,122831
2021-01-27,249.34,263.77,246.51,259.21,533617
2021-01-28,260.62,261.65,241.23,246.60,481141
2021-01-29,247.15,250.02,240.33,241.22,267513
2021-02-01,242.81,243.44,235.51,239.31,181624
2021-02-02,240.66,243.02,239.01,240.38,185505
2021-02-03,238.61,239.20,236.00,238.93,208059
2021-02-04,239.26,242.63,238.52,239.82,150602
2021-02-05,240.41,242.00,236.63,237.54,199236
2021-02-08,238.13,241.10,237.69,240.13,124643
2021-02-09,241.55,244.73,239.53,242.71,144769
2021-02-10,244.51,244.51,237.91,239.08,163964
2021-02-11,239.55,242.00,237.59,241.00,148526
2021-02-12,240.31,240.31,236.23,236.73,105880
2021-02-16,236.67,238.57,233.69,237.30,130919
2021-02-17,237.00,242.46,236.45,242.44,131663
2021-02-18,241.19,242.01,236.88,237.16,124767
2021-02-19,237.55,237.55,234.81,235.10,136295
2021-02-22,232.95,236.00,231.12,234.28,166300
2021-02-23,233.61,233.61,226.41,232.28,262598
2021-02-24,231.36,233.50,228.02,228.50,177071
2021-02-25,226.13,227.53,222.58,225.20,209120
2021-02-26,225.33,226.82,221.00,221.34,386436
2021-03-01,223.98,227.98,222.95,226.92,176654
2021-03-02,226.25,226.25,218.52,218.72,288363
2021-03-03,220.52,222.03,216.37,216.37,220923
2021-03-04,218.07,221.01,215.18,216.48,395974
2021-03-05,217.90,219.80,215.22,218.27,284988
2021-03-08,218.85,221.57,217.29,218.56,326292
2021-03-09,221.02,224.09,220.37,223.21,229558
2021-03-10,224.94,228.47,223.12,224.99,138774
