date,open,high,low,close,volume
2021-01-04,11.00,11.00,11.00,11.00,0
2021-01-05,11.00,11.00,11.00,11.00,0
2021-01-06,11.00,11.00,11.00,11.00,0
2021-01-07,11.00,11.00,11.00,11.00,0
2021-01-08,11.00,11.00,11.00,11.00,0
2021-01-11,11.00,11.00,11.00,11.00,0
2021-01-12,11.00,11.00,11.00,11.00,0
2021-01-13,11.00,11.00,11.00,11.00,0
2021-01-14,11.00,11.00,11.00,11.00,0
2021-01-15,11.00,11.00,11.00,11.00,0
2021-01-19,11.00,11.00,11.00,11.00,0
2021-01-20,11.00,11.00,11.00,11.00,0
2021-01-21,11.00,11.00,11.00,11.00,0
2021-01-22,11.00,11.00,11.00,11.00,0
2021-01-25,11.00,11.00,11.00,11.00,0
2021-01-26,11.00,11.00,11.00,11.00,0
2021-01-27,11.00,11.00,11.00,11.00,0
2021-01-28,11.30,11.30,11.30,11.30,600
2021-01-29,11.30,11.30,11.30,11.30,0
2021-02-01,11.30,11.30,11.30,11.30,0
2021-02-02,11.30,11.30,11.30,11.30,0
2021-02-03,11.30,11.30,11.30,11.30,5000
2021-02-04,11.42,11.42,11.42,11.42,2500
2021-02-05,11.50,11.50,11.50,11.50,10200
2021-02-08,11.52,11.52,11.52,11.52,10000
2021-02-09,11.52,11.52,11.52,11.52,0
2021-02-10,11.50,11.50,11.50,11.50,500
2021-02-11,11.50,11.60,11.50,11.60,21900
2021-02-12,11.60,11.60,11.60,11.60,0
2021-02-16,11.60,11.60,11.60,11.60,500
2021-02-17,11.60,11.60,11.60,11.60,0
2021-02-18,11.60,11.60,11.60,11.60,0
2021-02-19,11.60,11.60,11.60,11.60,0
2021-02-22,11.60,11.60,11.60,11.60,0
2021-02-23,11.60,11.60,11.60,11.60,0
2021-02-24,11.60,11.60,11.60,11.60,0
2021-02-25,11.60,11.60,11.60,11.60,0
2021-02-26,11.60,11.60,11.60,11.60,0
2021-03-01,11.60,11.60,11.60,11.60,0
