date,open,high,low,close,volume
2026-05-14,350.00,386.34,300.00,311.07,33497870
2026-05-15,298.49,306.78,275.00,279.72,17119210
2026-05-18,291.55,303.66,272.24,296.65,10158350
2026-05-19,292.17,333.99,286.15,303.63,10379540
2026-05-20,317.52,338.32,284.25,290.69,12851710
2026-05-21,293.70,294.00,275.42,281.86,5448110
2026-05-22,285.00,285.00,250.27,256.78,11783760
2026-05-26,260.00,262.29,236.10,241.71,8180275
2026-05-27,243.86,269.39,243.03,266.90,6522988
2026-05-28,260.95,268.78,241.53,242.59,5692279
2026-05-29,247.12,251.35,232.56,236.99,4350231
2026-06-01,231.88,232.37,212.60,213.28,5823744
2026-06-02,220.05,241.69,217.00,236.52,5236620
2026-06-03,230.06,230.06,213.25,214.94,3827749
2026-06-04,212.25,219.78,205.47,215.40,4137174
2026-06-05,208.68,222.78,196.73,201.01,4393433
2026-06-08,212.60,249.76,204.13,237.83,8691315
2026-06-09,244.50,244.50,215.01,226.81,5707415
2026-06-10,226.65,253.52,226.15,237.33,5373544
2026-06-11,238.98,241.00,220.50,226.55,3908461
2026-06-12,230.29,230.37,208.00,214.00,4739947
2026-06-15,224.30,224.80,211.00,218.03,5061534
2026-06-16,218.50,218.50,202.28,212.25,5006534
2026-06-17,213.93,230.99,209.84,213.67,4927808
2026-06-18,220.00,245.24,215.20,234.71,7196608
2026-06-22,237.83,241.68,224.00,224.43,4738735
2026-06-23,213.75,237.00,210.00,226.72,8337404
2026-06-24,208.00,209.99,181.56,182.26,21373830
2026-06-25,189.51,189.91,161.26,168.52,18393360
2026-06-26,162.66,184.03,160.81,181.59,10659010
2026-06-29,184.00,220.57,182.10,216.16,13285400
2026-06-30,204.51,221.83,201.67,221.00,8539011
2026-07-01,215.48,228.30,211.25,221.27,8657129
2026-07-02,220.00,223.63,203.55,204.86,6233893
2026-07-06,205.35,206.29,191.05,192.01,4945988
2026-07-07,185.00,185.00,173.36,176.61,4827177
2026-07-08,176.00,188.55,174.41,181.72,3367182
2026-07-09,188.91,204.62,186.28,198.53,4895287
2026-07-10,194.20,216.46,191.22,215.08,5289091
2026-07-13,207.20,213.87,203.12,204.62,3500322
2026-07-14,206.00,208.44,187.15,203.81,4744613
2026-07-15,204.90,205.11,182.50,184.01,4604989
2026-07-16,178.51,186.40,174.76,180.46,3771141
2026-07-17,172.68,176.47,162.35,172.86,5278306
2026-07-20,176.61,181.94,164.72,176.88,4262892
2026-07-21,180.79,210.63,179.57,208.57,6244191
2026-07-22,204.51,244.00,203.20,209.80,10774670
2026-07-23,205.53,236.38,201.37,220.00,8227249
2026-07-24,213.22,214.97,192.86,199.12,5949740
2026-07-27,202.56,202.71,181.75,188.61,5277964
2026-07-28,180.47,193.24,173.70,192.72,4756166
2026-07-29,190.50,190.57,168.71,169.39,6436867
2026-07-30,178.97,204.87,175.57,203.07,6702861
2026-07-31,208.07,214.50,195.55,198.71,3787353
2026-08-03,190.49,222.50,184.85,219.97,4894801
2026-08-04,221.19,230.99,214.05,227.15,5315914
2026-08-05,219.18,227.00,212.59,214.30,3650798
2026-08-06,206.50,219.50,205.00,211.30,2956215
2026-08-07,217.72,228.99,204.11,226.73,4156841
2026-08-10,227.54,234.25,224.10,230.01,3691036
2026-08-11,231.29,236.75,220.50,234.76,3203182
2026-08-12,248.82,265.63,240.88,262.06,11303350
2026-08-13,220.00,239.99,219.09,231.01,16564770
2026-08-14,225.00,229.00,215.77,218.98,14649830
2026-08-17,224.00,261.08,223.44,251.98,14897410
2026-08-18,239.65,241.71,214.51,220.01,13420040
2026-08-19,217.68,217.99,201.00,215.69,11022600
2026-08-20,212.95,213.80,202.88,209.85,6698646
2026-08-21,209.68,210.21,195.66,196.13,7780800
2026-08-24,190.46,192.50,184.14,185.43,5749312
2026-08-25,187.96,190.50,180.39,183.91,7056058
2026-08-26,180.10,184.21,177.07,182.15,6697451
2026-08-27,187.25,187.66,180.01,186.67,6073987
2026-08-28,183.83,183.97,176.89,179.08,5366235
2026-08-31,177.73,184.99,176.20,184.24,4617792
2026-09-01,179.45,182.33,171.54,172.62,6457750
2026-09-02,170.00,185.50,168.70,184.52,6991695
2026-09-03,181.44,191.06,181.01,190.44,4968732
2026-09-04,190.99,216.90,190.45,210.05,13761580
2026-09-08,217.11,222.50,199.61,199.77,7994352
2026-09-09,196.41,204.50,194.56,196.20,4281250
2026-09-10,190.93,195.07,189.11,191.34,3414083
2026-09-11,192.40,196.71,189.73,191.93,3418163
2026-09-14,179.86,185.20,177.53,181.21,5231448
2026-09-15,181.71,188.28,180.22,184.03,3570787
