date,open,high,low,close,volume
2021-01-04,51.60,52.56,50.74,51.78,449522
2021-01-05,51.56,52.57,51.49,52.13,418181
2021-01-06,53.47,54.94,52.65,54.46,893202
2021-01-07,54.85,55.43,54.33,55.32,582511
2021-01-08,55.38,55.38,54.00,54.89,419191
2021-01-11,54.21,56.01,54.06,55.85,515805
2021-01-12,56.05,57.33,55.91,56.62,688907
2021-01-13,56.27,56.66,55.41,55.73,614836
2021-01-14,56.35,56.43,55.74,56.03,523966
2021-01-15,55.16,55.88,54.63,55.24,606237
2021-01-19,55.45,56.08,55.31,55.72,617123
2021-01-20,55.72,56.30,53.01,53.93,864499
2021-01-21,53.97,54.45,53.32,53.43,623780
2021-01-22,53.28,54.49,53.24,54.37,547670
2021-01-25,53.65,54.32,53.37,53.76,455210
2021-01-26,54.20,55.25,53.66,54.86,694404
2021-01-27,54.31,55.87,54.10,54.37,934489
2021-01-28,54.54,54.54,53.13,53.20,675051
2021-01-29,53.33,53.95,52.31,52.38,894908
2021-02-01,52.43,53.26,52.18,53.21,497367
2021-02-02,53.79,53.79,52.91,53.44,526097
2021-02-03,53.53,53.88,52.86,53.66,340157
2021-02-04,53.80,55.40,53.80,55.25,552423
2021-02-05,55.75,55.98,55.03,55.68,261898
2021-02-08,55.95,56.76,55.67,56.74,412345
2021-02-09,56.75,57.97,56.63,57.85,486471
2021-02-10,57.98,58.37,56.74,56.83,494560
2021-02-11,56.48,57.52,56.42,57.24,419052
2021-02-12,57.40,57.97,56.50,57.51,270379
2021-02-16,58.13,58.29,57.33,58.15,462587
2021-02-17,58.29,58.51,57.45,57.64,355739
2021-02-18,57.10,57.91,57.10,57.34,463716
2021-02-19,57.53,58.30,57.53,57.95,408839
2021-02-22,57.97,58.72,57.97,58.18,707319
2021-02-23,58.36,59.04,57.83,58.95,832759
2021-02-24,59.47,61.07,58.87,60.90,2035671
2021-02-25,61.69,61.96,59.36,59.49,520989
2021-02-26,58.93,59.69,57.90,58.00,726053
2021-03-01,58.91,59.84,58.35,59.56,487975
2021-03-02,58.98,59.50,57.86,58.26,439799
2021-03-03,58.65,60.26,58.62,59.28,514699
2021-03-04,59.27,60.25,58.06,58.54,427423
2021-03-05,59.33,60.69,58.54,60.43,565847
2021-03-08,61.10,62.16,60.73,61.84,576394
2021-03-09,61.09,62.16,59.81,61.12,441847
2021-03-10,61.61,62.04,61.19,61.93,482983
2021-03-11,61.53,62.51,61.32,61.91,352052
2021-03-12,62.50,63.61,61.92,63.25,515611
2021-03-15,63.51,63.51,61.97,62.70,364941
2021-03-16,62.35,62.47,61.21,62.32,340559
2021-03-17,62.14,63.10,62.14,62.91,430818
2021-03-18,63.24,65.08,62.32,62.62,515555
2021-03-19,62.06,63.05,61.43,62.18,1770681
2021-03-22,61.79,61.98,60.03,60.23,403148
2021-03-23,59.64,60.09,58.76,58.86,598821
2021-03-24,59.38,60.30,58.41,58.45,553268
2021-03-25,58.26,59.97,57.83,59.79,361151
2021-03-26,60.56,61.38,60.07,61.37,527151
2021-03-29,60.66,61.27,59.09,60.03,564067
2021-03-30,60.47,61.41,60.47,60.88,608997
2021-03-31,60.43,61.08,60.01,60.03,462877
2021-04-01,59.59,60.48,59.36,60.38,343547
2021-04-05,61.02,61.33,60.44,60.93,533599
2021-04-06,61.04,61.34,60.38,60.91,357809
2021-04-07,61.22,61.42,60.34,60.77,400769
2021-04-08,60.44,60.64,59.69,60.32,355890
2021-04-09,60.85,60.90,60.27,60.86,318349
2021-04-12,61.03,61.55,60.88,61.15,338106
2021-04-13,60.93,60.99,59.55,59.78,418791
2021-04-14,59.45,60.75,59.33,60.39,393277
2021-04-15,59.64,60.18,58.94,60.13,637619
2021-04-16,59.94,60.68,59.85,60.44,639613
2021-04-19,60.72,60.77,59.55,60.05,505619
2021-04-20,59.83,59.83,58.19,58.36,525413
2021-04-21,58.59,59.92,58.59,59.67,446587
2021-04-22,59.47,59.57,58.53,58.67,430783
2021-04-23,59.00,61.00,58.49,60.51,496550
2021-04-26,61.02,61.32,60.69,60.84,418798
2021-04-27,61.28,61.46,60.69,61.08,795487
2021-04-28,61.22,61.34,60.29,60.81,1714307
2021-04-29,61.06,62.49,61.06,62.19,485019
2021-04-30,61.66,62.26,60.84,60.97,1166197
2021-05-03,61.73,61.83,60.27,61.37,501051
2021-05-04,61.19,62.40,60.78,62.40,375890
2021-05-05,62.44,62.67,61.66,62.57,351654
2021-05-06,62.56,63.29,61.39,63.27,405055
2021-05-07,62.28,62.89,61.90,62.67,354305
2021-05-10,63.13,63.61,62.40,62.42,367884
2021-05-11,62.09,63.00,61.66,61.88,517979
2021-05-12,62.61,62.67,60.14,60.22,443390
2021-05-13,59.99,62.60,59.99,62.09,466270
2021-05-14,62.61,62.93,61.95,62.78,326570
2021-05-17,62.49,62.78,62.12,62.53,238800
2021-05-18,62.33,62.69,61.18,61.22,357684
2021-05-19,60.58,61.19,59.93,61.19,377893
2021-05-20,60.72,61.23,60.50,61.01,296400
2021-05-21,61.44,62.37,61.28,61.81,238679
2021-05-24,61.87,61.87,60.82,61.22,340124
2021-05-25,61.17,61.50,60.05,60.23,734330
2021-05-26,60.10,60.89,59.66,60.54,1609010
2021-05-27,61.28,61.59,60.75,60.88,446852
2021-05-28,60.88,61.12,60.27,61.02,572462
2021-06-01,61.43,61.64,60.77,61.21,472815
2021-06-02,61.57,61.57,60.72,60.79,372784
2021-06-03,60.66,61.24,60.29,60.37,364404
2021-06-04,60.14,60.31,59.78,60.17,374055
2021-06-07,60.47,60.75,59.76,59.88,303805
2021-06-08,59.73,59.92,59.06,59.70,422352
2021-06-09,59.34,59.98,58.80,59.70,429281
2021-06-10,60.41,61.10,58.59,58.66,623505
2021-06-11,58.87,59.41,58.74,58.94,331654
2021-06-14,58.96,59.12,57.89,58.29,384681
2021-06-15,58.51,60.04,58.27,59.20,418368
2021-06-16,58.91,59.81,58.05,59.43,437005
2021-06-17,59.80,59.80,57.15,57.21,404812
2021-06-18,56.36,56.89,55.39,55.41,1109145
2021-06-21,56.26,57.57,55.84,57.50,530328
2021-06-22,57.73,58.18,56.94,57.82,715898
2021-06-23,57.82,58.24,57.56,57.69,1691029
2021-06-24,57.63,58.23,57.17,58.18,324614
2021-06-25,58.30,59.88,58.24,59.41,862025
2021-06-28,59.01,59.18,57.91,58.23,436188
2021-06-29,58.53,59.42,58.15,58.36,311159
2021-06-30,58.11,58.84,58.05,58.42,538025
2021-07-01,58.72,59.30,58.26,58.85,447151
2021-07-02,58.85,58.93,58.37,58.81,423493
2021-07-06,58.57,58.58,56.98,57.18,427724
2021-07-07,56.66,57.61,56.57,56.77,493096
2021-07-08,55.90,56.66,55.47,55.82,435738
2021-07-09,56.78,57.94,56.60,57.87,487846
2021-07-12,57.25,57.90,56.98,57.79,311992
2021-07-13,57.59,57.62,56.59,56.90,317984
2021-07-14,56.81,57.53,56.30,56.81,368923
2021-07-15,56.39,58.08,56.28,57.87,497317
2021-07-16,58.34,58.49,56.93,56.96,390945
2021-07-19,55.96,57.12,55.36,55.62,640336
2021-07-20,55.62,57.85,55.62,56.68,624515
2021-07-21,57.08,58.54,55.98,57.03,467423
2021-07-22,57.49,57.49,54.92,55.39,687939
2021-07-23,55.51,56.41,55.51,56.28,319010
2021-07-26,56.34,57.17,56.34,56.59,383787
2021-07-27,56.00,57.03,55.42,56.77,355259
2021-07-28,56.93,57.37,56.17,56.54,820653
2021-07-29,56.88,57.24,55.57,56.27,1234708
2021-07-30,56.05,56.95,55.36,55.42,1047039
2021-08-02,55.66,56.70,54.66,54.67,509474
2021-08-03,54.89,55.03,53.25,53.67,2134428
2021-08-04,53.12,53.70,52.87,53.55,881778
2021-08-05,53.82,54.41,53.55,54.02,520992
2021-08-06,54.62,55.69,54.62,55.49,561019
2021-08-09,55.43,56.09,54.89,55.60,700151
2021-08-10,55.44,56.03,55.33,55.79,336395
2021-08-11,55.83,56.37,55.60,56.32,280719
2021-08-12,56.74,56.74,55.63,55.72,282030
2021-08-13,55.59,55.91,54.93,55.07,245553
2021-08-16,54.79,55.25,54.31,55.10,398837
2021-08-17,54.73,55.08,54.22,54.58,321430
2021-08-18,54.26,54.92,53.95,54.02,270090
2021-08-19,53.62,54.37,53.45,53.84,422540
2021-08-20,53.95,55.07,53.73,54.78,699050
2021-08-23,54.74,55.39,54.74,55.07,325443
2021-08-24,55.25,55.47,54.89,55.21,398981
2021-08-25,55.21,56.14,55.17,55.58,425234
2021-08-26,55.54,55.77,54.49,54.53,293263
2021-08-27,54.63,55.58,54.55,55.57,504795
2021-08-30,55.52,55.58,54.78,54.99,310409
2021-08-31,55.27,55.70,54.99,55.41,404850
2021-09-01,55.58,55.69,54.85,54.99,303530
2021-09-02,54.96,55.67,54.89,55.56,490102
2021-09-03,55.54,55.82,55.26,55.26,295167
2021-09-07,55.40,55.82,54.35,54.44,424965
2021-09-08,54.22,54.46,53.87,54.02,255469
2021-09-09,53.81,54.58,53.68,53.93,267960
2021-09-10,54.09,54.13,53.17,53.23,375444
2021-09-13,53.51,54.06,53.03,53.18,377211
2021-09-14,53.25,53.45,51.85,52.03,661460
2021-09-15,52.18,52.91,52.18,52.39,640232
2021-09-16,52.64,52.74,51.52,52.01,518556
2021-09-17,52.12,52.54,51.85,52.18,1281487
2021-09-20,51.09,51.91,50.85,51.84,484424
2021-09-21,52.07,52.32,51.55,51.74,423059
2021-09-22,52.13,52.55,51.62,52.14,473235
2021-09-23,52.57,53.70,52.30,53.35,459785
2021-09-24,53.19,54.00,52.94,53.84,599180
2021-09-27,54.38,55.61,54.38,55.29,466859
2021-09-28,54.25,55.94,54.16,55.22,474824
2021-09-29,55.22,55.91,54.85,55.69,259929
2021-09-30,55.97,55.97,54.59,54.60,405757
2021-10-01,54.85,55.96,54.18,55.57,397348
2021-10-04,55.68,55.99,54.89,55.56,458320
2021-10-05,55.73,56.18,55.22,55.40,350653
2021-10-06,55.18,55.59,54.20,55.26,273455
2021-10-07,55.91,56.14,55.67,55.97,216587
2021-10-08,56.01,56.15,55.68,55.93,381348
2021-10-11,56.08,56.19,54.89,54.91,264683
2021-10-12,54.71,55.05,54.39,54.56,261525
2021-10-13,54.72,54.82,53.35,54.26,301170
2021-10-14,54.74,55.51,54.42,55.49,216868
2021-10-15,56.01,56.28,55.74,55.82,370072
2021-10-18,55.50,56.41,55.50,56.10,391695
2021-10-19,55.89,56.50,55.49,55.93,398713
2021-10-20,56.12,56.78,55.69,56.78,288979
2021-10-21,56.71,56.71,55.73,55.95,313807
2021-10-22,55.94,56.73,55.94,56.54,359674
2021-10-25,56.94,57.01,56.49,56.72,270407
2021-10-26,56.82,56.82,56.17,56.33,260748
2021-10-27,55.94,55.94,54.27,54.32,507669
2021-10-28,54.47,55.28,54.42,55.14,296937
2021-10-29,55.19,55.67,55.18,55.25,513606
2021-11-01,55.43,56.91,54.86,56.83,339745
2021-11-02,56.88,57.29,55.11,56.92,372248
2021-11-03,56.65,58.83,56.31,58.58,428651
2021-11-04,58.40,58.40,57.17,57.48,345104
2021-11-05,57.88,58.61,57.75,57.97,307192
2021-11-08,57.52,58.36,57.50,57.71,281109
