date,open,high,low,close,volume
2021-01-04,100.32,100.85,97.06,97.27,938317
2021-01-05,97.33,98.42,96.72,97.44,480539
2021-01-06,98.05,101.14,97.98,100.25,609592
2021-01-07,101.37,101.37,99.49,100.77,729525
2021-01-08,101.30,101.40,98.10,99.65,659896
2021-01-11,98.62,100.50,98.50,100.04,623832
2021-01-12,99.76,99.99,98.40,98.78,644229
2021-01-13,98.70,99.09,97.48,98.39,718467
2021-01-14,98.37,98.66,95.51,95.75,757436
2021-01-15,95.20,96.27,93.87,95.20,1250393
2021-01-19,95.81,96.29,93.60,93.78,801195
2021-01-20,94.33,96.23,92.56,95.72,806519
2021-01-21,95.62,95.65,94.35,94.58,691942
2021-01-22,94.25,94.29,90.86,93.74,1366831
2021-01-25,92.90,93.45,89.27,92.99,2021182
2021-01-26,93.48,94.32,92.72,93.23,1574352
2021-01-27,91.75,91.75,85.65,86.00,1848842
2021-01-28,87.14,90.81,87.08,90.28,2974647
2021-01-29,89.33,90.63,88.23,90.15,837817
2021-02-01,91.24,91.92,89.07,91.82,1014624
2021-02-02,92.75,93.86,92.44,92.61,751680
2021-02-03,92.69,93.12,91.49,91.78,620162
2021-02-04,92.11,92.14,90.32,90.86,840453
2021-02-05,91.70,92.97,90.99,92.75,966508
2021-02-08,93.11,94.20,92.72,93.69,624802
2021-02-09,93.47,93.99,92.41,92.73,612301
2021-02-10,98.86,101.95,96.72,98.05,2229766
2021-02-11,98.48,99.75,95.32,96.70,1144942
2021-02-12,96.84,99.45,96.80,98.96,702886
2021-02-16,98.80,99.87,98.26,99.49,626704
2021-02-17,99.33,99.42,98.11,98.99,632730
2021-02-18,98.34,99.64,98.11,99.07,833261
2021-02-19,99.45,101.27,99.25,101.01,786457
2021-02-22,101.65,101.65,99.64,100.16,730789
2021-02-23,99.49,99.90,96.55,97.85,1080016
2021-02-24,97.83,99.73,97.13,99.09,808180
2021-02-25,98.66,99.38,96.43,96.45,1577058
2021-02-26,97.28,97.92,95.36,95.56,1118369
2021-03-01,96.72,99.59,96.72,98.37,886719
2021-03-02,98.56,99.79,97.84,98.66,852243
2021-03-03,98.65,99.05,97.57,97.57,1060627
2021-03-04,97.04,98.76,95.00,96.17,1415755
2021-03-05,97.13,97.28,94.11,96.84,1753124
2021-03-08,97.10,98.53,96.08,96.29,1416193
2021-03-09,96.84,98.57,96.02,97.69,1537233
2021-03-10,98.50,99.17,97.53,98.02,1515247
2021-03-11,98.23,98.86,97.07,97.34,805538
2021-03-12,97.43,97.63,95.91,96.00,918488
2021-03-15,96.35,97.14,95.26,97.01,962219
2021-03-16,97.36,97.60,96.22,97.00,1680435
2021-03-17,96.85,97.70,96.53,96.93,636914
2021-03-18,96.78,98.05,96.12,96.14,2019257
2021-03-19,96.01,97.25,95.63,96.48,2177874
2021-03-22,96.23,98.63,95.35,98.13,660409
2021-03-23,97.57,99.65,95.86,96.57,1292373
2021-03-24,97.10,98.58,96.94,97.03,566080
2021-03-25,96.98,98.10,95.87,97.72,548327
2021-03-26,98.43,98.50,96.00,97.98,752548
2021-03-29,97.47,99.03,96.87,98.55,857816
2021-03-30,98.15,98.27,96.74,97.05,853323
2021-03-31,97.01,98.06,96.26,97.04,878888
2021-04-01,97.99,100.44,97.13,100.38,1344049
2021-04-05,101.38,102.08,100.47,101.71,834184
2021-04-06,101.28,103.13,100.65,102.89,738646
2021-04-07,103.03,103.31,100.94,100.95,902380
2021-04-08,101.03,102.01,100.09,101.99,659867
2021-04-09,105.00,105.49,103.60,104.87,1045527
2021-04-12,103.95,106.30,103.95,105.54,1003174
2021-04-13,105.25,106.55,104.53,106.43,1023708
2021-04-14,106.26,106.76,106.00,106.55,1229088
2021-04-15,107.55,108.66,106.90,108.40,878162
2021-04-16,109.20,110.19,108.40,109.09,1300807
2021-04-19,109.65,109.65,108.40,108.77,1313911
2021-04-20,109.26,111.67,106.95,107.88,1869698
2021-04-21,107.19,108.50,107.09,107.81,1091447
2021-04-22,107.70,108.71,106.86,107.17,879775
2021-04-23,107.80,109.69,107.11,109.61,1108428
2021-04-26,110.07,110.55,109.22,109.80,1044034
2021-04-27,109.09,109.94,108.73,109.80,497717
2021-04-28,109.94,110.13,107.77,108.08,873393
2021-04-29,108.88,109.58,108.00,108.22,1135620
2021-04-30,108.26,109.90,108.14,109.80,819525
2021-05-03,110.34,111.12,110.03,110.44,768592
2021-05-04,110.28,111.25,110.05,111.08,684009
2021-05-05,111.02,111.18,109.53,110.76,503504
2021-05-06,111.12,112.84,110.56,112.71,1176584
2021-05-07,112.44,114.55,112.08,113.54,1086421
2021-05-10,114.31,114.34,112.37,112.61,724315
2021-05-11,111.82,113.01,111.36,112.39,810923
2021-05-12,111.55,111.96,108.63,108.81,995424
2021-05-13,109.47,111.03,109.07,110.88,1015800
2021-05-14,111.14,112.14,111.00,111.69,379052
2021-05-17,111.46,112.13,110.72,111.38,353363
2021-05-18,111.33,111.33,109.14,109.18,519861
2021-05-19,108.28,109.40,107.54,108.76,554351
2021-05-20,109.84,111.57,109.84,111.05,1181573
2021-05-21,111.47,111.56,109.91,110.26,589961
2021-05-24,110.72,110.91,109.87,110.73,637022
2021-05-25,111.32,111.36,107.76,108.08,1087966
2021-05-26,104.16,105.79,101.15,102.11,3451993
2021-05-27,102.98,104.58,102.41,102.66,1492324
2021-05-28,103.02,103.65,102.68,103.24,1151892
2021-06-01,103.83,104.36,102.56,103.17,996950
2021-06-02,103.50,103.50,100.03,100.67,1468060
2021-06-03,100.24,101.20,99.25,100.60,1725465
2021-06-04,100.81,101.09,99.42,100.44,1074903
2021-06-07,100.06,100.50,98.99,99.59,893420
2021-06-08,99.79,100.24,98.91,99.28,963513
2021-06-09,99.46,100.08,99.14,99.69,627299
2021-06-10,99.75,100.62,99.06,100.34,920133
2021-06-11,101.54,101.54,100.42,101.30,965229
2021-06-14,101.06,101.35,99.80,100.11,745177
2021-06-15,99.94,101.53,99.74,101.29,1031602
2021-06-16,101.24,102.44,100.71,101.56,1574438
2021-06-17,101.39,101.40,98.83,99.65,964941
2021-06-18,98.29,99.47,98.04,98.44,1435506
2021-06-21,99.48,100.14,98.67,99.75,757107
2021-06-22,99.59,100.94,99.49,100.41,668303
2021-06-23,100.60,100.60,99.05,99.08,880529
2021-06-24,99.31,100.69,99.12,100.36,1248175
2021-06-25,100.88,103.14,100.73,102.30,1486330
2021-06-28,102.30,102.46,101.55,102.02,796008
2021-06-29,101.90,102.64,101.83,102.15,776694
2021-06-30,101.99,102.94,101.88,102.21,1365505
2021-07-01,102.61,104.03,102.61,103.49,918579
2021-07-02,103.74,103.74,102.56,102.99,583095
2021-07-06,103.38,103.41,101.92,102.32,876108
2021-07-07,102.28,104.20,102.28,103.79,855479
2021-07-08,102.73,105.35,102.17,104.72,1125959
2021-07-09,105.29,105.68,104.78,105.57,850008
2021-07-12,104.86,106.27,104.71,105.83,950100
2021-07-13,105.61,106.33,105.38,105.61,797718
2021-07-14,105.82,106.26,104.84,105.31,1202387
2021-07-15,104.82,105.01,103.60,104.57,1134249
2021-07-16,104.78,105.77,103.55,103.80,888592
2021-07-19,103.36,103.36,100.80,101.34,1353158
2021-07-20,101.98,105.09,101.98,102.74,1895954
2021-07-21,103.41,104.19,101.64,101.78,1713696
2021-07-22,101.79,101.79,99.68,100.03,1010036
2021-07-23,99.59,99.59,95.27,97.29,3049210
2021-07-26,97.27,99.95,97.23,99.74,1755127
2021-07-27,99.52,100.40,98.61,99.54,1032194
2021-07-28,100.00,100.66,99.47,99.87,749101
2021-07-29,100.61,101.22,99.67,99.88,595092
2021-07-30,99.96,100.70,99.58,99.76,752303
2021-08-02,99.87,100.66,99.52,99.85,748555
2021-08-03,99.75,99.84,98.70,99.61,606620
2021-08-04,98.95,99.56,97.20,97.44,938564
2021-08-05,98.04,100.17,97.76,100.14,1133737
2021-08-06,100.12,101.74,100.12,101.23,1071069
2021-08-09,101.02,103.64,100.81,103.17,823184
2021-08-10,103.21,106.02,103.20,105.77,1697213
2021-08-11,106.13,107.96,105.50,107.50,1225530
2021-08-12,107.99,108.45,107.03,108.16,513189
2021-08-13,108.42,108.57,107.53,108.27,552367
2021-08-16,108.01,108.08,106.81,107.35,615869
2021-08-17,106.63,107.20,105.97,106.82,717520
2021-08-18,106.24,107.97,106.07,107.56,630853
2021-08-19,106.77,108.23,106.40,106.81,1149424
2021-08-20,106.80,108.92,106.72,108.72,744112
2021-08-23,108.68,109.01,107.91,108.35,697539
2021-08-24,108.53,109.36,108.32,109.19,780615
2021-08-25,108.97,111.11,108.78,110.84,589637
2021-08-26,110.75,110.75,109.33,109.50,556196
2021-08-27,109.50,110.28,109.14,109.28,842540
2021-08-30,109.55,110.60,109.09,109.97,621375
2021-08-31,110.12,110.73,109.33,109.79,662790
2021-09-01,109.47,110.57,108.86,109.86,712278
