date,open,high,low,close,volume
2016-09-15,57.96,58.10,49.30,49.72,24881
2016-09-16,51.99,52.64,49.74,49.74,1376
2016-09-19,49.96,52.24,49.96,51.36,980
2016-09-20,51.01,51.56,49.86,50.52,1428
2016-09-21,52.05,52.05,50.31,51.98,1119
2016-09-22,51.45,51.45,51.15,51.15,265
2016-09-23,50.90,50.90,49.62,50.81,430
2016-09-26,50.32,50.51,50.32,50.51,414
2016-09-27,50.99,51.45,50.51,50.68,1172
2016-09-28,50.68,50.68,50.68,50.68,0
2016-09-29,51.30,52.00,51.30,52.00,1100
2016-09-30,52.00,52.00,52.00,52.00,0
2016-10-03,52.00,52.00,52.00,52.00,0
2016-10-04,52.00,52.00,51.96,51.96,421
2016-10-05,51.96,51.96,51.96,51.96,0
2016-10-06,51.96,51.96,51.96,51.96,0
2016-10-07,51.96,51.96,51.96,51.96,0
2016-10-10,52.49,52.49,51.14,51.14,7117
2016-10-11,51.08,51.08,51.08,51.08,500
2016-10-12,50.46,51.39,49.35,49.35,600
2016-10-13,49.35,49.35,49.35,49.35,0
2016-10-14,49.35,49.35,49.35,49.35,0
2016-10-17,50.57,50.57,50.57,50.57,100
2016-10-18,50.57,50.57,50.57,50.57,0
2016-10-19,49.72,49.72,49.72,49.72,170
2016-10-20,49.72,49.72,49.72,49.72,0
2016-10-21,49.43,49.43,48.00,48.00,650
2016-10-24,48.25,48.25,48.25,48.25,200
2016-10-25,48.62,48.62,48.62,48.62,396
2016-10-26,49.59,50.34,49.59,50.34,524
2016-10-27,50.34,50.34,50.34,50.34,0
2016-10-28,50.34,50.34,50.34,50.34,0
2016-10-31,48.06,48.75,48.06,48.75,300
2016-11-01,48.75,48.75,48.75,48.75,0
2016-11-02,49.33,49.33,49.33,49.33,100
2016-11-03,49.33,49.33,49.33,49.33,0
2016-11-04,49.33,49.33,49.33,49.33,0
2016-11-07,49.33,49.33,49.33,49.33,0
2016-11-08,49.33,49.33,49.33,49.33,0
2016-11-09,49.33,49.33,49.33,49.33,0
2016-11-10,49.33,49.33,49.33,49.33,0
2016-11-11,49.33,49.33,49.33,49.33,0
