date,open,high,low,close,volume
2021-01-04,17.56,17.57,16.16,16.51,5462302
2021-01-05,16.26,18.60,15.72,17.38,7765837
2021-01-06,17.32,18.96,17.22,17.45,21738656
2021-01-07,17.50,18.82,16.80,18.78,5086861
2021-01-08,18.67,19.59,18.66,19.51,11396575
2021-01-11,19.37,19.59,18.35,19.04,4037085
2021-01-12,18.97,19.86,18.71,19.77,3314769
2021-01-13,19.85,20.11,19.17,19.87,5401213
2021-01-14,19.93,22.27,19.88,21.61,7197895
2021-01-15,21.33,22.57,20.83,21.75,4497498
2021-01-19,22.35,23.23,21.18,23.19,4002396
2021-01-20,23.33,23.55,21.21,21.86,5182084
2021-01-21,22.00,22.15,20.46,21.06,4017276
2021-01-22,20.90,22.13,20.58,21.56,3119973
2021-01-25,21.53,22.43,20.07,20.97,4348374
2021-01-26,20.80,22.39,20.48,21.64,2954130
2021-01-27,21.09,21.26,18.43,18.95,6412207
2021-01-28,19.81,19.94,17.50,18.69,4171614
2021-01-29,18.66,19.13,17.38,17.80,2750799
2021-02-01,17.85,18.82,17.55,18.63,2438619
2021-02-02,18.67,19.27,18.00,19.15,3824535
2021-02-03,19.72,20.00,18.63,19.69,2794080
2021-02-04,19.58,20.03,18.97,19.77,1659150
2021-02-05,20.08,21.46,19.97,21.32,2353425
2021-02-08,21.74,22.52,21.33,21.37,2852634
2021-02-09,21.26,21.61,20.19,20.61,2630232
2021-02-10,20.49,22.23,20.27,20.29,3637095
2021-02-11,20.65,21.41,19.90,21.38,2139390
2021-02-12,21.56,21.67,20.49,20.58,2718114
2021-02-16,20.99,21.22,19.46,20.75,2644686
2021-02-17,20.50,20.67,18.72,19.74,2622567
2021-02-18,19.38,20.17,18.76,19.59,1753320
2021-02-19,19.85,21.33,19.75,20.27,2122479
2021-02-22,20.01,22.83,19.83,20.37,5544739
2021-02-23,19.01,19.40,16.34,18.63,4880883
2021-02-24,19.11,19.70,17.50,19.62,2302293
2021-02-25,19.50,20.37,18.55,19.09,2462367
2021-02-26,19.08,20.44,18.78,19.84,2755305
2021-03-01,20.93,22.41,20.84,21.81,3005085
2021-03-02,21.92,23.50,21.05,21.33,3693522
2021-03-03,21.14,21.53,18.92,19.25,3402231
2021-03-04,18.92,19.92,17.07,17.68,3977220
2021-03-05,17.81,18.00,15.32,17.29,4125648
2021-03-08,17.00,18.65,16.84,18.34,3105255
2021-03-09,19.05,20.25,18.83,19.91,3463476
2021-03-10,20.56,20.91,19.71,20.18,2656326
2021-03-11,15.66,16.67,13.90,15.79,39936304
2021-03-12,15.19,16.13,14.88,15.06,8659387
2021-03-15,15.15,16.61,14.92,16.20,6997867
2021-03-16,16.18,16.45,15.14,15.65,4568823
2021-03-17,15.15,16.96,15.02,16.65,5507452
2021-03-18,16.40,16.56,15.01,15.16,4196316
2021-03-19,15.25,15.90,14.83,15.41,4588737
2021-03-22,15.72,16.33,15.38,16.18,2940774
2021-03-23,16.07,16.50,15.79,15.94,2104179
2021-03-24,16.00,16.07,14.56,14.59,2431143
2021-03-25,14.01,15.19,13.76,14.98,3581112
2021-03-26,15.06,15.32,13.68,14.50,3349869
2021-03-29,14.40,14.77,14.09,14.19,1627494
2021-03-30,14.19,15.51,14.17,15.24,4993626
2021-03-31,15.45,16.21,15.25,16.02,2740812
2021-04-01,16.19,16.79,15.90,16.52,2764608
2021-04-05,16.79,17.44,16.58,17.30,2349198
2021-04-06,17.38,17.80,17.24,17.46,1867773
2021-04-07,17.30,17.56,16.95,17.25,1777002
2021-04-08,17.54,18.23,17.40,18.20,4888863
2021-04-09,18.11,18.17,17.41,17.85,2063118
2021-04-12,17.85,19.15,17.27,19.03,2886882
2021-04-13,19.29,19.96,18.45,18.86,3653004
2021-04-14,18.82,19.50,18.67,19.27,1454163
2021-04-15,19.61,20.01,18.80,19.80,1976994
2021-04-16,19.87,20.29,19.12,20.25,2480532
2021-04-19,20.21,20.33,18.79,19.09,2347548
2021-04-20,19.08,19.37,17.90,18.47,2395059
2021-04-21,18.38,19.40,17.84,19.36,1800612
2021-04-22,19.49,19.83,18.55,19.04,1871172
2021-04-23,19.18,19.98,18.84,19.88,1718748
2021-04-26,20.00,21.66,19.48,21.58,3284301
