date,open,high,low,close,volume
2021-01-04,32.65,32.69,31.91,32.10,24520
2021-01-05,32.47,32.47,31.96,32.33,53295
2021-01-06,32.57,32.73,31.70,32.56,13855
2021-01-07,32.89,33.27,32.45,33.08,24605
2021-01-08,33.01,33.31,32.65,33.22,9195
2021-01-11,31.94,33.28,31.93,33.09,22050
2021-01-12,33.20,33.20,32.83,33.10,19253
2021-01-13,32.95,33.19,32.93,33.18,46400
2021-01-14,33.31,33.64,33.03,33.34,12117
2021-01-15,33.15,33.16,32.68,32.91,11027
2021-01-19,33.28,34.01,33.22,33.99,42993
2021-01-20,34.05,34.27,34.05,34.18,28294
2021-01-21,34.14,34.28,34.06,34.16,11930
2021-01-22,34.20,34.32,33.85,34.18,13838
2021-01-25,33.97,34.14,33.70,33.93,21573
2021-01-26,34.10,34.10,33.80,33.93,21520
2021-01-27,33.66,33.78,33.25,33.60,26107
2021-01-28,33.38,33.95,33.38,33.88,14714
2021-01-29,33.47,33.87,33.27,33.42,29745
2021-02-01,33.53,33.77,33.29,33.65,18850
2021-02-02,33.59,34.00,33.59,33.93,12439
2021-02-03,33.95,34.20,33.95,34.05,9190
2021-02-04,34.14,34.50,34.13,34.45,17290
2021-02-05,34.50,34.70,34.36,34.50,16735
2021-02-08,34.75,35.29,34.55,35.07,22691
2021-02-09,34.88,35.33,34.88,35.10,19124
2021-02-10,35.52,35.52,35.19,35.34,14023
2021-02-11,35.23,35.50,35.01,35.49,15231
2021-02-12,35.60,36.10,35.50,36.00,19838
2021-02-16,36.27,36.38,36.01,36.35,22561
2021-02-17,36.40,36.40,35.82,36.34,16785
2021-02-18,36.17,36.29,35.73,36.29,30806
2021-02-19,36.29,36.49,36.11,36.48,8474
2021-02-22,36.39,36.49,36.00,36.41,12524
2021-02-23,36.37,36.37,35.91,36.37,9765
2021-02-24,36.37,36.72,36.32,36.72,7225
2021-02-25,36.92,36.92,35.84,35.84,10648
2021-02-26,36.17,36.34,35.35,35.75,10986
2021-03-01,36.19,36.58,36.19,36.22,4017
2021-03-02,36.30,36.59,36.25,36.27,5940
2021-03-03,36.40,36.40,36.15,36.24,12815
2021-03-04,36.07,36.27,35.56,36.09,19202
2021-03-05,36.15,36.15,35.55,36.06,53381
2021-03-08,36.30,36.71,36.30,36.57,15797
2021-03-09,36.90,36.90,36.52,36.63,13534
2021-03-10,36.78,36.99,36.43,36.95,5547
2021-03-11,36.81,37.33,36.78,37.23,7932
2021-03-12,37.24,37.54,36.87,37.32,9044
2021-03-15,37.20,37.31,37.15,37.21,8631
2021-03-16,37.20,37.26,37.15,37.22,21404
2021-03-17,37.26,37.49,37.12,37.49,11967
2021-03-18,37.40,37.54,37.25,37.28,8850
2021-03-19,37.29,37.37,36.93,37.25,16924
2021-03-22,37.83,37.83,37.35,37.35,5466
2021-03-23,37.05,37.43,37.03,37.17,8800
2021-03-24,37.22,37.62,37.18,37.18,27133
2021-03-25,36.96,37.39,36.96,37.38,13809
2021-03-26,37.36,37.82,37.36,37.82,10228
2021-03-29,37.26,37.92,37.17,37.66,26212
2021-03-30,37.80,37.81,37.38,37.55,8564
2021-03-31,37.57,37.91,37.57,37.91,10710
2021-04-01,37.94,38.18,37.70,38.18,13995
2021-04-05,38.41,39.11,38.34,38.51,13210
2021-04-06,38.50,38.84,38.46,38.71,7572
2021-04-07,38.59,38.90,38.53,38.72,16166
2021-04-08,39.33,39.33,38.92,39.10,25446
2021-04-09,38.86,39.17,38.86,39.15,19384
2021-04-12,39.08,39.15,38.71,39.05,17924
2021-04-13,39.05,39.05,38.95,39.00,10872
2021-04-14,39.01,39.22,38.94,39.00,23350
2021-04-15,39.10,39.22,38.76,38.94,18971
2021-04-16,39.00,39.20,38.99,39.03,15116
2021-04-19,39.02,39.04,38.76,38.81,12769
2021-04-20,38.81,38.81,38.60,38.61,13086
2021-04-21,38.50,38.98,38.50,38.98,10802
2021-04-22,38.88,39.05,38.67,38.84,9785
2021-04-23,38.85,38.96,38.52,38.96,17399
2021-04-26,39.03,39.10,38.76,38.86,80636
2021-04-27,38.86,39.19,38.78,38.84,20076
2021-04-28,38.89,39.12,38.74,38.78,60796
2021-04-29,39.19,39.21,38.86,39.09,12839
2021-04-30,38.76,39.23,38.74,38.91,9611
2021-05-03,38.93,39.22,38.80,38.98,14988
2021-05-04,38.99,39.03,38.85,38.90,17058
2021-05-05,39.28,39.30,39.00,39.16,9001
2021-05-06,39.30,39.36,38.97,39.07,14629
2021-05-07,39.26,39.65,39.01,39.55,14043
2021-05-10,40.00,40.00,39.46,39.66,15075
2021-05-11,39.42,39.42,38.81,39.28,13957
2021-05-12,39.07,39.21,38.70,38.73,7432
2021-05-13,38.11,39.13,38.11,38.86,28404
2021-05-14,39.50,39.52,39.13,39.49,12768
2021-05-17,39.75,40.50,39.56,40.43,42675
2021-05-18,40.50,41.09,40.40,40.53,20166
2021-05-19,40.53,40.85,40.10,40.72,31038
2021-05-20,40.75,41.32,40.75,41.18,23328
2021-05-21,41.26,41.65,41.17,41.26,9682
2021-05-24,41.27,41.74,41.24,41.71,11505
2021-05-25,41.38,41.97,41.38,41.56,27335
2021-05-26,41.42,41.91,41.39,41.58,21860
2021-05-27,41.59,41.85,41.57,41.73,17111
2021-05-28,41.77,42.02,41.59,41.81,12467
2021-06-01,41.74,42.17,41.57,41.97,18662
2021-06-02,41.78,42.47,41.78,42.19,23906
2021-06-03,42.17,42.17,41.72,42.05,3562
2021-06-04,42.36,42.36,41.51,42.17,50418
2021-06-07,41.79,42.50,41.79,42.09,22606
2021-06-08,41.75,42.14,41.75,42.12,6400
2021-06-09,42.19,42.22,41.86,42.14,26896
2021-06-10,42.24,42.46,42.10,42.22,19367
2021-06-11,42.01,42.24,41.80,41.90,12748
2021-06-14,42.67,42.67,41.65,41.93,26034
2021-06-15,41.65,41.99,41.62,41.92,57868
2021-06-16,41.62,41.98,41.62,41.81,8568
2021-06-17,41.66,41.89,41.15,41.50,28892
2021-06-18,41.41,41.66,40.79,41.03,18834
2021-06-21,41.04,41.82,40.88,41.68,37407
2021-06-22,41.87,41.87,41.55,41.70,15907
2021-06-23,42.02,42.02,41.56,41.91,13689
2021-06-24,41.91,42.19,41.74,42.15,15026
2021-06-25,42.54,42.54,41.98,42.42,29157
2021-06-28,42.14,42.28,41.97,42.15,35727
2021-06-29,42.07,42.31,41.98,42.06,40983
2021-06-30,42.28,42.30,41.95,42.19,21335
2021-07-01,41.86,42.25,41.86,42.00,14121
2021-07-02,41.91,42.25,41.91,42.16,9612
2021-07-06,42.31,42.31,41.90,41.97,16931
2021-07-07,41.90,42.16,41.88,42.08,16206
2021-07-08,41.71,42.04,41.50,41.97,10040
2021-07-09,41.98,42.26,41.86,42.26,10672
2021-07-12,42.30,42.72,42.21,42.63,17452
2021-07-13,42.43,42.55,42.26,42.33,11133
2021-07-14,42.05,42.63,41.83,42.15,32769
2021-07-15,41.58,42.19,41.58,41.73,8630
2021-07-16,42.00,42.11,41.58,41.60,20232
2021-07-19,41.00,41.36,40.65,40.93,31674
2021-07-20,40.91,41.82,40.91,41.61,9599
2021-07-21,41.55,42.03,41.37,41.84,13929
2021-07-22,41.83,42.00,41.42,41.57,8198
2021-07-23,41.70,42.19,41.47,41.84,21183
2021-07-26,41.78,42.05,41.67,42.03,21217
2021-07-27,41.91,41.91,41.58,41.70,6626
2021-07-28,41.44,42.14,41.44,42.13,30060
2021-07-29,42.27,42.45,41.99,42.38,10335
2021-07-30,41.60,42.31,41.60,42.00,35490
2021-08-02,41.75,42.37,41.75,41.90,21336
2021-08-03,42.35,42.35,41.55,42.18,36804
2021-08-04,42.06,42.14,41.77,41.95,26338
2021-08-05,42.03,42.26,41.95,42.03,27597
2021-08-06,42.22,42.49,41.85,42.30,23443
2021-08-09,42.27,42.49,42.14,42.28,13522
2021-08-10,42.45,42.50,42.14,42.42,4834
2021-08-11,42.10,42.73,42.10,42.73,6388
2021-08-12,42.75,42.76,42.50,42.57,23369
2021-08-13,42.61,42.62,42.44,42.51,8563
2021-08-16,42.33,42.55,42.16,42.50,23952
2021-08-17,42.31,42.50,42.02,42.02,13206
2021-08-18,41.92,42.23,41.89,41.91,8782
2021-08-19,41.53,42.16,41.53,41.84,21738
2021-08-20,41.91,42.10,41.83,42.10,13106
2021-08-23,42.18,42.50,42.16,42.34,13267
2021-08-24,42.29,42.59,42.29,42.41,11932
2021-08-25,42.42,42.69,42.42,42.55,24118
2021-08-26,42.59,42.69,42.48,42.65,6282
2021-08-27,42.61,43.26,42.61,43.13,10693
2021-08-30,43.23,43.42,42.88,43.03,13990
2021-08-31,43.11,43.24,42.73,42.91,9045
2021-09-01,42.61,43.05,42.61,42.86,8475
2021-09-02,43.08,43.19,42.76,42.92,9836
2021-09-03,42.65,43.03,42.65,42.83,24291
2021-09-07,42.60,42.95,42.58,42.59,14343
2021-09-08,42.58,42.88,41.59,42.53,29329
2021-09-09,42.33,42.86,42.33,42.69,3259
2021-09-10,42.52,43.06,42.49,42.50,14449
2021-09-13,42.56,42.84,42.40,42.84,18119
2021-09-14,42.86,43.00,42.40,42.55,12178
2021-09-15,42.69,42.98,42.22,42.92,5602
2021-09-16,42.78,43.10,42.71,42.99,5694
2021-09-17,42.80,42.91,42.55,42.66,7937
2021-09-20,42.01,42.06,41.53,41.79,11179
2021-09-21,41.82,42.74,41.69,42.15,11347
2021-09-22,42.03,42.52,42.03,42.52,2818
2021-09-23,42.40,43.22,42.40,42.83,11544
2021-09-24,42.96,43.09,42.68,42.98,16257
2021-09-27,42.61,43.38,42.61,43.30,27176
2021-09-28,43.24,43.24,42.13,42.64,30343
2021-09-29,42.73,42.83,42.08,42.56,38696
2021-09-30,42.46,42.94,42.25,42.25,7334
2021-10-01,42.63,42.89,42.25,42.88,21946
2021-10-04,42.72,43.13,42.43,42.45,6236
2021-10-05,42.70,42.81,42.45,42.55,43249
2021-10-06,42.21,42.43,42.00,42.31,29742
2021-10-07,42.65,42.99,42.65,42.80,4744
2021-10-08,43.08,43.16,42.71,42.99,7839
2021-10-11,42.90,43.33,42.90,42.92,26683
2021-10-12,42.92,43.04,42.75,42.83,14648
2021-10-13,42.81,43.09,42.60,42.78,14004
2021-10-14,43.50,43.50,42.99,43.24,26211
2021-10-15,43.69,43.74,43.52,43.59,7589
2021-10-18,43.59,43.60,43.29,43.60,13503
2021-10-19,43.65,43.98,43.65,43.72,11952
2021-10-20,43.72,43.91,43.72,43.84,9007
2021-10-21,43.43,43.90,43.43,43.86,26378
2021-10-22,43.93,43.93,43.82,43.89,18113
2021-10-25,44.00,44.07,43.70,43.97,8674
2021-10-26,44.07,44.19,43.90,44.07,12192
2021-10-27,44.17,44.18,43.55,43.56,12216
