date,open,high,low,close,volume
2021-01-04,31.60,31.60,30.41,31.11,1482517
2021-01-05,31.00,31.49,30.89,31.44,826014
2021-01-06,31.42,31.78,30.65,31.03,1736872
2021-01-07,31.22,31.81,31.11,31.47,686840
2021-01-08,31.70,32.23,31.51,32.16,2061242
2021-01-11,31.77,32.83,31.54,32.61,597461
2021-01-12,32.91,33.89,32.86,33.41,2495108
2021-01-13,33.68,33.69,32.84,33.16,1668655
2021-01-14,33.41,34.06,33.06,33.76,1383900
2021-01-15,33.30,33.80,32.85,33.70,1571434
2021-01-19,34.02,34.69,34.02,34.28,1048577
2021-01-20,34.06,34.75,34.06,34.52,1377262
2021-01-21,34.79,34.79,34.00,34.10,1314323
2021-01-22,33.83,34.03,33.20,33.40,948468
2021-01-25,33.40,33.60,32.77,33.01,1020812
2021-01-26,33.89,34.00,32.31,32.41,1632963
2021-01-27,31.99,32.11,31.18,31.49,2853883
2021-01-28,31.85,33.02,31.57,32.83,1147990
2021-01-29,32.73,32.80,31.74,32.27,1045071
2021-02-01,32.55,33.05,32.43,32.71,1546002
2021-02-02,32.79,33.74,32.79,33.48,1440963
2021-02-03,33.46,33.74,32.96,33.71,1823251
2021-02-04,33.80,36.14,33.76,36.10,2817512
2021-02-05,37.23,37.23,36.20,36.60,1424625
2021-02-08,36.98,37.08,36.21,36.61,1483478
2021-02-09,36.72,37.61,36.63,37.30,2043541
2021-02-10,37.71,37.81,36.97,37.41,2109078
2021-02-11,37.73,37.77,36.54,37.19,1743451
2021-02-12,37.34,37.34,36.90,37.16,1424671
2021-02-16,37.25,37.48,36.95,37.16,1473829
2021-02-17,36.77,37.14,36.26,36.55,1980327
2021-02-18,36.50,36.53,35.81,36.08,1927010
2021-02-19,36.60,36.83,36.30,36.50,1873342
2021-02-22,36.36,36.45,35.99,36.16,1980726
2021-02-23,36.09,36.40,35.20,36.23,2580582
2021-02-24,36.03,36.40,35.23,35.59,1677375
2021-02-25,35.47,35.72,34.38,34.47,1134746
2021-02-26,34.55,34.70,33.43,34.25,2773183
2021-03-01,34.99,35.26,34.38,35.14,1191773
2021-03-02,35.14,35.56,34.99,35.37,1302172
2021-03-03,35.62,35.62,35.08,35.13,1496066
2021-03-04,35.03,35.43,34.28,35.03,1405592
2021-03-05,35.20,35.50,34.40,34.55,1380228
2021-03-08,34.67,35.28,34.50,35.20,1191069
2021-03-09,35.47,36.31,35.34,35.89,1542539
2021-03-10,36.39,36.69,36.05,36.33,2132496
2021-03-11,36.51,36.97,36.43,36.78,2276147
2021-03-12,36.55,36.80,36.30,36.56,2228265
2021-03-15,36.78,37.48,36.56,37.34,1011147
2021-03-16,37.48,37.76,36.95,37.16,1098975
2021-03-17,37.00,37.45,36.64,37.30,1010404
2021-03-18,37.24,37.31,36.13,36.37,1420055
2021-03-19,36.38,36.71,35.92,36.48,2578800
2021-03-22,36.33,37.19,36.30,37.02,1105200
2021-03-23,36.99,37.21,36.54,36.69,2174590
2021-03-24,36.84,37.43,36.68,36.76,1965099
2021-03-25,36.68,37.10,36.07,36.85,953967
2021-03-26,36.88,37.00,36.29,36.79,1293133
2021-03-29,36.72,36.90,36.28,36.39,2504403
2021-03-30,36.21,37.14,36.20,37.11,1753670
2021-03-31,37.18,37.48,36.58,36.76,2412056
2021-04-01,37.05,37.45,36.79,37.39,900087
2021-04-05,37.68,38.11,37.45,37.52,1076814
2021-04-06,37.62,37.62,37.22,37.30,1409004
2021-04-07,37.40,38.02,37.31,38.00,1018612
2021-04-08,38.30,38.45,37.83,37.95,840368
2021-04-09,38.59,38.59,37.78,38.01,793007
2021-04-12,37.97,38.04,37.74,38.00,1095912
2021-04-13,38.14,38.48,37.69,38.41,1049645
2021-04-14,38.28,39.56,38.28,38.99,1276968
2021-04-15,38.84,39.16,38.76,39.03,697126
2021-04-16,39.25,39.81,39.08,39.70,825758
2021-04-19,39.75,39.99,39.55,39.84,1044938
2021-04-20,39.84,39.95,38.98,39.28,713045
2021-04-21,39.18,39.84,39.18,39.71,1131530
2021-04-22,39.92,41.02,39.73,40.23,1524759
2021-04-23,40.29,41.55,40.27,41.53,1114551
2021-04-26,41.76,41.83,41.35,41.58,1294740
2021-04-27,41.67,42.19,41.59,42.03,822806
2021-04-28,42.02,42.64,41.96,42.52,1653181
2021-04-29,42.58,42.94,41.68,42.38,1799075
2021-04-30,42.02,42.78,42.02,42.66,1227299
2021-05-03,43.03,43.66,42.85,43.38,1227002
2021-05-04,43.39,43.45,42.15,43.10,1045579
2021-05-05,43.51,44.31,43.30,44.14,1153516
2021-05-06,44.35,44.85,43.93,44.81,970405
2021-05-07,44.50,45.23,43.90,44.98,2094058
2021-05-10,44.76,45.06,44.45,44.51,1298709
2021-05-11,43.86,43.97,42.60,43.36,1455382
2021-05-12,43.52,43.59,41.29,41.60,2318590
2021-05-13,41.85,42.66,41.65,42.45,1902955
2021-05-14,42.70,43.63,42.48,43.51,1402994
2021-05-17,43.45,43.59,42.82,43.12,795237
2021-05-18,43.08,43.48,42.59,42.62,890362
2021-05-19,41.75,42.12,41.41,42.04,1687063
2021-05-20,42.06,42.70,42.01,42.26,1776290
2021-05-21,42.42,42.83,42.32,42.46,1378649
2021-05-24,42.74,42.90,42.38,42.76,1001966
2021-05-25,42.92,43.55,42.60,42.70,1183153
2021-05-26,42.73,43.30,42.27,43.12,1420407
2021-05-27,43.36,43.54,42.91,43.13,1966626
2021-05-28,43.84,43.84,43.12,43.64,899255
2021-06-01,44.00,44.03,42.74,43.08,1712338
2021-06-02,43.08,43.26,42.63,43.15,1537745
2021-06-03,44.11,44.11,42.46,43.05,1030440
2021-06-04,43.13,43.33,42.69,43.32,909683
2021-06-07,43.86,44.18,43.42,43.49,1585845
2021-06-08,43.53,44.49,43.40,44.35,1700550
2021-06-09,44.44,44.45,43.68,43.74,789004
2021-06-10,44.10,44.24,43.63,44.01,839517
2021-06-11,44.25,44.31,44.00,44.18,1009072
2021-06-14,44.18,44.32,43.43,43.53,963876
2021-06-15,43.73,44.63,43.68,44.30,1776659
2021-06-16,44.47,45.27,44.36,45.06,2233235
2021-06-17,45.27,45.64,43.92,44.80,1688885
2021-06-18,44.22,44.47,44.05,44.14,1287816
2021-06-21,44.56,45.26,44.48,45.15,1178913
2021-06-22,45.18,45.71,44.98,45.53,1100371
2021-06-23,45.63,46.49,45.58,46.27,1381600
2021-06-24,46.34,46.64,46.22,46.29,1747276
2021-06-25,45.81,47.26,45.52,46.98,3704953
2021-06-28,47.10,47.28,46.23,46.83,1097285
2021-06-29,47.02,47.12,46.55,46.82,749905
2021-06-30,46.78,46.81,46.13,46.48,1141799
2021-07-01,46.59,47.06,46.49,46.55,958112
2021-07-02,46.76,46.93,46.17,46.79,990522
2021-07-06,47.15,47.72,46.87,47.45,2550756
2021-07-07,47.51,48.44,47.34,48.29,1320942
2021-07-08,47.58,47.77,46.64,47.12,2149902
2021-07-09,47.48,47.90,47.18,47.71,1898570
2021-07-12,47.86,48.43,47.58,48.00,2369475
2021-07-13,48.32,48.32,46.36,46.54,2913962
2021-07-14,46.64,46.86,45.61,45.72,2279057
2021-07-15,45.44,45.99,45.18,45.49,3175973
2021-07-16,45.72,45.74,44.85,44.89,2744171
2021-07-19,43.41,44.32,43.37,43.71,1847032
2021-07-20,44.07,45.28,43.93,44.89,1565532
2021-07-21,45.23,46.17,45.21,46.07,2108737
2021-07-22,45.95,46.57,45.62,46.18,2049791
2021-07-23,46.57,47.11,46.45,46.82,1520037
2021-07-26,46.76,47.15,46.65,46.91,1595245
2021-07-27,46.63,47.02,46.16,46.86,2390651
2021-07-28,46.91,47.20,46.33,47.01,1627450
2021-07-29,47.83,50.37,47.83,50.12,2282500
2021-07-30,50.44,51.02,49.60,50.47,3825905
2021-08-02,51.08,51.55,49.47,49.53,4067968
2021-08-03,49.60,50.01,47.56,47.89,4660566
2021-08-04,47.83,48.49,47.55,48.37,3771325
2021-08-05,48.66,48.90,48.08,48.50,2523422
2021-08-06,48.63,48.88,47.41,47.80,2453636
2021-08-09,47.37,47.51,46.86,47.21,1828784
2021-08-10,47.35,47.80,46.89,47.20,1921369
2021-08-11,48.26,48.27,47.06,47.55,3828549
2021-08-12,47.57,48.97,47.51,48.81,2615654
2021-08-13,48.89,49.23,47.80,48.78,4776483
2021-08-16,48.52,49.58,48.34,49.26,2156663
2021-08-17,49.06,49.25,47.31,47.63,2078412
2021-08-18,47.45,47.85,46.91,46.97,2577157
2021-08-19,46.34,47.12,46.06,46.27,1809054
2021-08-20,46.35,47.23,46.35,46.94,813628
2021-08-23,47.30,47.91,47.30,47.39,976087
2021-08-24,47.60,48.39,47.60,47.95,665885
2021-08-25,47.94,49.17,47.94,48.94,1340765
2021-08-26,48.92,49.42,48.76,48.93,729785
2021-08-27,47.42,48.69,46.84,48.37,4110065
2021-08-30,48.71,49.75,48.23,49.02,2632442
2021-08-31,49.12,49.75,49.09,49.38,1762162
2021-09-01,49.53,50.11,49.31,49.87,1633387
2021-09-02,50.16,50.43,49.75,49.99,1168599
2021-09-03,50.01,50.24,49.81,50.09,817890
2021-09-07,50.11,50.32,49.25,49.37,1536010
2021-09-08,49.30,49.33,48.58,49.15,999199
2021-09-09,49.11,49.78,48.64,49.11,1432380
2021-09-10,49.26,49.54,48.77,48.81,950568
2021-09-13,51.13,51.13,48.89,49.30,2539007
2021-09-14,49.33,49.55,48.88,49.12,1618052
