date,open,high,low,close,volume
2021-01-04,80.99,81.77,79.32,80.22,636337
2021-01-05,79.80,81.81,79.77,81.68,511460
2021-01-06,81.64,84.91,81.38,83.62,1093148
2021-01-07,84.49,86.34,84.38,85.58,1068708
2021-01-08,85.94,88.15,85.38,85.79,803828
2021-01-11,84.90,86.36,84.58,85.71,457543
2021-01-12,86.05,86.52,84.30,84.76,624466
2021-01-13,84.60,85.27,83.74,84.15,693107
2021-01-14,86.23,87.85,86.03,86.56,929193
2021-01-15,86.36,87.00,83.95,84.04,939122
2021-01-19,85.11,85.96,84.16,85.39,1058285
2021-01-20,85.85,86.85,85.13,85.66,800818
2021-01-21,86.64,87.11,84.59,85.18,702334
2021-01-22,84.34,84.65,83.76,84.37,453757
2021-01-25,85.04,85.32,82.85,84.31,433369
2021-01-26,83.78,83.80,81.64,81.75,467797
2021-01-27,80.37,81.87,79.00,81.00,962683
2021-01-28,81.37,82.20,80.21,81.53,687642
2021-01-29,81.17,83.01,80.51,82.13,833121
2021-02-01,83.14,84.11,82.00,83.59,569125
2021-02-02,84.07,85.36,83.82,85.26,766113
2021-02-03,85.27,86.19,84.56,85.72,640371
2021-02-04,85.72,86.60,85.48,86.22,350803
2021-02-05,86.55,87.50,85.89,87.02,481872
2021-02-08,87.12,88.60,87.08,88.58,520205
2021-02-09,88.81,89.49,88.13,88.98,601311
2021-02-10,88.99,89.77,88.12,88.37,522899
2021-02-11,89.20,90.30,88.92,89.84,886759
2021-02-12,95.15,101.82,93.39,93.99,1984403
2021-02-16,92.31,94.63,90.32,90.50,1308418
2021-02-17,90.72,90.88,86.42,87.14,1257512
2021-02-18,87.10,87.98,85.53,85.74,895533
2021-02-19,85.79,88.96,85.76,87.43,1429550
2021-02-22,84.19,86.40,83.75,84.28,889714
2021-02-23,82.09,83.52,79.64,83.16,967806
2021-02-24,83.10,84.11,81.61,83.72,681546
2021-02-25,83.21,83.59,80.91,81.42,653457
2021-02-26,82.22,83.25,81.18,82.59,1384681
2021-03-01,84.41,86.24,83.78,85.20,1278535
2021-03-02,85.50,86.00,82.45,82.68,856815
2021-03-03,83.05,83.24,79.37,79.44,1137665
2021-03-04,79.19,79.73,75.74,77.06,974071
2021-03-05,78.27,78.51,74.51,78.34,696395
2021-03-08,77.83,78.65,74.83,75.19,574307
2021-03-09,77.09,79.17,77.09,78.37,1093282
2021-03-10,79.69,80.36,78.12,78.23,591735
2021-03-11,79.74,80.78,78.78,80.24,687192
2021-03-12,79.50,81.18,79.34,81.14,754383
2021-03-15,81.30,84.17,81.03,83.80,1164019
2021-03-16,84.36,84.61,82.26,83.33,1230449
2021-03-17,82.74,83.68,81.87,83.27,772273
2021-03-18,82.48,82.88,79.63,80.03,657649
2021-03-19,79.33,80.46,78.54,79.25,1909843
2021-03-22,79.53,80.57,78.82,79.00,1139094
2021-03-23,78.49,78.93,75.54,75.84,855182
2021-03-24,76.39,77.71,75.41,77.50,1234425
2021-03-25,76.69,79.48,76.12,79.01,758157
2021-03-26,79.01,81.92,79.00,81.86,841580
2021-03-29,81.12,82.95,80.42,80.71,633771
2021-03-30,80.45,81.88,79.86,81.77,452104
2021-03-31,82.05,84.03,82.05,82.99,1150329
2021-04-01,83.81,85.33,83.81,84.31,735875
2021-04-05,84.97,85.79,84.15,85.34,680937
2021-04-06,84.84,86.20,84.62,85.54,674097
2021-04-07,84.99,85.11,82.32,82.45,620709
2021-04-08,83.50,84.14,82.28,84.10,727260
2021-04-09,83.96,85.78,83.64,85.54,526055
2021-04-12,84.62,85.03,83.85,84.32,406297
2021-04-13,85.27,85.27,83.37,84.14,362289
2021-04-14,84.11,84.42,83.12,83.23,592703
2021-04-15,84.18,85.99,83.27,85.97,716771
2021-04-16,86.15,87.11,85.68,85.76,469543
2021-04-19,85.45,86.23,84.90,85.69,560150
2021-04-20,85.44,85.89,83.81,84.39,259982
2021-04-21,83.59,86.00,83.59,85.62,413650
2021-04-22,85.77,86.00,83.60,84.24,437700
2021-04-23,84.35,86.04,84.31,85.67,915493
2021-04-26,85.68,87.76,85.09,87.75,849076
2021-04-27,87.95,88.55,87.00,88.20,473077
2021-04-28,87.95,88.86,87.72,87.91,354592
2021-04-29,88.63,88.63,87.34,87.82,309186
2021-04-30,86.65,87.27,85.91,86.12,888490
2021-05-03,87.02,87.57,82.84,82.93,606891
2021-05-04,82.19,82.35,79.45,80.83,748526
2021-05-05,81.59,81.98,79.69,79.88,1104738
2021-05-06,79.69,80.28,77.37,78.89,1003511
2021-05-07,78.67,79.88,77.19,77.58,1404334
2021-05-10,77.18,77.49,75.50,76.36,1082865
2021-05-11,75.00,75.60,73.85,74.83,1064012
2021-05-12,73.78,75.15,73.29,73.32,1024441
2021-05-13,74.52,75.21,72.85,73.17,748315
2021-05-14,73.93,74.83,72.91,74.04,1155339
