date,open,high,low,close,volume
2021-01-04,90.79,91.44,86.50,88.90,2991162
2021-01-05,88.26,95.40,88.00,95.29,4597044
2021-01-06,90.91,96.21,90.58,94.02,2919931
2021-01-07,95.71,99.38,94.92,97.98,2806430
2021-01-08,99.95,100.50,95.83,96.87,2629771
2021-01-11,95.29,98.73,93.78,97.15,1809884
2021-01-12,98.00,104.55,97.72,104.15,3996495
2021-01-13,105.50,114.24,105.01,112.46,6112697
2021-01-14,112.50,115.27,110.37,114.63,3404637
2021-01-15,113.12,113.77,107.33,108.11,3102724
2021-01-19,104.02,108.94,104.00,107.32,2846095
2021-01-20,108.48,110.70,103.79,104.39,2044145
2021-01-21,104.99,107.34,103.34,105.10,1746798
2021-01-22,106.00,106.75,101.60,105.08,2498371
2021-01-25,106.98,111.51,102.34,102.49,3064829
2021-01-26,102.50,105.48,101.60,102.29,2578424
2021-01-27,100.40,112.53,97.80,103.99,6983333
2021-01-28,106.13,107.04,100.48,103.95,2767325
2021-01-29,104.00,106.29,98.66,101.82,3103928
2021-02-01,102.36,104.95,99.20,101.44,2840335
2021-02-02,103.00,104.20,98.00,101.76,2695609
2021-02-03,102.70,107.39,100.30,103.71,3420986
2021-02-04,106.00,107.80,103.12,106.83,2102939
2021-02-05,107.00,110.84,105.83,110.70,2074893
2021-02-08,111.50,112.53,107.50,107.76,2425814
2021-02-09,107.76,111.11,107.72,109.75,1369564
2021-02-10,111.00,111.65,105.76,107.09,1557223
2021-02-11,108.00,111.03,107.13,108.94,1461752
2021-02-12,109.89,119.63,108.61,118.69,4340975
2021-02-16,116.25,120.00,112.80,114.74,2144557
2021-02-17,114.50,114.84,107.03,110.49,2558378
2021-02-18,109.75,111.33,107.60,110.29,1680334
2021-02-19,112.58,116.35,111.55,113.95,1787568
2021-02-22,110.55,112.28,107.42,108.68,2450074
2021-02-23,103.08,109.82,95.35,109.78,4165338
2021-02-24,106.81,109.78,102.86,105.23,2998404
