date,open,high,low,close,volume
2021-01-04,9.96,10.01,9.94,9.98,89804
2021-01-05,9.99,9.99,9.94,9.96,128036
2021-01-06,10.03,10.04,9.98,10.02,80585
2021-01-07,10.06,10.09,10.02,10.05,274178
2021-01-08,10.10,10.15,10.06,10.06,143903
2021-01-11,10.13,10.19,10.10,10.13,111853
2021-01-12,10.16,10.20,10.15,10.20,277947
2021-01-13,10.20,10.20,10.18,10.18,24842
2021-01-14,10.25,10.25,10.14,10.18,72235
2021-01-15,10.19,10.21,10.14,10.15,26139
2021-01-19,10.15,10.20,10.14,10.20,52239
2021-01-20,10.20,10.25,10.13,10.24,77723
2021-01-21,10.24,10.26,10.20,10.25,272511
2021-01-22,10.22,10.45,10.22,10.37,167931
2021-01-25,10.42,10.45,10.32,10.43,129055
2021-01-26,10.40,10.45,10.37,10.37,334828
2021-01-27,10.30,10.48,10.25,10.31,199471
2021-01-28,10.31,10.38,10.25,10.34,62324
2021-01-29,10.34,10.34,10.20,10.26,32197
2021-02-01,10.30,10.35,10.26,10.35,4724
2021-02-02,10.35,10.35,10.32,10.32,43270
2021-02-03,10.35,10.35,10.28,10.33,34230
2021-02-04,10.35,10.35,10.28,10.30,21352
2021-02-05,10.32,10.46,10.30,10.34,8731
2021-02-08,10.39,10.40,10.34,10.36,81595
2021-02-09,10.35,10.39,10.32,10.35,37398
2021-02-10,10.38,10.40,10.28,10.28,14930
2021-02-11,10.39,10.40,10.21,10.32,20574
2021-02-12,10.37,10.44,10.22,10.32,278331
2021-02-16,10.33,10.35,10.30,10.32,33916
2021-02-17,10.35,10.35,10.30,10.35,16329
2021-02-18,10.35,10.35,10.30,10.35,12788
2021-02-19,10.43,10.45,10.39,10.44,21392
2021-02-22,10.46,10.48,10.29,10.39,26278
2021-02-23,10.25,10.33,10.10,10.30,87040
2021-02-24,10.15,10.50,10.15,10.42,138188
2021-02-25,10.51,10.52,10.30,10.40,140155
2021-02-26,10.33,10.44,10.29,10.40,95889
2021-03-01,10.42,10.48,10.30,10.35,220650
2021-03-02,10.38,10.40,10.03,10.13,255809
2021-03-03,10.23,10.30,9.96,10.05,261120
2021-03-04,10.02,10.10,9.90,10.00,450128
2021-03-05,11.38,11.85,10.33,11.12,9790062
2021-03-08,11.42,11.99,10.92,11.00,2267961
2021-03-09,11.26,11.80,11.16,11.52,1838957
2021-03-10,11.96,12.00,11.22,11.39,1673561
2021-03-11,11.40,13.23,11.31,12.35,4377646
2021-03-12,11.96,12.13,11.61,11.93,1753405
2021-03-15,11.85,11.90,11.45,11.50,1149867
2021-03-16,11.36,11.49,10.79,10.94,1462537
2021-03-17,10.82,11.36,10.80,11.24,977351
2021-03-18,11.01,11.25,10.88,10.90,528062
2021-03-19,10.96,11.47,10.85,11.07,695025
2021-03-22,11.05,11.22,10.80,10.88,525719
2021-03-23,10.86,10.88,10.50,10.53,465736
2021-03-24,10.55,10.62,10.11,10.19,446460
2021-03-25,9.95,10.42,9.90,10.35,672046
2021-03-26,10.49,10.82,10.42,10.64,304709
2021-03-29,10.90,10.91,10.55,10.84,528167
2021-03-30,10.90,10.96,10.41,10.55,369670
2021-03-31,10.55,10.83,10.55,10.83,298174
2021-04-01,10.78,10.95,10.49,10.58,420940
2021-04-05,10.74,10.74,10.43,10.45,381347
2021-04-06,10.45,10.52,10.36,10.41,376185
2021-04-07,10.41,10.50,10.38,10.45,222786
2021-04-08,10.40,10.55,10.40,10.40,101214
2021-04-09,10.40,10.45,10.32,10.34,177756
2021-04-12,10.62,10.90,10.47,10.83,306272
2021-04-13,10.86,10.99,10.67,10.97,388015
2021-04-14,11.05,11.05,10.31,10.40,399080
2021-04-15,10.40,10.43,10.12,10.18,232478
2021-04-16,10.21,10.27,10.04,10.12,239206
2021-04-19,10.08,10.29,10.06,10.20,587837
2021-04-20,10.23,10.24,10.10,10.10,188739
2021-04-21,10.10,10.18,10.03,10.08,675755
2021-04-22,10.10,10.13,10.06,10.09,252137
2021-04-23,10.07,10.07,9.98,10.02,270015
2021-04-26,10.02,10.19,10.00,10.03,468915
2021-04-27,10.04,10.06,10.01,10.05,134531
2021-04-28,10.08,10.10,10.02,10.07,58891
2021-04-29,10.05,10.10,10.01,10.04,208910
2021-04-30,10.03,10.11,10.02,10.10,248627
2021-05-03,10.15,10.15,10.01,10.02,228062
2021-05-04,10.00,10.02,9.91,9.97,476437
2021-05-05,9.96,10.02,9.92,10.00,561683
2021-05-06,10.00,10.07,9.93,9.95,259387
2021-05-07,9.98,9.99,9.94,9.95,100706
2021-05-10,9.94,9.97,9.88,9.88,228161
2021-05-11,9.79,9.98,9.79,9.95,310213
2021-05-12,9.90,9.97,9.88,9.96,123030
2021-05-13,9.90,9.93,9.86,9.90,288262
2021-05-14,9.92,9.98,9.90,9.95,135053
2021-05-17,9.91,9.96,9.90,9.92,148443
2021-05-18,9.91,9.97,9.90,9.92,59225
2021-05-19,9.89,9.95,9.87,9.94,180398
2021-05-20,9.94,9.94,9.85,9.85,34900
2021-05-21,9.88,9.90,9.86,9.89,65734
2021-05-24,9.89,9.90,9.86,9.87,37865
2021-05-25,9.88,9.97,9.87,9.92,62099
2021-05-26,9.95,9.95,9.88,9.91,43602
2021-05-27,9.91,9.94,9.90,9.92,36315
2021-05-28,9.90,9.97,9.89,9.93,44031
2021-06-01,9.93,9.96,9.92,9.94,144946
2021-06-02,9.95,9.96,9.89,9.91,133754
2021-06-03,9.91,9.97,9.91,9.93,80957
2021-06-04,9.93,9.95,9.92,9.93,87051
2021-06-07,9.87,9.95,9.87,9.90,113854
2021-06-08,9.90,9.96,9.90,9.94,86862
2021-06-09,9.98,10.02,9.94,9.98,77092
2021-06-10,9.98,10.00,9.96,10.00,90594
2021-06-11,10.00,10.02,9.98,10.01,88638
2021-06-14,10.01,10.07,9.92,9.98,181560
2021-06-15,9.97,9.98,9.92,9.93,768645
2021-06-16,9.92,10.00,9.92,9.95,74448
2021-06-17,9.93,9.99,9.93,9.96,205172
2021-06-18,9.95,10.00,9.92,9.99,41885
2021-06-21,9.95,9.95,9.92,9.93,82048
2021-06-22,9.92,9.95,9.91,9.94,62889
2021-06-23,9.94,9.95,9.93,9.94,90004
2021-06-24,9.93,9.95,9.93,9.95,82819
2021-06-25,9.95,9.96,9.93,9.94,80699
2021-06-28,9.93,9.96,9.93,9.94,38309
2021-06-29,9.96,9.96,9.94,9.95,34858
2021-06-30,9.93,9.97,9.93,9.95,497050
2021-07-01,9.93,9.96,9.93,9.94,358282
2021-07-02,9.94,9.98,9.93,9.95,103641
2021-07-06,9.93,9.96,9.93,9.93,131151
2021-07-07,9.93,9.95,9.92,9.92,46673
2021-07-08,9.92,9.94,9.92,9.92,23586
2021-07-09,9.94,9.95,9.93,9.94,11260
2021-07-12,9.95,9.96,9.92,9.95,242192
2021-07-13,9.95,9.95,9.93,9.94,58569
2021-07-14,9.94,9.95,9.92,9.94,62940
2021-07-15,9.92,9.94,9.92,9.93,168898
2021-07-16,9.94,9.94,9.90,9.90,253051
2021-07-19,9.90,9.92,9.90,9.92,106331
2021-07-20,9.91,9.93,9.90,9.92,51576
2021-07-21,9.91,9.94,9.91,9.92,32569
2021-07-22,9.95,9.95,9.92,9.92,73136
2021-07-23,9.92,9.94,9.92,9.93,64035
2021-07-26,9.93,9.94,9.93,9.94,77635
2021-07-27,9.96,9.96,9.92,9.94,35180
2021-07-28,9.92,9.94,9.92,9.93,23998
2021-07-29,9.92,9.93,9.92,9.92,27336
2021-07-30,9.91,9.95,9.91,9.92,60555
2021-08-02,9.93,9.95,9.91,9.94,25506
2021-08-03,9.96,9.98,9.92,9.95,398466
2021-08-04,9.94,9.96,9.94,9.96,44326
2021-08-05,9.95,9.97,9.94,9.97,228966
2021-08-06,9.95,10.01,9.95,9.97,376534
2021-08-09,9.99,10.01,9.96,9.96,706435
2021-08-10,10.00,10.00,9.96,9.98,262432
2021-08-11,9.98,10.01,9.97,10.00,397363
2021-08-12,9.98,10.00,9.97,9.97,288503
2021-08-13,9.98,10.00,9.97,9.97,99336
2021-08-16,9.97,9.99,9.97,9.98,373025
2021-08-17,9.98,9.99,9.97,9.98,672980
2021-08-18,9.97,9.98,9.97,9.98,512565
2021-08-19,9.97,9.98,9.97,9.98,423443
2021-08-20,9.73,9.98,9.65,9.69,194922
2021-08-23,9.74,10.03,9.73,9.94,211266
2021-08-24,9.87,9.88,9.75,9.76,43150
2021-08-25,9.82,11.72,9.77,10.02,1191169
2021-08-26,9.96,12.80,9.20,11.34,5060364
2021-08-27,10.55,11.40,10.05,10.50,1013605
