date,open,high,low,close,volume
2016-09-15,107.46,109.58,107.46,109.28,1150618
2016-09-16,109.01,109.80,108.37,109.65,2220874
2016-09-19,109.95,110.35,109.68,109.76,1157418
2016-09-20,109.90,110.34,108.94,108.94,1211367
2016-09-21,108.98,109.65,108.22,108.91,1830397
2016-09-22,109.32,109.44,108.26,108.42,1151014
2016-09-23,108.01,108.22,106.36,106.49,1787501
2016-09-26,106.18,106.18,105.03,105.27,1373650
2016-09-27,105.52,106.25,105.04,105.71,1505461
2016-09-28,105.56,106.41,104.74,106.32,1697362
2016-09-29,106.01,106.57,104.20,104.72,2987801
2016-09-30,105.50,105.58,104.27,104.52,2068997
2016-10-03,104.09,104.78,103.76,104.07,1077394
2016-10-04,104.31,104.71,103.09,103.93,1422096
2016-10-05,104.23,104.47,103.19,104.06,1466460
2016-10-06,104.00,104.53,103.72,104.19,1308748
2016-10-07,103.95,104.33,103.43,103.82,844034
2016-10-10,104.25,104.60,103.77,104.11,1087828
2016-10-11,104.12,104.47,103.64,103.93,1334388
2016-10-12,103.74,104.58,103.59,104.27,937868
2016-10-13,103.63,104.22,103.24,103.92,977155
2016-10-14,104.28,105.65,104.02,105.44,1313840
2016-10-17,105.54,105.54,103.62,103.73,884805
2016-10-18,104.18,104.63,103.50,104.09,637943
2016-10-19,104.00,104.41,103.54,103.93,584654
2016-10-20,103.83,104.26,103.65,103.65,931406
2016-10-21,103.13,104.22,103.01,104.09,976187
2016-10-24,104.45,104.50,103.47,103.54,1052596
2016-10-25,103.15,104.01,103.15,103.33,995042
2016-10-26,102.99,103.77,102.42,102.84,1663649
2016-10-27,100.64,101.42,99.19,100.12,2402993
2016-10-28,100.12,100.71,99.18,99.91,1100578
2016-10-31,100.21,100.66,99.51,100.10,1146100
2016-11-01,100.53,100.68,98.95,99.64,1430710
2016-11-02,99.74,101.65,99.58,101.19,1470408
2016-11-03,104.06,104.13,101.68,103.01,2910400
2016-11-04,103.04,103.78,102.06,102.85,2165438
2016-11-07,104.28,104.86,103.39,104.80,1899904
2016-11-08,104.83,105.96,103.72,105.63,1562312
2016-11-09,106.51,112.92,106.51,112.00,4217553
2016-11-10,113.00,117.80,112.71,117.05,5024740
2016-11-11,116.84,117.40,113.55,114.38,2972539
2016-11-14,114.31,116.14,113.50,115.82,2571199
2016-11-15,115.54,116.12,113.96,116.07,2430202
2016-11-16,115.87,116.98,114.01,115.09,2917594
2016-11-17,115.20,116.12,114.47,115.50,2067586
2016-11-18,115.72,115.73,113.82,113.93,2880971
2016-11-21,113.64,114.46,113.07,114.23,1749406
2016-11-22,114.51,115.31,112.26,112.29,2014509
2016-11-23,112.39,113.22,111.92,112.59,1231149
2016-11-25,112.39,112.87,112.02,112.84,690701
2016-11-28,111.77,112.42,111.19,111.88,1342839
2016-11-29,112.17,112.99,111.54,112.67,957253
2016-11-30,113.54,113.55,112.58,112.91,2039261
2016-12-01,113.59,115.31,113.00,114.92,1845732
2016-12-02,115.44,116.29,114.79,115.64,1643115
2016-12-05,117.00,117.96,116.30,117.91,2147793
2016-12-06,117.79,119.38,116.84,119.10,1811986
2016-12-07,119.08,121.30,117.25,120.85,2397501
2016-12-08,121.33,122.33,120.14,122.29,2799281
2016-12-09,122.41,122.74,121.70,122.74,1345592
2016-12-12,122.61,123.95,122.47,122.59,1457468
2016-12-13,122.97,124.01,122.44,123.43,1402621
2016-12-14,122.99,123.75,121.12,121.61,2000269
2016-12-15,122.06,122.94,120.76,122.33,1169718
2016-12-16,122.68,123.24,122.05,122.66,2278961
2016-12-19,122.04,122.86,121.76,122.41,1130248
2016-12-20,123.28,123.30,122.00,122.42,1219736
2016-12-21,122.46,122.47,121.17,121.19,1177553
2016-12-22,121.32,121.32,119.93,120.69,3096791
2016-12-23,117.21,117.33,115.70,116.92,1809985
2016-12-27,116.88,117.20,116.48,116.69,1019244
2016-12-28,116.78,117.23,115.79,115.96,896678
2016-12-29,115.88,116.32,115.19,115.59,909797
2016-12-30,116.07,116.48,114.90,115.35,898599
2017-01-03,116.16,116.28,113.27,114.40,2159294
2017-01-04,114.83,116.46,114.66,115.52,2400790
2017-01-05,115.50,116.91,114.90,115.92,1689448
2017-01-06,116.06,117.32,115.81,117.19,1229446
2017-01-09,116.77,117.28,116.29,116.33,963127
2017-01-10,116.93,116.93,115.70,116.30,1061882
2017-01-11,116.34,116.58,114.56,115.90,2239637
2017-01-12,115.75,116.60,113.90,116.43,1243587
2017-01-13,117.00,117.50,116.35,116.87,1057794
2017-01-17,116.84,116.84,115.51,115.69,1198020
2017-01-18,116.10,117.35,115.01,117.25,1449052
2017-01-19,117.21,117.40,115.97,116.36,1191806
2017-01-20,116.62,116.93,115.78,116.66,1175877
2017-01-23,116.30,116.98,115.69,116.24,800166
2017-01-24,116.39,117.67,116.39,117.44,1046005
2017-01-25,118.23,120.36,117.79,120.15,1886899
2017-01-26,120.00,121.08,119.04,120.74,1472645
2017-01-27,120.78,120.81,119.89,120.31,1065132
2017-01-30,119.83,120.55,119.19,120.44,1196185
2017-01-31,120.26,121.69,120.20,121.08,2246797
2017-02-01,121.50,122.28,120.85,120.90,2795623
2017-02-02,120.51,123.55,118.62,121.26,2058674
2017-02-03,121.74,122.07,119.35,119.95,1648207
2017-02-06,119.50,119.89,119.05,119.81,1119983
2017-02-07,120.26,120.40,118.66,118.73,1672610
2017-02-08,118.36,118.52,115.60,116.57,2019220
2017-02-09,116.94,119.03,116.18,118.58,1525440
2017-02-10,118.94,119.45,118.51,118.98,1130128
2017-02-13,119.65,121.90,119.45,121.38,1481057
2017-02-14,121.44,121.60,120.25,121.01,1208192
2017-02-15,121.48,122.67,120.56,122.11,1233983
2017-02-16,122.11,122.56,120.86,121.83,1180654
2017-02-17,121.60,122.77,121.01,122.62,2038541
2017-02-21,122.41,123.40,120.87,121.05,1385690
2017-02-22,121.63,123.32,121.50,122.51,2270234
2017-02-23,122.58,123.50,121.58,122.52,1399185
2017-02-24,122.08,123.01,121.61,122.62,1686189
2017-02-27,122.62,123.30,121.00,122.83,1279144
2017-02-28,122.46,122.75,121.30,121.46,1881229
2017-03-01,123.01,127.60,122.67,127.00,2336295
2017-03-02,127.25,127.39,124.13,124.24,1664203
2017-03-03,124.34,124.72,123.55,124.05,1096888
2017-03-06,123.45,124.53,123.04,124.05,1393458
2017-03-07,123.71,124.04,123.20,123.56,1362881
2017-03-08,123.88,124.45,123.16,123.20,1223153
2017-03-09,123.36,124.19,123.01,123.81,1358614
2017-03-10,124.24,124.69,122.78,123.73,1414054
2017-03-13,124.14,125.16,123.71,124.83,1620027
2017-03-14,124.26,125.14,123.59,124.45,1319687
2017-03-15,125.15,125.15,124.07,124.74,1271981
2017-03-16,125.32,125.49,124.21,124.74,1138629
2017-03-17,125.00,125.60,124.29,124.59,2756358
2017-03-20,124.07,124.93,123.65,123.93,1176641
2017-03-21,124.43,124.87,120.16,120.28,2522190
2017-03-22,120.38,120.82,118.79,119.33,2407460
2017-03-23,119.36,120.53,118.97,119.19,1843985
2017-03-24,119.60,120.41,119.03,119.88,1462028
2017-03-27,118.64,119.19,117.57,118.24,1358780
2017-03-28,117.69,119.47,117.10,118.82,1769587
2017-03-29,118.51,118.87,117.80,118.50,922047
2017-03-30,118.00,118.94,117.41,118.85,1577281
2017-03-31,119.23,120.10,118.53,118.80,1753587
2017-04-03,118.82,119.39,116.17,117.50,2447646
2017-04-04,117.39,118.23,116.83,117.27,1669066
2017-04-05,117.78,119.27,117.28,117.55,1539147
2017-04-06,117.67,118.44,117.07,117.81,938279
2017-04-07,117.01,118.47,117.01,117.99,1203321
2017-04-10,117.85,118.53,117.00,117.09,1006491
2017-04-11,116.95,117.18,116.02,117.07,1284998
2017-04-12,116.58,117.36,116.23,116.62,1608465
2017-04-13,116.55,116.97,115.82,115.87,971142
2017-04-17,116.33,117.53,115.37,117.44,936897
2017-04-18,116.97,117.54,116.21,117.10,848557
2017-04-19,117.60,118.03,116.99,117.17,1033348
2017-04-20,117.89,119.27,117.17,119.11,1217217
2017-04-21,119.00,119.50,118.30,118.77,1302617
2017-04-24,120.66,120.79,119.44,119.76,1093019
2017-04-25,120.23,120.69,119.42,119.94,1535025
2017-04-26,120.00,120.73,119.29,120.04,1252336
2017-04-27,118.25,118.25,114.82,115.12,4256617
2017-04-28,115.29,116.34,115.11,116.19,1904314
2017-05-01,116.55,117.07,116.13,116.64,1375300
2017-05-02,116.76,117.61,116.48,117.26,1211629
2017-05-03,117.31,118.98,116.93,118.03,1825444
2017-05-04,118.86,119.18,117.79,118.64,1727272
2017-05-05,119.04,119.04,117.81,118.76,1291013
2017-05-08,118.51,118.94,116.68,117.10,1773205
2017-05-09,116.83,118.29,116.55,117.64,1697349
2017-05-10,117.50,117.76,116.17,117.05,1199093
2017-05-11,116.75,117.17,115.35,116.79,1146936
2017-05-12,116.57,116.98,116.08,116.17,1140479
2017-05-15,116.31,117.97,116.25,117.25,1564508
2017-05-16,117.25,117.67,116.58,116.68,1186016
2017-05-17,115.81,116.25,114.88,115.12,1580725
2017-05-18,115.41,116.41,115.24,115.76,1487605
2017-05-19,116.09,117.00,115.43,116.83,2699784
2017-05-22,117.37,117.48,116.41,116.91,1247934
2017-05-23,117.00,118.48,116.35,118.20,1026071
2017-05-24,118.23,118.42,117.43,117.77,975949
2017-05-25,117.71,118.39,117.31,118.07,1151636
2017-05-26,118.18,118.44,117.56,117.98,721056
2017-05-30,117.42,117.81,116.67,117.20,930565
2017-05-31,117.50,117.50,116.55,117.29,1379197
2017-06-01,117.53,117.82,116.81,117.82,1078590
2017-06-02,117.62,118.05,116.62,116.93,1120428
2017-06-05,116.63,118.60,116.63,118.19,1159152
2017-06-06,118.03,118.13,116.81,117.22,1090243
2017-06-07,116.76,119.98,116.76,119.41,1522645
2017-06-08,119.97,122.50,119.66,122.29,2036456
2017-06-09,121.93,124.44,121.60,124.39,1822186
2017-06-12,124.42,125.94,124.36,125.59,2344092
2017-06-13,125.80,126.45,125.58,126.07,2221471
2017-06-14,125.55,127.66,125.11,127.32,1587512
2017-06-15,126.50,126.90,126.14,126.78,1381640
2017-06-16,126.58,127.16,123.40,126.18,1585243
2017-06-19,126.21,127.74,126.21,127.44,795207
2017-06-20,127.45,127.45,125.79,126.07,1330759
2017-06-21,126.71,126.71,124.48,124.90,1595016
2017-06-22,124.50,124.86,123.88,124.06,871471
2017-06-23,124.38,124.78,123.84,124.12,1085568
2017-06-26,124.17,124.61,123.10,123.65,865919
2017-06-27,123.98,124.98,123.37,124.62,1208353
2017-06-28,125.33,127.10,125.05,126.77,989365
2017-06-29,127.70,127.96,124.37,125.04,1106429
2017-06-30,125.44,125.64,124.73,125.24,1053769
2017-07-03,125.33,127.36,125.33,126.30,611441
2017-07-05,126.20,126.58,125.07,125.95,1025590
2017-07-06,125.95,126.57,123.67,123.69,1426654
2017-07-07,124.39,125.22,122.90,124.83,1108046
2017-07-10,124.50,125.13,124.06,124.11,958862
2017-07-11,124.11,124.68,122.97,123.16,941523
2017-07-12,123.85,124.19,123.09,123.39,1223322
2017-07-13,123.47,124.00,123.28,123.39,1570318
2017-07-14,122.71,123.15,119.76,120.57,2560169
2017-07-17,120.49,121.42,120.39,120.64,2123474
2017-07-18,120.07,120.87,119.57,120.56,915227
2017-07-19,120.78,120.97,119.86,120.17,1630500
2017-07-20,120.18,120.80,119.30,120.56,1257930
2017-07-21,120.49,122.37,120.49,121.00,1648929
2017-07-24,120.90,121.11,120.12,120.42,1143003
2017-07-25,121.34,122.25,120.69,121.89,1319146
2017-07-26,121.75,123.13,121.42,121.83,1343070
2017-07-27,121.84,122.30,120.52,121.36,1349589
2017-07-28,121.25,121.78,120.52,121.28,1401620
2017-07-31,121.78,123.13,121.37,122.62,1636042
2017-08-01,123.65,124.06,120.32,123.79,1902469
2017-08-02,123.28,124.24,123.19,124.16,1331327
2017-08-03,124.34,125.18,124.01,124.99,1360538
2017-08-04,125.78,126.09,124.70,125.83,1222844
2017-08-07,126.16,126.79,124.92,124.97,979179
2017-08-08,124.78,125.52,124.46,124.76,776287
2017-08-09,124.32,126.43,124.00,126.19,1416530
2017-08-10,125.71,126.08,124.07,124.19,1075734
2017-08-11,124.87,125.00,123.05,123.26,650816
2017-08-14,124.01,124.98,123.72,124.68,726242
2017-08-15,125.21,126.43,124.72,125.92,1047643
2017-08-16,126.34,127.35,126.06,126.22,895102
2017-08-17,126.43,126.81,125.24,125.36,984587
2017-08-18,124.92,126.18,124.70,125.39,1048291
2017-08-21,125.34,125.67,123.88,125.28,664112
2017-08-22,125.58,126.69,125.11,126.37,1137538
2017-08-23,125.95,126.56,125.46,125.95,1499576
2017-08-24,126.07,126.62,125.65,125.92,1326509
2017-08-25,126.29,127.70,126.05,127.10,1578881
2017-08-28,127.63,127.77,126.51,126.93,668880
2017-08-29,126.26,126.60,125.60,126.38,955898
2017-08-30,126.41,126.99,125.94,126.06,1202263
2017-08-31,126.61,126.61,125.75,125.80,1034748
2017-09-01,125.63,126.57,125.59,126.25,842950
2017-09-05,125.98,126.30,124.51,125.46,1540804
2017-09-06,125.83,129.31,125.48,128.42,1886847
2017-09-07,128.02,128.61,124.92,125.74,1131358
2017-09-08,125.86,129.09,125.52,128.04,1034854
2017-09-11,129.12,129.75,128.51,128.80,1056608
2017-09-12,128.98,130.15,128.61,130.06,795285
2017-09-13,130.09,130.89,129.71,130.87,1036401
2017-09-14,131.18,132.17,130.82,132.12,1591942
2017-09-15,131.98,132.34,130.92,131.29,1649764
2017-09-18,130.86,131.95,130.37,131.30,1495044
2017-09-19,131.51,132.90,131.27,131.81,1635724
2017-09-20,132.00,134.24,131.96,133.80,1443260
2017-09-21,133.43,134.16,133.06,133.80,766634
2017-09-22,132.93,134.36,132.86,134.17,770680
2017-09-25,134.28,134.63,132.59,134.30,735917
2017-09-26,134.21,134.38,132.82,133.09,927559
2017-09-27,133.43,134.98,133.24,134.53,1193579
2017-09-28,134.54,136.02,133.93,135.86,1217310
2017-09-29,135.87,136.26,135.17,135.68,1067479
2017-10-02,135.73,136.52,135.25,136.40,822234
2017-10-03,136.37,137.45,134.79,137.33,1364064
2017-10-04,137.02,137.29,136.39,136.88,1008914
2017-10-05,137.24,138.34,136.24,138.02,988996
2017-10-06,138.13,138.39,135.73,137.20,1575659
2017-10-09,137.03,138.39,136.37,137.99,814167
2017-10-10,138.48,138.49,136.25,137.23,1113929
2017-10-11,136.83,137.70,136.40,137.19,1058875
2017-10-12,137.20,137.90,136.55,137.71,984428
2017-10-13,137.57,138.27,136.81,137.31,1737442
2017-10-16,137.61,137.99,136.97,137.52,763336
2017-10-17,137.51,137.51,136.03,136.19,1253733
2017-10-18,136.36,136.75,135.52,136.37,1002059
2017-10-19,135.86,135.86,134.37,134.95,1140992
2017-10-20,135.54,135.63,134.70,135.13,1180139
2017-10-23,135.00,135.34,134.37,134.61,1038946
2017-10-24,134.80,134.90,133.64,134.07,1491241
2017-10-25,134.00,134.36,132.33,133.85,1829100
2017-10-26,134.60,137.00,132.77,136.60,1782944
2017-10-27,135.89,137.86,134.09,137.55,1921527
2017-10-30,136.88,137.46,136.09,136.11,1244195
2017-10-31,136.21,137.62,135.87,137.17,1186867
2017-11-01,137.99,138.29,135.61,136.14,1002382
2017-11-02,136.15,140.57,136.01,140.30,1553803
2017-11-03,139.53,141.07,139.41,140.06,1720340
2017-11-06,139.68,139.90,137.67,138.16,1079927
2017-11-07,138.39,139.44,136.85,137.55,755780
2017-11-08,137.56,138.15,137.24,137.60,796926
2017-11-09,137.34,138.16,136.35,138.04,764048
2017-11-10,138.18,139.00,137.56,137.88,750198
2017-11-13,137.72,140.35,137.51,140.15,1142153
2017-11-14,139.68,141.04,138.93,140.20,1267450
2017-11-15,139.72,141.44,139.51,139.67,1017163
2017-11-16,140.38,140.61,139.25,140.09,740751
2017-11-17,139.57,140.13,139.04,139.49,924292
2017-11-20,140.11,142.64,139.75,141.90,1137774
2017-11-21,142.72,143.99,141.64,142.58,1077876
2017-11-22,143.29,143.29,140.51,141.87,1040454
2017-11-24,142.29,142.95,141.64,141.86,312282
2017-11-27,142.28,143.42,141.99,142.07,1060125
2017-11-28,142.45,145.21,141.71,145.12,1369812
2017-11-29,145.85,149.29,145.76,147.83,2556784
2017-11-30,148.26,151.85,147.84,149.54,2433863
2017-12-01,151.46,152.14,148.40,150.79,2805896
2017-12-04,153.50,154.03,150.98,153.41,2445537
2017-12-05,153.52,155.29,151.58,152.11,2096360
2017-12-06,152.38,153.20,149.69,152.75,1431893
2017-12-07,152.50,153.49,150.29,152.07,1489520
2017-12-08,152.67,153.02,151.01,152.82,1493644
2017-12-11,153.20,153.68,152.22,152.71,1019458
2017-12-12,152.56,153.65,152.20,153.03,1326956
2017-12-13,153.10,153.55,151.35,151.61,1285150
2017-12-14,152.26,152.60,150.04,150.42,2215290
2017-12-15,150.69,151.80,150.00,151.07,2241019
2017-12-18,152.28,152.67,150.80,151.28,1398119
2017-12-19,151.96,152.10,150.07,150.16,1176107
2017-12-20,150.77,150.91,148.12,149.44,1523649
2017-12-21,150.02,151.22,149.55,150.88,1758258
2017-12-22,151.12,151.31,148.73,148.98,1163587
2017-12-26,148.63,149.29,147.85,148.94,1545151
2017-12-27,145.73,146.83,144.84,145.95,1267606
2017-12-28,146.46,146.48,145.55,146.31,738880
2017-12-29,146.47,148.07,146.01,146.05,879877
2018-01-02,146.12,146.66,144.42,144.79,1081722
2018-01-03,144.34,147.31,143.68,147.11,1341024
2018-01-04,148.29,150.34,147.62,148.68,1551396
2018-01-05,148.49,149.77,148.25,149.65,953863
2018-01-08,150.73,152.71,150.26,151.73,1118208
2018-01-09,151.50,153.16,151.32,152.63,944763
2018-01-10,152.96,154.34,151.90,152.90,1182723
2018-01-11,153.09,153.34,151.51,152.81,1056141
2018-01-12,153.02,153.32,151.93,152.73,1108563
2018-01-16,154.14,155.15,151.40,152.20,1298445
2018-01-17,153.24,153.98,151.26,151.45,1464950
2018-01-18,152.04,152.78,151.72,152.21,1140936
2018-01-19,153.01,154.44,152.50,154.28,1558652
2018-01-22,154.06,155.45,153.71,155.45,910713
2018-01-23,155.70,156.02,153.84,154.25,842460
2018-01-24,154.30,155.86,153.17,154.99,1045916
2018-01-25,154.99,155.19,153.28,154.17,1228065
2018-01-26,154.56,155.54,153.71,155.16,1131286
2018-01-29,155.28,156.49,153.38,153.45,1221765
2018-01-30,153.00,154.52,152.23,153.33,1453107
2018-01-31,152.91,155.32,152.91,153.48,2947727
2018-02-01,155.40,159.09,153.86,158.91,2357148
2018-02-02,160.12,163.00,158.95,159.11,2887839
2018-02-05,158.99,160.79,153.88,153.96,3669894
2018-02-06,153.20,157.76,149.38,157.65,4343512
2018-02-07,158.67,162.00,156.85,159.93,2719878
2018-02-08,160.25,160.87,152.93,153.04,2724050
2018-02-09,154.26,157.92,152.50,156.85,2620588
2018-02-12,157.33,161.29,157.25,160.13,1974512
2018-02-13,159.00,161.17,158.16,160.16,1237233
2018-02-14,159.07,162.55,158.77,162.15,1790132
2018-02-15,162.77,165.21,161.61,165.11,1581283
2018-02-16,164.68,165.35,161.78,162.38,1448953
2018-02-20,161.73,164.66,161.52,163.35,1422224
2018-02-21,163.11,164.81,161.73,161.78,1113808
2018-02-22,162.46,163.38,160.03,160.53,1224131
2018-02-23,161.20,164.08,161.15,164.02,972314
2018-02-26,164.52,166.95,163.60,166.90,1214054
2018-02-27,167.24,169.52,166.50,166.69,1576965
2018-02-28,166.78,168.82,165.63,166.16,1608486
2018-03-01,166.37,166.99,161.28,162.26,1401531
2018-03-02,161.56,166.38,161.56,166.26,1605000
