date,open,high,low,close,volume
2021-04-14,381.00,429.54,310.00,328.28,81065750
2021-04-15,348.90,349.20,317.27,322.75,39777860
2021-04-16,327.50,345.99,321.03,342.00,22654540
2021-04-19,337.26,341.01,326.79,333.00,11405560
2021-04-20,333.43,334.83,312.02,320.82,18082260
2021-04-21,312.52,327.47,302.10,311.92,10103900
2021-04-22,305.76,313.50,287.20,293.45,14991940
2021-04-23,282.75,303.00,282.07,291.60,9891146
2021-04-26,304.29,306.10,296.90,304.54,6330230
2021-04-27,306.70,306.70,299.50,302.00,3901957
2021-04-28,301.01,302.90,298.05,298.05,2746079
2021-04-29,298.45,300.00,292.10,294.77,2845798
2021-04-30,293.00,302.74,291.00,297.64,3997384
2021-05-03,304.00,305.03,293.94,294.21,3333846
2021-05-04,292.06,292.19,275.61,280.66,5707704
2021-05-05,284.95,289.15,269.00,273.00,5074631
2021-05-06,271.15,272.14,250.51,256.76,8342002
2021-05-07,261.15,267.07,258.38,263.70,4243741
2021-05-10,266.40,297.50,259.37,293.45,10268640
2021-05-11,281.05,303.32,276.51,303.00,7456019
2021-05-12,299.54,306.98,280.79,283.61,7214195
2021-05-13,276.46,285.00,252.26,265.10,11226840
2021-05-14,280.37,280.64,256.35,258.37,11751750
2021-05-17,250.00,250.25,238.25,248.24,8751013
2021-05-18,238.83,252.16,238.50,239.00,7852101
2021-05-19,212.93,229.00,208.00,224.80,16765950
2021-05-20,236.10,238.80,226.26,233.40,10386890
2021-05-21,235.97,238.97,223.90,224.35,7554937
2021-05-24,227.28,231.00,224.04,225.30,10185620
2021-05-25,230.00,243.99,228.00,242.41,11827820
2021-05-26,247.50,249.39,239.37,241.52,6602815
2021-05-27,245.21,247.24,240.32,247.09,5083274
2021-05-28,243.57,244.63,236.54,236.54,5091479
2021-06-01,238.51,244.71,238.10,238.93,3962697
2021-06-02,242.80,243.90,238.71,240.48,3383753
2021-06-03,241.39,241.50,233.50,233.66,3091112
2021-06-04,229.99,233.36,227.50,228.79,3775123
