date,open,high,low,close,volume
2021-01-04,91.25,91.76,88.25,89.31,1132464
2021-01-05,89.43,90.91,89.14,90.37,681780
2021-01-06,90.39,91.85,90.30,91.58,831540
2021-01-07,91.71,92.82,90.73,91.27,872436
2021-01-08,91.22,92.30,89.85,90.81,1397404
2021-01-11,90.43,90.67,89.63,89.91,1286952
2021-01-12,89.59,90.17,88.52,89.50,1468784
2021-01-13,90.18,95.64,90.00,95.44,1942820
2021-01-14,95.38,95.42,93.54,93.79,887868
2021-01-15,93.87,94.65,92.83,94.22,995160
2021-01-19,95.36,97.32,94.64,96.86,1908988
2021-01-20,96.75,97.36,95.26,96.19,1020464
2021-01-21,95.77,95.85,93.12,94.22,903616
2021-01-22,94.35,96.77,94.35,95.00,1129908
2021-01-25,95.17,95.99,94.38,95.91,770876
2021-01-26,96.25,96.42,94.25,94.36,958388
2021-01-27,92.12,93.08,89.96,90.18,1581884
2021-01-28,90.56,92.30,90.11,91.17,944236
2021-01-29,90.77,92.02,90.33,91.01,1031964
2021-02-01,91.86,92.03,90.22,91.28,842860
2021-02-02,91.54,94.93,91.54,93.78,1420316
2021-02-03,94.06,94.44,93.31,93.86,643108
2021-02-04,94.61,96.55,94.17,96.03,1218308
2021-02-05,96.72,97.99,96.14,96.74,1174172
2021-02-08,96.54,97.14,95.89,96.23,561564
2021-02-09,95.97,96.32,94.77,95.18,903828
2021-02-10,95.56,96.37,94.49,94.75,792804
2021-02-11,95.49,96.37,95.28,96.25,770100
2021-02-12,95.53,96.62,95.16,96.35,568404
2021-02-16,97.08,97.97,96.35,96.61,1033800
2021-02-17,96.13,96.83,95.06,96.16,614832
2021-02-18,95.95,97.40,95.28,97.19,1038576
2021-02-19,97.47,98.36,95.76,97.13,1348044
2021-02-22,96.91,97.92,96.41,97.67,865824
2021-02-23,97.92,98.60,97.19,97.86,1228496
2021-02-24,97.90,99.22,97.83,98.14,921844
2021-02-25,98.23,98.72,96.93,98.03,1277316
2021-02-26,98.47,98.47,96.43,96.53,1188852
2021-03-01,96.94,99.01,96.62,97.71,1245916
2021-03-02,97.45,97.45,96.13,96.98,755648
2021-03-03,96.53,96.88,95.05,95.28,1023032
2021-03-04,96.20,96.20,92.01,92.89,1846676
2021-03-05,98.47,100.48,94.14,97.04,2798252
2021-03-08,96.50,98.62,95.95,96.37,2276568
2021-03-09,96.50,97.92,95.53,95.59,1259412
2021-03-10,95.93,96.69,95.36,95.74,943984
2021-03-11,95.88,97.75,94.70,94.91,930004
2021-03-12,94.89,95.29,93.52,94.10,1045096
2021-03-15,94.08,96.89,94.08,96.76,1237344
2021-03-16,96.64,98.33,95.22,95.55,977876
2021-03-17,94.78,95.39,93.62,93.93,1233368
2021-03-18,93.90,96.36,93.90,94.69,1472304
2021-03-19,94.42,96.57,94.42,96.00,1904204
2021-03-22,96.00,97.06,95.03,96.59,1420908
2021-03-23,96.81,97.46,95.53,95.83,1213468
2021-03-24,95.83,96.36,94.52,95.08,1180660
2021-03-25,94.66,95.76,93.92,95.61,830972
2021-03-26,95.75,95.97,94.87,95.96,989672
2021-03-29,95.32,96.61,94.88,96.16,932596
2021-03-30,95.62,96.51,95.56,96.22,728284
2021-03-31,96.52,97.53,95.25,96.02,1097164
2021-04-01,95.89,96.85,95.25,96.37,1007348
2021-04-05,97.18,97.33,96.55,96.94,965528
2021-04-06,97.23,97.71,96.80,97.32,1473768
2021-04-07,96.61,97.24,95.27,95.67,1418916
2021-04-08,96.02,96.97,95.11,95.25,1299400
2021-04-09,95.72,96.51,95.03,96.51,1109352
2021-04-12,96.52,97.20,96.42,97.00,912204
2021-04-13,96.78,98.00,96.41,97.72,708672
2021-04-14,97.64,98.47,96.94,97.76,754744
2021-04-15,97.97,100.16,97.85,100.00,1383308
2021-04-16,100.18,100.80,99.19,99.88,1285072
2021-04-19,99.62,100.37,99.30,99.83,1149776
2021-04-20,99.76,100.86,99.23,100.12,1267076
2021-04-21,100.55,101.36,99.81,101.00,1281616
2021-04-22,101.40,102.69,100.91,101.32,1313088
2021-04-23,101.92,103.59,101.52,102.83,882736
2021-04-26,102.80,103.52,102.06,102.41,830052
2021-04-27,102.00,103.11,101.19,101.86,729416
2021-04-28,102.00,102.68,100.88,101.77,824540
2021-04-29,102.30,102.53,101.25,101.90,589376
2021-04-30,101.90,103.45,101.78,102.72,909080
2021-05-03,103.19,103.99,102.06,103.02,904420
2021-05-04,102.87,103.42,102.09,102.90,1071176
2021-05-05,102.95,103.09,99.50,100.22,1137736
2021-05-06,99.80,101.45,99.27,101.38,876640
2021-05-07,101.22,102.94,101.08,101.08,804604
2021-05-10,101.08,101.95,100.45,100.45,674828
2021-05-11,99.42,99.98,96.95,97.08,1237764
2021-05-12,97.15,97.53,96.13,96.18,1015024
2021-05-13,96.24,97.85,96.11,96.97,999684
2021-05-14,97.52,97.87,96.97,97.30,968628
2021-05-17,97.23,97.48,96.41,97.06,542724
2021-05-18,97.12,97.98,96.23,96.27,1118392
2021-05-19,95.58,95.68,94.73,95.49,1065240
2021-05-20,95.45,97.54,95.07,97.28,721036
2021-05-21,97.67,99.14,96.68,97.11,2464580
2021-05-24,98.09,99.02,97.33,98.62,1063560
2021-05-25,98.59,99.34,98.21,98.62,1182456
2021-05-26,98.47,98.62,97.45,98.03,1208456
2021-05-27,98.61,99.06,97.75,98.77,2052268
2021-05-28,99.47,99.74,98.28,98.36,722276
2021-06-01,98.89,99.27,97.39,97.60,846540
2021-06-02,97.66,98.31,95.98,96.17,1325288
2021-06-03,95.39,96.34,94.55,96.02,1242620
2021-06-04,96.28,97.67,95.16,95.49,1654968
2021-06-07,95.58,96.16,93.45,93.60,1396824
2021-06-08,94.00,94.00,92.31,93.09,1236064
2021-06-09,93.21,93.81,92.60,93.10,949012
2021-06-10,93.36,94.31,92.88,93.53,1103400
2021-06-11,93.44,94.24,92.88,93.80,1122824
2021-06-14,94.29,94.29,93.66,94.14,764764
2021-06-15,94.34,94.90,94.02,94.22,866628
2021-06-16,94.73,96.00,94.25,95.38,1469416
2021-06-17,94.82,96.58,94.82,95.47,1081296
2021-06-18,95.48,96.38,94.67,95.99,2942388
2021-06-21,96.48,98.49,96.14,97.36,1042812
2021-06-22,97.64,98.67,97.34,97.69,1724248
2021-06-23,97.09,97.50,96.50,96.92,756968
2021-06-24,97.46,98.28,97.30,97.65,885160
2021-06-25,97.78,99.25,97.72,99.11,2012184
2021-06-28,99.34,99.36,98.02,98.88,803552
2021-06-29,98.94,99.49,98.55,99.28,754600
2021-06-30,99.09,99.42,98.42,99.07,931708
2021-07-01,99.18,101.20,99.18,100.75,1054632
2021-07-02,100.81,102.03,100.76,101.94,837996
2021-07-06,101.71,102.48,100.89,102.39,675960
2021-07-07,102.56,103.75,102.06,103.45,999052
2021-07-08,102.52,102.95,101.53,102.66,855772
2021-07-09,102.68,103.21,102.25,102.81,738704
2021-07-12,103.22,103.39,102.70,102.71,1566244
2021-07-13,102.37,102.69,101.61,102.27,1031088
2021-07-14,102.17,102.30,101.04,101.38,734176
2021-07-15,100.85,101.37,99.97,100.69,664968
2021-07-16,101.04,101.75,100.66,100.97,638176
2021-07-19,100.16,100.64,98.26,99.19,1089024
2021-07-20,99.47,101.78,99.36,100.58,767628
2021-07-21,100.94,100.94,99.27,100.38,879856
2021-07-22,100.61,101.02,100.10,101.02,639020
2021-07-23,101.36,102.59,101.18,102.52,510532
2021-07-26,102.05,102.22,101.30,101.40,579168
2021-07-27,100.97,102.53,100.31,102.50,934540
2021-07-28,102.78,103.94,102.78,103.41,708356
2021-07-29,103.93,104.71,103.74,104.22,984924
2021-07-30,104.65,106.13,104.29,105.44,713184
2021-08-02,105.70,106.26,105.00,105.90,846560
2021-08-03,106.25,106.26,105.17,106.00,674096
2021-08-04,105.72,105.77,103.36,103.53,1004196
2021-08-05,103.78,103.95,102.03,102.92,821484
2021-08-06,103.52,103.56,102.41,103.25,889240
2021-08-09,103.57,103.57,101.56,101.82,1033812
2021-08-10,101.64,101.94,100.50,101.64,584276
2021-08-11,101.90,102.66,101.47,102.05,667576
2021-08-12,102.97,110.09,102.97,110.03,2878224
2021-08-13,109.75,110.67,108.74,109.25,987328
2021-08-16,109.30,109.89,108.14,109.89,1011484
2021-08-17,109.84,111.06,109.25,109.65,1185036
2021-08-18,109.80,110.66,108.07,108.15,1240280
2021-08-19,107.62,111.34,107.62,110.51,1119724
2021-08-20,110.22,111.45,109.97,111.05,2160712
2021-08-23,111.50,111.64,110.59,111.21,900180
2021-08-24,111.05,112.50,111.05,111.95,789000
2021-08-25,111.63,112.50,110.95,111.69,604012
2021-08-26,111.35,111.67,110.86,111.52,772240
2021-08-27,112.00,112.44,111.23,111.64,644052
2021-08-30,112.02,113.76,111.78,112.34,777056
2021-08-31,112.11,112.88,111.15,112.68,1404780
2021-09-01,112.14,112.97,111.54,112.74,1026852
2021-09-02,113.22,113.95,111.93,112.59,1034912
2021-09-03,113.80,115.90,112.75,113.98,1376100
2021-09-07,113.67,113.94,111.80,111.96,1583128
