date,open,high,low,close,volume
2019-06-12,15.88,16.75,14.00,14.50,77796640
2019-06-13,15.96,17.42,15.40,16.89,43695760
2019-06-14,17.45,17.70,15.76,16.04,25056848
2019-06-17,16.19,17.50,15.50,17.50,12989884
2019-06-18,18.25,19.68,17.88,19.12,26450504
2019-06-19,19.69,19.95,18.39,19.30,13276280
2019-06-20,19.50,19.55,17.67,18.71,13718440
2019-06-21,18.11,18.48,17.07,18.06,10629872
2019-06-24,17.76,18.10,16.27,16.99,9792148
2019-06-25,16.77,17.25,15.29,15.38,9928852
2019-06-26,15.82,16.23,15.50,15.66,6502008
2019-06-27,15.85,16.25,15.64,15.82,3658448
2019-06-28,16.09,17.09,15.82,17.07,5897212
2019-07-01,17.27,17.43,15.45,15.80,10701468
2019-07-02,15.82,16.26,15.43,16.13,6955380
2019-07-03,16.17,16.87,16.13,16.81,6256432
2019-07-05,16.79,16.81,16.21,16.80,3220888
2019-07-08,17.07,17.93,16.73,16.73,18268616
2019-07-09,16.86,17.30,16.72,17.11,7130776
2019-07-10,17.50,18.62,17.38,18.59,10877388
2019-07-11,18.62,18.75,17.62,17.72,9407336
2019-07-12,17.90,18.80,17.62,18.38,7353224
2019-07-15,18.50,18.57,17.85,17.90,5300328
2019-07-16,17.98,18.27,17.25,17.39,6329276
2019-07-17,17.50,17.89,17.40,17.75,4148028
2019-07-18,17.75,18.55,17.54,18.19,13559856
2019-07-19,21.29,21.46,20.19,20.88,54676160
2019-07-22,20.57,22.12,20.52,21.92,21430976
2019-07-23,22.08,22.36,21.12,21.68,10119116
2019-07-24,21.70,21.96,21.38,21.86,5002848
2019-07-25,21.88,23.33,21.75,23.07,13081504
2019-07-26,23.26,23.88,22.98,23.22,8212088
2019-07-29,23.42,23.48,20.66,21.81,13271196
2019-07-30,21.50,24.05,21.00,23.50,12508676
2019-07-31,23.50,23.70,21.70,22.27,9903908
2019-08-01,22.52,23.58,22.36,22.88,8952988
2019-08-02,22.89,23.20,21.73,22.00,7204028
2019-08-05,20.84,21.73,20.56,21.37,8785492
2019-08-06,21.80,22.44,20.68,21.31,5429712
2019-08-07,20.92,21.61,20.70,21.05,3961624
2019-08-08,21.37,22.96,21.37,22.91,6769076
2019-08-09,22.56,24.50,22.50,23.73,12255516
2019-08-12,23.56,24.55,22.88,23.25,7582596
2019-08-13,23.21,25.12,23.21,24.91,12139632
2019-08-14,24.13,24.43,22.90,23.50,11291524
2019-08-15,24.00,24.29,22.84,23.41,6081368
2019-08-16,23.75,24.52,23.35,24.01,6122200
2019-08-19,24.70,25.37,23.90,24.85,11205852
2019-08-20,24.81,25.47,24.32,24.79,5757380
2019-08-21,25.15,25.24,24.07,24.14,7222416
2019-08-22,24.07,24.14,23.20,23.24,7070132
2019-08-23,22.84,22.89,21.50,22.11,12203384
2019-08-26,22.56,22.71,21.53,22.22,5854720
2019-08-27,22.32,22.49,20.81,21.02,7315364
2019-08-28,21.00,21.88,20.65,21.75,7685004
2019-08-29,22.07,22.34,20.82,20.95,7159884
2019-08-30,21.00,21.23,19.72,20.32,7640608
2019-09-03,20.21,20.95,20.06,20.94,7331252
2019-09-04,21.25,21.94,20.72,21.33,9651852
2019-09-05,21.56,21.80,20.62,21.71,15884532
2019-09-06,19.93,20.38,18.83,19.00,34689368
2019-09-09,19.03,19.03,16.09,16.77,34392948
2019-09-10,16.43,17.95,16.43,17.91,18689876
2019-09-11,17.30,17.73,16.80,17.28,12455920
2019-09-12,17.42,18.10,17.27,17.41,11693800
2019-09-13,17.46,17.58,16.18,16.21,16665124
2019-09-16,15.93,17.21,15.88,16.96,11218136
2019-09-17,17.16,17.83,17.03,17.76,11282356
2019-09-18,17.53,17.97,17.20,17.71,8012040
2019-09-19,17.88,17.97,16.91,17.23,6762512
2019-09-20,17.24,17.36,16.55,16.74,13497532
2019-09-23,16.78,17.14,16.64,16.73,3306516
2019-09-24,16.75,16.84,15.50,15.63,10463864
2019-09-25,15.50,15.85,15.03,15.51,9867192
2019-09-26,15.51,15.59,14.41,14.57,11568752
2019-09-27,14.57,14.58,13.21,13.37,18067252
2019-09-30,13.38,14.66,12.90,14.58,16416116
2019-10-01,14.57,14.88,13.91,14.47,11366948
2019-10-02,14.20,14.41,13.52,14.16,6359260
2019-10-03,14.87,15.60,14.19,15.54,20305436
2019-10-04,15.50,16.11,15.39,15.96,8629784
2019-10-07,15.84,17.43,15.68,17.20,14487172
2019-10-08,16.85,17.11,16.12,16.32,11067172
2019-10-09,16.59,16.61,15.62,15.77,8831092
2019-10-10,15.65,15.90,15.10,15.35,9227708
2019-10-11,14.69,15.37,14.32,15.07,13343244
2019-10-14,13.95,14.46,13.30,13.63,17832284
2019-10-15,13.75,14.10,13.51,13.80,7929524
2019-10-16,13.39,13.94,12.95,13.01,10391276
2019-10-17,12.94,13.29,12.58,12.61,11142976
2019-10-18,12.50,12.58,11.62,11.76,14700924
2019-10-21,11.73,12.24,11.56,11.85,9644548
2019-10-22,11.81,12.12,11.15,11.55,10828952
2019-10-23,11.75,12.61,11.51,11.97,14831912
2019-10-24,12.15,13.04,12.03,12.96,8203968
2019-10-25,12.72,13.02,12.35,12.53,6131216
2019-10-28,12.56,12.83,11.93,11.99,11044324
2019-10-29,11.86,12.09,11.55,11.95,6962920
2019-10-30,11.93,13.12,11.70,12.86,8897416
2019-10-31,12.80,12.91,12.03,12.48,4211620
2019-11-01,12.48,12.71,11.94,12.12,5765060
2019-11-04,12.29,12.62,12.00,12.41,5246984
2019-11-05,12.54,12.65,11.94,12.18,5872764
2019-11-06,12.14,12.18,11.72,11.96,4115220
2019-11-07,12.06,12.12,11.35,11.38,6676008
2019-11-08,11.26,11.80,11.20,11.80,7920600
2019-11-11,11.62,11.75,11.37,11.55,5151232
2019-11-12,11.88,11.96,11.53,11.76,6963168
2019-11-13,11.71,13.11,11.66,13.00,11472856
2019-11-14,12.83,13.73,12.66,13.18,11336308
2019-11-15,13.25,15.00,13.25,14.94,16103196
2019-11-18,15.00,15.00,13.88,14.27,8973840
2019-11-19,14.36,14.39,13.44,14.00,6393976
2019-11-20,13.81,14.58,13.35,13.72,9043628
2019-11-21,13.87,13.87,13.21,13.44,3853100
2019-11-22,13.55,13.82,13.44,13.55,4118100
2019-11-25,13.83,14.04,13.71,13.96,7397144
2019-11-26,14.12,14.51,13.56,13.89,7995708
2019-11-27,14.09,14.17,13.81,14.07,3947168
2019-11-29,14.24,14.88,14.08,14.50,4977640
2019-12-02,14.62,14.65,13.14,13.75,11726152
2019-12-03,13.32,14.40,13.25,14.34,5610960
2019-12-04,14.15,14.25,13.57,13.74,6431892
2019-12-05,13.75,13.80,12.90,13.24,14230308
2019-12-06,13.50,13.78,12.62,12.72,32135000
2019-12-09,12.29,12.74,12.10,12.25,55228040
2019-12-10,12.48,12.51,11.80,11.89,23042112
2019-12-11,11.75,12.20,11.58,11.93,37471676
2019-12-12,11.99,12.12,11.58,11.82,22848544
2019-12-13,11.88,12.46,11.68,12.35,25466176
2019-12-16,12.50,12.53,12.04,12.36,20140508
2019-12-17,12.34,12.36,11.88,12.10,18981284
2019-12-18,12.24,12.57,12.15,12.54,22642364
2019-12-19,12.61,12.61,12.30,12.37,12188612
2019-12-20,12.48,12.50,12.14,12.37,12482376
2019-12-23,12.31,12.32,11.90,11.96,18356440
2019-12-24,12.00,12.18,11.79,11.94,6033528
2019-12-26,12.10,12.52,12.02,12.51,19119764
2019-12-27,12.57,12.60,12.05,12.23,14042492
2019-12-30,12.50,12.64,12.10,12.51,22838636
2019-12-31,12.34,12.59,12.22,12.47,13162780
2020-01-02,12.51,12.69,12.31,12.36,17711940
2020-01-03,12.23,13.00,12.20,12.69,45026200
2020-01-06,12.96,14.04,12.76,13.78,87084280
2020-01-07,13.64,14.12,13.62,13.69,50555800
2020-01-08,13.55,13.96,13.32,13.91,30106276
2020-01-09,14.24,14.31,13.78,13.98,26087496
2020-01-10,14.12,14.57,14.00,14.30,32621156
2020-01-13,14.34,14.94,14.25,14.74,28182192
2020-01-14,14.81,15.16,14.38,14.81,31156960
2020-01-15,14.81,15.49,14.81,15.06,31893380
2020-01-16,15.38,15.69,15.25,15.56,24658492
2020-01-17,15.76,15.93,15.52,15.86,25023400
2020-01-21,15.76,15.85,15.31,15.56,24346704
2020-01-22,15.75,16.01,15.57,15.64,17031112
2020-01-23,15.64,15.66,15.18,15.39,16286804
2020-01-24,15.50,15.76,14.46,14.81,26320984
2020-01-27,14.14,14.54,13.83,14.52,17703420
2020-01-28,14.66,14.91,14.53,14.77,12295932
2020-01-29,15.00,15.45,14.94,15.06,13932324
2020-01-30,15.00,15.64,14.73,15.61,16651284
2020-01-31,15.62,15.75,15.06,15.27,16248636
2020-02-03,15.28,15.37,14.91,15.27,14827032
2020-02-04,15.48,16.08,15.29,15.89,18475960
2020-02-05,16.05,16.20,15.02,15.45,15994376
