date,open,high,low,close,volume
2021-01-04,157.11,158.37,152.47,153.93,252499
2021-01-05,152.77,154.50,151.09,151.35,375173
2021-01-06,152.03,155.74,152.03,155.08,348479
2021-01-07,155.10,157.31,152.98,156.95,332385
2021-01-08,157.59,158.02,153.01,155.01,235009
2021-01-11,153.42,157.16,153.42,155.97,173811
2021-01-12,156.08,158.15,154.63,156.06,206579
2021-01-13,155.95,156.86,153.35,153.51,190997
2021-01-14,155.03,156.40,152.54,155.84,238362
2021-01-15,154.44,155.22,152.40,153.00,288083
2021-01-19,154.21,156.40,153.96,154.04,236037
2021-01-20,154.70,156.31,153.38,156.11,268246
2021-01-21,156.66,156.66,152.96,153.04,225585
2021-01-22,151.73,153.09,149.22,152.62,237483
2021-01-25,152.61,155.18,151.90,153.29,239994
2021-01-26,153.93,154.44,150.44,150.59,175378
2021-01-27,148.57,150.08,145.50,145.69,286274
2021-01-28,146.60,149.22,146.46,147.83,299531
2021-01-29,147.66,147.66,143.52,144.93,565254
2021-02-01,146.00,147.00,144.43,145.88,329564
2021-02-02,147.31,151.70,146.54,150.00,384339
2021-02-03,150.31,151.87,148.76,151.52,219921
2021-02-04,151.76,152.83,150.96,152.48,218988
2021-02-05,155.24,159.46,147.46,151.94,460383
2021-02-08,152.14,152.25,150.76,151.47,273471
2021-02-09,152.02,152.02,147.44,148.15,375944
2021-02-10,148.61,149.97,147.25,148.02,247081
2021-02-11,148.33,149.87,147.34,149.73,311659
2021-02-12,149.84,151.79,149.31,150.97,302249
2021-02-16,151.58,152.76,149.25,150.22,323029
2021-02-17,149.17,150.95,149.17,149.62,278147
2021-02-18,148.86,150.58,147.57,149.33,333100
2021-02-19,149.89,150.91,149.25,150.41,320729
2021-02-22,150.00,150.39,147.72,147.91,361409
2021-02-23,147.91,148.97,145.87,148.36,351140
2021-02-24,148.68,150.00,148.27,148.97,366251
2021-02-25,148.66,150.21,145.44,145.78,320373
2021-02-26,145.40,147.99,144.88,145.25,300361
2021-03-01,147.53,150.18,147.05,147.95,471329
2021-03-02,148.03,150.97,147.15,150.50,483583
2021-03-03,150.75,150.94,147.39,147.57,598823
2021-03-04,147.77,150.57,143.88,145.74,344217
2021-03-05,146.52,151.48,145.38,151.25,422020
2021-03-08,151.07,157.81,151.07,155.88,406925
2021-03-09,156.12,157.42,154.77,155.29,367479
2021-03-10,155.40,158.47,155.31,157.99,240234
2021-03-11,157.54,159.59,157.26,158.01,190105
2021-03-12,158.37,160.09,157.39,159.22,354439
2021-03-15,159.34,159.99,156.70,159.52,225054
2021-03-16,159.39,159.82,156.80,156.84,266882
2021-03-17,156.84,159.64,156.84,158.87,266441
2021-03-18,158.87,161.54,158.15,159.02,273570
2021-03-19,159.13,159.13,156.61,157.12,547104
2021-03-22,156.52,157.34,154.05,156.30,263730
2021-03-23,154.90,156.97,152.44,153.29,331158
2021-03-24,154.38,158.42,154.38,155.94,242957
2021-03-25,156.63,162.00,155.10,161.75,312623
2021-03-26,162.24,167.60,161.47,167.45,264681
2021-03-29,166.66,169.51,164.40,166.32,414371
2021-03-30,166.67,167.47,164.40,166.87,254938
2021-03-31,167.42,168.06,164.54,164.58,247768
2021-04-01,164.92,167.22,163.66,167.05,199050
2021-04-05,168.52,169.61,167.17,168.93,252684
2021-04-06,168.69,169.88,167.86,168.73,218356
2021-04-07,168.65,169.92,167.42,169.57,446181
2021-04-08,170.00,170.60,168.27,169.77,268439
2021-04-09,169.49,171.93,169.00,171.63,281914
2021-04-12,170.58,173.38,170.58,172.74,242311
2021-04-13,172.24,172.50,170.14,171.78,230680
2021-04-14,171.77,173.88,171.47,172.58,401790
2021-04-15,173.35,173.35,171.33,171.78,290991
2021-04-16,174.22,175.87,173.51,175.11,289467
2021-04-19,175.66,177.98,174.51,177.00,316990
2021-04-20,176.95,177.69,174.62,175.70,342778
2021-04-21,176.12,179.52,174.89,179.25,218297
2021-04-22,179.25,181.51,177.03,177.76,512940
2021-04-23,181.00,191.75,180.82,190.48,851330
2021-04-26,190.90,191.96,189.01,191.08,499905
2021-04-27,191.00,194.48,190.31,193.59,395462
2021-04-28,193.60,193.60,190.00,191.55,364591
2021-04-29,192.94,194.83,192.21,194.37,462557
2021-04-30,193.22,193.22,190.95,191.65,574425
2021-05-03,191.88,193.89,190.93,192.20,250430
2021-05-04,188.32,192.95,185.01,192.36,212521
2021-05-05,193.48,193.61,190.47,192.60,147661
2021-05-06,192.64,193.04,189.62,192.51,257720
2021-05-07,192.70,193.51,191.28,193.20,161030
2021-05-10,192.89,196.34,192.89,194.38,195858
2021-05-11,193.53,194.71,191.10,191.98,198591
2021-05-12,191.79,192.86,187.26,187.41,210531
2021-05-13,188.16,194.19,187.87,193.13,245731
2021-05-14,194.69,197.21,193.62,196.27,235310
2021-05-17,194.67,195.40,192.03,192.74,387797
2021-05-18,193.15,194.03,190.04,190.17,187334
2021-05-19,188.22,190.63,186.01,190.63,323952
2021-05-20,191.60,192.53,190.97,191.86,215017
2021-05-21,193.02,195.00,192.00,193.26,385618
2021-05-24,194.22,194.28,192.11,193.87,123536
2021-05-25,195.25,195.75,191.71,192.09,174323
2021-05-26,191.45,192.94,190.46,192.33,211455
2021-05-27,194.70,195.05,191.75,192.53,268231
2021-05-28,193.18,193.18,190.11,192.32,156839
2021-06-01,194.11,194.11,190.61,192.12,197413
2021-06-02,192.59,192.59,187.94,189.54,232674
2021-06-03,189.29,189.86,186.59,188.97,127053
2021-06-04,189.50,190.54,187.46,189.32,147475
2021-06-07,189.68,189.68,186.71,187.72,236542
2021-06-08,187.28,188.35,185.88,187.62,313176
2021-06-09,187.55,188.15,185.74,186.58,213636
2021-06-10,187.47,188.70,186.31,187.21,295890
2021-06-11,188.42,189.82,187.24,189.56,195998
2021-06-14,189.39,189.39,187.08,187.42,276094
2021-06-15,187.87,189.15,186.66,188.21,227228
2021-06-16,187.32,189.27,186.37,187.26,285684
2021-06-17,186.52,187.48,180.91,182.11,268171
2021-06-18,180.84,181.20,178.73,179.00,749015
2021-06-21,180.15,184.52,180.15,183.73,244454
2021-06-22,183.20,186.13,182.01,185.85,378204
2021-06-23,185.46,187.84,184.98,186.31,556759
2021-06-24,188.00,188.87,185.63,188.52,379307
2021-06-25,188.56,191.06,187.88,189.95,844560
2021-06-28,189.90,190.53,187.59,189.72,354140
2021-06-29,190.89,191.49,189.19,189.72,293795
2021-06-30,191.78,191.99,190.42,191.38,278426
2021-07-01,192.75,193.45,191.63,191.94,363568
2021-07-02,192.45,192.45,190.65,191.47,236836
2021-07-06,190.92,190.92,186.16,189.70,543435
2021-07-07,189.96,194.13,189.37,193.00,238077
2021-07-08,189.99,191.97,188.33,191.46,300651
2021-07-09,193.98,195.76,193.10,194.12,301809
2021-07-12,192.47,194.51,191.50,194.44,189157
2021-07-13,193.18,194.02,192.48,193.00,216546
2021-07-14,193.70,194.92,192.09,194.65,214563
2021-07-15,193.65,196.85,191.47,195.98,241727
2021-07-16,196.68,196.90,193.27,193.58,344199
2021-07-19,191.75,192.56,189.79,191.33,447487
2021-07-20,191.44,197.52,191.08,197.26,492562
2021-07-21,197.48,200.64,196.97,197.90,367041
2021-07-22,198.50,198.81,195.40,196.01,290968
2021-07-23,199.99,202.35,197.66,199.67,275354
2021-07-26,199.67,200.50,197.03,199.27,279944
2021-07-27,198.12,200.59,197.05,199.58,178988
2021-07-28,199.38,200.88,198.07,200.24,249638
2021-07-29,202.00,203.14,200.05,202.68,219938
2021-07-30,201.43,203.22,200.62,202.24,425209
2021-08-02,203.94,205.67,201.06,202.04,223644
2021-08-03,203.55,203.86,200.05,203.12,292358
2021-08-04,201.77,204.81,200.78,203.17,184102
2021-08-05,203.99,205.08,203.20,204.05,227142
2021-08-06,205.47,206.63,204.07,205.51,279803
2021-08-09,204.47,204.84,202.49,203.31,193290
2021-08-10,203.23,205.25,202.91,203.48,234564
2021-08-11,204.00,206.64,203.32,206.55,171514
2021-08-12,206.07,207.72,205.71,207.57,123823
2021-08-13,207.78,209.14,206.88,207.52,163045
2021-08-16,207.25,210.22,205.77,209.02,236281
2021-08-17,207.57,209.30,204.72,208.70,379458
2021-08-18,208.28,209.78,204.94,205.12,166701
2021-08-19,202.88,205.59,202.88,204.41,236711
2021-08-20,204.46,206.78,203.79,206.67,286729
2021-08-23,208.00,208.00,205.88,206.28,155749
2021-08-24,206.65,209.00,205.80,207.06,115101
2021-08-25,207.57,211.78,207.57,210.61,301428
2021-08-26,210.56,213.30,209.80,211.40,309204
2021-08-27,212.08,214.91,210.00,213.00,296517
2021-08-30,214.00,215.41,212.74,214.16,264190
2021-08-31,214.16,214.55,210.44,210.74,416431
2021-09-01,210.42,211.71,207.94,209.15,221856
2021-09-02,210.01,210.47,208.35,209.86,165146
2021-09-03,209.08,210.08,207.00,207.25,133027
2021-09-07,206.54,206.54,202.91,203.01,147504
2021-09-08,202.01,204.62,201.28,204.38,194133
2021-09-09,204.45,205.59,201.35,201.51,202766
2021-09-10,203.01,203.01,198.65,198.84,233428
2021-09-13,200.74,201.72,198.50,199.16,242221
2021-09-14,199.16,199.26,195.14,195.53,225393
2021-09-15,196.30,198.56,195.04,197.06,280106
2021-09-16,197.49,199.15,196.23,197.75,372187
2021-09-17,198.09,199.65,196.73,199.58,1516551
2021-09-20,196.75,201.21,195.68,201.08,592383
2021-09-21,202.40,203.04,198.76,200.85,524181
2021-09-22,201.73,204.60,201.00,202.89,338290
2021-09-23,204.36,208.27,203.40,204.91,314516
2021-09-24,204.44,206.66,203.74,205.46,209770
2021-09-27,205.00,208.93,205.00,207.37,239131
2021-09-28,206.97,209.11,202.80,203.84,208422
2021-09-29,203.73,205.32,202.92,203.11,147565
2021-09-30,204.28,204.50,197.64,198.79,396668
2021-10-01,200.07,203.01,198.09,201.59,425240
2021-10-04,201.86,204.78,200.02,200.94,305312
2021-10-05,200.97,202.44,199.59,201.46,263758
2021-10-06,200.36,201.49,197.66,200.95,228745
2021-10-07,201.68,206.50,201.68,205.49,262140
2021-10-08,205.25,206.00,203.84,204.84,141751
2021-10-11,205.25,207.19,204.34,204.81,210200
2021-10-12,205.19,208.09,203.17,205.17,215938
2021-10-13,205.49,207.65,203.80,207.60,167980
2021-10-14,208.86,214.01,207.90,213.85,247054
2021-10-15,214.88,218.93,214.36,217.92,340360
2021-10-18,216.49,218.06,215.87,216.96,255715
2021-10-19,218.53,218.96,214.81,215.51,150770
2021-10-20,216.10,218.22,215.07,218.10,233048
2021-10-21,217.99,219.40,215.53,219.12,325458
2021-10-22,221.75,229.47,221.75,227.83,384020
2021-10-25,227.07,231.63,226.29,231.34,327042
2021-10-26,232.04,232.61,229.62,230.02,205199
2021-10-27,229.67,230.83,222.98,223.05,285759
2021-10-28,223.80,225.07,222.47,224.89,275763
2021-10-29,223.91,224.87,220.75,222.92,435271
2021-11-01,224.90,226.54,221.92,225.96,234818
2021-11-02,226.55,228.90,225.89,228.45,269886
2021-11-03,228.16,231.59,228.01,230.22,188478
2021-11-04,229.64,233.27,229.04,229.90,154256
2021-11-05,231.97,234.20,231.97,233.27,104871
2021-11-08,234.26,236.91,233.55,236.40,135029
2021-11-09,236.23,238.40,235.29,235.29,152385
2021-11-10,234.33,235.52,233.01,235.01,156802
2021-11-11,235.74,237.28,235.03,236.21,110205
2021-11-12,237.44,240.03,236.65,239.63,118166
2021-11-15,243.38,243.99,239.28,239.75,157358
2021-11-16,238.64,241.61,238.33,239.05,244783
2021-11-17,238.47,240.20,237.76,240.01,161766
2021-11-18,239.88,242.04,238.76,240.10,149212
2021-11-19,240.00,241.36,238.27,238.28,156702
2021-11-22,238.56,241.78,238.07,238.67,188182
2021-11-23,237.88,242.49,237.84,238.92,146505
2021-11-24,238.35,239.67,235.29,237.60,114620
2021-11-26,232.62,234.50,230.38,232.59,87369
2021-11-29,235.52,236.09,231.84,231.98,238555
2021-11-30,229.79,231.68,224.38,225.20,400785
2021-12-01,229.03,234.27,226.75,226.75,294354
2021-12-02,226.99,233.74,225.74,232.79,385645
2021-12-03,233.00,235.68,230.91,234.05,146805
2021-12-06,236.37,240.39,235.24,239.27,218487
2021-12-07,241.96,244.80,241.43,241.78,131862
2021-12-08,243.96,244.01,241.49,242.99,148286
2021-12-09,241.93,242.36,239.07,239.76,235631
2021-12-10,240.34,242.43,239.28,241.08,174903
2021-12-13,239.76,241.72,237.06,240.33,164108
2021-12-14,238.26,239.83,232.72,234.53,454703
2021-12-15,234.58,239.63,232.75,239.43,282340
2021-12-16,241.79,246.23,241.63,244.78,345622
2021-12-17,243.67,243.67,235.71,235.93,706553
2021-12-20,234.53,235.28,229.00,231.74,308047
2021-12-21,232.65,237.70,232.65,237.04,236212
2021-12-22,237.87,240.19,236.46,237.41,257207
2021-12-23,238.67,242.05,238.01,240.79,161113
2021-12-27,240.91,245.51,240.72,245.32,118369
2021-12-28,245.69,247.11,244.67,245.00,146337
2021-12-29,245.60,246.71,244.88,245.81,149391
2021-12-30,245.52,247.65,244.70,245.72,146831
2021-12-31,245.71,249.84,245.71,248.12,134330
2022-01-03,248.70,249.09,243.72,245.37,320529
2022-01-04,246.41,249.78,245.55,249.00,369934
2022-01-05,248.26,250.23,243.34,243.34,366724
2022-01-06,243.86,244.74,241.27,242.44,329713
2022-01-07,241.77,244.32,238.17,238.86,223476
2022-01-10,237.42,238.71,234.36,237.88,183216
2022-01-11,238.57,239.94,235.03,239.74,204760
2022-01-12,240.88,245.25,240.88,243.71,176187
2022-01-13,244.18,246.97,241.89,242.30,154447
2022-01-14,239.22,240.05,234.76,236.94,169727
2022-01-18,233.87,235.18,231.27,232.26,176282
2022-01-19,233.49,235.84,229.60,230.24,165301
2022-01-20,231.98,235.90,228.62,229.02,189662
2022-01-21,228.98,233.30,227.29,227.59,206121
2022-01-24,222.64,230.00,219.45,229.42,307174
2022-01-25,222.82,225.07,218.52,222.54,300847
2022-01-26,225.23,228.02,217.30,219.67,264024
2022-01-27,221.10,223.59,213.53,215.50,369791
2022-01-28,214.72,219.04,211.06,219.01,391925
2022-01-31,218.07,223.51,216.82,223.44,731813
2022-02-01,225.37,225.85,219.21,222.45,269590
2022-02-02,223.22,225.86,220.22,222.29,354415
2022-02-03,220.28,222.57,218.22,219.44,153393
2022-02-04,217.15,218.18,214.32,215.79,177902
2022-02-07,215.59,218.75,214.05,217.86,328753
2022-02-08,217.65,222.65,215.42,222.35,267024
2022-02-09,225.17,229.54,224.69,228.89,266206
2022-02-10,223.95,229.32,223.35,224.56,274906
2022-02-11,237.58,242.67,227.75,229.08,598302
2022-02-14,227.45,232.39,227.25,229.42,350875
2022-02-15,232.84,238.88,232.84,237.43,322174
2022-02-16,235.69,240.65,235.69,238.76,270007
2022-02-17,235.93,236.60,233.32,235.18,208542
2022-02-18,235.49,238.21,233.91,234.06,277270
