date,open,high,low,close,volume
2016-09-15,13.49,13.84,13.49,13.63,1413074
2016-09-16,13.38,13.60,13.37,13.54,968539
2016-09-19,13.72,13.83,13.42,13.44,1500294
2016-09-20,13.40,13.54,13.26,13.27,1422844
2016-09-21,13.41,13.66,13.34,13.66,1400891
2016-09-22,13.94,14.10,13.86,13.87,1343395
2016-09-23,13.78,13.84,13.46,13.53,1086502
2016-09-26,13.63,13.70,13.40,13.42,850180
2016-09-27,13.22,13.26,13.06,13.10,1353768
2016-09-28,13.19,13.98,12.93,13.96,3805840
2016-09-29,14.05,14.64,14.02,14.30,4382051
2016-09-30,14.47,14.56,14.12,14.37,2581458
2016-10-03,14.41,14.53,13.96,14.37,2143585
2016-10-04,14.42,14.55,14.06,14.31,2199313
2016-10-05,14.51,14.94,14.50,14.72,1486667
2016-10-06,14.87,15.24,14.82,15.13,2875159
2016-10-07,15.15,15.16,14.77,14.90,1698129
2016-10-10,15.14,15.41,15.14,15.34,1295652
2016-10-11,15.24,15.44,15.13,15.41,1922166
2016-10-12,15.29,15.45,15.17,15.31,1633793
2016-10-13,15.19,15.62,15.00,15.51,1806530
2016-10-14,15.67,15.88,15.43,15.62,1702755
2016-10-17,15.60,15.66,15.39,15.44,1200091
2016-10-18,15.63,15.65,15.31,15.46,1495100
2016-10-19,15.57,15.85,15.45,15.61,1612051
2016-10-20,15.46,15.59,15.24,15.49,1607920
2016-10-21,15.34,15.84,15.21,15.68,2264917
2016-10-24,15.63,15.63,15.27,15.45,1505600
2016-10-25,15.45,15.70,15.30,15.31,1526869
2016-10-26,15.07,15.26,14.93,15.11,2211597
2016-10-27,15.18,15.96,15.18,15.48,3123273
2016-10-28,15.48,15.56,14.90,14.96,2488758
2016-10-31,14.80,14.85,14.37,14.44,2229487
2016-11-01,14.55,14.63,14.17,14.43,2637477
2016-11-02,14.19,14.43,14.04,14.04,2003241
2016-11-03,14.09,14.15,13.67,13.72,1867644
2016-11-04,13.61,13.83,13.36,13.77,1863439
2016-11-07,13.95,14.13,13.84,14.05,1533003
2016-11-08,13.91,14.22,13.90,14.03,1601904
2016-11-09,13.99,14.42,13.82,14.39,1452921
2016-11-10,14.27,14.41,14.08,14.10,1174963
2016-11-11,13.95,14.06,13.69,14.00,1263816
2016-11-14,14.00,14.06,13.62,14.04,1285767
2016-11-15,14.27,14.80,14.23,14.67,1125773
2016-11-16,14.57,14.85,14.43,14.64,1162013
2016-11-17,14.80,14.98,14.45,14.47,1379191
2016-11-18,14.48,14.70,14.39,14.52,765163
2016-11-21,14.88,15.34,14.85,15.32,1230878
2016-11-22,15.34,15.40,14.86,15.04,1315007
2016-11-23,14.89,15.19,14.81,15.03,1724537
2016-11-25,14.92,15.01,14.70,14.80,425443
2016-11-28,14.80,14.94,14.47,14.49,1874909
2016-11-29,14.00,14.21,13.94,14.11,1981781
2016-11-30,15.28,15.82,15.23,15.46,3910540
2016-12-01,15.97,16.11,15.57,15.64,2155678
2016-12-02,15.62,15.79,15.42,15.62,1249345
2016-12-05,15.78,15.91,15.53,15.59,1282000
2016-12-06,15.41,15.79,15.38,15.72,1677134
2016-12-07,15.66,15.68,15.40,15.52,2033165
2016-12-08,15.56,15.68,15.25,15.52,1622129
2016-12-09,15.67,15.85,15.55,15.68,1595305
2016-12-12,16.26,16.82,15.96,15.97,4107215
2016-12-13,16.12,16.16,15.84,15.96,1842984
2016-12-14,15.78,15.94,15.32,15.38,3071117
2016-12-15,15.17,15.79,15.16,15.66,2217550
2016-12-16,15.74,15.94,15.66,15.88,3121641
2016-12-19,15.84,15.98,15.77,15.85,1335166
2016-12-20,15.93,15.93,15.60,15.64,1186243
2016-12-21,15.66,15.73,15.48,15.58,1223953
2016-12-22,15.49,15.57,15.39,15.43,1067625
2016-12-23,15.38,15.43,15.11,15.13,906548
2016-12-27,15.13,15.25,15.03,15.11,775331
2016-12-28,14.96,15.17,14.96,15.12,1759136
2016-12-29,15.12,15.20,15.02,15.18,1298246
2016-12-30,15.18,15.29,15.07,15.13,1130902
2017-01-03,15.33,15.54,15.12,15.23,1299363
2017-01-04,15.33,15.39,15.14,15.24,1459948
2017-01-05,15.34,15.43,15.23,15.30,1472343
2017-01-06,15.31,15.36,15.12,15.30,1414056
2017-01-09,15.14,15.15,14.94,14.97,2097472
2017-01-10,14.98,15.10,14.73,14.78,1859285
2017-01-11,14.88,15.04,14.65,14.94,2751692
2017-01-12,15.17,15.21,14.71,14.72,1662346
2017-01-13,14.61,14.79,14.61,14.75,1376510
2017-01-17,14.96,15.11,14.80,15.00,2893633
2017-01-18,14.78,14.87,14.46,14.54,2469184
2017-01-19,14.58,14.60,14.41,14.49,1289861
2017-01-20,14.64,14.75,14.50,14.61,1809884
2017-01-23,14.18,14.32,13.99,14.09,2185415
2017-01-24,14.01,14.28,13.99,14.20,2792228
2017-01-25,14.20,14.48,14.20,14.36,1659983
2017-01-26,14.51,14.51,14.12,14.19,962085
2017-01-27,14.10,14.20,13.82,13.83,1649753
2017-01-30,13.74,13.83,13.51,13.62,1822732
2017-01-31,13.73,13.76,13.49,13.63,1518057
2017-02-01,13.71,13.75,13.40,13.60,970505
2017-02-02,13.66,13.76,13.50,13.60,2642270
2017-02-03,13.57,13.82,13.51,13.74,1856854
2017-02-06,13.71,13.71,13.10,13.24,1750320
2017-02-07,13.08,13.25,13.04,13.14,1884809
2017-02-08,13.05,13.48,13.02,13.36,3915858
2017-02-09,13.54,13.61,13.32,13.38,1302096
2017-02-10,13.56,13.71,13.51,13.56,1132980
2017-02-13,13.50,13.52,13.32,13.45,923185
2017-02-14,13.50,13.77,13.37,13.73,2010825
2017-02-15,13.65,13.81,13.59,13.73,1469802
2017-02-16,14.43,14.46,13.79,13.87,4491665
2017-02-17,13.81,13.91,13.57,13.66,1850430
2017-02-21,13.85,14.10,13.76,14.07,1724919
2017-02-22,13.83,13.97,13.45,13.47,1766846
2017-02-23,13.66,13.67,13.39,13.48,1674840
2017-02-24,13.37,13.37,12.91,12.94,2424132
2017-02-27,13.00,13.18,12.88,13.14,2070371
2017-02-28,12.95,12.98,12.61,12.66,3085210
2017-03-01,12.79,12.79,12.55,12.75,2019247
2017-03-02,12.61,12.75,12.54,12.56,1272004
2017-03-03,12.58,12.82,12.55,12.77,1288072
2017-03-06,12.72,12.91,12.57,12.85,1306482
2017-03-07,12.88,12.88,12.61,12.72,1441194
2017-03-08,12.57,12.78,12.24,12.25,1491343
2017-03-09,12.21,12.28,11.76,11.93,3252115
2017-03-10,12.03,12.10,11.84,12.08,1753206
2017-03-13,12.01,12.08,11.88,11.97,1949827
2017-03-14,11.82,11.94,11.66,11.88,2121107
2017-03-15,12.09,12.60,12.06,12.52,4420995
2017-03-16,12.59,12.70,12.37,12.46,1434620
2017-03-17,12.50,12.59,12.32,12.36,1594713
2017-03-20,12.28,12.53,12.28,12.52,1395384
2017-03-21,12.62,12.64,12.28,12.37,3221856
2017-03-22,12.29,12.81,12.21,12.77,3167717
2017-03-23,12.71,12.82,12.56,12.58,1969410
2017-03-24,12.72,12.83,12.46,12.61,1842579
2017-03-27,12.42,12.78,12.41,12.72,2314372
2017-03-28,12.82,13.01,12.68,12.97,1900533
