date,open,high,low,close,volume
2016-09-15,89.14,90.22,88.10,90.15,7473414
2016-09-16,90.00,90.35,89.36,90.12,6405895
2016-09-19,90.13,90.23,89.00,89.17,7479219
2016-09-20,89.50,90.29,89.50,89.99,5457629
2016-09-21,90.08,90.40,89.20,90.26,5774270
2016-09-22,90.70,90.81,90.00,90.57,8276987
2016-09-23,90.25,90.85,90.20,90.60,3861373
2016-09-26,90.08,90.38,89.49,89.92,4722056
2016-09-27,90.17,90.83,90.06,90.56,4180645
2016-09-28,90.31,90.56,89.74,90.18,4462816
2016-09-29,90.02,90.54,89.50,89.55,5211060
2016-09-30,89.48,89.91,88.46,88.99,9143674
2016-10-03,88.79,88.88,86.96,87.09,7510694
2016-10-04,87.19,87.41,86.02,86.22,6815506
2016-10-05,86.19,86.53,85.89,86.20,7948661
2016-10-06,86.56,87.12,86.27,86.49,5264088
2016-10-07,86.56,86.74,86.17,86.40,4345683
2016-10-10,86.85,87.08,86.41,86.83,5342374
2016-10-11,86.55,86.80,85.41,86.40,5889352
2016-10-12,86.62,87.91,86.49,87.47,6996433
2016-10-13,87.21,88.38,87.08,88.00,6303067
2016-10-14,88.31,88.92,87.96,88.80,6701364
2016-10-17,88.71,88.84,86.64,86.66,7366969
2016-10-18,87.31,87.51,86.58,87.19,4988610
2016-10-19,87.40,87.51,86.15,86.40,6497490
2016-10-20,86.33,87.49,86.25,87.30,7572400
2016-10-21,86.94,87.57,86.89,87.41,4599503
2016-10-24,87.64,88.58,87.64,88.00,4540999
2016-10-25,87.80,88.21,87.29,87.41,3800433
2016-10-26,87.48,87.65,87.01,87.57,3308490
2016-10-27,87.72,87.93,86.91,87.19,3565984
2016-10-28,85.35,85.49,82.55,83.36,17179730
2016-10-31,83.38,84.52,83.10,84.10,7422115
2016-11-01,84.34,84.69,83.22,83.45,6211343
2016-11-02,83.57,84.24,82.84,83.95,6116825
2016-11-03,84.34,84.89,81.25,81.57,12589110
2016-11-04,81.76,82.87,81.59,82.31,8227409
2016-11-07,83.37,83.84,82.67,83.39,8447457
2016-11-08,69.70,74.99,69.30,73.53,50230700
2016-11-09,74.23,77.12,74.20,76.56,20287270
2016-11-10,77.03,77.70,76.56,77.28,12654400
2016-11-11,77.10,77.20,74.71,75.09,9560401
2016-11-14,74.45,76.54,74.45,76.00,10514430
2016-11-15,75.65,75.75,74.27,75.04,10464850
2016-11-16,75.11,75.40,74.50,74.56,7545716
2016-11-17,74.35,74.73,74.12,74.27,8302602
2016-11-18,74.03,74.56,73.67,74.04,7498481
2016-11-21,73.60,74.48,73.38,74.20,8025533
2016-11-22,72.93,74.10,72.83,73.59,12423820
2016-11-23,73.38,74.03,72.86,73.67,6597052
2016-11-25,74.01,74.29,73.55,74.06,3529190
2016-11-28,73.73,75.00,73.66,74.78,8621492
2016-11-29,75.89,76.07,75.00,75.88,8649369
2016-11-30,76.19,77.37,75.92,76.89,12781080
2016-12-01,76.62,77.12,76.28,76.76,7315723
2016-12-02,77.13,78.31,76.35,77.62,11905280
2016-12-05,77.57,78.28,76.88,77.99,9173396
2016-12-06,78.60,79.78,78.26,79.42,9800429
2016-12-07,79.24,80.61,78.49,80.53,10532350
2016-12-08,80.53,80.56,77.39,78.11,16108130
2016-12-09,78.88,80.54,78.74,80.13,6724802
2016-12-12,79.46,80.53,79.26,79.73,6614953
2016-12-13,79.71,80.31,78.73,80.15,8073268
2016-12-14,80.30,81.13,78.52,78.96,7276097
2016-12-15,78.00,79.24,76.11,78.29,10617120
2016-12-16,78.65,79.70,78.61,79.56,11546800
2016-12-19,79.28,80.22,79.27,79.93,6936037
2016-12-20,79.98,81.24,79.67,79.84,6109125
2016-12-21,79.53,80.19,79.04,79.85,5802897
2016-12-22,79.54,79.75,78.50,78.79,5850387
2016-12-23,78.79,79.30,78.69,79.14,2754748
2016-12-27,78.95,79.72,78.90,79.29,2947632
2016-12-28,79.30,79.37,78.64,79.04,3348989
2016-12-29,78.89,79.47,78.81,79.00,3579626
2016-12-30,78.96,79.31,78.46,78.91,4326614
2017-01-03,79.58,80.45,78.97,80.35,5922031
2017-01-04,80.34,80.42,79.44,79.75,7099719
2017-01-05,79.85,81.52,78.80,81.42,8804639
2017-01-06,81.41,82.46,80.94,82.20,7086515
2017-01-09,82.20,82.38,81.16,81.70,6847669
2017-01-10,81.72,82.89,81.51,82.67,7053238
2017-01-11,82.22,83.11,81.73,82.77,6402356
2017-01-12,82.92,83.21,82.38,82.60,5774678
2017-01-13,82.70,82.91,81.75,81.98,4613689
2017-01-17,81.96,83.98,81.91,83.92,7292470
2017-01-18,84.49,84.72,83.20,83.54,5262816
2017-01-19,83.17,83.86,82.32,83.20,5220496
2017-01-20,83.29,83.43,81.31,81.56,7872097
2017-01-23,81.50,81.93,81.02,81.25,6297895
2017-01-24,81.35,82.15,81.12,81.78,4738715
2017-01-25,81.92,82.20,79.42,79.49,10647020
2017-01-26,79.08,80.42,78.44,79.33,7626931
2017-01-27,79.83,79.89,77.03,77.75,10924090
2017-01-30,77.46,79.02,77.32,78.68,7488514
2017-01-31,78.55,79.30,78.51,78.81,6428240
2017-02-01,78.65,79.10,77.69,77.97,6458154
2017-02-02,76.35,76.35,74.05,74.80,18837290
2017-02-03,75.34,76.42,75.28,75.46,11935790
2017-02-06,75.60,76.82,75.53,76.07,9557369
2017-02-07,76.12,76.73,75.50,76.36,5739633
2017-02-08,76.21,77.14,76.13,77.03,6787421
2017-02-09,77.80,77.80,75.21,77.31,13943090
2017-02-10,77.44,79.12,76.95,78.53,9336468
2017-02-13,78.98,79.23,78.35,78.70,5637827
2017-02-14,78.76,78.95,78.06,78.67,5487617
2017-02-15,78.88,79.52,78.83,79.41,5619728
2017-02-16,79.50,80.20,79.26,79.45,4957489
2017-02-17,79.45,79.99,79.32,79.69,6215280
2017-02-21,79.61,80.39,79.13,79.76,6262483
2017-02-22,79.75,80.47,79.45,80.16,4972920
2017-02-23,80.22,81.43,80.01,80.86,6397649
2017-02-24,80.83,81.75,80.64,81.48,5189162
2017-02-27,81.55,81.86,81.31,81.41,4692299
2017-02-28,80.80,81.13,80.18,80.58,7274735
2017-03-01,81.10,81.38,80.64,80.70,4977398
2017-03-02,80.50,81.56,80.41,81.35,5743296
2017-03-03,81.52,81.69,80.54,81.02,5693419
2017-03-06,80.85,81.29,80.61,80.85,4463328
2017-03-07,80.49,81.00,80.38,80.81,6314128
2017-03-08,80.74,81.52,80.53,81.04,5810377
2017-03-09,81.06,81.41,80.43,80.70,5394272
2017-03-10,81.00,81.07,80.23,80.40,5995246
2017-03-13,80.40,80.59,79.97,80.44,6138727
2017-03-14,80.44,80.59,79.42,79.89,5546221
2017-03-15,79.77,80.22,78.68,79.73,7925517
2017-03-16,79.65,79.98,79.23,79.56,6240050
2017-03-17,79.63,79.65,78.58,78.88,19734620
2017-03-20,78.87,79.11,78.55,78.82,5075846
2017-03-21,78.89,79.01,78.28,78.61,6201859
2017-03-22,78.75,78.87,77.92,78.46,5638961
2017-03-23,78.46,78.73,77.97,78.30,9316943
2017-03-24,78.25,78.66,78.01,78.49,3878542
2017-03-27,78.13,78.95,78.02,78.51,4983516
2017-03-28,78.39,78.95,78.28,78.61,5469936
2017-03-29,78.50,78.86,78.36,78.76,3138168
