date,open,high,low,close,volume
2021-01-04,58.87,61.30,56.16,56.93,1412984
2021-01-05,56.81,59.66,56.74,59.30,1073290
2021-01-06,60.47,64.80,60.19,63.65,2728045
2021-01-07,64.31,66.74,64.09,66.40,1810445
2021-01-08,66.60,67.81,63.56,65.03,1281278
2021-01-11,63.87,67.20,63.11,66.22,1008118
2021-01-12,66.94,67.58,65.86,66.82,832065
2021-01-13,67.53,68.00,66.21,66.30,961889
2021-01-14,67.26,68.50,66.41,66.66,1537246
2021-01-15,65.61,65.83,63.38,64.34,1265462
2021-01-19,65.18,67.14,64.97,66.47,1687239
2021-01-20,67.65,68.97,67.04,68.92,2054348
2021-01-21,69.07,69.20,66.85,67.62,1298987
2021-01-22,66.69,67.08,65.17,66.78,1166702
2021-01-25,66.81,68.29,65.06,66.54,1263490
2021-01-26,67.02,68.00,65.65,65.90,1111364
2021-01-27,62.78,62.95,59.77,60.69,2625935
2021-01-28,61.80,65.41,61.20,64.15,1728990
2021-01-29,64.03,64.03,61.13,62.01,1593582
2021-02-01,62.84,65.51,61.51,65.13,1329422
2021-02-02,66.21,68.29,65.56,68.22,1753798
2021-02-03,68.26,69.56,67.25,69.26,1640904
2021-02-04,69.30,70.16,68.70,69.24,834492
2021-02-05,70.01,70.53,67.41,67.74,1049255
2021-02-08,68.21,71.87,67.83,71.80,1134003
2021-02-09,71.58,72.85,70.64,71.78,1260398
2021-02-10,72.40,72.40,68.48,68.90,1135762
2021-02-11,69.25,70.36,68.13,70.29,1136715
2021-02-12,69.99,69.99,67.81,69.07,1448441
2021-02-16,69.90,71.55,69.80,70.21,1213376
2021-02-17,69.74,70.50,68.13,69.47,1092762
2021-02-18,69.02,69.13,66.29,66.70,1180296
2021-02-19,67.33,68.00,66.32,66.89,972232
2021-02-22,66.20,69.08,66.01,67.11,986979
2021-02-23,65.80,66.84,62.16,66.13,1660817
2021-02-24,66.52,67.67,65.39,66.68,1027474
2021-02-25,66.92,67.08,62.10,62.18,1779759
2021-02-26,62.41,64.95,62.41,63.04,1662476
2021-03-01,64.46,66.67,63.88,64.06,1804688
2021-03-02,65.51,68.68,65.00,67.51,2095112
2021-03-03,68.00,70.67,65.98,66.16,2138247
2021-03-04,66.68,70.25,66.35,67.93,2542846
2021-03-05,70.00,75.81,69.49,73.53,3770641
2021-03-08,74.20,77.55,74.01,75.10,2614594
2021-03-09,76.13,79.07,75.78,78.52,2906918
2021-03-10,78.89,79.48,73.53,74.68,2727093
2021-03-11,74.80,78.20,74.07,78.16,1827432
2021-03-12,77.49,79.20,77.21,78.74,1052473
2021-03-15,78.95,79.65,77.88,79.21,772741
2021-03-16,79.17,79.26,76.42,76.43,1142394
2021-03-17,76.25,76.27,73.71,75.75,1086006
2021-03-18,75.20,76.75,72.48,72.69,1146002
2021-03-19,72.70,73.01,71.11,71.87,2858563
2021-03-22,71.84,72.06,69.81,71.17,957866
2021-03-23,70.22,71.50,68.18,68.92,1359985
2021-03-24,70.27,71.96,69.02,69.59,1782060
2021-03-25,68.69,71.38,68.19,70.88,1747146
2021-03-26,72.05,73.99,70.90,73.94,1087666
2021-03-29,73.26,74.18,69.84,70.52,1316687
2021-03-30,70.40,73.28,70.37,73.00,1043282
2021-03-31,73.71,75.24,73.18,73.58,1300290
2021-04-01,74.46,75.37,73.18,73.40,1078203
2021-04-05,74.33,75.21,72.47,72.95,1171289
2021-04-06,73.44,74.45,71.96,72.22,897781
