date,open,high,low,close,volume
2021-01-04,162.97,162.99,158.67,159.79,444002
2021-01-05,161.84,162.05,159.57,160.46,450224
2021-01-06,159.74,161.38,158.84,159.03,588371
2021-01-07,161.52,162.70,160.83,162.39,730731
2021-01-08,164.52,165.52,163.61,165.51,492345
2021-01-11,160.08,161.03,158.91,159.44,416807
2021-01-12,159.13,160.40,158.45,159.49,338470
2021-01-13,159.95,160.87,159.46,160.18,341626
2021-01-14,159.77,160.25,159.28,160.22,304654
2021-01-15,157.90,158.46,157.33,157.69,375167
2021-01-19,159.19,159.99,158.57,159.76,308051
2021-01-20,160.60,160.83,159.53,160.53,268734
2021-01-21,160.03,160.78,159.42,160.54,279828
2021-01-22,159.05,159.49,158.48,158.61,191391
2021-01-25,158.25,158.74,157.62,158.59,319140
2021-01-26,160.47,161.10,159.35,161.09,529606
2021-01-27,156.03,157.10,153.67,154.26,593158
2021-01-28,161.58,162.77,160.75,161.50,628395
2021-01-29,161.77,163.41,159.85,160.27,661143
2021-02-01,161.07,161.33,159.72,160.68,367915
2021-02-02,164.91,166.37,164.62,165.64,553615
2021-02-03,163.73,164.23,161.78,163.08,761742
2021-02-04,162.39,163.49,161.24,162.29,683223
2021-02-05,164.24,164.95,162.38,162.82,924514
2021-02-08,163.18,164.21,162.89,163.92,645089
2021-02-09,165.71,166.53,165.54,166.21,359293
2021-02-10,165.33,166.28,164.24,164.88,323131
2021-02-11,167.87,168.26,166.66,167.12,779503
2021-02-12,166.66,167.50,166.35,167.08,225594
2021-02-16,170.35,170.37,168.48,169.51,402515
2021-02-17,168.72,169.50,167.96,169.25,246884
2021-02-18,167.17,169.99,167.07,169.48,387026
2021-02-19,168.99,168.99,167.15,167.41,1031392
2021-02-22,164.80,166.21,164.17,165.51,532007
2021-02-23,165.48,166.78,165.00,166.38,365159
2021-02-24,164.93,167.61,164.84,167.25,418188
2021-02-25,165.63,166.09,161.03,161.53,371086
2021-02-26,159.79,159.84,156.66,157.74,956623
2021-03-01,159.08,161.14,158.77,159.36,513797
2021-03-02,160.62,161.50,160.13,160.74,384428
2021-03-03,159.87,161.49,159.74,160.08,304722
2021-03-04,162.08,164.43,159.91,161.14,639587
2021-03-05,162.44,164.38,161.50,164.22,722738
2021-03-08,161.44,163.70,161.20,162.07,341897
2021-03-09,165.47,165.69,164.48,164.74,368284
2021-03-10,166.51,168.03,165.35,167.36,435245
2021-03-11,167.38,167.81,166.41,167.04,351967
2021-03-12,165.98,167.79,165.81,167.73,265423
2021-03-15,168.84,168.84,166.90,167.65,272055
2021-03-16,168.54,170.09,168.18,169.37,458080
2021-03-17,169.73,170.39,168.95,169.42,311374
2021-03-18,167.73,169.89,167.73,168.48,370180
2021-03-19,167.21,167.73,166.29,167.19,418112
2021-03-22,165.58,167.16,165.34,166.62,514927
2021-03-23,165.76,166.67,165.34,165.66,409081
2021-03-24,165.11,165.63,164.42,164.76,303525
2021-03-25,166.15,166.16,163.41,164.76,307021
2021-03-26,164.64,165.90,163.94,165.71,284695
2021-03-29,165.39,167.78,165.31,167.48,301710
2021-03-30,166.30,167.04,165.81,166.05,343703
2021-03-31,165.74,166.01,164.13,164.21,337172
2021-04-01,166.94,167.88,165.78,167.44,411208
2021-04-05,167.63,169.86,167.53,169.22,197345
2021-04-06,168.98,170.74,168.90,170.08,311613
2021-04-07,171.47,171.49,169.15,169.66,318811
2021-04-08,174.69,175.40,173.91,174.98,636495
2021-04-09,175.30,175.58,174.04,175.53,646223
2021-04-12,173.10,174.34,173.05,173.58,327143
2021-04-13,172.70,174.12,172.37,173.63,366489
2021-04-14,174.70,174.93,173.81,174.07,233323
2021-04-15,177.56,178.80,177.43,178.61,347284
2021-04-16,178.39,179.11,178.02,178.98,261583
2021-04-19,179.19,181.00,178.84,180.77,618243
2021-04-20,178.79,179.22,177.98,178.60,364094
2021-04-21,179.15,180.85,179.06,180.41,292291
2021-04-22,182.75,183.73,180.96,181.00,840429
2021-04-23,181.41,182.62,180.85,181.94,796662
2021-04-26,179.68,179.99,178.23,178.96,410006
2021-04-27,179.48,179.82,178.96,179.16,624957
2021-04-28,180.59,181.28,179.78,180.07,327633
2021-04-29,182.40,183.39,181.33,183.36,529695
2021-04-30,181.48,181.94,179.24,179.35,305974
2021-05-03,180.29,180.89,179.75,180.31,506249
2021-05-04,180.98,181.48,179.45,179.76,395280
2021-05-05,180.80,181.21,179.56,179.70,292565
2021-05-06,180.86,182.06,179.93,181.70,361213
2021-05-07,182.12,183.73,181.96,183.24,215787
2021-05-10,184.16,184.66,182.87,183.41,429862
2021-05-11,180.23,180.78,179.22,180.39,249575
2021-05-12,186.97,187.04,184.38,184.57,505715
2021-05-13,183.65,186.78,183.62,186.34,344942
2021-05-14,188.11,189.70,188.04,189.21,380018
2021-05-17,189.45,190.74,189.45,189.75,321954
2021-05-18,190.11,190.89,189.73,189.83,340292
2021-05-19,189.53,190.71,188.34,190.00,315311
2021-05-20,190.88,192.88,190.88,192.00,418755
2021-05-21,192.62,192.87,190.55,191.03,287001
2021-05-24,191.35,192.12,191.19,191.76,387183
2021-05-25,191.69,192.68,191.19,192.14,309116
2021-05-26,192.41,193.24,192.21,192.72,322806
2021-05-27,192.69,193.07,192.08,192.90,354718
2021-05-28,192.24,193.70,192.24,193.25,311326
2021-06-01,194.21,194.42,193.14,193.69,632796
2021-06-02,194.03,195.03,193.92,194.52,442984
2021-06-03,191.85,192.88,191.53,192.88,459292
2021-06-04,193.16,193.25,192.43,192.62,332674
2021-06-07,194.40,194.59,193.08,193.16,245795
2021-06-08,194.58,194.69,193.17,193.94,256344
2021-06-09,194.94,195.44,194.35,194.42,339088
2021-06-10,194.69,195.88,194.51,194.95,378486
2021-06-11,194.49,194.72,193.27,194.34,268487
2021-06-14,193.71,194.66,193.51,194.45,266081
2021-06-15,195.80,196.02,195.00,195.76,505748
2021-06-16,197.34,197.67,194.87,195.14,684688
2021-06-17,192.17,194.74,192.17,194.14,263440
2021-06-18,192.35,192.61,190.67,190.80,432777
2021-06-21,193.36,194.69,192.06,194.34,409804
2021-06-22,194.93,195.46,194.50,194.74,334946
2021-06-23,196.62,196.82,193.82,193.93,437810
2021-06-24,193.95,194.82,193.64,194.37,239358
2021-06-25,193.53,194.21,193.31,193.98,223506
2021-06-28,193.88,194.25,193.23,193.64,207417
2021-06-29,193.65,194.00,192.40,192.89,272958
2021-06-30,193.04,193.91,191.19,191.69,351356
2021-07-01,191.72,193.38,191.72,191.94,206605
2021-07-02,191.93,192.40,191.19,191.51,477020
2021-07-06,191.96,192.06,190.56,191.51,480319
2021-07-07,190.97,192.84,190.95,192.65,344343
2021-07-08,188.37,189.35,187.59,189.07,323059
2021-07-09,189.27,190.70,189.16,190.46,233830
2021-07-12,191.19,191.72,190.61,190.99,223429
2021-07-13,192.95,193.86,192.47,192.73,297304
2021-07-14,193.22,194.18,192.48,194.03,434141
2021-07-15,193.40,194.23,191.97,192.68,289996
2021-07-16,192.69,193.03,192.04,192.57,270755
2021-07-19,188.44,189.17,186.39,187.28,342141
2021-07-20,187.44,188.88,187.34,188.34,401352
2021-07-21,189.50,190.34,189.41,189.84,319428
2021-07-22,191.14,191.56,190.11,190.53,450919
2021-07-23,191.90,193.22,191.59,192.63,447626
2021-07-26,190.78,191.67,190.60,191.20,310604
2021-07-27,191.90,193.65,191.70,193.44,419064
2021-07-28,193.68,195.63,193.64,195.21,326902
2021-07-29,197.22,198.59,196.77,197.59,624863
2021-07-30,199.12,200.00,197.68,198.21,338739
2021-08-02,199.15,200.14,198.22,198.81,513689
2021-08-03,200.71,201.09,199.01,200.00,304711
2021-08-04,201.73,202.35,200.36,200.46,305675
2021-08-05,201.77,201.91,200.67,201.76,333036
2021-08-06,199.54,199.98,198.74,198.98,243249
2021-08-09,199.01,199.47,198.18,198.85,254064
2021-08-10,199.55,199.93,198.48,199.05,288882
2021-08-11,198.72,199.46,198.58,199.07,375647
2021-08-12,199.48,199.73,198.77,199.06,237725
2021-08-13,200.87,201.74,200.62,201.52,260870
2021-08-16,200.50,201.52,200.09,201.49,343114
2021-08-17,199.16,199.60,198.15,198.86,442830
2021-08-18,199.49,200.13,198.19,198.39,474219
2021-08-19,194.77,196.23,194.13,195.73,746393
2021-08-20,191.02,192.35,190.59,191.75,789558
2021-08-23,193.41,194.00,192.83,193.51,623680
2021-08-24,192.94,193.92,192.55,193.56,234195
2021-08-25,193.66,193.90,192.94,193.22,251279
2021-08-26,191.23,191.52,190.18,190.42,295041
2021-08-27,191.72,192.60,191.45,192.33,430922
2021-08-30,192.42,192.50,191.68,192.06,137432
2021-08-31,191.95,192.20,191.36,192.11,286973
2021-09-01,195.85,196.70,194.96,196.08,323792
2021-09-02,196.33,197.12,195.79,196.06,233262
2021-09-03,195.05,196.33,194.59,195.97,318868
2021-09-07,194.11,194.38,192.84,192.94,221963
2021-09-08,192.98,193.50,192.38,193.20,242576
2021-09-09,193.13,193.79,192.39,192.52,272607
2021-09-10,195.26,195.49,193.58,193.59,321392
2021-09-13,195.47,196.04,194.28,194.92,244024
2021-09-14,194.87,195.34,192.77,193.13,260015
2021-09-15,192.84,193.01,191.11,192.07,308744
2021-09-16,191.28,192.14,189.81,191.66,319659
2021-09-17,191.75,192.04,189.25,190.01,302586
2021-09-20,186.97,188.11,185.99,187.43,262715
2021-09-21,189.53,190.46,189.03,189.11,267017
2021-09-22,191.55,192.51,190.64,190.84,476519
2021-09-23,192.52,193.50,191.74,191.86,293014
2021-09-24,191.01,191.54,189.54,189.85,451943
2021-09-27,191.65,192.40,190.86,191.42,403469
2021-09-28,190.65,191.60,189.48,189.80,424910
2021-09-29,191.18,191.77,190.19,191.11,217197
2021-09-30,196.04,196.09,192.44,193.00,529906
2021-10-01,192.47,193.23,190.32,192.75,373617
2021-10-04,192.90,193.83,191.16,193.02,257145
2021-10-05,192.39,193.53,191.78,192.75,187422
2021-10-06,190.06,192.94,189.93,192.86,267203
2021-10-07,193.37,194.31,193.01,193.22,254091
2021-10-08,193.40,194.21,193.19,193.73,185372
2021-10-11,193.60,194.05,192.86,193.02,175996
2021-10-12,193.37,194.69,192.90,193.23,506031
2021-10-13,196.01,197.34,195.80,197.21,656442
2021-10-14,199.28,199.91,198.60,199.41,278053
2021-10-15,198.70,199.57,198.37,199.27,161018
2021-10-18,197.29,198.79,196.96,198.23,219019
2021-10-19,199.51,200.16,198.85,199.97,180617
2021-10-20,201.19,202.09,201.04,201.63,172340
2021-10-21,200.44,201.08,199.03,199.69,254589
2021-10-22,201.34,201.99,200.72,201.45,179900
2021-10-25,200.81,200.81,199.45,199.74,203445
2021-10-26,200.35,200.76,199.80,200.47,186122
2021-10-27,200.12,200.30,198.68,198.85,177021
2021-10-28,200.46,201.49,200.32,200.77,186782
2021-10-29,199.84,200.74,199.23,199.67,174375
2021-11-01,199.85,201.32,199.84,201.19,169402
2021-11-02,201.28,202.73,201.24,202.71,170901
2021-11-03,202.71,204.62,202.24,204.43,199224
2021-11-04,202.93,204.44,202.92,204.03,167647
2021-11-05,203.40,204.66,203.40,204.65,248263
2021-11-08,205.00,205.15,203.63,204.39,238664
2021-11-09,204.32,204.60,203.38,203.92,161035
2021-11-10,204.39,205.06,203.19,203.45,156797
2021-11-11,204.36,204.60,203.68,204.02,145541
2021-11-12,205.31,205.89,204.83,204.84,189882
2021-11-15,205.21,205.70,204.53,205.05,176274
2021-11-16,208.28,208.70,206.56,206.61,294528
2021-11-17,208.56,209.83,208.13,209.67,336302
2021-11-18,209.32,210.15,209.16,209.99,200607
2021-11-19,210.00,210.05,208.22,208.71,214735
2021-11-22,209.13,209.77,207.70,207.77,201853
2021-11-23,207.45,208.14,206.68,207.88,209488
