date,open,high,low,close,volume
2016-09-15,67.64,68.20,67.30,67.80,4506541
2016-09-16,68.05,68.12,67.37,67.60,8103652
2016-09-19,67.67,68.28,67.65,67.81,2664675
2016-09-20,68.22,68.22,67.60,67.73,2490325
2016-09-21,67.90,68.45,67.65,68.37,2785221
2016-09-22,68.88,68.95,68.43,68.57,2486725
2016-09-23,68.37,68.71,68.27,68.50,2793370
2016-09-26,68.38,68.38,67.45,67.62,3196345
2016-09-27,67.69,68.60,67.45,68.53,3148690
2016-09-28,68.30,68.57,68.08,68.52,2047380
2016-09-29,68.39,68.51,67.82,68.09,3281858
2016-09-30,68.37,69.48,68.35,69.20,3397173
2016-10-03,68.82,69.23,68.69,68.85,2662793
2016-10-04,69.10,69.15,68.35,68.56,1984522
2016-10-05,68.72,68.86,68.29,68.66,2090105
2016-10-06,68.63,69.23,68.47,69.14,2952563
2016-10-07,69.17,69.30,68.62,69.08,2614001
2016-10-10,69.21,69.55,68.92,69.05,1446262
2016-10-11,68.69,68.69,67.03,67.39,4259612
2016-10-12,67.58,68.44,67.58,67.78,3140169
2016-10-13,67.38,67.68,67.06,67.28,2783940
2016-10-14,67.76,67.80,67.13,67.23,3214384
2016-10-17,67.36,67.39,66.84,66.97,2197832
2016-10-18,67.30,67.65,67.14,67.47,1619431
2016-10-19,67.60,68.19,67.30,68.12,2900815
2016-10-20,69.06,71.45,68.54,70.78,6498338
2016-10-21,70.34,70.87,70.07,70.77,4567440
2016-10-24,71.26,71.72,70.67,70.88,3476296
2016-10-25,70.68,70.71,69.50,69.54,3504417
2016-10-26,69.33,69.33,68.42,68.63,3230215
2016-10-27,68.82,70.23,68.80,69.15,4206935
2016-10-28,69.14,69.72,68.70,69.03,2585649
2016-10-31,69.08,69.36,68.82,69.34,2608917
2016-11-01,69.48,69.49,67.82,68.00,4233086
2016-11-02,68.02,68.39,67.69,67.75,2771781
2016-11-03,67.94,68.24,67.44,67.57,2863389
2016-11-04,67.67,68.42,67.61,67.92,2590633
2016-11-07,68.61,69.22,68.60,69.03,3697044
2016-11-08,68.97,70.10,68.81,69.68,3937291
2016-11-09,69.69,71.10,69.10,70.83,4677368
2016-11-10,71.47,71.77,70.69,70.83,3879659
2016-11-11,71.42,71.77,70.87,71.45,3585459
2016-11-14,71.39,71.67,69.74,69.83,4655196
2016-11-15,71.09,71.20,70.06,70.30,4859510
2016-11-16,70.31,70.85,70.13,70.81,5199028
2016-11-17,70.86,71.02,70.56,70.60,2868854
2016-11-18,70.57,70.60,69.40,69.73,3296522
2016-11-21,69.97,70.29,69.22,69.93,4563954
2016-11-22,69.62,69.89,68.88,69.23,4017337
2016-11-23,69.05,69.93,69.01,69.88,1848627
2016-11-25,70.15,70.57,70.01,70.23,955171
2016-11-28,70.19,70.37,69.58,69.77,2330775
2016-11-29,69.77,70.04,69.52,69.86,1864121
2016-11-30,69.94,70.08,68.86,69.01,5561167
2016-12-01,68.97,69.14,67.90,67.99,3921034
2016-12-02,68.05,68.36,67.51,68.26,3344077
2016-12-05,68.60,68.68,67.98,68.07,2917294
2016-12-06,68.27,68.34,67.47,68.31,3465070
2016-12-07,68.24,68.41,67.33,67.95,4654469
2016-12-08,67.97,69.01,67.96,68.63,4265725
2016-12-09,68.79,68.95,68.37,68.95,2917017
2016-12-12,68.79,69.05,68.43,68.71,4794262
2016-12-13,69.01,70.23,69.00,69.95,5690200
2016-12-14,69.93,70.19,69.33,69.48,3758697
2016-12-15,69.39,70.56,69.28,70.38,4630033
2016-12-16,70.57,71.17,69.76,69.93,4613704
2016-12-19,69.86,70.33,69.22,69.40,2722757
2016-12-20,69.60,69.76,69.28,69.61,5482231
2016-12-21,69.33,69.65,69.14,69.18,2671519
2016-12-22,69.03,69.44,69.01,69.15,2055989
2016-12-23,69.20,69.76,69.13,69.70,1342176
2016-12-27,69.67,70.03,69.55,69.58,1208579
2016-12-28,69.37,69.63,68.91,68.97,1771186
2016-12-29,68.99,69.25,68.88,69.05,1264485
2016-12-30,69.35,69.35,68.56,68.72,2014534
2017-01-03,69.25,69.70,69.05,69.55,2841887
2017-01-04,69.50,70.43,69.43,69.99,3142867
2017-01-05,70.00,70.67,69.86,70.63,3228766
2017-01-06,70.61,71.25,70.38,71.00,2103564
2017-01-09,70.98,71.23,70.84,71.14,2317420
2017-01-10,71.04,71.79,70.94,71.59,3497753
2017-01-11,71.51,72.19,71.19,71.81,2700488
2017-01-12,71.55,71.90,71.25,71.76,3596042
2017-01-13,71.75,72.03,71.58,71.82,2465424
2017-01-17,71.51,71.58,70.85,71.43,3215313
2017-01-18,71.95,72.04,71.51,71.67,2117993
2017-01-19,71.59,71.77,70.83,71.15,2930740
2017-01-20,71.36,71.43,70.73,71.09,2126537
2017-01-23,70.91,71.06,70.50,70.62,2373807
2017-01-24,70.63,71.02,69.71,70.65,3009201
2017-01-25,70.84,71.56,70.77,71.53,2236215
2017-01-26,71.38,71.52,71.11,71.32,1910307
2017-01-27,71.47,71.52,71.06,71.47,2277269
2017-01-30,71.78,71.81,70.38,70.94,2314067
2017-01-31,72.73,74.25,72.27,74.08,6236935
2017-02-01,74.64,74.81,73.14,73.75,4643245
2017-02-02,73.38,74.04,72.93,73.89,2380694
2017-02-03,74.01,74.12,73.56,73.88,1713853
2017-02-06,73.49,73.60,72.88,73.26,2064660
2017-02-07,73.27,73.54,73.06,73.34,1739594
2017-02-08,72.99,73.37,72.89,73.25,1699638
2017-02-09,73.28,74.15,73.19,73.94,2097355
2017-02-10,73.95,74.22,73.76,74.14,1338031
2017-02-13,74.17,74.40,73.99,74.32,1468059
2017-02-14,73.90,74.41,73.76,74.24,1326936
