date,open,high,low,close,volume
2021-06-18,41.80,42.50,41.75,41.84,51359
2021-06-21,42.50,42.50,41.88,42.00,26392
2021-06-22,42.05,42.25,42.01,42.01,25663
2021-06-23,41.89,41.90,40.61,41.00,66349
2021-06-24,40.76,40.76,40.00,40.27,16164
2021-06-25,40.01,40.40,40.00,40.00,26013
2021-06-28,40.50,40.50,39.74,39.90,59825
2021-06-29,39.72,40.20,38.52,39.00,286728
2021-06-30,38.90,39.43,38.21,38.66,150611
2021-07-01,38.65,42.50,38.60,42.02,23044130
2021-07-02,41.70,46.97,41.65,43.73,5233048
2021-07-06,42.70,44.42,42.33,43.00,2288500
2021-07-07,42.34,43.23,39.52,39.76,9872655
2021-07-08,39.00,40.28,38.46,39.70,4706783
2021-07-09,39.78,40.88,39.13,40.18,4892014
2021-07-12,39.90,41.30,39.66,41.01,1293408
2021-07-13,40.70,41.98,40.59,40.83,861184
2021-07-14,41.48,41.88,40.44,41.57,1560163
2021-07-15,41.27,42.17,41.00,41.97,765838
2021-07-16,41.98,42.50,40.68,41.08,977044
2021-07-19,40.25,40.90,40.05,40.62,793602
2021-07-20,40.50,41.95,40.25,41.16,1295906
2021-07-21,41.40,42.93,41.25,41.87,1225088
2021-07-22,41.85,42.06,40.82,41.17,984040
2021-07-23,40.75,41.01,40.05,40.85,1033158
2021-07-26,40.74,41.64,40.59,41.12,643764
2021-07-27,40.84,42.22,40.50,41.95,566749
2021-07-28,42.68,43.24,41.62,42.32,931553
2021-07-29,42.81,43.40,42.44,43.33,493859
2021-07-30,42.83,43.48,42.27,42.40,1050873
2021-08-02,42.12,44.00,42.12,43.22,551528
2021-08-03,42.68,44.05,42.00,43.75,858467
2021-08-04,43.27,44.61,43.26,43.96,819325
2021-08-05,44.12,44.90,43.74,44.64,659403
2021-08-06,44.62,45.19,43.88,44.26,514835
2021-08-09,44.18,44.37,43.19,43.97,267233
2021-08-10,44.07,44.30,42.84,42.90,685394
2021-08-11,42.78,43.09,42.32,42.70,401312
2021-08-12,43.03,43.50,42.47,42.89,514397
2021-08-13,42.77,43.30,42.32,42.35,247685
2021-08-16,42.00,42.31,41.51,42.08,499907
2021-08-17,41.85,42.43,41.50,42.04,268308
2021-08-18,41.98,42.38,41.30,41.33,381636
2021-08-19,41.00,42.45,40.63,42.13,551524
2021-08-20,42.11,43.67,42.01,42.53,419653
2021-08-23,42.62,43.49,42.62,43.40,474095
2021-08-24,44.00,44.54,43.74,44.35,655630
2021-08-25,44.09,45.95,44.03,45.52,545607
2021-08-26,45.27,45.85,44.91,45.27,934379
2021-08-27,45.99,47.72,45.62,47.16,1292430
2021-08-30,47.06,47.63,46.66,46.70,655687
2021-08-31,46.88,47.43,46.27,46.47,1340773
2021-09-01,46.31,46.99,45.72,46.79,603190
2021-09-02,46.98,47.64,46.06,46.55,773219
2021-09-03,46.45,46.60,45.69,45.97,412658
2021-09-07,45.93,46.28,45.58,45.69,396105
2021-09-08,45.55,46.18,45.30,45.95,670697
2021-09-09,45.81,46.58,45.41,46.34,431179
2021-09-10,46.77,47.17,46.50,46.67,928948
2021-09-13,47.48,48.06,47.19,47.70,926126
2021-09-14,48.23,48.23,46.80,47.22,808331
2021-09-15,47.25,48.65,47.25,48.03,900525
2021-09-16,47.91,48.14,47.09,47.12,895230
2021-09-17,46.15,46.67,44.56,44.86,3487636
2021-09-20,43.68,45.27,43.68,44.33,886803
2021-09-21,44.70,45.05,43.85,43.92,1436682
2021-09-22,44.25,44.87,43.63,43.99,1330729
2021-09-23,44.24,45.10,43.95,44.80,781140
2021-09-24,44.65,45.87,44.50,45.25,551066
2021-09-27,45.76,46.95,45.76,46.20,776578
2021-09-28,46.50,46.90,45.64,45.73,558366
2021-09-29,45.86,46.28,44.68,45.90,555559
2021-09-30,46.05,46.38,45.80,46.24,1006730
2021-10-01,46.51,47.45,46.38,47.14,705950
2021-10-04,47.22,48.21,46.93,47.47,563764
2021-10-05,47.69,48.34,47.04,47.80,1045683
2021-10-06,47.32,47.65,46.65,47.42,648681
2021-10-07,48.11,49.82,48.11,49.02,1322952
2021-10-08,49.14,49.57,48.32,48.61,638568
2021-10-11,48.91,49.58,48.48,48.80,435611
2021-10-12,48.63,49.48,48.52,48.95,494168
2021-10-13,48.76,49.29,48.24,49.04,359488
2021-10-14,49.58,49.77,49.05,49.59,287576
2021-10-15,49.83,50.30,49.45,49.92,563178
2021-10-18,50.04,50.18,49.24,49.39,399120
2021-10-19,49.85,50.07,49.12,49.67,325169
2021-10-20,49.38,50.48,49.27,50.23,427481
2021-10-21,49.86,50.52,49.57,49.69,483256
2021-10-22,49.72,50.15,49.19,49.68,357695
2021-10-25,49.88,50.41,49.15,49.43,471328
2021-10-26,49.48,50.09,48.27,48.57,646935
2021-10-27,48.45,48.64,47.58,47.85,271666
2021-10-28,47.76,48.38,47.51,48.25,312524
2021-10-29,48.06,48.26,47.08,47.96,361745
2021-11-01,48.44,48.72,47.45,48.32,691929
2021-11-02,48.36,48.97,47.81,48.05,327205
2021-11-03,47.81,48.27,47.45,47.83,581496
2021-11-04,47.85,48.60,46.68,47.68,555293
2021-11-05,48.27,48.79,47.82,48.74,424913
2021-11-08,48.63,49.50,47.75,49.05,408738
2021-11-09,48.99,49.50,48.43,49.05,786372
2021-11-10,49.08,49.47,47.52,48.39,601447
2021-11-11,48.62,49.30,48.31,48.82,511720
2021-11-12,48.83,49.72,48.82,49.30,331596
2021-11-15,49.52,49.60,48.30,49.09,298909
2021-11-16,49.33,49.33,47.74,47.86,254559
2021-11-17,47.79,48.08,47.34,48.01,487488
2021-11-18,48.11,48.70,47.75,48.02,501143
2021-11-19,47.61,47.86,46.76,47.09,322013
2021-11-22,47.00,47.15,46.06,46.41,487433
2021-11-23,46.86,47.63,46.41,47.53,1017435
2021-11-24,47.34,48.34,47.08,48.02,326967
2021-11-26,46.51,47.94,46.28,47.36,427698
2021-11-29,48.03,48.07,47.12,47.43,746180
2021-11-30,47.00,47.37,45.87,45.87,1194771
2021-12-01,46.69,47.51,45.51,45.53,537007
2021-12-02,45.63,46.57,45.32,46.36,509760
2021-12-03,46.60,46.89,45.60,46.10,457735
2021-12-06,46.69,47.56,46.04,47.34,665376
2021-12-07,47.71,48.05,47.30,47.43,485086
2021-12-08,47.68,48.08,47.45,47.49,457104
2021-12-09,47.26,47.43,46.65,46.94,502545
2021-12-10,47.08,47.38,46.43,47.05,261588
2021-12-13,47.00,47.51,46.06,46.53,403491
2021-12-14,46.31,46.89,46.00,46.34,1034470
2021-12-15,46.07,46.30,44.70,45.84,672347
2021-12-16,46.33,47.71,46.17,46.24,575618
2021-12-17,45.25,47.27,44.76,47.10,2927977
2021-12-20,46.22,46.25,44.90,46.08,671970
2021-12-21,46.29,46.99,46.22,46.81,464896
2021-12-22,46.55,47.12,46.38,47.07,436166
2021-12-23,47.30,47.64,46.76,47.53,323058
2021-12-27,47.57,48.05,46.81,48.01,213468
2021-12-28,48.00,48.50,47.97,48.12,245897
2021-12-29,47.97,48.12,47.39,47.69,167493
2021-12-30,47.73,48.31,47.70,47.75,262770
2021-12-31,47.86,48.59,47.76,47.98,381539
2022-01-03,47.85,48.75,47.67,48.56,284590
2022-01-04,48.75,50.02,48.75,49.64,568818
2022-01-05,49.90,50.19,48.63,48.75,595521
2022-01-06,49.23,50.11,49.23,49.32,470721
2022-01-07,48.61,49.63,48.21,49.41,517191
2022-01-10,49.47,49.97,48.71,49.92,475462
2022-01-11,50.22,50.70,49.82,50.00,369350
2022-01-12,50.44,50.50,49.35,49.97,378154
2022-01-13,50.01,50.41,49.56,49.82,341915
2022-01-14,49.89,51.08,49.73,51.07,311539
2022-01-18,51.51,52.31,50.84,51.65,620021
2022-01-19,51.78,52.17,50.03,50.28,413991
2022-01-20,50.42,51.01,49.63,49.74,310665
2022-01-21,49.65,49.89,49.05,49.09,341091
2022-01-24,48.44,49.39,47.45,49.22,427983
2022-01-25,48.96,49.84,48.17,49.40,527770
2022-01-26,49.82,50.94,48.80,49.56,534676
2022-01-27,50.28,50.48,49.01,50.00,428259
2022-01-28,49.86,50.40,49.43,50.40,282734
2022-01-31,50.24,51.81,50.23,51.70,495810
2022-02-01,51.38,52.75,51.07,52.63,433246
2022-02-02,52.77,52.77,51.18,51.50,522028
2022-02-03,51.75,52.31,51.25,51.84,628173
2022-02-04,51.84,52.65,51.02,51.18,962027
2022-02-07,51.23,52.09,50.86,51.63,1414595
2022-02-08,51.66,52.91,51.49,52.52,678688
2022-02-09,52.74,53.72,52.74,53.54,379017
2022-02-10,53.11,54.10,52.44,52.73,411962
2022-02-11,52.85,54.08,52.62,53.15,545084
2022-02-14,52.87,53.23,51.02,51.23,728764
2022-02-15,51.16,51.55,50.85,51.14,597795
2022-02-16,51.08,51.95,50.95,51.40,1101415
2022-02-17,51.19,51.45,50.46,50.72,451564
2022-02-18,50.59,51.04,50.09,50.19,610196
2022-02-22,50.59,50.98,48.78,49.01,548537
2022-02-23,49.33,50.31,49.16,49.76,620345
2022-02-24,49.76,50.12,48.72,50.06,574685
2022-02-25,50.72,52.92,50.72,52.19,901984
2022-02-28,52.00,53.13,51.71,53.10,836070
2022-03-01,53.58,54.55,52.90,53.90,971459
2022-03-02,54.38,56.45,54.38,56.17,720147
2022-03-03,55.91,56.00,54.91,55.54,555130
2022-03-04,54.56,55.99,54.42,55.95,509518
2022-03-07,56.00,58.05,55.50,56.12,514398
2022-03-08,56.54,57.55,55.77,56.65,1235141
2022-03-09,55.94,57.05,55.01,56.02,866946
2022-03-10,56.11,57.51,56.08,57.35,592047
2022-03-11,57.47,57.83,56.41,56.50,708135
2022-03-14,55.19,55.77,50.81,51.26,1295482
2022-03-15,50.80,52.92,50.64,52.23,1120355
2022-03-16,52.33,52.92,51.79,52.83,828479
2022-03-17,53.47,54.42,53.05,53.30,1037717
2022-03-18,52.56,53.86,52.28,53.74,2978053
2022-03-21,53.50,54.19,52.67,53.45,896467
2022-03-22,53.60,53.70,52.65,53.08,673887
2022-03-23,53.41,54.11,52.91,53.00,709206
2022-03-24,53.45,54.52,53.31,54.23,656084
2022-03-25,54.19,55.02,54.01,54.92,871877
2022-03-28,54.41,54.41,53.48,54.07,398398
2022-03-29,53.50,54.40,53.05,54.39,417500
2022-03-30,55.16,55.66,53.97,54.18,504872
2022-03-31,54.07,55.42,54.07,54.26,746589
2022-04-01,54.41,55.52,54.41,54.84,709531
2022-04-04,54.58,55.39,54.15,55.09,538123
2022-04-05,55.15,55.57,53.85,54.09,753169
2022-04-06,54.01,54.65,53.75,54.36,480196
2022-04-07,54.56,55.01,53.38,54.77,450296
2022-04-08,54.88,55.91,54.88,55.82,616566
2022-04-11,55.60,56.14,54.89,55.44,640702
2022-04-12,55.94,56.82,55.84,56.30,1113501
2022-04-13,56.64,57.03,56.27,56.87,669693
2022-04-14,56.74,57.77,56.67,57.17,477582
2022-04-18,57.35,57.80,56.85,57.25,569884
2022-04-19,57.09,57.99,57.04,57.69,293742
2022-04-20,57.92,58.94,57.92,58.49,427382
2022-04-21,58.74,59.36,57.85,58.19,613065
2022-04-22,57.85,57.85,55.67,55.97,786609
2022-04-25,55.07,55.11,53.01,54.23,840766
2022-04-26,54.55,55.89,54.10,54.77,505327
2022-04-27,54.81,55.59,54.34,54.78,671239
2022-04-28,55.26,56.07,54.07,56.06,528004
2022-04-29,55.88,55.94,53.50,53.75,405235
2022-05-02,53.52,54.25,53.02,54.22,741008
2022-05-03,53.96,56.27,53.96,55.89,464049
2022-05-04,56.05,58.42,55.72,58.32,545185
2022-05-05,55.09,57.17,54.11,54.98,1137650
2022-05-06,55.30,55.88,53.86,55.71,695981
2022-05-09,54.87,54.87,52.24,53.00,761913
2022-05-10,53.49,53.68,51.38,52.51,703552
2022-05-11,53.24,54.12,51.60,51.85,534599
2022-05-12,51.86,52.53,51.23,52.29,530480
2022-05-13,53.02,54.32,52.63,54.09,431230
2022-05-16,54.06,55.12,54.06,54.73,384613
2022-05-17,55.34,56.55,54.75,56.55,357299
2022-05-18,58.02,58.02,55.56,56.16,920698
2022-05-19,55.26,56.14,54.63,55.13,634605
2022-05-20,55.55,55.75,54.00,55.32,520506
2022-05-23,55.73,55.89,55.18,55.42,311785
2022-05-24,55.29,55.48,54.33,55.47,299929
2022-05-25,55.76,56.99,55.76,56.93,269577
2022-05-26,56.93,57.68,56.79,56.94,264780
2022-05-27,56.81,57.63,55.95,57.44,443129
2022-05-31,57.67,58.17,56.74,58.10,1009920
2022-06-01,58.12,58.68,57.58,58.38,668766
2022-06-02,58.01,58.91,57.66,58.65,325030
2022-06-03,58.21,58.47,57.80,58.15,260176
2022-06-06,58.81,58.90,57.77,58.00,294466
2022-06-07,58.08,59.04,58.05,59.04,374414
2022-06-08,59.00,59.00,57.04,57.76,310456
2022-06-09,57.88,57.88,56.92,56.93,606141
2022-06-10,56.44,56.81,55.27,56.04,383889
2022-06-13,54.95,55.44,52.93,53.22,500294
2022-06-14,53.39,54.26,51.77,52.32,482241
2022-06-15,52.65,52.85,51.14,51.42,826159
2022-06-16,50.47,50.81,48.70,48.84,821776
2022-06-17,48.95,49.72,46.02,47.98,1367503
2022-06-21,48.55,50.41,48.55,49.94,774670
2022-06-22,48.15,49.18,48.04,48.21,542032
2022-06-23,48.53,48.53,46.37,46.71,672379
2022-06-24,47.32,48.74,47.30,48.16,1214637
2022-06-27,48.46,49.55,48.25,49.19,454164
2022-06-28,50.16,50.90,49.79,50.43,584330
2022-06-29,50.71,50.77,49.06,49.34,322576
2022-06-30,48.29,49.42,48.19,49.02,448198
2022-07-01,49.21,49.80,47.97,49.73,386180
2022-07-05,48.72,48.92,46.16,47.99,763749
2022-07-06,47.54,48.25,45.58,47.50,921247
2022-07-07,48.00,49.46,48.00,49.00,682212
2022-07-08,49.22,49.24,48.41,48.87,318229
2022-07-11,48.49,48.82,47.70,48.65,264344
2022-07-12,47.88,48.25,47.36,47.73,439606
2022-07-13,47.23,48.66,47.21,47.93,353124
2022-07-14,46.78,47.74,46.26,47.66,336526
2022-07-15,48.73,48.99,47.43,48.48,392017
2022-07-18,49.04,49.48,48.66,48.85,327047
2022-07-19,49.28,50.16,49.23,50.09,377940
2022-07-20,50.35,50.95,49.95,50.84,422948
2022-07-21,49.89,51.53,49.71,51.12,577124
2022-07-22,51.20,51.81,50.57,51.15,347214
2022-07-25,51.66,53.54,51.35,53.47,793525
2022-07-26,53.51,53.95,53.26,53.63,570163
2022-07-27,53.86,53.92,52.80,53.56,414501
2022-07-28,53.87,54.53,52.87,54.15,424366
