date,open,high,low,close,volume
2021-01-04,28.76,28.76,28.31,28.31,74193
2021-01-05,28.37,28.52,28.23,28.36,39835
2021-01-06,28.40,28.40,27.83,27.96,34997
2021-01-07,28.03,28.03,27.61,27.77,20193
2021-01-08,27.88,27.89,27.73,27.89,18182
2021-01-11,27.63,27.69,27.55,27.56,127239
2021-01-12,27.60,27.60,27.39,27.50,79577
2021-01-13,27.54,28.00,27.54,27.85,38768
2021-01-14,28.00,28.08,27.79,28.02,26364
2021-01-15,27.98,28.16,27.98,28.09,14033
2021-01-19,28.19,28.21,27.91,28.12,21644
2021-01-20,28.19,28.21,27.85,27.97,74413
2021-01-21,27.98,28.00,27.77,27.79,91742
2021-01-22,27.82,27.95,27.66,27.71,60127
2021-01-25,27.78,27.87,27.54,27.59,54224
2021-01-26,27.66,27.70,27.50,27.52,51467
2021-01-27,27.52,27.65,27.23,27.23,54706
2021-01-28,27.39,27.54,27.27,27.31,60174
2021-01-29,27.31,27.40,27.18,27.32,76809
2021-02-01,27.32,27.63,27.31,27.50,30206
2021-02-02,27.59,27.64,27.52,27.55,13557
2021-02-03,27.63,27.63,27.23,27.32,33544
2021-02-04,27.40,27.62,27.23,27.49,20350
2021-02-05,27.49,27.66,27.43,27.61,15387
2021-02-08,27.66,27.72,27.49,27.60,10598
2021-02-09,27.67,27.69,27.45,27.50,48581
2021-02-10,27.62,27.64,27.33,27.45,47038
2021-02-11,27.44,27.44,27.23,27.28,22130
2021-02-12,27.28,27.28,27.09,27.12,19254
2021-02-16,27.12,27.12,26.72,26.75,100044
2021-02-17,26.80,26.87,26.72,26.76,51630
2021-02-18,26.82,26.82,26.64,26.82,37793
2021-02-19,26.83,26.85,26.68,26.78,1830298
2021-02-22,26.73,26.76,26.60,26.66,64821
2021-02-23,26.73,26.75,26.64,26.70,17946
2021-02-24,26.75,26.75,26.50,26.58,24853
2021-02-25,26.62,26.62,26.26,26.38,41158
2021-02-26,26.53,26.64,26.37,26.64,262997
2021-03-01,26.73,26.84,26.68,26.74,835401
2021-03-02,26.84,26.93,26.76,26.86,410156
2021-03-03,26.71,26.86,26.67,26.82,46266
2021-03-04,26.89,26.99,26.72,26.87,52278
2021-03-05,26.90,26.97,26.69,26.89,23690
2021-03-08,26.97,26.97,26.83,26.91,32110
2021-03-09,26.92,27.03,26.89,27.03,31767
2021-03-10,27.03,27.12,27.00,27.12,144650
2021-03-11,26.80,26.87,26.79,26.86,186042
2021-03-12,26.72,26.82,26.61,26.72,56051
2021-03-15,26.72,26.84,26.66,26.84,80600
2021-03-16,26.86,26.93,26.78,26.89,297730
2021-03-17,26.82,26.84,26.67,26.84,34258
2021-03-18,26.76,26.80,26.59,26.59,109267
2021-03-19,26.70,26.70,26.56,26.70,44122
2021-03-22,26.75,26.83,26.73,26.80,26020
2021-03-23,26.87,26.87,26.70,26.82,35704
2021-03-24,26.86,26.95,26.80,26.82,155793
2021-03-25,26.82,26.86,26.81,26.84,33854
2021-03-26,26.83,26.87,26.80,26.82,36458
2021-03-29,26.77,26.83,26.72,26.76,43539
2021-03-30,26.76,26.86,26.76,26.86,39264
2021-03-31,26.87,26.93,26.81,26.84,83648
2021-04-01,26.85,27.02,26.85,26.90,271614
2021-04-05,26.96,26.96,26.86,26.90,90031
2021-04-06,26.93,27.09,26.88,27.07,200870
2021-04-07,27.06,27.22,27.03,27.06,95244
2021-04-08,27.01,27.16,27.01,27.11,19508
2021-04-09,27.00,27.13,26.96,27.05,33954
2021-04-12,27.03,27.09,26.96,26.98,106720
2021-04-13,26.99,27.01,26.92,26.95,46156
2021-04-14,26.99,27.04,26.95,26.95,55089
2021-04-15,27.02,27.07,26.97,27.05,35021
2021-04-16,27.05,27.06,26.99,27.04,73647
2021-04-19,27.08,27.08,26.93,26.98,33905
2021-04-20,26.98,27.00,26.88,26.97,47023
2021-04-21,26.95,27.06,26.95,27.05,30725
2021-04-22,27.07,27.07,26.93,27.04,33597
2021-04-23,27.02,27.10,26.99,27.07,48195
2021-04-26,27.10,27.16,27.05,27.10,70511
2021-04-27,27.13,27.15,27.07,27.12,36581
2021-04-28,27.05,27.14,27.01,27.03,99470
2021-04-29,27.07,27.07,26.96,27.05,36694
2021-04-30,27.04,27.04,26.86,26.91,62048
2021-05-03,26.98,27.06,26.90,27.02,29492
2021-05-04,26.96,27.12,26.91,27.10,56205
2021-05-05,27.10,27.21,27.03,27.12,52426
2021-05-06,27.06,27.09,26.91,27.07,36057
2021-05-07,27.08,27.17,27.05,27.14,50578
2021-05-10,27.17,27.18,27.02,27.08,54036
2021-05-11,26.96,27.03,26.85,26.96,68933
2021-05-12,26.88,26.88,26.70,26.73,41166
2021-05-13,26.85,26.94,26.75,26.87,25973
2021-05-14,26.95,26.99,26.89,26.99,14857
2021-05-17,27.00,27.09,26.92,26.99,39141
2021-05-18,27.07,27.07,26.96,27.05,15110
2021-05-19,26.99,27.04,26.90,27.00,19059
2021-05-20,27.04,27.14,26.96,27.11,48177
2021-05-21,27.15,27.15,27.02,27.10,25878
2021-05-24,27.21,27.21,27.04,27.10,23638
2021-05-25,27.08,27.12,27.06,27.09,33162
2021-05-26,27.12,27.15,26.76,27.13,435862
2021-05-27,27.10,27.10,26.99,27.01,44753
2021-05-28,27.09,27.16,27.00,27.12,59976
2021-06-01,27.15,27.20,27.11,27.17,85689
2021-06-02,27.19,27.44,27.16,27.42,56328
2021-06-03,27.44,27.51,27.37,27.49,45827
2021-06-04,27.55,27.56,27.46,27.47,15786
2021-06-07,27.54,27.58,27.44,27.51,12439
2021-06-08,27.50,27.66,27.49,27.60,138089
2021-06-09,27.65,27.72,27.59,27.69,61140
2021-06-10,27.69,27.73,27.57,27.69,36010
2021-06-11,27.40,27.46,27.33,27.38,51367
2021-06-14,27.36,27.42,27.35,27.41,47672
2021-06-15,27.45,27.45,27.37,27.40,65418
2021-06-16,27.36,27.40,27.33,27.39,35668
2021-06-17,27.39,27.42,27.31,27.41,17948
2021-06-18,27.33,27.44,27.33,27.43,32778
2021-06-21,27.45,27.45,27.38,27.41,12847
2021-06-22,27.44,27.62,27.41,27.62,22166
2021-06-23,27.60,27.60,27.51,27.57,21549
2021-06-24,27.57,27.60,27.53,27.57,21052
2021-06-25,27.58,27.66,27.40,27.54,23909
2021-06-28,27.52,27.55,27.40,27.52,46680
2021-06-29,27.55,27.57,27.43,27.53,12409
2021-06-30,27.54,27.67,27.50,27.57,66253
2021-07-01,27.60,27.60,27.50,27.52,29755
2021-07-02,27.49,27.58,27.49,27.54,24176
2021-07-06,27.52,27.59,27.46,27.58,28898
2021-07-07,27.60,27.67,27.53,27.61,31051
2021-07-08,27.59,27.62,27.51,27.56,14872
2021-07-09,27.57,27.57,27.48,27.52,50639
2021-07-12,27.54,27.58,27.43,27.50,17619
2021-07-13,27.51,27.53,27.40,27.46,21129
2021-07-14,27.46,27.50,27.41,27.49,46417
2021-07-15,27.49,27.52,27.41,27.46,11601
2021-07-16,27.47,27.50,27.40,27.43,23461
2021-07-19,27.42,27.44,27.25,27.31,46181
