date,open,high,low,close,volume
2021-01-04,91.52,92.37,87.96,89.44,4080004
2021-01-05,89.51,92.65,88.81,92.19,2850776
2021-01-06,92.74,96.13,91.67,93.98,7632840
2021-01-07,94.17,97.40,94.17,96.79,4798928
2021-01-08,97.32,99.25,95.32,97.02,5110672
2021-01-11,93.50,93.88,90.79,92.66,5777408
2021-01-12,92.84,92.88,89.06,90.04,4542316
2021-01-13,89.98,91.11,86.97,90.64,3947300
2021-01-14,90.55,91.07,87.51,88.02,3562476
2021-01-15,88.06,89.19,86.90,88.55,3011808
2021-01-19,89.62,90.01,87.01,89.41,3178192
2021-01-20,89.86,91.82,89.49,91.03,4673720
2021-01-21,91.67,92.70,90.42,91.88,2757388
2021-01-22,91.91,93.50,91.32,92.53,1697092
2021-01-25,93.39,94.50,91.11,94.10,2271548
2021-01-26,94.42,94.46,90.06,90.36,3574160
2021-01-27,89.92,90.30,87.25,87.41,4143284
2021-01-28,88.32,92.24,87.62,91.72,3906112
2021-01-29,90.64,94.77,89.95,93.71,4383140
2021-02-01,94.09,96.65,93.25,95.66,2893816
2021-02-02,96.81,100.41,96.30,98.66,3459920
2021-02-03,98.12,98.75,95.76,97.92,2952132
2021-02-04,98.87,102.02,98.21,100.81,3154288
2021-02-05,102.00,103.06,101.00,102.76,2238420
2021-02-08,103.69,103.75,100.65,100.83,3482000
2021-02-09,101.44,102.00,99.45,100.26,3064456
2021-02-10,101.61,101.61,99.05,99.86,2784232
2021-02-11,101.16,102.77,99.79,102.55,2747296
2021-02-12,97.00,103.58,95.26,103.14,7701036
2021-02-16,102.75,103.15,100.08,101.09,3509120
2021-02-17,101.57,104.32,100.05,103.53,2606644
2021-02-18,103.11,103.36,100.66,102.71,2414152
2021-02-19,102.97,105.85,101.64,104.73,3828688
2021-02-22,104.19,105.56,102.20,103.02,2588432
2021-02-23,101.75,102.93,99.12,101.69,3146400
2021-02-24,100.80,101.83,99.93,101.41,2356300
2021-02-25,101.41,101.45,97.67,98.87,2497460
2021-02-26,99.20,100.62,96.53,99.44,2733004
2021-03-01,100.10,100.50,98.25,99.17,2867844
2021-03-02,99.00,99.61,96.79,97.98,2661860
2021-03-03,96.70,96.70,91.15,92.17,5245296
2021-03-04,91.97,92.94,88.03,89.07,4117652
2021-03-05,90.38,91.86,86.81,91.02,3169508
2021-03-08,90.41,91.74,87.19,88.02,3461344
2021-03-09,89.23,91.35,89.23,90.73,3337968
2021-03-10,92.44,92.97,89.09,89.10,4384732
2021-03-11,88.97,91.78,88.74,91.69,2452832
2021-03-12,89.81,90.14,88.15,89.43,3695900
2021-03-15,88.44,90.75,87.76,90.48,3287272
2021-03-16,91.74,91.89,88.25,88.66,3118388
2021-03-17,88.39,88.39,85.29,87.92,4123084
2021-03-18,87.00,87.29,84.28,84.79,4789176
2021-03-19,84.92,86.93,84.47,86.16,3724072
2021-03-22,85.88,90.53,85.71,89.95,4216848
2021-03-23,88.22,91.67,88.22,91.04,3465324
2021-03-24,90.67,90.67,88.61,88.93,3529848
2021-03-25,88.95,89.35,85.08,87.05,3526984
2021-03-26,86.73,88.36,85.11,88.18,2802128
2021-03-29,88.22,88.71,86.33,87.34,2506348
2021-03-30,86.64,87.60,85.32,86.80,2626400
2021-03-31,87.50,90.88,87.00,89.85,2905048
2021-04-01,90.60,92.66,90.25,91.38,2214656
2021-04-05,91.88,92.29,90.39,92.04,1834788
2021-04-06,90.87,94.67,90.87,93.25,3251720
2021-04-07,93.39,93.42,91.65,92.35,1802520
2021-04-08,94.33,95.57,93.05,94.59,1727972
2021-04-09,94.60,95.79,93.28,95.72,1725400
2021-04-12,95.07,97.16,94.22,96.79,2360780
2021-04-13,96.08,97.55,95.69,97.03,1898908
2021-04-14,97.26,98.37,96.50,97.78,2041188
2021-04-15,98.58,100.27,98.23,99.87,2102140
2021-04-16,100.14,100.41,98.41,100.01,2200200
2021-04-19,99.15,99.75,97.91,98.26,1558968
2021-04-20,97.45,98.89,95.82,97.23,2902792
2021-04-21,97.83,100.90,97.19,100.41,2273952
2021-04-22,100.78,103.41,100.78,102.59,3198624
2021-04-23,102.14,104.15,102.00,103.75,1636816
2021-04-26,103.96,104.75,102.60,104.69,2087244
2021-04-27,104.21,105.75,104.21,105.42,3025640
2021-04-28,104.57,106.66,104.29,106.44,2047116
2021-04-29,107.00,107.23,104.66,105.42,2930340
2021-04-30,100.00,100.79,96.20,96.53,10977756
2021-05-03,96.53,96.64,93.88,95.14,3723420
2021-05-04,94.66,94.74,91.56,92.86,3737896
2021-05-05,93.00,93.53,90.19,91.48,3365260
2021-05-06,90.19,90.72,87.66,89.33,3480916
2021-05-07,90.64,92.59,89.62,89.69,2849536
2021-05-10,89.82,89.82,85.61,85.67,3306212
2021-05-11,84.38,88.75,84.05,87.00,6265352
2021-05-12,86.00,86.00,82.39,83.37,4522472
2021-05-13,84.08,84.50,79.61,80.99,5070964
2021-05-14,81.67,84.09,81.15,83.31,3219196
2021-05-17,82.80,83.42,80.48,81.35,3251968
2021-05-18,82.50,84.37,82.22,82.53,3340144
2021-05-19,80.87,83.22,80.75,83.07,2201124
2021-05-20,84.02,86.44,83.42,86.08,2067832
2021-05-21,86.15,87.88,85.39,85.52,2522124
2021-05-24,86.69,90.75,85.94,88.85,5541904
2021-05-25,88.70,89.81,88.21,88.31,2459016
2021-05-26,87.40,89.50,87.23,88.67,3724704
2021-05-27,88.41,90.75,87.02,90.48,3370544
2021-05-28,93.75,94.61,92.01,92.35,3473276
2021-06-01,92.80,93.58,90.39,91.42,2646264
2021-06-02,91.33,93.10,90.75,92.75,2687184
2021-06-03,91.75,94.72,91.75,94.19,2808368
2021-06-04,94.88,96.99,93.75,95.73,2414636
2021-06-07,96.00,98.05,95.19,96.75,1868932
2021-06-08,97.07,98.33,96.16,97.49,3216332
2021-06-09,98.75,99.54,97.39,97.51,1712984
2021-06-10,97.60,99.92,96.62,99.75,4040516
2021-06-11,100.27,100.48,99.13,100.05,2441652
2021-06-14,100.08,102.43,99.80,102.27,3144124
2021-06-15,102.50,103.90,101.00,101.28,2483748
2021-06-16,101.45,102.18,99.47,100.94,3069712
2021-06-17,100.70,104.36,100.02,103.11,3024684
2021-06-18,102.98,104.80,102.78,104.57,4016332
2021-06-21,104.57,106.07,101.91,105.76,2565836
2021-06-22,105.22,106.90,104.39,106.88,2357064
2021-06-23,106.96,108.28,105.81,107.93,2382640
2021-06-24,108.30,109.91,106.12,106.25,4763428
2021-06-25,106.40,107.62,104.91,107.59,13446496
2021-06-28,107.87,107.89,105.61,106.79,4731572
2021-06-29,106.44,106.84,104.65,106.70,2748912
2021-06-30,106.14,106.97,105.62,106.75,2819120
2021-07-01,106.25,107.00,105.19,106.71,2195708
2021-07-02,107.11,108.25,106.55,107.90,1468208
2021-07-06,108.01,110.65,107.03,110.16,2187592
2021-07-07,111.12,112.29,109.28,111.88,3762920
