date,open,high,low,close,volume
2021-01-04,92.17,92.40,88.26,89.24,253893
2021-01-05,89.24,92.05,89.19,91.41,293819
2021-01-06,93.38,100.03,93.07,99.28,432741
2021-01-07,99.56,101.33,98.55,101.12,195163
2021-01-08,101.30,101.33,97.82,99.04,199757
2021-01-11,97.52,98.60,97.29,98.00,163763
2021-01-12,98.88,99.35,98.05,99.21,241971
2021-01-13,98.67,99.35,97.83,98.26,181573
2021-01-14,99.06,99.84,98.09,99.18,126802
2021-01-15,97.58,99.00,96.23,98.10,183143
2021-01-19,98.91,99.59,97.62,98.13,252058
2021-01-20,98.36,99.48,97.95,98.90,201543
2021-01-21,98.02,99.05,94.84,94.85,310153
2021-01-22,94.07,97.35,94.07,97.27,271057
2021-01-25,96.56,96.95,92.88,94.11,372587
2021-01-26,94.79,95.00,93.38,93.89,198497
2021-01-27,91.77,91.96,87.77,88.61,270548
2021-01-28,90.10,91.88,89.35,91.14,250283
2021-01-29,90.48,90.89,87.88,88.30,252483
2021-02-01,89.65,91.16,87.36,90.80,270421
2021-02-02,92.26,92.45,90.45,92.20,108474
2021-02-03,91.77,92.35,90.45,92.16,143421
2021-02-04,92.23,93.43,91.74,93.27,189792
2021-02-05,94.70,94.87,93.79,94.14,156070
2021-02-08,94.74,96.30,94.49,95.79,195020
2021-02-09,96.20,96.20,94.36,95.16,147606
2021-02-10,95.96,96.31,94.26,95.52,177406
2021-02-11,95.92,96.01,92.94,94.59,223882
2021-02-12,93.87,94.43,93.10,93.45,161375
2021-02-16,93.67,94.25,93.08,93.66,217520
2021-02-17,92.47,93.57,91.84,92.08,172279
2021-02-18,91.82,91.82,89.64,90.42,246068
2021-02-19,90.93,92.46,90.61,92.26,228611
2021-02-22,91.64,94.11,90.51,93.44,226695
2021-02-23,93.37,95.72,92.67,95.09,211510
2021-02-24,95.60,98.81,94.57,98.72,242929
2021-02-25,100.00,104.00,97.98,100.00,582722
2021-02-26,100.00,100.57,97.11,97.37,415322
2021-03-01,99.77,102.29,98.61,101.58,396097
2021-03-02,101.43,101.43,98.88,100.04,320301
2021-03-03,100.79,104.42,100.79,101.75,244509
2021-03-04,101.20,102.23,99.64,100.28,315492
2021-03-05,101.74,105.15,100.68,104.48,320867
2021-03-08,105.65,108.63,104.69,107.06,213558
2021-03-09,108.16,108.71,106.40,107.33,237410
2021-03-10,107.63,112.31,107.22,111.84,400236
2021-03-11,112.34,113.46,110.82,112.49,296686
2021-03-12,113.26,115.59,112.81,115.30,263970
2021-03-15,114.69,114.74,112.11,113.93,226902
2021-03-16,112.89,113.61,110.71,112.47,174393
2021-03-17,112.87,113.71,110.44,113.61,242406
2021-03-18,113.67,114.42,112.81,113.13,346313
2021-03-19,112.77,113.70,110.45,112.86,803588
2021-03-22,113.50,113.50,109.05,109.79,198121
2021-03-23,108.46,109.46,104.64,105.04,333818
2021-03-24,106.71,108.69,105.99,106.28,295308
2021-03-25,105.58,110.28,104.85,109.60,245935
2021-03-26,111.01,112.40,109.87,112.13,201905
2021-03-29,111.67,113.81,109.18,110.25,220581
2021-03-30,110.87,113.33,110.20,112.90,197078
2021-03-31,113.56,114.56,111.50,112.16,278017
2021-04-01,112.79,113.70,111.95,113.66,215793
2021-04-05,115.24,115.88,113.61,114.25,212808
2021-04-06,114.39,115.78,114.00,114.61,298280
2021-04-07,114.42,115.14,113.35,114.25,230747
2021-04-08,114.13,115.62,112.65,115.43,226725
2021-04-09,115.56,117.48,115.00,117.00,256862
2021-04-12,117.91,118.93,117.48,118.53,221657
2021-04-13,118.11,118.27,116.10,117.30,216920
2021-04-14,117.45,119.39,117.45,118.31,203711
2021-04-15,118.89,118.89,117.41,118.75,185711
2021-04-16,119.48,120.97,119.23,119.93,253848
2021-04-19,120.03,120.03,118.64,119.70,297028
2021-04-20,119.45,120.10,116.87,118.03,217561
2021-04-21,117.93,120.07,117.93,119.30,251035
2021-04-22,120.00,120.59,118.37,118.89,288836
2021-04-23,119.24,121.88,118.71,120.96,246856
2021-04-26,121.77,122.40,120.65,120.75,198725
2021-04-27,121.65,121.93,120.19,120.67,170810
2021-04-28,120.42,121.28,119.42,120.57,185423
2021-04-29,121.48,122.05,119.22,121.61,221868
2021-04-30,120.57,121.93,118.55,119.80,571307
2021-05-03,120.84,122.19,120.10,120.52,596816
2021-05-04,120.12,121.04,119.39,120.71,578596
2021-05-05,120.63,122.51,119.48,122.35,385198
2021-05-06,123.32,124.53,122.29,124.10,232139
2021-05-07,123.31,125.81,122.04,125.31,174332
2021-05-10,125.59,127.33,124.26,124.36,204916
2021-05-11,122.54,124.84,122.05,124.17,235877
2021-05-12,123.77,124.95,119.34,119.52,267080
2021-05-13,119.21,124.12,118.64,123.18,308825
2021-05-14,123.90,124.86,122.12,124.78,211919
2021-05-17,123.50,125.33,122.74,125.20,147173
2021-05-18,125.10,125.59,121.78,121.89,177100
2021-05-19,120.09,121.67,119.04,121.44,244234
2021-05-20,121.48,122.19,120.35,121.79,201577
2021-05-21,123.30,123.89,121.67,121.95,178386
2021-05-24,122.46,123.72,121.74,122.92,134479
2021-05-25,122.76,123.70,121.25,121.30,176866
2021-05-26,121.47,123.54,121.39,123.34,187105
2021-05-27,124.97,125.61,123.45,125.30,254352
2021-05-28,125.90,126.33,124.51,126.11,253601
2021-06-01,127.00,128.22,126.31,127.75,266382
2021-06-02,128.13,128.13,125.45,126.05,382589
2021-06-03,125.40,126.04,123.18,125.74,189965
2021-06-04,126.39,127.81,125.42,127.38,387065
2021-06-07,127.37,128.29,125.79,128.20,368600
2021-06-08,128.50,129.45,126.64,129.07,370222
2021-06-09,128.94,129.27,127.67,127.75,254103
2021-06-10,128.39,128.78,124.53,124.69,201892
2021-06-11,125.56,126.82,125.00,126.72,222931
2021-06-14,126.68,126.68,124.29,124.79,253635
2021-06-15,125.10,126.71,124.31,126.22,224242
2021-06-16,125.86,126.96,124.21,125.71,229608
2021-06-17,125.93,125.93,121.26,122.55,270873
2021-06-18,121.39,121.56,118.28,118.41,646477
2021-06-21,119.54,122.60,119.40,122.13,203282
2021-06-22,121.87,122.44,119.79,122.29,193704
2021-06-23,122.21,122.78,121.09,121.89,242661
2021-06-24,125.06,126.15,123.49,125.51,304803
2021-06-25,125.93,127.14,123.57,123.63,934221
