date,open,high,low,close,volume
2021-01-04,26.93,26.93,26.69,26.77,27597
2021-01-05,26.70,26.71,26.57,26.64,13333
2021-01-06,26.73,26.73,26.20,26.26,21306
2021-01-07,26.26,26.35,26.13,26.32,13038
2021-01-08,26.35,26.43,26.20,26.36,3721
2021-01-11,26.31,26.31,25.98,25.99,13686
2021-01-12,25.99,26.10,25.56,25.86,20804
2021-01-13,25.71,26.18,25.71,26.11,12619
2021-01-14,26.16,26.34,26.01,26.27,14847
2021-01-15,26.29,26.29,26.11,26.17,13218
2021-01-19,26.11,26.29,26.06,26.29,4668
2021-01-20,26.27,26.34,26.19,26.33,7445
2021-01-21,26.34,26.45,26.12,26.32,13454
2021-01-22,26.19,26.61,26.19,26.55,8935
2021-01-25,26.54,26.61,26.45,26.47,5997
2021-01-26,26.59,26.59,26.43,26.54,4031
2021-01-27,26.35,26.47,26.07,26.07,8389
2021-01-28,26.16,26.39,26.05,26.20,15782
2021-01-29,26.27,26.28,26.00,26.28,29413
2021-02-01,26.18,26.49,26.18,26.25,13151
2021-02-02,26.39,26.59,26.30,26.54,26273
2021-02-03,26.62,26.72,26.49,26.62,42845
2021-02-04,26.53,26.67,26.53,26.67,8765
2021-02-05,26.65,26.65,26.20,26.43,23487
2021-02-08,26.44,26.46,26.11,26.29,20354
2021-02-09,26.25,26.25,26.11,26.24,7398
2021-02-10,26.48,26.48,26.13,26.19,22711
2021-02-11,26.17,26.17,25.86,25.88,13255
2021-02-12,25.85,25.85,25.57,25.64,14995
2021-02-16,25.73,25.73,25.41,25.44,33135
2021-02-17,25.47,25.54,25.46,25.51,29983
2021-02-18,25.49,25.53,25.46,25.52,28724
2021-02-19,25.48,25.57,25.48,25.53,120966
2021-02-22,25.54,25.57,25.47,25.54,16735
2021-02-23,25.55,25.59,25.50,25.56,17406
2021-02-24,25.50,25.60,25.50,25.55,6990
2021-02-25,25.45,25.54,25.45,25.52,34418
2021-02-26,25.50,25.64,25.50,25.61,21600
2021-03-01,25.60,25.62,25.55,25.62,11884
2021-03-02,25.73,25.73,25.60,25.61,31818
2021-03-03,25.66,25.74,25.59,25.74,5911
2021-03-04,25.75,25.79,25.62,25.70,14866
2021-03-05,25.75,26.00,25.60,25.90,26040
2021-03-08,25.89,25.90,25.75,25.90,9682
2021-03-09,25.89,25.90,25.86,25.90,7681
2021-03-10,25.99,25.99,25.81,25.90,6858
2021-03-11,25.98,26.00,25.83,25.90,22157
2021-03-12,25.88,25.89,25.84,25.89,5484
2021-03-15,25.89,26.00,25.89,25.90,16423
2021-03-16,25.90,25.94,25.87,25.90,4615
2021-03-17,25.85,25.87,25.73,25.76,5702
2021-03-18,25.80,25.80,25.55,25.56,10138
2021-03-19,25.56,25.70,25.55,25.70,1585
2021-03-22,25.70,25.77,25.62,25.77,9732
2021-03-23,25.75,25.76,25.65,25.66,5407
2021-03-24,25.71,25.82,25.64,25.78,8180
2021-03-25,25.81,25.81,25.71,25.73,4724
2021-03-26,25.75,25.75,25.66,25.66,5090
2021-03-29,25.65,25.72,25.59,25.60,7019
2021-03-30,25.45,25.45,25.38,25.42,13806
2021-03-31,25.41,25.58,25.41,25.55,23561
2021-04-01,25.63,25.69,25.52,25.69,20327
2021-04-05,25.66,25.78,25.58,25.74,11264
2021-04-06,25.68,25.87,25.68,25.86,19864
2021-04-07,25.83,25.89,25.77,25.87,7624
2021-04-08,25.90,25.93,25.77,25.77,15103
2021-04-09,25.85,25.93,25.82,25.93,9965
2021-04-12,25.93,25.93,25.71,25.71,15183
2021-04-13,25.74,25.89,25.73,25.87,6026
2021-04-14,25.89,25.89,25.57,25.57,24438
2021-04-15,25.57,25.78,25.57,25.78,5451
2021-04-16,25.78,25.78,25.63,25.74,12395
2021-04-19,25.72,25.74,25.59,25.68,12816
2021-04-20,25.59,25.72,25.59,25.67,5033
2021-04-21,25.67,25.79,25.67,25.79,17788
2021-04-22,25.82,25.97,25.72,25.93,31703
2021-04-23,25.76,26.00,25.76,25.96,8391
2021-04-26,25.91,26.09,25.91,26.08,6383
2021-04-27,26.04,26.08,25.98,25.98,2291
2021-04-28,25.88,26.10,25.88,26.10,8440
2021-04-29,26.08,26.09,26.03,26.09,2676
2021-04-30,26.00,26.00,25.80,25.80,31843
2021-05-03,25.90,25.97,25.88,25.96,3605
2021-05-04,25.95,26.02,25.94,26.00,8910
2021-05-05,26.02,26.06,26.02,26.06,1891
2021-05-06,25.93,25.97,25.76,25.90,14318
2021-05-07,25.90,26.12,25.84,26.00,30614
2021-05-10,25.97,25.99,25.90,25.95,4563
2021-05-11,25.93,25.93,25.74,25.87,4348
2021-05-12,25.76,26.00,25.40,25.43,20390
2021-05-13,25.54,25.90,25.46,25.49,60166
2021-05-14,25.55,25.67,25.43,25.43,53581
2021-05-17,25.45,25.47,25.39,25.44,71243
2021-05-18,25.44,25.50,25.44,25.49,19337
2021-05-19,25.43,25.50,25.43,25.50,12049
2021-05-20,25.49,25.50,25.48,25.50,31829
2021-05-21,25.49,25.63,25.49,25.53,16826
2021-05-24,25.55,25.60,25.50,25.54,29319
2021-05-25,25.59,25.59,25.52,25.54,9474
2021-05-26,25.51,25.53,25.51,25.53,33107
2021-05-27,25.51,25.57,25.50,25.57,62981
2021-05-28,25.56,25.57,25.51,25.52,25608
2021-06-01,25.58,25.61,25.54,25.60,11380
2021-06-02,25.54,25.69,25.54,25.69,12052
2021-06-03,25.68,25.69,25.57,25.66,15662
2021-06-04,25.69,25.70,25.64,25.69,5431
2021-06-07,25.68,25.71,25.62,25.66,8676
2021-06-08,25.72,25.72,25.62,25.66,18975
2021-06-09,25.71,25.72,25.63,25.64,16229
2021-06-10,25.65,25.69,25.46,25.55,139387
2021-06-11,25.52,25.59,25.52,25.57,16622
2021-06-14,25.58,25.59,25.53,25.58,14911
2021-06-15,25.59,25.59,25.57,25.59,6262
2021-06-16,25.60,25.64,25.57,25.58,19575
2021-06-17,25.60,25.60,25.56,25.60,14017
2021-06-18,25.58,25.60,25.57,25.59,8278
2021-06-21,25.61,25.68,25.61,25.68,5949
2021-06-22,25.69,25.77,25.61,25.72,13217
2021-06-23,25.71,25.71,25.62,25.68,4668
2021-06-24,25.73,25.74,25.64,25.66,12402
2021-06-25,25.70,25.70,25.65,25.65,3877
2021-06-28,25.65,25.69,25.63,25.69,9588
2021-06-29,25.38,25.48,25.35,25.41,12147
2021-06-30,25.43,25.56,25.38,25.38,31614
2021-07-01,25.38,25.48,25.38,25.43,4929
2021-07-02,25.50,25.50,25.40,25.46,25191
2021-07-06,25.39,25.46,25.38,25.43,9637
2021-07-07,25.50,25.50,25.42,25.44,8175
2021-07-08,25.48,25.48,25.41,25.44,9361
2021-07-09,25.50,25.50,25.40,25.41,4814
2021-07-12,25.44,25.48,25.43,25.45,6513
2021-07-13,25.46,25.47,25.39,25.45,7707
2021-07-14,25.41,25.47,25.41,25.47,4716
2021-07-15,25.45,25.45,25.45,25.45,717
2021-07-16,25.38,25.44,25.38,25.42,1210
2021-07-19,25.46,25.46,25.38,25.38,12667
2021-07-20,25.36,25.48,25.36,25.46,4469
2021-07-21,25.37,25.49,25.37,25.49,4979
2021-07-22,25.49,25.49,25.37,25.38,3148
2021-07-23,25.39,25.47,25.39,25.45,4821
2021-07-26,25.47,25.48,25.40,25.46,17861
2021-07-27,25.46,25.58,25.40,25.57,39556
2021-07-28,25.52,25.52,25.45,25.50,7578
2021-07-29,25.51,25.78,25.51,25.78,14593
2021-07-30,25.73,25.87,25.72,25.78,31587
2021-08-02,25.75,25.94,25.75,25.89,11338
2021-08-03,25.88,25.88,25.81,25.86,11196
2021-08-04,25.84,25.86,25.68,25.70,12535
2021-08-05,25.73,25.89,25.60,25.66,15592
2021-08-06,25.64,25.74,25.55,25.60,10978
2021-08-09,25.69,25.73,25.59,25.70,16095
2021-08-10,25.73,25.73,25.54,25.60,4835
2021-08-11,25.68,25.72,25.62,25.70,6556
2021-08-12,25.68,25.75,25.68,25.75,8650
2021-08-13,25.75,25.78,25.25,25.30,77193
2021-08-16,25.30,25.40,25.30,25.32,11413
2021-08-17,25.39,25.39,25.32,25.38,9080
2021-08-18,25.34,25.37,25.30,25.34,7283
2021-08-19,25.41,25.48,25.36,25.38,9350
2021-08-20,25.39,25.41,25.36,25.36,7151
2021-08-23,25.43,25.43,25.35,25.35,14031
2021-08-24,25.44,25.44,25.33,25.35,17806
2021-08-25,25.32,25.36,25.31,25.32,14699
2021-08-26,25.31,25.37,25.31,25.31,15839
2021-08-27,25.34,25.39,25.31,25.36,17825
2021-08-30,25.33,25.42,25.33,25.41,13655
2021-08-31,25.41,25.41,25.32,25.34,28790
2021-09-01,25.35,25.45,25.35,25.45,6982
2021-09-02,25.49,25.50,25.45,25.50,5327
2021-09-03,25.43,25.49,25.40,25.49,1534
