date,open,high,low,close,volume
2021-01-04,25.76,25.76,25.43,25.56,2851
2021-01-05,25.56,25.56,25.56,25.56,0
2021-01-06,25.40,25.56,25.40,25.56,600
2021-01-07,25.31,25.36,25.31,25.35,701
2021-01-08,25.35,25.35,25.35,25.35,0
2021-01-11,25.41,25.72,25.31,25.40,5339
2021-01-12,25.33,25.43,25.26,25.36,3495
2021-01-13,25.30,25.49,25.30,25.49,1810
2021-01-14,25.70,25.70,25.45,25.45,630
2021-01-15,25.52,25.68,25.52,25.55,2263
2021-01-19,25.55,25.69,25.55,25.69,1372
2021-01-20,25.78,25.92,25.78,25.92,2550
2021-01-21,25.92,25.92,25.92,25.92,0
2021-01-22,25.89,25.89,25.67,25.83,970
2021-01-25,25.75,25.89,25.71,25.74,3011
2021-01-26,25.74,25.74,25.74,25.74,0
2021-01-27,25.71,25.72,25.41,25.41,2189
2021-01-28,25.60,25.82,25.48,25.82,1054
2021-01-29,25.82,25.82,25.82,25.82,0
2021-02-01,26.05,26.05,25.43,25.43,3112
2021-02-02,25.82,25.90,25.45,25.45,1837
2021-02-03,25.71,25.71,25.52,25.61,2120
2021-02-04,25.59,25.65,25.59,25.65,827
2021-02-05,25.49,25.70,25.45,25.70,2501
2021-02-08,25.54,25.94,25.50,25.94,1030
2021-02-09,25.90,25.90,25.53,25.55,1400
2021-02-10,25.56,25.61,25.55,25.55,1951
2021-02-11,25.55,25.55,25.55,25.55,0
2021-02-12,25.43,25.63,25.40,25.63,3353
2021-02-16,25.63,25.63,25.63,25.63,0
2021-02-17,25.44,25.50,25.44,25.50,1250
2021-02-18,25.43,25.63,25.25,25.25,5828
2021-02-19,25.41,25.45,25.27,25.28,2580
2021-02-22,25.45,25.46,25.29,25.43,2947
2021-02-23,25.53,25.53,25.42,25.45,2391
2021-02-24,25.55,25.58,25.34,25.36,1625
2021-02-25,25.24,25.32,25.18,25.23,8740
2021-02-26,25.59,25.59,25.58,25.59,1051
2021-03-01,25.49,25.49,25.28,25.36,1026
2021-03-02,25.49,25.61,25.27,25.27,1400
2021-03-03,25.54,25.57,25.45,25.45,934
2021-03-04,25.35,25.38,25.35,25.35,1756
2021-03-05,25.49,25.49,25.35,25.35,1192
2021-03-08,25.40,25.40,25.35,25.40,4588
2021-03-09,25.55,25.55,25.40,25.40,314
2021-03-10,25.42,25.44,25.31,25.31,3087
2021-03-11,25.36,25.36,25.31,25.35,840
2021-03-12,25.35,25.35,25.35,25.35,560
2021-03-15,25.35,25.40,25.32,25.40,4193
2021-03-16,25.48,25.48,25.48,25.48,199
2021-03-17,25.59,25.59,25.48,25.48,1442
2021-03-18,25.43,25.43,25.43,25.43,255
2021-03-19,25.43,25.43,25.43,25.43,0
2021-03-22,25.43,25.43,25.43,25.43,101
2021-03-23,25.46,25.46,25.45,25.45,716
2021-03-24,25.48,25.48,25.47,25.47,706
2021-03-25,25.30,25.32,25.30,25.32,297
2021-03-26,25.45,25.45,25.33,25.33,1719
2021-03-29,25.39,25.39,25.34,25.34,400
2021-03-30,25.50,25.50,25.47,25.49,1197
2021-03-31,25.51,25.51,25.51,25.51,1116
2021-04-01,25.45,25.64,25.45,25.64,1028
2021-04-05,25.66,25.66,25.61,25.61,1101
2021-04-06,25.61,25.61,25.40,25.52,2394
2021-04-07,25.60,25.69,25.60,25.69,1653
2021-04-08,25.69,25.69,25.69,25.69,0
2021-04-09,26.42,26.42,25.67,25.85,1800
2021-04-12,25.94,25.94,25.62,25.62,1077
2021-04-13,25.65,25.86,25.43,25.86,2850
2021-04-14,25.78,25.91,25.76,25.77,1210
2021-04-15,25.77,25.77,25.77,25.77,0
2021-04-16,25.85,25.95,25.77,25.95,2380
2021-04-19,26.28,26.28,25.50,25.62,3335
2021-04-20,25.61,26.12,25.61,25.87,3425
2021-04-21,26.01,26.23,25.96,26.23,1447
2021-04-22,26.35,26.35,25.71,25.93,6508
2021-04-23,25.92,25.95,25.78,25.78,2552
2021-04-26,25.69,25.75,25.64,25.65,1846
2021-04-27,25.58,25.58,25.55,25.55,1585
2021-04-28,25.95,25.95,25.55,25.77,2296
