date,open,high,low,close,volume
2016-09-15,15.05,15.27,14.98,15.18,2017619
2016-09-16,15.03,15.21,15.01,15.11,2042292
2016-09-19,15.31,15.34,15.10,15.10,2070916
2016-09-20,15.09,15.18,15.04,15.07,1405696
2016-09-21,15.07,15.42,15.07,15.41,2424222
2016-09-22,15.89,15.98,15.80,15.83,4976819
2016-09-23,15.71,15.85,15.60,15.67,5906807
2016-09-26,15.61,15.71,15.53,15.54,4847461
2016-09-27,15.30,15.37,15.12,15.34,2501100
2016-09-28,15.46,16.09,15.31,16.08,2390869
2016-09-29,16.52,16.76,16.33,16.47,3956179
2016-09-30,16.76,16.87,16.62,16.80,2784748
2016-10-03,16.80,16.87,16.66,16.84,1383357
2016-10-04,16.99,17.02,16.70,16.78,2873662
2016-10-05,17.07,17.12,16.98,17.05,1413210
2016-10-06,17.13,17.17,16.98,17.07,1430865
2016-10-07,17.10,17.11,16.80,16.88,1675187
2016-10-10,17.18,17.42,17.17,17.30,1676971
2016-10-11,17.15,17.16,16.79,16.85,2418699
2016-10-12,16.85,16.94,16.72,16.87,1676938
2016-10-13,16.59,16.84,16.47,16.75,1724064
2016-10-14,16.87,16.94,16.67,16.70,1648170
2016-10-17,16.70,16.74,16.52,16.64,1503279
2016-10-18,16.50,16.55,16.36,16.41,3140190
2016-10-19,16.57,16.78,16.51,16.69,1657348
2016-10-20,16.42,16.58,16.38,16.50,1890851
2016-10-21,16.41,16.55,16.39,16.52,1515077
2016-10-24,16.58,16.62,16.29,16.54,1698348
2016-10-25,16.43,16.58,16.31,16.31,2256241
2016-10-26,16.29,16.41,16.15,16.33,2546306
2016-10-27,16.75,16.80,16.52,16.60,3022266
2016-10-28,16.55,16.76,16.47,16.53,3234453
2016-10-31,16.41,16.45,16.19,16.24,2277328
2016-11-01,16.25,16.29,15.95,16.13,2243747
2016-11-02,16.04,16.09,15.72,16.00,3888409
2016-11-03,16.06,16.17,15.89,16.03,3405460
2016-11-04,15.90,16.23,15.80,16.14,3989328
2016-11-07,16.14,16.89,16.14,16.79,12751890
2016-11-08,16.64,16.87,16.59,16.75,4167041
2016-11-09,16.47,16.69,16.35,16.61,3987145
2016-11-10,16.60,16.71,16.44,16.51,1852476
2016-11-11,16.40,16.40,15.97,16.13,3371832
2016-11-14,15.83,15.88,15.58,15.86,3798650
2016-11-15,16.23,16.47,16.22,16.44,2816595
2016-11-16,16.43,16.57,16.30,16.35,1966573
2016-11-17,16.42,16.61,16.28,16.31,1691245
2016-11-18,16.23,16.36,16.17,16.27,1635774
2016-11-21,16.71,17.01,16.71,17.01,2259768
2016-11-22,17.08,17.15,16.86,17.05,2080483
2016-11-23,16.85,17.00,16.83,16.90,2117921
2016-11-25,16.99,17.01,16.77,16.84,1671095
2016-11-28,16.86,16.91,16.63,16.63,2315976
2016-11-29,16.32,16.43,16.16,16.35,2658978
2016-11-30,17.18,17.48,17.11,17.40,6018951
2016-12-01,17.80,18.02,17.74,17.79,4514188
2016-12-02,17.71,17.81,17.61,17.71,1467436
2016-12-05,17.78,17.88,17.72,17.72,1159029
2016-12-06,17.62,17.79,17.53,17.68,1855433
2016-12-07,17.74,17.90,17.72,17.85,1573274
2016-12-08,17.85,17.99,17.77,17.95,1254767
2016-12-09,17.99,18.08,17.97,18.06,1585660
2016-12-12,18.56,18.61,18.27,18.30,2222900
2016-12-13,18.51,18.62,18.36,18.51,1654034
2016-12-14,18.32,18.44,17.88,17.89,1464772
2016-12-15,17.77,18.05,17.73,18.02,2195322
2016-12-16,18.14,18.30,18.05,18.22,2674791
2016-12-19,18.09,18.18,18.03,18.07,1104524
2016-12-20,18.09,18.19,18.00,18.01,1006829
2016-12-21,18.37,18.39,18.12,18.17,1230800
2016-12-22,18.16,18.22,18.09,18.12,957690
2016-12-23,18.08,18.16,18.05,18.09,617444
2016-12-27,18.16,18.26,18.15,18.19,685340
2016-12-28,18.30,18.33,18.18,18.18,945262
2016-12-29,18.42,18.43,18.30,18.37,1234696
