date,open,high,low,close,volume
2021-01-04,133.68,133.93,128.31,130.01,42351
2021-01-05,134.70,134.70,131.14,132.62,31276
2021-01-06,132.14,133.11,127.55,128.84,69204
2021-01-07,129.45,129.45,128.16,128.63,25824
2021-01-08,129.48,129.48,127.39,128.68,29471
2021-01-11,130.49,131.97,130.04,131.50,19994
2021-01-12,134.04,135.25,133.00,135.25,42111
2021-01-13,135.91,137.17,135.35,137.17,20475
2021-01-14,134.98,141.28,134.98,140.26,76142
2021-01-15,139.00,139.00,134.54,135.28,58698
2021-01-19,138.97,138.97,136.00,136.78,40571
2021-01-20,137.33,137.65,136.18,137.26,37187
2021-01-21,136.14,136.33,134.60,135.28,29056
2021-01-22,134.72,135.72,134.72,135.24,20809
2021-01-25,133.00,134.03,131.75,134.03,39698
2021-01-26,135.91,136.78,134.48,135.48,23028
2021-01-27,138.40,139.09,136.85,138.24,58432
2021-01-28,137.84,138.55,134.55,135.10,37277
2021-01-29,136.21,136.21,133.88,135.47,42659
2021-02-01,136.23,137.40,135.58,137.12,20274
2021-02-02,136.49,137.20,136.03,136.67,23893
2021-02-03,138.76,140.22,138.76,139.80,20852
2021-02-04,139.14,140.69,139.14,140.69,17147
2021-02-05,140.72,141.67,140.36,141.52,18641
2021-02-08,141.26,143.70,141.22,143.53,28637
2021-02-09,141.99,143.67,141.70,143.67,40164
2021-02-10,143.90,144.89,143.45,144.35,17528
2021-02-11,143.10,143.79,142.55,143.67,20661
2021-02-12,144.05,144.64,142.66,144.34,17821
2021-02-16,142.95,143.94,142.25,143.61,31928
2021-02-17,140.94,142.04,139.55,141.77,26622
2021-02-18,138.81,140.02,137.84,140.02,28793
2021-02-19,140.82,140.82,139.40,139.90,25602
2021-02-22,138.03,138.83,137.86,138.22,18508
2021-02-23,136.43,137.00,135.13,136.76,26518
2021-02-24,135.17,137.00,134.64,136.70,22888
2021-02-25,132.60,133.08,129.00,129.63,37456
2021-02-26,128.70,128.70,126.81,127.06,30419
2021-03-01,130.69,134.28,130.57,133.37,30343
2021-03-02,133.46,134.39,132.82,133.99,36548
2021-03-03,134.38,134.38,132.04,132.04,21529
2021-03-04,131.45,133.14,129.52,130.19,28759
2021-03-05,131.00,131.82,127.45,131.36,27425
2021-03-08,131.42,131.82,129.77,130.58,27981
2021-03-09,132.66,135.84,132.16,134.21,42608
2021-03-10,135.22,136.43,134.71,135.71,18297
2021-03-11,136.85,139.34,136.57,138.22,23206
2021-03-12,138.39,139.71,137.35,139.71,43907
2021-03-15,140.00,142.15,139.18,141.00,43950
2021-03-16,141.39,141.79,140.03,141.24,21222
2021-03-17,139.01,141.24,138.94,140.44,31943
2021-03-18,137.61,137.69,134.22,135.83,84509
2021-03-19,136.08,136.08,133.49,135.57,16617
2021-03-22,136.30,137.59,135.85,136.67,21117
2021-03-23,136.77,137.79,136.07,136.25,11064
2021-03-24,137.89,139.88,137.51,138.50,25025
2021-03-25,136.48,138.30,134.39,138.30,29996
