date,open,high,low,close,volume
2021-02-10,43.00,50.00,43.00,44.99,1836935
2021-02-11,45.47,45.47,42.75,42.80,1652123
2021-02-12,43.01,43.50,41.55,42.51,2088188
2021-02-16,44.20,45.54,43.01,43.55,1369097
2021-02-17,44.03,44.60,43.50,44.26,1910404
2021-02-18,44.24,45.00,42.78,43.00,1589465
2021-02-19,43.66,44.63,43.01,44.00,1048177
2021-02-22,44.84,45.03,43.65,43.84,1449387
2021-02-23,43.95,43.95,42.00,43.66,888492
2021-02-24,43.24,45.08,42.64,45.00,3153182
2021-02-25,45.32,45.50,44.10,44.75,2485012
2021-02-26,44.56,44.94,43.41,44.18,466093
2021-03-01,44.45,45.28,44.08,44.67,718886
2021-03-02,44.67,46.75,44.67,45.30,756575
2021-03-03,45.51,47.64,45.22,47.25,1214585
2021-03-04,47.66,48.79,45.79,46.18,679731
2021-03-05,47.00,47.08,44.02,45.03,968151
2021-03-08,44.69,45.13,43.01,44.37,1125470
2021-03-09,43.69,44.94,43.62,44.28,183416
2021-03-10,44.26,44.87,43.77,44.75,484270
2021-03-11,44.75,45.82,44.51,45.34,578892
2021-03-12,46.13,46.31,44.89,45.75,684271
2021-03-15,45.92,46.25,45.10,45.75,626783
2021-03-16,45.78,45.88,43.95,44.81,717657
2021-03-17,44.87,45.60,44.20,45.28,543104
2021-03-18,44.92,45.25,43.22,43.50,886854
2021-03-19,43.30,43.76,42.80,43.31,537112
2021-03-22,43.23,43.50,41.92,42.75,539255
2021-03-23,42.28,42.72,41.04,41.70,446999
2021-03-24,42.50,42.80,41.28,41.60,688655
2021-03-25,41.15,42.33,40.00,42.16,675175
2021-03-26,42.27,43.34,42.14,43.33,325005
2021-03-29,43.40,43.51,42.34,42.52,203972
2021-03-30,42.27,43.40,41.29,43.14,480190
2021-03-31,43.03,44.52,42.19,43.39,446663
2021-04-01,43.09,45.80,42.83,44.93,619045
2021-04-05,44.82,45.16,43.50,44.66,579958
2021-04-06,45.01,45.95,44.05,45.21,725523
2021-04-07,45.11,46.00,44.40,45.10,943036
2021-04-08,44.99,45.82,44.77,45.33,732111
2021-04-09,45.20,45.91,44.48,45.54,686046
2021-04-12,45.67,45.92,45.25,45.45,640398
2021-04-13,45.35,45.82,45.32,45.51,311963
2021-04-14,45.67,46.31,45.25,46.19,821112
2021-04-15,46.16,46.58,45.35,46.19,465722
